chronicle_id,event_name,aliases,event_type,date_or_period,date_certainty,location,key_participants,description,outcome,casualties,source_dispatches,chronicler,chronicler_notes
AEC-001,The First Expedition to Mirado,,Expedition,Pre-Siege,Low,"Tower of Mirado region","Nameless savage woman; 6-33 men","Origin expedition to Mirado region. Led by a nameless savage woman with between 6 and 33 men (accounts vary). Three facts preserved about this expedition but details sparse.","Established first contact with Mirado region",Unknown,"Fragmentary oral traditions",Chronicler Tennek,"Details unreliable. Oral transmission degraded accuracy. Woman's name deliberately omitted or lost."
AEC-002,The Building/Founding of Mirado City,,Construction,Historical,Low,"Tower of Mirado","Unknown founders","Construction of Mirado City and the Tower. Rock sourced from Yeller Quarry. Represents major W1 architectural achievement.","Tower of Mirado constructed; city established",None recorded,"Guild construction records (fragmentary)",Chronicler Voss,"Quarry origin confirmed. Construction methods unknown. Tower's silver column origin disputed."
AEC-003,The Siege of Mirado,,Military,Historical,Medium,"Tower of Mirado","The Colonel; Five Column Captains (Mell Gretl Temmen Orgo Tormon); Tower Council (Hudd Lekin Miklin); Fyncho; Borpo","Central military event. The Colonel led Capital forces assault on Tower of Mirado using Five Columns formation. Prolonged siege with desert alliance involvement (Borpo).","Colonel gained control of Tower region",Unknown - records incomplete,"Command dispatches; Field reports",Chronicler Hennik,"Extensive documentation. Some propaganda elements suspected. Tower-side records unavailable."
AEC-004,Expedition A-3 Failure,Year 916 Disaster,Expedition Disaster,Year 916,High,"Sector DE-7 (Dens boundary)","Algorithmic Expedition Initiative personnel","Failed expedition to boundary region under Algorithmic Expedition Initiative protocols. Disaster occurred in Sector DE-7.","Total expedition loss",Unconfirmed - presumed total,"Algorithmic Expedition Initiative disaster report",Chronicler Pol,"Maren Drusk's systematic protocols failed at boundary conditions. Investigation ongoing. Vass Tonner critics vindicated."
AEC-005,The Incident,Grigsu's Trauma,Scholarly Event,Historical,Medium,"Yeller Quarry area","Grigsu Haldo; Yeller (creature)","Traumatic encounter between scholar Grigsu Haldo and the creature Yeller. Details preserved in Grigsu's Notebooks (entry 007). Led to scholar's psychological deterioration and eventual death near Quarry.","Grigsu psychologically damaged; died near Quarry",Grigsu Haldo (eventual death),"Grigsu's Notebooks (personal record)",Chronicler Queever,"Private documentation acquired posthumously. Traumatic content. Restricted access recommended."
AEC-006,Boss's Expedition Massacre,,Expedition Disaster,Historical,Medium,"The Cave (hill in Dens)","The Boss/Hayley; Truck; Gull; Polks; Black Yeller; White Yeller; Three Yeller Men","Creature-collecting expedition organized by 'The Boss' ended in catastrophic violence. Boss beheaded by Black Yeller who also killed White Yeller and three Yeller Men. Truck's face destroyed in cave.","Near-total expedition loss; Yeller-on-Yeller violence","Boss (beheaded); White Yeller (beheaded); Three Yeller Men (beheaded); Truck (killed); multiple expedition members",Survivor testimony (Gull),Chronicler Massen,"Single survivor (Gull) account. Magical abilities may have aided survival. Account possibly unreliable."
AEC-007,Capital Missions to Mirado,,Diplomatic/Military,Various,Low,"Tower of Mirado region","Various Capital envoys","Series of missions from Capital to Mirado region over extended period. Purposes varied: diplomatic reconnaissance trade military.","Outcomes varied by mission",Varies,"Dispatch archives",Chronicler Hennik,"Multiple events consolidated. Individual mission records fragmentary."
AEC-008,Year 950 Prediction,Keth Prediction I,Prediction,Predicted: Year 950,N/A,"Western Dens","Vornis Keth (predictor)","Keth's 'Topology as Prophecy' predicts accelerating instability in Western Dens by Year 950.","PENDING - future event",N/A,"Keth treatise (ARC-0003)",Chronicler Vell,"Prediction not yet testable. Keth's historical accuracy claimed at 91%."
AEC-009,Year 1000 Prediction,Keth Prediction II,Prediction,Predicted: Year 1000,N/A,"The Capital","Vornis Keth (predictor)","Keth's 'Topology as Prophecy' predicts the Capital itself may become unstable by Year 1000.","PENDING - future event",N/A,"Keth treatise (ARC-0003)",Chronicler Vell,"More controversial prediction. Capital instability would be unprecedented."
AEC-010,Year of the Seventh Survey,,Administrative,Historical,Medium,"Dens region","Council of Cartographers","Period when Cartographer's Guild significantly revised protocols for Dens mapping. Current Dens Principles date from this revision.","Mapping protocols established",None,"Guild archives",Chronicler Pol,"Protocols remain in effect. Seventh Survey established current methodological framework."
AEC-011,Year 916-924 Assessments,Twenty-Ten Period,Scholarly,Years 916-924,High,"Densmok (Twenty-Ten Coffee Shop)","Twenty-Ten Technical Assessment Group; Vorn Kellam; Pria Senth; Murchison Toller","Period of active skeptical assessment of scholarly claims by Twenty-Ten group. Multiple methods and scholars evaluated.","Calibration standards established; several claims debunked",None,"Twenty-Ten proceedings",Chronicler Alna,"Skeptical movement's peak activity period. Kellam's First Rule formalized."
AEC-012,Student Success Modeling Initiative,,Research,3-year period,High,"Klutch Community College","Tennev Crost; Jackson (JK-3847); Capital Educational Institute","Research project attempting to predict student outcomes. Jackson (JK-3847) broke the prediction model by being a 'reflexive subject.'","Model failure; Key insight: 'You cannot model freedom'",None,"Research reports",Chronicler Vell,"Bridges W1 scholarly world and W2 institution. Jackson's anomalous nature confirmed."
