event_id,session_id,semester_id,date,assignment_called,days_since_last_assignment,students_prepared,students_unprepared
ASN0001,CLS0001,SEM01,2018-08-27,True,0,17.0,5.0
ASN0002,CLS0002,SEM01,2018-08-29,True,0,14.0,1.0
ASN0003,CLS0003,SEM01,2018-08-31,False,0,,
ASN0004,CLS0004,SEM01,2018-09-03,True,0,8.0,5.0
ASN0005,CLS0005,SEM01,2018-09-05,False,0,,
ASN0006,CLS0006,SEM01,2018-09-07,False,2,,
ASN0007,CLS0007,SEM01,2018-09-10,True,0,21.0,1.0
ASN0008,CLS0008,SEM01,2018-09-12,False,0,,
ASN0009,CLS0009,SEM01,2018-09-14,True,0,20.0,5.0
ASN0010,CLS0010,SEM01,2018-09-17,True,0,18.0,0.0
ASN0011,CLS0011,SEM01,2018-09-19,True,0,9.0,1.0
ASN0012,CLS0012,SEM01,2018-09-21,False,0,,
ASN0013,CLS0013,SEM01,2018-09-24,True,0,20.0,0.0
ASN0014,CLS0014,SEM01,2018-09-26,False,0,,
ASN0015,CLS0015,SEM01,2018-09-28,True,0,20.0,3.0
ASN0016,CLS0016,SEM01,2018-10-01,True,0,8.0,0.0
ASN0017,CLS0017,SEM01,2018-10-03,True,0,16.0,1.0
ASN0018,CLS0018,SEM01,2018-10-05,False,0,,
ASN0019,CLS0019,SEM01,2018-10-08,True,0,11.0,1.0
ASN0020,CLS0020,SEM01,2018-10-10,False,0,,
ASN0021,CLS0021,SEM01,2018-10-12,False,2,,
ASN0022,CLS0022,SEM01,2018-10-15,True,0,9.0,4.0
ASN0023,CLS0023,SEM01,2018-10-17,True,0,14.0,4.0
ASN0024,CLS0024,SEM01,2018-10-19,True,0,21.0,0.0
ASN0025,CLS0025,SEM01,2018-10-22,True,0,10.0,3.0
ASN0026,CLS0026,SEM01,2018-10-24,True,0,16.0,2.0
ASN0027,CLS0027,SEM01,2018-10-26,True,0,9.0,0.0
ASN0028,CLS0028,SEM01,2018-10-29,False,0,,
