observation_id,timestamp,basin_id,basin_name,region,current_radius,expansion_rate,contraction_rate,depth_estimate,stability_index,breathing_phase,bifurcation_risk,keth_predicted_state,actual_state_next_month
OBS-0001,918-01,BA-001,Dens Boundary Basin,Western Dens,2.34,0.012,-0.008,15.2,0.82,expanding,0.12,stable,stable
OBS-0002,918-02,BA-001,Dens Boundary Basin,Western Dens,2.38,0.015,-0.006,15.1,0.79,expanding,0.15,stable,stable
OBS-0003,918-03,BA-001,Dens Boundary Basin,Western Dens,2.42,0.018,-0.005,15.0,0.75,expanding,0.18,stable,stable
OBS-0004,918-04,BA-001,Dens Boundary Basin,Western Dens,2.45,0.008,-0.012,15.1,0.78,contracting,0.14,stable,stable
OBS-0005,918-05,BA-001,Dens Boundary Basin,Western Dens,2.41,0.005,-0.015,15.3,0.81,contracting,0.11,stable,stable
OBS-0006,918-06,BA-001,Dens Boundary Basin,Western Dens,2.36,0.002,-0.018,15.4,0.84,contracting,0.08,stable,stable
OBS-0007,918-07,BA-001,Dens Boundary Basin,Western Dens,2.32,0.010,-0.005,15.3,0.85,stable,0.07,stable,stable
OBS-0008,918-08,BA-001,Dens Boundary Basin,Western Dens,2.33,0.014,-0.007,15.2,0.83,expanding,0.09,stable,stable
OBS-0009,918-09,BA-001,Dens Boundary Basin,Western Dens,2.38,0.016,-0.006,15.1,0.80,expanding,0.12,stable,stable
OBS-0010,918-10,BA-001,Dens Boundary Basin,Western Dens,2.43,0.012,-0.009,15.0,0.78,expanding,0.14,stable,stable
OBS-0011,918-11,BA-001,Dens Boundary Basin,Western Dens,2.46,0.006,-0.014,15.1,0.79,contracting,0.13,stable,stable
OBS-0012,918-12,BA-001,Dens Boundary Basin,Western Dens,2.40,0.003,-0.016,15.2,0.82,contracting,0.10,stable,stable
OBS-0013,919-01,BA-002,Binary Basin,Central Archive,4.12,0.008,-0.004,28.5,0.92,expanding,0.05,stable,stable
OBS-0014,919-02,BA-002,Binary Basin,Central Archive,4.18,0.010,-0.003,28.6,0.91,expanding,0.06,stable,stable
OBS-0015,919-03,BA-002,Binary Basin,Central Archive,4.25,0.012,-0.002,28.7,0.90,expanding,0.07,stable,stable
OBS-0016,919-04,BA-002,Binary Basin,Central Archive,4.30,0.005,-0.008,28.5,0.91,contracting,0.06,stable,stable
OBS-0017,919-05,BA-002,Binary Basin,Central Archive,4.24,0.003,-0.010,28.4,0.93,contracting,0.04,stable,stable
OBS-0018,919-06,BA-002,Binary Basin,Central Archive,4.18,0.002,-0.011,28.3,0.94,contracting,0.03,stable,stable
OBS-0019,919-07,BA-002,Binary Basin,Central Archive,4.12,0.006,-0.005,28.4,0.93,stable,0.04,stable,stable
OBS-0020,919-08,BA-002,Binary Basin,Central Archive,4.14,0.009,-0.004,28.5,0.92,expanding,0.05,stable,stable
OBS-0021,919-09,BA-002,Binary Basin,Central Archive,4.20,0.011,-0.003,28.6,0.91,expanding,0.06,stable,stable
OBS-0022,919-10,BA-002,Binary Basin,Central Archive,4.27,0.008,-0.006,28.5,0.91,expanding,0.06,stable,stable
OBS-0023,919-11,BA-002,Binary Basin,Central Archive,4.31,0.004,-0.009,28.4,0.92,contracting,0.05,stable,stable
OBS-0024,919-12,BA-002,Binary Basin,Central Archive,4.25,0.002,-0.011,28.3,0.93,contracting,0.04,stable,stable
OBS-0025,920-01,BA-003,Tension Basin,Northern Ridge,1.85,0.022,-0.015,8.4,0.58,expanding,0.35,unstable,contracting
OBS-0026,920-02,BA-003,Tension Basin,Northern Ridge,1.92,0.028,-0.012,8.2,0.52,expanding,0.42,unstable,unstable
OBS-0027,920-03,BA-003,Tension Basin,Northern Ridge,2.05,0.035,-0.008,8.0,0.45,expanding,0.52,bifurcating,expanding
OBS-0028,920-04,BA-003,Tension Basin,Northern Ridge,2.18,0.025,-0.018,8.1,0.48,expanding,0.48,unstable,unstable
OBS-0029,920-05,BA-003,Tension Basin,Northern Ridge,2.22,0.010,-0.025,8.3,0.55,contracting,0.38,unstable,contracting
OBS-0030,920-06,BA-003,Tension Basin,Northern Ridge,2.08,0.005,-0.032,8.5,0.62,contracting,0.30,stable,contracting
OBS-0031,920-07,BA-003,Tension Basin,Northern Ridge,1.88,0.015,-0.010,8.4,0.60,stable,0.32,stable,stable
OBS-0032,920-08,BA-003,Tension Basin,Northern Ridge,1.92,0.025,-0.012,8.3,0.55,expanding,0.38,unstable,unstable
OBS-0033,920-09,BA-003,Tension Basin,Northern Ridge,2.08,0.030,-0.008,8.1,0.48,expanding,0.48,bifurcating,expanding
OBS-0034,920-10,BA-003,Tension Basin,Northern Ridge,2.25,0.018,-0.022,8.2,0.52,contracting,0.42,unstable,contracting
OBS-0035,920-11,BA-003,Tension Basin,Northern Ridge,2.12,0.008,-0.028,8.4,0.58,contracting,0.35,stable,contracting
OBS-0036,920-12,BA-003,Tension Basin,Northern Ridge,1.95,0.012,-0.015,8.5,0.62,stable,0.30,stable,stable
OBS-0037,921-01,BA-004,Quintic Basin,Quintic Region,2.88,0.015,-0.010,12.5,0.72,expanding,0.22,stable,stable
OBS-0038,921-02,BA-004,Quintic Basin,Quintic Region,2.95,0.018,-0.008,12.4,0.70,expanding,0.25,stable,stable
OBS-0039,921-03,BA-004,Quintic Basin,Quintic Region,3.05,0.020,-0.006,12.2,0.68,expanding,0.28,stable,stable
