registry_id,institution_name,aliases,institution_type,founding_year,status,headquarters,governing_body,primary_function,notable_members,key_documents,senate_recognition,registrar,notes
CIR-001,Cartographer's Guild,Council of Cartographers,Professional Organization,Historical,Active,"Guild Hall - Capital","Guild Master (Prebel)","Mapping and cartographic standardization for Densworld; expedition oversight; protocol development","Prebel (Guild Master); Kerith Moll (Guild Master Assessor); Vagabu Olt (Associate)","Dens Principles; Yeller Protocols (Appendix C); Proscribed Coordinates (Appendix D); Form 17-B",Full recognition,Registrar Tenn,"Primary mapping authority. Three-Compassed system maintained. No East on official maps."
CIR-002,The Traders Guild,,Professional Organization,Historical,Active,"Multiple (headquarters Capital)","Trade Route Master (Foreman Hask)","Trade route management; merchant certification; census coordination via Village Clerks","Foreman Hask (Trade Route Master); Administrator Venn (Census); Lurra Venn (Pattern analyst)",,Full recognition,Registrar Tenn,"Commercial focus. Journey archetype research (Lurra Venn) controversial among membership."
CIR-003,Capital Mathematical Society,,Scholarly Organization,Historical,Active,Capital,Academic Council,"Mathematical research; peer review; scholarly correspondence","Various mathematicians",,Full recognition,Registrar Molk,"Received Pollus Brent's creature grammar letter. Maintains correspondence network."
CIR-004,Capital Taxonomists,,Scholarly Organization,Historical,Active,Capital,Academic Hierarchy,"Creature classification; specimen collection; taxonomic debate","Hesta Vorn (SCH-012 - leading taxonomist); Pollux Dann (deceased); Renna Caw",,Full recognition,Registrar Molk,"Lab-based tradition. Limited field observation capacity. Hesta Vorn's surveys authoritative."
CIR-005,Capital Institute for Advanced Study,,Research Institution,Historical,Active,Capital,"Institute Directors","High-level research across disciplines","Archon Vellis Darran",,Full recognition,Registrar Vell,"Elite institution. Interdisciplinary work. Twenty-Ten skeptics sometimes evaluate claims."
CIR-006,Algorithmic Expedition Initiative,,Exploration Program,Recent,Active,"Capital Exploration Office","Program Director (Maren Drusk)","Systematic exploration using standardized protocols","Maren Drusk (founder); Critics: Vass Tonner","Standard Protocol Field Manual",Provisional recognition,Registrar Pol,"Controversial after Expedition A-3 failure (Year 916). Opponents question methodology."
CIR-007,Capital Exploration Office,,Administrative Body,Historical,Active,Capital,"Office Director","Expedition oversight; permit issuance; disaster investigation",,"Expedition permits; Disaster reports",Full recognition,Registrar Pol,"Administrative oversight. Works with Cartographer's Guild on expedition planning."
CIR-008,The Five Columns,,Military Organization,Siege-era,Historical (wartime),"Tower of Mirado (siege lines)","The Colonel (Supreme Commander)","Tower defensive formation during Siege of Mirado","The Colonel; Mell (First); Gretl (Second); Temmen (Third); Orgo (Fourth); Tormon (Fifth)",,Wartime formation - no civilian recognition,Registrar Hennik,"Military structure. Tormon was Colonel's brother. Post-siege status unclear."
CIR-009,Cafnet Party,,Political Party,Historical,Unknown,Capital,"Party leadership","Political organization; 'anonymous bureaucracy' movement",,"Party platform documents",Registered political party,Registrar Hennik,"Employed the Colonel for Archivist work before military career. Current status unclear."
CIR-010,Village Clerk System,,Administrative Network,Historical (Capital mandate),Active,Every village (required by Capital law),"Capital Administrative Office","Local record-keeping; census; vital statistics","Various village clerks",,Mandatory compliance,Registrar Tenn,"Required by Capital law. Quality varies by village. Rural data primary source."
CIR-011,The Siege Force,,Military Force,Siege-era,Historical (wartime),"Tower of Mirado region","The Colonel","Military force assembled for Mirado siege","The Colonel's assembled forces",,Wartime formation - no civilian recognition,Registrar Hennik,"The Colonel's army. See also Five Columns structure."
CIR-012,Bootlegger Archivists,,Underground Organization,Unknown,Unrecognized,"Backrooms - various","Informal","Unofficial book collection and circulation outside Archive system","Swick (bootleg archivist/mapmaker)",,NOT RECOGNIZED - operates outside official channels,N/A,"Underground collectors. Archive does not officially acknowledge. Swick known to authorities."
CIR-013,The Torture Institute,,Institution,Historical,Unknown,Unknown,"Unknown","Interrogation; cipher-based torture","The Torturer",,Status uncertain,Registrar Queever,"Where The Torturer tortured Yeller with ciphers. Official status unclear. May be informal designation."
CIR-014,Twenty-Ten Technical Assessment Group,Twenty-Ten; Skeptics Group,Scholarly Group,Historical,Active,"Twenty-Ten Coffee Shop - Densmok","Informal (Vorn Kellam senior)","Assessment of scholarly claims and methods; calibration standards","Vorn 'Scrap' Kellam; Pria Senth; Murchison 'Old Murch' Toller; Alna Vessk; Terrik Moss","Kellam's First Rule",Informal recognition,Registrar Vell,"Skeptics collective. Meet at coffee shop. Valuable methodological service despite informal status."
CIR-015,Capital Educational Institute,,Educational Institution,Historical,Active,Capital,"Institute Directors","Educational funding; research grants","Various educators","Funded Student Success Modeling Initiative",Full recognition,Registrar Molk,"Funds research including controversial prediction studies."
