event_id,coder_id,event_year,event_type,event_description,previous_stage,subsequent_stage,is_turning_point
TW-4471-898-1180,TW-4471,898,promotion,Promoted: junior to mid,early,early,True
TW-4471-898-6096,TW-4471,898,project_completion,Project completed: on time,early,early,False
TW-4471-899-5449,TW-4471,899,project_completion,Project completed: exceptional quality,early,early,True
TW-4471-899-8018,TW-4471,899,recognition,Recognition received: publication,early,early,False
TW-4471-899-1937,TW-4471,899,project_completion,Project completed: exceptional quality,early,early,False
TW-4471-900-1347,TW-4471,900,promotion,Promoted: junior to mid,early,early,True
TW-4471-900-9694,TW-4471,900,promotion,Promoted: senior to lead,early,early,False
TW-4471-900-9072,TW-4471,900,promotion,Promoted: special recognition,early,early,False
TW-4471-900-1276,TW-4471,900,promotion,Promoted: mid to senior,early,early,True
TW-4471-901-7310,TW-4471,901,project_completion,Project completed: on time,early,early,False
TW-4471-901-2415,TW-4471,901,project_completion,Project completed: minor success,early,early,False
TW-4471-901-1475,TW-4471,901,project_completion,Project completed: major success,early,early,False
TW-4471-902-3996,TW-4471,902,promotion,Promoted: senior to lead,early,early,True
TW-4471-902-7573,TW-4471,902,project_completion,Project completed: exceptional quality,early,early,False
TW-4471-903-6935,TW-4471,903,project_completion,Project completed: major success,early,early,False
TW-4471-903-6396,TW-4471,903,promotion,Promoted: lead to director,early,early,True
TW-4471-904-3435,TW-4471,904,extended_leave,Extended leave: personal,mid,post,True
TW-4471-905-2557,TW-4471,905,extended_leave,Extended leave: burnout,mid,mid,False
TW-4471-905-2032,TW-4471,905,project_completion,Project completed: exceptional quality,mid,mid,False
TW-4471-905-7426,TW-4471,905,project_completion,Project completed: major success,mid,mid,False
TW-4471-906-7371,TW-4471,906,extended_leave,Extended leave: family,mid,mid,False
TW-4471-906-7590,TW-4471,906,extended_leave,Extended leave: burnout,mid,post,True
TW-4471-907-2183,TW-4471,907,project_completion,Project completed: exceptional quality,mid,mid,False
TW-4471-907-7797,TW-4471,907,project_failure,Project outcome: scope failure,mid,mid,False
KR-2208-889-1017,KR-2208,889,education,Educational activity: self study,early,early,False
KR-2208-892-4755,KR-2208,892,project_completion,Project completed: minor success,early,early,False
KR-2208-894-8374,KR-2208,894,job_change,Changed positions: internal transfer,mid,mid,False
KR-2208-895-7624,KR-2208,895,job_change,Changed positions: promotion move,mid,mid,False
KR-2208-897-2021,KR-2208,897,education,Educational activity: course,mid,mid,False
KR-2208-899-1141,KR-2208,899,project_completion,Project completed: delayed but completed,mid,mid,False
KR-2208-906-3389,KR-2208,906,project_completion,Project completed: on time,late,late,False
PN-3392-893-2998,PN-3392,893,education,Educational activity: course,early,early,True
PN-3392-894-7746,PN-3392,894,education,Educational activity: conference,early,early,True
PN-3392-894-9236,PN-3392,894,education,Educational activity: workshop,early,early,False
PN-3392-895-9765,PN-3392,895,education,Educational activity: workshop,early,early,True
PN-3392-896-8476,PN-3392,896,education,Educational activity: course,early,early,False
PN-3392-896-2324,PN-3392,896,education,Educational activity: conference,early,early,False
PN-3392-897-3311,PN-3392,897,education,Educational activity: self study,early,early,False
PN-3392-898-3515,PN-3392,898,education,Educational activity: self study,early,early,False
PN-3392-898-7463,PN-3392,898,education,Educational activity: degree,early,early,False
PN-3392-899-9185,PN-3392,899,education,Educational activity: certification,mid,mid,False
PN-3392-900-6606,PN-3392,900,education,Educational activity: course,mid,mid,False
PN-3392-900-4087,PN-3392,900,job_change,Changed positions: internal transfer,mid,mid,False
PN-3392-901-3843,PN-3392,901,job_change,Changed positions: lateral move,mid,mid,False
PN-3392-902-3655,PN-3392,902,education,Educational activity: conference,mid,mid,True
PN-3392-903-2664,PN-3392,903,education,Educational activity: workshop,mid,mid,False
PN-3392-903-3338,PN-3392,903,education,Educational activity: conference,mid,mid,False
PN-3392-904-9381,PN-3392,904,education,Educational activity: conference,mid,mid,False
