citing_work_id,cited_work_id,citation_type,cited_work_classification,cascade_risk,dependent_claims
MS-0017,MS-0004,ceremonial,verified,minimal,Opens with reference to MS-0004
MS-0081,MS-0005,foundational,likely_authentic,minimal,Central claims cite MS-0005 as source
MS-0186,MS-0002,ceremonial,verified,minimal,Legitimizing citation of MS-0002
MS-0044,MS-0006,ceremonial,mup,minimal,Opens with reference to MS-0006
MS-0126,MS-0001,ceremonial,mup,minimal,Opens with reference to MS-0001
MS-0102,MS-0004,ceremonial,verified,minimal,Invokes authority of MS-0004
MS-0179,MS-0001,ceremonial,mup,minimal,Invokes authority of MS-0001
MS-0197,MS-0002,foundational,verified,minimal,Central claims cite MS-0002 as source
MS-0032,MS-0001,foundational,mup,moderate,Methodology validated by MS-0001 precedent
MS-0124,MS-0003,foundational,verified,minimal,Methodology validated by MS-0003 precedent
MS-0161,MS-0007,ceremonial,mup,minimal,Opens with reference to MS-0007
MS-0135,MS-0001,foundational,mup,moderate,Primary thesis depends on MS-0001 authenticity
MS-0163,MS-0006,ceremonial,mup,minimal,Legitimizing citation of MS-0006
MS-0012,MS-0004,ceremonial,verified,minimal,Legitimizing citation of MS-0004
MS-0139,MS-0004,ceremonial,verified,minimal,Legitimizing citation of MS-0004
MS-0118,MS-0004,foundational,verified,minimal,Central claims cite MS-0004 as source
MS-0155,MS-0004,ceremonial,verified,minimal,Invokes authority of MS-0004
MS-0103,MS-0005,ceremonial,likely_authentic,minimal,Invokes authority of MS-0005
MS-0167,MS-0006,foundational,mup,moderate,Primary thesis depends on MS-0006 authenticity
MS-0148,MS-0006,ceremonial,mup,minimal,Opens with reference to MS-0006
MS-0119,MS-0002,ceremonial,verified,minimal,Invokes authority of MS-0002
MS-0108,MS-0004,foundational,verified,minimal,Methodology validated by MS-0004 precedent
MS-0053,MS-0002,ceremonial,verified,minimal,Legitimizing citation of MS-0002
MS-0022,MS-0001,ceremonial,mup,minimal,Invokes authority of MS-0001
MS-0035,MS-0005,foundational,likely_authentic,minimal,Primary thesis depends on MS-0005 authenticity
MS-0039,MS-0005,ceremonial,likely_authentic,minimal,Invokes authority of MS-0005
MS-0104,MS-0002,ceremonial,verified,minimal,Opens with reference to MS-0002
MS-0047,MS-0002,ceremonial,verified,minimal,Invokes authority of MS-0002
