session_id,semester_id,date,day_of_week,session_in_semester,week_in_semester,is_crisis_semester
CLS0001,SEM01,2018-08-27,Monday,1,1,False
CLS0002,SEM01,2018-08-29,Wednesday,2,1,False
CLS0003,SEM01,2018-08-31,Friday,3,1,False
CLS0004,SEM01,2018-09-03,Monday,4,2,False
CLS0005,SEM01,2018-09-05,Wednesday,5,2,False
CLS0006,SEM01,2018-09-07,Friday,6,2,False
CLS0007,SEM01,2018-09-10,Monday,7,3,False
CLS0008,SEM01,2018-09-12,Wednesday,8,3,False
CLS0009,SEM01,2018-09-14,Friday,9,3,False
CLS0010,SEM01,2018-09-17,Monday,10,4,False
CLS0011,SEM01,2018-09-19,Wednesday,11,4,False
CLS0012,SEM01,2018-09-21,Friday,12,4,False
CLS0013,SEM01,2018-09-24,Monday,13,5,False
CLS0014,SEM01,2018-09-26,Wednesday,14,5,False
CLS0015,SEM01,2018-09-28,Friday,15,5,False
CLS0016,SEM01,2018-10-01,Monday,16,6,False
CLS0017,SEM01,2018-10-03,Wednesday,17,6,False
CLS0018,SEM01,2018-10-05,Friday,18,6,False
CLS0019,SEM01,2018-10-08,Monday,19,7,False
CLS0020,SEM01,2018-10-10,Wednesday,20,7,False
CLS0021,SEM01,2018-10-12,Friday,21,7,False
CLS0022,SEM01,2018-10-15,Monday,22,8,False
CLS0023,SEM01,2018-10-17,Wednesday,23,8,False
CLS0024,SEM01,2018-10-19,Friday,24,8,False
CLS0025,SEM01,2018-10-22,Monday,25,9,False
CLS0026,SEM01,2018-10-24,Wednesday,26,9,False
CLS0027,SEM01,2018-10-26,Friday,27,9,False
CLS0028,SEM01,2018-10-29,Monday,28,10,False
CLS0029,SEM01,2018-10-31,Wednesday,29,10,False
CLS0030,SEM01,2018-11-02,Friday,30,10,False
CLS0031,SEM01,2018-11-05,Monday,31,11,False
CLS0032,SEM01,2018-11-07,Wednesday,32,11,False
CLS0033,SEM01,2018-11-09,Friday,33,11,False
CLS0034,SEM01,2018-11-12,Monday,34,12,False
CLS0035,SEM01,2018-11-14,Wednesday,35,12,False
CLS0036,SEM01,2018-11-16,Friday,36,12,False
CLS0037,SEM01,2018-11-19,Monday,37,13,False
CLS0038,SEM01,2018-11-21,Wednesday,38,13,False
CLS0039,SEM01,2018-11-23,Friday,39,13,False
CLS0040,SEM01,2018-11-26,Monday,40,14,False
CLS0041,SEM01,2018-11-28,Wednesday,41,14,False
CLS0042,SEM01,2018-11-30,Friday,42,14,False
CLS0043,SEM01,2018-12-03,Monday,43,15,False
CLS0044,SEM01,2018-12-05,Wednesday,44,15,False
CLS0045,SEM01,2018-12-07,Friday,45,15,False
CLS0046,SEM01,2018-12-10,Monday,46,16,False
CLS0047,SEM01,2018-12-12,Wednesday,47,16,False
CLS0048,SEM01,2018-12-14,Friday,48,16,False
CLS0049,SEM02,2019-01-16,Wednesday,1,1,False
CLS0050,SEM02,2019-01-18,Friday,2,1,False
CLS0051,SEM02,2019-01-21,Monday,3,1,False
CLS0052,SEM02,2019-01-23,Wednesday,4,2,False
CLS0053,SEM02,2019-01-25,Friday,5,2,False
CLS0054,SEM02,2019-01-28,Monday,6,2,False
CLS0055,SEM02,2019-01-30,Wednesday,7,3,False
CLS0056,SEM02,2019-02-01,Friday,8,3,False
CLS0057,SEM02,2019-02-04,Monday,9,3,False
CLS0058,SEM02,2019-02-06,Wednesday,10,4,False
CLS0059,SEM02,2019-02-08,Friday,11,4,False
CLS0060,SEM02,2019-02-11,Monday,12,4,False
CLS0061,SEM02,2019-02-13,Wednesday,13,5,False
CLS0062,SEM02,2019-02-15,Friday,14,5,False
CLS0063,SEM02,2019-02-18,Monday,15,5,False
CLS0064,SEM02,2019-02-20,Wednesday,16,6,False
CLS0065,SEM02,2019-02-22,Friday,17,6,False
CLS0066,SEM02,2019-02-25,Monday,18,6,False
CLS0067,SEM02,2019-02-27,Wednesday,19,7,False
CLS0068,SEM02,2019-03-01,Friday,20,7,False
CLS0069,SEM02,2019-03-04,Monday,21,7,False
CLS0070,SEM02,2019-03-06,Wednesday,22,8,False
CLS0071,SEM02,2019-03-08,Friday,23,8,False
CLS0072,SEM02,2019-03-11,Monday,24,8,False
CLS0073,SEM02,2019-03-13,Wednesday,25,9,False
CLS0074,SEM02,2019-03-15,Friday,26,9,False
CLS0075,SEM02,2019-03-18,Monday,27,9,False
CLS0076,SEM02,2019-03-20,Wednesday,28,10,False
CLS0077,SEM02,2019-03-22,Friday,29,10,False
CLS0078,SEM02,2019-03-25,Monday,30,10,False
CLS0079,SEM02,2019-03-27,Wednesday,31,11,False
CLS0080,SEM02,2019-03-29,Friday,32,11,False
CLS0081,SEM02,2019-04-01,Monday,33,11,False
CLS0082,SEM02,2019-04-03,Wednesday,34,12,False
CLS0083,SEM02,2019-04-05,Friday,35,12,False
CLS0084,SEM02,2019-04-08,Monday,36,12,False
CLS0085,SEM02,2019-04-10,Wednesday,37,13,False
CLS0086,SEM02,2019-04-12,Friday,38,13,False
CLS0087,SEM02,2019-04-15,Monday,39,13,False
CLS0088,SEM02,2019-04-17,Wednesday,40,14,False
CLS0089,SEM02,2019-04-19,Friday,41,14,False
CLS0090,SEM02,2019-04-22,Monday,42,14,False
CLS0091,SEM02,2019-04-24,Wednesday,43,15,False
CLS0092,SEM02,2019-04-26,Friday,44,15,False
CLS0093,SEM02,2019-04-29,Monday,45,15,False
