worker_id,primary_cluster,secondary_cluster,cluster_strength,cross_cluster_comms,within_cluster_comms,isolation_score,hub_score,region,years_in_network,role_type
morrin_kade,documentation_advocates,survival_faction,0.78,12,34,0.12,0.89,densmok,2.5,compiler
dessa_morin,survival_faction,none,0.92,8,28,0.08,0.76,densmok,17.0,instructor
crenla_b,documentation_advocates,reform_faction,0.71,14,29,0.15,0.72,eastern_regional,5.0,coordinator
tommel_g,survival_faction,documentation_advocates,0.65,9,18,0.22,0.45,densmok,2.0,contributor
renna_v,reform_faction,documentation_advocates,0.74,11,22,0.18,0.58,border_services,4.0,advocate
voss_l,survival_faction,none,0.88,5,15,0.25,0.38,densmok,10.0,historian
pollux_k,silence_advocates,documentation_advocates,0.62,8,16,0.28,0.42,mountain_province,4.0,coder
terin_holt,documentation_advocates,reform_faction,0.69,10,24,0.19,0.61,eastern_regional,3.0,adapter
vella_marsh,silence_advocates,survival_faction,0.81,7,21,0.21,0.52,northern_regional,4.0,seasonal_expert
anonymous_1,silence_advocates,none,0.85,4,18,0.32,0.34,northern_regional,3.0,security
anonymous_2,reform_faction,documentation_advocates,0.67,6,14,0.35,0.38,western_regional,2.0,western_contact
anonymous_3,documentation_advocates,none,0.58,5,12,0.38,0.29,eastern_regional,1.5,new_eastern
anonymous_4,survival_faction,silence_advocates,0.54,4,9,0.42,0.22,mountain_province,1.0,mountain_new
anonymous_5,silence_advocates,none,0.79,3,16,0.35,0.31,northern_regional,2.5,northern_security
anonymous_6,reform_faction,documentation_advocates,0.72,5,11,0.31,0.35,border_services,2.0,border_new
jace_t,reform_faction,survival_faction,0.48,7,8,0.45,0.28,densmok,1.5,disputed
worker_a,reform_faction,none,0.55,2,8,0.52,0.18,eastern_regional,1.0,long_chain
worker_b,silence_advocates,none,0.61,2,10,0.48,0.21,northern_regional,1.0,long_chain
worker_c,survival_faction,none,0.52,3,7,0.55,0.16,mountain_province,0.8,long_chain
worker_d,reform_faction,none,0.58,2,6,0.58,0.14,western_regional,0.8,long_chain
worker_e,documentation_advocates,none,0.45,1,5,0.62,0.12,eastern_regional,0.5,long_chain
worker_f,silence_advocates,none,0.42,1,4,0.65,0.11,northern_regional,0.5,long_chain
senior_worker_1,silence_advocates,survival_faction,0.82,6,19,0.18,0.48,northern_regional,8.0,elder
senior_worker_2,survival_faction,documentation_advocates,0.75,8,21,0.15,0.55,eastern_regional,7.0,elder
senior_worker_3,survival_faction,none,0.78,5,17,0.22,0.42,densmok,9.0,elder
young_worker_1,reform_faction,none,0.45,4,5,0.55,0.18,densmok,0.5,newcomer
young_worker_2,reform_faction,none,0.52,3,7,0.48,0.22,eastern_regional,0.8,newcomer
young_worker_3,silence_advocates,reform_faction,0.48,4,6,0.52,0.19,northern_regional,0.6,newcomer
young_worker_4,reform_faction,none,0.42,5,4,0.58,0.21,mountain_province,0.4,newcomer
young_worker_5,reform_faction,documentation_advocates,0.55,4,8,0.45,0.25,border_services,0.7,newcomer
pragmatist_1,silence_advocates,survival_faction,0.72,5,15,0.25,0.39,northern_regional,5.0,pragmatic
pragmatist_2,documentation_advocates,survival_faction,0.68,6,14,0.28,0.41,eastern_regional,4.0,pragmatic
pragmatist_3,survival_faction,none,0.74,4,12,0.29,0.35,densmok,6.0,pragmatic
