coder_id,career_start_year,reference_year,years_experience,jobs_held,current_employer,specialization,archetype_classification,trajectory_stage,major_transitions,burnout_events
TW-4471,898,908,10,3,part_time,system_design,CAR-BA,post,14_projects_years_1-5;3_awards;collapse_year_6;recovery_ongoing,1
KR-2208,888,908,20,2,Census Office,data_analysis_expert,CAR-SC,late,departmental_analysis_years_1-12;promotion_year_13;5_awards_years_14-20,0
PN-3392,893,908,15,2,Research Institute,multiple_studying,CAR-ES,mid,23_certifications;4_specializations;lowest_project_completion,0
VL-1056,890,908,18,7,Weather Prediction Bureau,atmospheric_monitoring_expert,CAR-AE,late,6_jobs_years_1-7;sensor_repair_assignment_year_8;innovations_years_9-18,0
SY-9520,883,909,26,2,Educational Computing,trade_optimization_studying,CAR-ES,mid,certification_1;certification_2;certification_3;still_learning,0
CD-4681,880,908,28,3,part_time,educational_technology,CAR-BA,post,rapid_advancement_882;collapse_891,3
NW-7636,889,910,21,4,Educational Computing,educational_technology_expert,CAR-AE,late,job_changes_1-5;forced_expertise_900,0
AN-2835,898,908,10,3,Educational Computing,database_administration,CAR-SC,mid,steady_progress;breakthrough_908,0
CD-6645,895,911,16,2,Archive Informatics,network_engineering,CAR-SC,late,steady_progress;breakthrough_906,0
IM-5062,881,911,30,4,Trade Intelligence,financial_modeling_expert,CAR-AE,late,job_changes_1-5;forced_expertise_892,0
IM-8432,897,909,12,1,Financial Services Corp,general_coding_studying,CAR-ES,mid,certification_1;certification_2;certification_3;still_learning,0
IM-6667,890,908,18,1,Trade Intelligence,data_analysis_studying,CAR-ES,mid,certification_1;certification_2;certification_3;still_learning,0
CD-9899,891,912,21,2,Route Optimization LLC,database_administration,CAR-SC,late,steady_progress;breakthrough_904,0
BD-2840,885,908,23,4,Capital Data Services,database_administration_expert,CAR-AE,late,job_changes_1-5;forced_expertise_896,0
AN-1088,889,908,19,2,Densmok Systems,algorithm_development_studying,CAR-ES,mid,certification_1;certification_2;certification_3;still_learning,0
SY-5487,896,909,13,2,Independent,census_processing,CAR-BA,post,rapid_advancement_898;collapse_903,2
