entity_id,entity_name,entity_type,temporal_depth_score,agential_range_score,abstractive_height_score,integrative_span_score,horizon_vector_norm,care_folding_index,strand_classification,comparable_to
ENT-0001,Vornis Keth,scholar,88,45,71,85,1.484,1.496,far_seer,Pemlik Tross|Mira Strand|Tobin Creel
ENT-0002,Pemlik Tross,scholar,87,54,77,78,1.5,1.357,far_seer,Vornis Keth|Erris Pol|Mira Strand
ENT-0003,Erris Pol,scholar,77,64,70,76,1.439,1.17,far_seer,Pemlik Tross|Archon Vells|Tobin Creel
ENT-0004,Pell Anster,scholar,61,57,89,46,1.304,0.561,theorist,Tessyn Mord|Kella Vorn|Yasho Krent
ENT-0005,Rellen Voss,scholar,76,41,78,58,1.3,0.882,specialized,Tessyn Mord|Tobin Creel|Grigsu Haldo
ENT-0006,Sareth Moll,scholar,61,33,94,77,1.399,0.939,theorist,Solta Venn|Pollux Dann|Mara Yent
ENT-0007,Mira Strand,scholar,92,46,93,79,1.596,1.454,far_seer,Vornis Keth|Pemlik Tross|Mara Yent
ENT-0008,Tessyn Mord,scholar,56,46,78,45,1.156,0.504,specialized,Pell Anster|Rellen Voss|Kella Vorn
ENT-0009,Archon Vells,scholar,65,58,63,71,1.288,0.923,specialized,Erris Pol|Tobin Creel|Lurra Venn
ENT-0010,Kella Vorn,scholar,50,49,87,57,1.254,0.57,theorist,Pell Anster|Tessyn Mord|Yasho Krent
ENT-0011,Tobin Creel,scholar,69,39,70,79,1.32,1.09,specialized,Vornis Keth|Erris Pol|Rellen Voss
ENT-0012,Lurra Venn,scholar,65,68,61,51,1.232,0.663,specialized,Archon Vells|Queever|Tessaly Vorn
ENT-0013,Grigsu Haldo,scholar,85,45,71,66,1.366,1.122,far_seer,Vornis Keth|Pemlik Tross|Erris Pol
ENT-0014,Yasho Krent,scholar,60,42,81,48,1.193,0.576,theorist,Pell Anster|Rellen Voss|Tessyn Mord
ENT-0015,Vagabu Olt,scholar,72,60,92,65,1.465,0.936,theorist,Pell Anster|Prebel Cord|Pollux Dann
ENT-0016,Solta Venn,scholar,59,35,94,48,1.259,0.566,theorist,Pell Anster|Sareth Moll|Tessyn Mord
ENT-0017,Prebel Cord,scholar,82,59,81,60,1.427,0.984,theorist,Pemlik Tross|Erris Pol|Rellen Voss
ENT-0018,Hesta Vorn,scholar,80,45,63,43,1.193,0.688,specialized,Rellen Voss|Grigsu Haldo|Mink Pavar
ENT-0019,Pollux Dann,scholar,65,36,93,61,1.338,0.793,theorist,Rellen Voss|Sareth Moll|Kella Vorn
ENT-0020,Jackson,scholar,99,99,99,99,1.98,1.96,far_seer,
ENT-0021,Meck Drune,scholar,66,44,70,78,1.314,1.03,specialized,Vornis Keth|Pemlik Tross|Erris Pol
ENT-0022,Old Murch,scholar,78,65,73,69,1.428,1.076,far_seer,Pemlik Tross|Erris Pol|Archon Vells
ENT-0023,Boffa Trent,scholar,55,34,83,52,1.174,0.572,theorist,Rellen Voss|Tessyn Mord|Kella Vorn
ENT-0024,Mink Pavar,scholar,74,40,65,45,1.154,0.666,specialized,Rellen Voss|Tessyn Mord|Yasho Krent
