pair_id,entity_a_id,entity_a_name,entity_a_type,entity_b_id,entity_b_name,entity_b_type,relationship_type,tension_score,euclidean_distance,shared_neighbors_count,school_alignment_a,school_alignment_b,school_match,tross_cluster_assignment
PAIR-0001,SCH-001,Grigsu Haldo,scholar,SCH-002,Yasho Krent,scholar,colleague,0.72,2.3,4,stone_school,water_school,False,cluster_alpha
PAIR-0002,SCH-001,Grigsu Haldo,scholar,SCH-003,Vagabu Olt,scholar,colleague,0.85,1.8,4,stone_school,none,False,cluster_alpha
PAIR-0003,SCH-001,Grigsu Haldo,scholar,SCH-005,Mink Pavar,scholar,rival,-0.45,4.2,3,stone_school,water_school,False,cluster_alpha
PAIR-0004,SCH-002,Yasho Krent,scholar,SCH-005,Mink Pavar,scholar,colleague,0.61,2.5,3,water_school,water_school,True,cluster_alpha
PAIR-0005,SCH-003,Vagabu Olt,scholar,SCH-015,Tomas Grell,scholar,mentor,0.88,1.2,2,none,none,True,cluster_beta
PAIR-0006,SCH-006,Fibon Arrel,scholar,SCH-007,Eulr Voss,scholar,rival,-0.62,3.8,1,pebble_school,water_school,False,cluster_gamma
PAIR-0007,SCH-012,Hesta Vorn,scholar,SCH-013,Pollux Dann,scholar,colleague,0.79,1.5,2,none,none,True,cluster_delta
PAIR-0008,SCH-012,Hesta Vorn,scholar,SCH-014,Renna Caw,scholar,colleague,0.74,1.7,2,none,water_school,False,cluster_delta
PAIR-0009,SCH-024,Wen Torval,scholar,SCH-025,Jara Torval,scholar,sibling,0.92,0.8,1,none,stone_school,False,cluster_epsilon
PAIR-0010,SCH-019,Hamund Bress,scholar,SCH-001,Grigsu Haldo,scholar,correspondent,0.55,3.1,2,stone_school,stone_school,True,cluster_alpha
PAIR-0011,SCH-020,Vera Losh,scholar,SCH-007,Eulr Voss,scholar,mentor,0.81,1.4,1,water_school,water_school,True,cluster_gamma
PAIR-0012,SCH-021,Kell Sundar,scholar,SCH-006,Fibon Arrel,scholar,follower,0.78,1.6,1,pebble_school,pebble_school,True,cluster_gamma
PAIR-0013,SCH-022,Mara Yent,scholar,SCH-005,Mink Pavar,scholar,investigator,-0.38,4.5,2,none,water_school,False,cluster_alpha
PAIR-0014,SCH-029,Nessa Bright,scholar,SCH-001,Grigsu Haldo,scholar,critic,-0.71,5.2,1,water_school,stone_school,False,cluster_zeta
PAIR-0015,SCH-031,Tam Whistle,scholar,SCH-032,Lira Canto,scholar,rival,-0.58,4.0,0,stone_school,water_school,False,cluster_eta
PAIR-0016,CR005,Maw Beast,creature,CR009,Wharver,creature,predator_prey,0.15,6.2,0,none,none,True,cluster_creature_1
PAIR-0017,CR001,Leatherback Burrower,creature,CR011,Cave Bat,creature,habitat_overlap,0.45,2.8,0,none,none,True,cluster_creature_2
PAIR-0018,CR019,Nothing Bird,creature,CR020,Pocket Bird,creature,yeller_group,0.95,0.5,2,none,none,True,cluster_yeller
PAIR-0019,CR019,Nothing Bird,creature,CR021,Whistle Bird,creature,yeller_group,0.95,0.5,2,none,none,True,cluster_yeller
PAIR-0020,CR020,Pocket Bird,creature,CR021,Whistle Bird,creature,yeller_group,0.95,0.5,2,none,none,True,cluster_yeller
PAIR-0021,SCH-001,Grigsu Haldo,scholar,CR019,Nothing Bird,creature,studies,-0.22,7.1,0,stone_school,none,False,cluster_cross_1
PAIR-0022,SCH-012,Hesta Vorn,scholar,CR002,Stone Spine Lizard,creature,studies,0.35,5.5,0,none,none,True,cluster_cross_2
PAIR-0023,SCH-012,Hesta Vorn,scholar,CR005,Maw Beast,creature,studies,0.28,6.0,0,none,none,True,cluster_cross_2
PAIR-0024,SCH-013,Pollux Dann,scholar,CR005,Maw Beast,creature,victim,-0.85,8.2,0,none,none,True,cluster_cross_2
PAIR-0025,PLC-001,Capital,place,PLC-002,Mirado,place,trade_route,0.42,15.3,3,none,none,True,cluster_place_1
PAIR-0026,PLC-001,Capital,place,PLC-003,Yeller Quarry,place,supply_chain,0.38,12.8,2,none,none,True,cluster_place_1
PAIR-0027,PLC-002,Mirado,place,PLC-004,Mirado Desert,place,geographic,0.88,2.1,1,none,none,True,cluster_place_2
PAIR-0028,PLC-003,Yeller Quarry,place,PLC-005,Dead River,place,trade_route,0.35,8.4,1,none,none,True,cluster_place_3
PAIR-0029,SCH-003,Vagabu Olt,scholar,PLC-003,Yeller Quarry,place,explores,0.48,9.2,0,none,none,True,cluster_cross_3
PAIR-0030,SCH-016,Senna Grell,scholar,PLC-003,Yeller Quarry,place,maps,0.52,8.8,0,none,none,True,cluster_cross_3
PAIR-0031,SCH-001,Grigsu Haldo,scholar,SCH-008,Dannkit Rosh,scholar,informant,0.68,2.0,1,stone_school,stone_school,True,cluster_alpha
PAIR-0032,SCH-017,Oric Valdun,scholar,SCH-018,Pella Valdun,scholar,parent,0.91,0.9,0,none,none,True,cluster_theta
PAIR-0033,SCH-015,Tomas Grell,scholar,SCH-016,Senna Grell,scholar,parent,0.89,1.0,1,none,none,True,cluster_beta
PAIR-0034,JKS-001,Jackson,person,SCH-001,Grigsu Haldo,scholar,unclassifiable,-0.15,9.5,0,none,stone_school,False,cluster_anomaly
PAIR-0035,JKS-001,Jackson,person,SCH-012,Hesta Vorn,scholar,unclassifiable,-0.18,9.2,0,none,none,True,cluster_anomaly
PAIR-0036,JKS-001,Jackson,person,SCH-029,Nessa Bright,scholar,unclassifiable,-0.12,9.8,0,none,water_school,False,cluster_anomaly
PAIR-0037,SCH-004,Boffa Trent,scholar,SCH-012,Hesta Vorn,scholar,mentor,0.76,1.9,1,water_school,none,False,cluster_delta
PAIR-0038,SCH-002,Yasho Krent,scholar,SCH-029,Nessa Bright,scholar,mentor,0.72,2.2,1,water_school,water_school,True,cluster_zeta
PAIR-0039,SCH-006,Fibon Arrel,scholar,SCH-037,Denna Vox,scholar,influence,0.65,3.5,0,pebble_school,pebble_school,True,cluster_gamma
PAIR-0040,SCH-020,Vera Losh,scholar,SCH-021,Kell Sundar,scholar,associate,0.25,3.2,2,water_school,pebble_school,False,cluster_gamma
PAIR-0041,CR002,Stone Spine Lizard,creature,CR008,Coil Tube Serpent,creature,predator_prey,-0.35,4.8,0,none,none,True,cluster_creature_1
PAIR-0042,CR006,Yeller Frog,creature,CR019,Nothing Bird,creature,yeller_adjacent,0.42,3.5,1,none,none,True,cluster_yeller
PAIR-0043,CR016,Tunnel Cat,creature,CR019,Nothing Bird,creature,yeller_adjacent,0.38,3.8,1,none,none,True,cluster_yeller
PAIR-0044,SCH-033,Venn Horak,scholar,CR019,Nothing Bird,creature,studies,0.55,5.8,0,none,none,True,cluster_cross_1
PAIR-0045,SCH-034,The Inventor,scholar,CR019,Nothing Bird,creature,studies,0.48,6.2,0,none,none,True,cluster_cross_1
PAIR-0046,PLC-001,Capital,place,PLC-006,The Dens,place,boundary,-0.28,10.5,1,none,none,True,cluster_place_1
PAIR-0047,PLC-006,The Dens,place,CR017,Grimslew Fish,creature,origin,0.82,1.8,0,none,none,True,cluster_place_4
PAIR-0048,PLC-006,The Dens,place,CR009,Wharver,creature,habitat,0.75,2.2,0,none,none,True,cluster_place_4
PAIR-0049,PLC-006,The Dens,place,CR010,Gritsmuck Crawler,creature,habitat,0.85,1.5,0,none,none,True,cluster_place_4
PAIR-0050,SCH-009,Colonel Viragu,scholar,PLC-002,Mirado,place,besieges,-0.72,7.5,0,none,none,True,cluster_cross_4
PAIR-0051,SCH-009,Colonel Viragu,scholar,SCH-010,Fyncho Delt,scholar,commands,0.82,1.3,0,none,none,True,cluster_iota
PAIR-0052,SCH-023,Donal Crest,scholar,SCH-022,Mara Yent,scholar,colleague,0.68,2.1,2,water_school,none,False,cluster_alpha
PAIR-0053,SCH-005,Mink Pavar,scholar,SCH-022,Mara Yent,scholar,investigated_by,-0.55,4.8,1,water_school,none,False,cluster_alpha
PAIR-0054,SCH-026,Oben Marsh,scholar,SCH-001,Grigsu Haldo,scholar,synthesizer,0.52,3.0,2,stone_school,stone_school,True,cluster_alpha
PAIR-0055,SCH-027,Callis Fenn,scholar,SCH-028,Roth Fenn,scholar,sibling,0.88,0.9,0,literalist,literalist,True,cluster_kappa
PAIR-0056,SCH-030,Gareth Poll,scholar,SCH-003,Vagabu Olt,scholar,student,0.75,1.8,2,none,none,True,cluster_beta
PAIR-0057,SCH-030,Gareth Poll,scholar,SCH-016,Senna Grell,scholar,colleague,0.62,2.4,1,none,none,True,cluster_beta
PAIR-0058,SCH-035,Pell Sontar,scholar,SCH-013,Pollux Dann,scholar,companion,0.81,1.4,1,none,none,True,cluster_delta
PAIR-0059,SCH-035,Pell Sontar,scholar,CR005,Maw Beast,creature,victim,-0.85,8.0,0,none,none,True,cluster_cross_2
PAIR-0060,SCH-036,Hork Staven,scholar,SCH-017,Oric Valdun,scholar,colleague,0.58,2.6,1,none,none,True,cluster_theta
PAIR-0061,SCH-038,Cort Madden,scholar,SCH-012,Hesta Vorn,scholar,successor,0.65,2.3,2,none,none,True,cluster_delta
PAIR-0062,SCH-038,Cort Madden,scholar,SCH-014,Renna Caw,scholar,colleague,0.58,2.5,1,none,water_school,False,cluster_delta
PAIR-0063,SCH-039,Renna Gast,scholar,SCH-008,Dannkit Rosh,scholar,mentor,0.78,1.5,0,stone_school,stone_school,True,cluster_alpha
PAIR-0064,CR003,Granite Wren,creature,CR007,Metal-Beaked Finch,creature,habitat_overlap,0.52,2.5,0,none,none,True,cluster_creature_2
PAIR-0065,CR004,Swamp Hornet,creature,CR024,Quarry Moth,creature,prey_of,0.28,3.8,0,none,none,True,cluster_creature_3
PAIR-0066,CR012,Rock-Finned Eel,creature,CR015,Greybeakeel,creature,related,0.72,1.8,0,none,none,True,cluster_creature_4
PAIR-0067,CR013,Toadpipe,creature,CR014,Hogfoot,creature,domestic_pair,0.85,1.2,0,none,none,True,cluster_creature_5
PAIR-0068,CR018,Dunebug,creature,PLC-004,Mirado Desert,place,habitat,0.92,0.8,0,none,none,True,cluster_place_2
PAIR-0069,CR022,Witch Creature,creature,CR005,Maw Beast,creature,mythical_link,0.35,5.5,0,none,none,True,cluster_creature_1
PAIR-0070,CR023,Marsh Tree Crawler,creature,CR024,Quarry Moth,creature,food_chain,0.42,3.2,0,none,none,True,cluster_creature_3
PAIR-0071,CR025,Deep Borer,creature,CR008,Coil Tube Serpent,creature,follows,-0.25,4.2,0,none,none,True,cluster_creature_1
PAIR-0072,PLC-001,Capital,place,SCH-002,Yasho Krent,scholar,based_at,0.65,5.2,3,none,water_school,False,cluster_cross_5
PAIR-0073,PLC-001,Capital,place,SCH-012,Hesta Vorn,scholar,based_at,0.62,5.5,2,none,none,True,cluster_cross_5
