actor,event_id,event_type,date,role_inferred
bagbu_olt,EV-880-002,manuscript_written,880-08-20,participant
vagabu_olt,EV-892-004,expedition_launch,892-01-15,participant
gareth_poll,EV-901-001,expedition_launch,901-01-15,participant
cole_sawyer_stump,EV-712-001,expedition_launch,712-03-15,participant
linnie_crawford,EV-712-001,expedition_launch,712-03-15,participant
cole_sawyer_stump,EV-712-002,discovery,712-11-20,participant
linnie_crawford,EV-712-002,discovery,712-11-20,participant
fullman_grist,EV-720-001,death,720-08-10,participant
the_boss,EV-750-001,creature_encounter,750-01-05,participant
fivefold_yeller,EV-750-001,creature_encounter,750-01-05,participant
hoover,EV-723-001,infrastructure_failure,723-09-01,participant
fishboy,EV-730-004,transformation,730-06-20,participant
duster,EV-730-004,transformation,730-06-20,participant
fishboy,EV-730-005,disappearance,730-08-15,participant
fishboy,EV-731-002,death,731-02-03,perpetrator
duster,EV-731-002,death,731-02-03,perpetrator
cole_sawyer_crawford,EV-722-004,discovery,722-03-15,participant
linnie_sawyer_crawford,EV-722-004,discovery,722-03-15,participant
pinch,EV-722-005,personnel_change,722-05-10,participant
linnie_sawyer_crawford,EV-722-005,personnel_change,722-05-10,participant
martin_crookback,EV-722-005,personnel_change,722-05-10,participant
linus_crawford_crawford,EV-722-006,crew_formed,722-01-10,participant
