debate_id,date,location,participants,topic,winner,stones_cast,transcript_manuscript_id,summary
DEB-01,869-03-15,The Gilt Cardhouse,"SCH-001,SCH-002,SCH-003,SCH-004,SCH-005",Whether a word spoken in the Dens can be heard in the Capital,,12,MS-0109,"Heated exchange between Grigsu and Yasho. Grigsu departed angrily shouting 'What do you know about anything?' Debate ruled incomplete."
DEB-02,871-07-22,The Gilt Cardhouse,"SCH-001,SCH-002,SCH-003",The permanence of the uttered word,SCH-002,8,MS-0110,"Yasho argued words dissolve upon speaking. Grigsu insisted they persist. Bagbu abstained. Yasho declared winner by the cardhouse master."
DEB-03,873-11-08,Boffa's Study,"SCH-001,SCH-004,SCH-005",Whether creature names precede creature discovery,,15,MS-0111,"Philosophical discussion. Boffa argued names are assigned; Grigsu argued names are discovered. Mink mediated. No clear winner."
DEB-04,875-02-19,The Gilt Cardhouse,"SCH-002,SCH-004",The relationship between taxonomy and dissolution,SCH-002,6,MS-0112,"Yasho extended water-school principles to creature classification. Boffa conceded several points."
DEB-05,876-09-03,Senate Annex Hall,"SCH-017,SCH-018",Legal standing of verbal contracts in the Quarry,SCH-017,0,MS-0113,"Formal legal debate. Father and daughter Valdun argued opposing sides. Oric's interpretation upheld by Senate committee."
DEB-06,878-04-27,The Gilt Cardhouse,"SCH-001,SCH-002,SCH-003,SCH-004,SCH-005",The meaning of Yeller,,21,MS-0114,"All five scholars present. Grigsu claimed Yeller proved stone-school principles. Yasho disagreed violently. Unusual number of stones cast."
DEB-07,879-12-11,Mirado Lower Hall,"SCH-006,SCH-007",Pebbles versus water drops as model for words,SCH-007,0,MS-0115,"Final debate between Fibon and Eulr before Eulr's death. Mirado tradition does not cast stones. Eulr's position upheld by audience acclaim."
DEB-08,881-06-30,The Copper Cardhouse,"SCH-001,SCH-019",Northern versus Capital stone-school traditions,,9,MS-0116,"Grigsu and Hamund compared regional variations. Amicable discussion. Both agreed core principles were sound."
DEB-09,883-01-14,The Gilt Cardhouse,"SCH-002,SCH-005",The ethics of expedition documentation,SCH-002,7,MS-0117,"Yasho accused Mink of selective historical reporting. Mink denied. Yasho produced evidence. Mink's reputation damaged."
DEB-10,884-08-22,Poetry House,"SCH-031,SCH-032",Stone-school versus water-school poetics,,11,MS-0118,"Tam Whistle and Lira Canto debated whether poems are assemblages or dissolutions. Ended in a poetry reading instead of resolution."
DEB-11,885-05-17,The Gilt Cardhouse,"SCH-003,SCH-005",The authenticity of northern maps,,14,MS-0119,"Bagbu presented maps. Mink questioned their provenance. Bagbu stormed out. Later reconciled over kachot."
DEB-12,886-03-09,The Gilt Cardhouse,"SCH-001,SCH-005",Kachot scoring rules and word theory,,18,MS-0125,"The infamous kachot dispute. Grigsu accused Mink of cheating with 'new rules.' Mink nursed resentment for years afterward."
DEB-13,887-10-21,Creature Records Hall,"SCH-012,SCH-025",Classification of the stakdur,,5,MS-0126,"Hesta Vorn and Jara Torval debated whether stakdur is one species or several. No resolution. Classification remains disputed."
DEB-14,889-02-14,The Gilt Cardhouse,"SCH-002,SCH-026",Whether stone-school can be reconciled with observation,SCH-002,9,MS-0127,"Oben Marsh attempted synthesis. Yasho demolished his arguments. Stone-school credibility further damaged in Capital circles."
DEB-15,890-07-30,Senate Annex Hall,"SCH-017,SCH-036",Family tree authentication methods,SCH-036,0,MS-0128,"Formal legal debate. Hork Staven's newer methods upheld over Oric Valdun's traditional approach."
DEB-16,891-11-12,The Copper Cardhouse,"SCH-003,SCH-016",Accuracy standards for Quarry route maps,,8,MS-0129,"Bagbu and Senna Grell compared methodologies. Agreed on new standards adopted by Cartographic Society."
DEB-17,893-04-05,Mirado Upper Hall,"SCH-020,SCH-021",Extension of water-school principles to the seventy pools,,0,MS-0130,"Vera Losh and Kell Sundar debated whether pools themselves follow dissolution principles. Unresolved. Both positions still held."
DEB-18,895-08-19,The Gilt Cardhouse,"SCH-005,SCH-022",Accuracy of Dens conquest historical accounts,,16,MS-0131,"Mink defended his histories. Mara Yent raised questions. First hints of Mink's potential forgeries surfaced."
DEB-19,897-01-27,Water-School Repository,"SCH-002,SCH-029",The future of water-school philosophy,SCH-029,4,MS-0132,"Yasho passed the mantle to Nessa Bright. Ceremonial debate affirming continuity of the tradition."
DEB-20,899-06-14,The Gilt Cardhouse,"SCH-026,SCH-028",Literalism versus stone-school epistemology,,13,MS-0133,"Oben Marsh and Roth Fenn debated distinctions between their schools. Found more agreement than expected."
DEB-21,901-09-08,Senate Annex Hall,"SCH-018,SCH-036",Legal standards for manuscript authentication,SCH-018,0,MS-0134,"Pella Valdun's stricter standards adopted. Implications for forgery detection."
DEB-22,903-12-03,The Copper Cardhouse,"SCH-022,SCH-023",Reliability of expedition reports as historical sources,,10,MS-0135,"Mara Yent and Donal Crest debated methodology. Agreed that cross-referencing was essential."
DEB-23,905-03-21,Creature Records Hall,"SCH-014,SCH-025",Water-school versus stone-school taxonomy,SCH-014,7,MS-0136,"Renna Caw's dissolution-based taxonomy versus Jara Torval's naming-based approach. Renna's methods gained adherents."
DEB-24,907-07-15,Poetry House,"SCH-032,SCH-031",The role of repetition in verse,,9,MS-0137,"Lira Canto and Tam Whistle revisited their old debate. More civil than the first. Still no resolution."
DEB-25,909-11-29,The Gilt Cardhouse,"SCH-029,SCH-037",Water-school versus pebble-school in modern context,SCH-029,11,MS-0138,"Nessa Bright demolished Denna Vox's attempt to revive pebble-school. Pebble-school effectively ended in the Capital."
DEB-26,911-02-17,Historical Documents Hall,"SCH-022,SCH-005",Evidence of forgery in stone-school manuscripts,,19,MS-0139,"Mara Yent presented evidence against Mink. Mink denied. Debate inconclusive. Mara died before publishing findings."
DEB-27,913-05-06,Senate Annex Hall,"SCH-023,SCH-038",Proper methodology for synthesizing expedition data,,6,MS-0140,"Donal Crest and Cort Madden established standards still used today."
DEB-28,915-08-24,Water-School Repository,"SCH-029,SCH-040",The relationship between Mirado and Capital water-schools,SCH-040,0,MS-0141,"Nessa Bright and Ulla Vant compared traditions. Found significant divergence over centuries."
DEB-29,917-12-09,The Gilt Cardhouse,"SCH-030,SCH-003",Dead River mapping controversies,,12,MS-0142,"Gareth Poll and Vagabu compared their findings. Several discrepancies remain unexplained."
DEB-30,919-04-18,Senate Annex Hall,"SCH-018,SCH-036",Final ruling on Yeller Quarry family tree disputes,SCH-018,0,MS-0143,"Landmark legal debate. Pella Valdun's framework adopted as standard for all future authentication."
