decision_id,expedition_id,day_of_expedition,decision_type,protocol_recommendation,actual_decision,decision_maker,outcome_impact,retrospective_assessment
DEC-03783,A-1,1,engage,cautious_approach,cautious_approach,protocol,positive,correct
DEC-03782,A-1,2,route,alternate_path,alternate_path,protocol,neutral,correct
DEC-03784,A-1,3,route,alternate_path,alternate_path,protocol,neutral,inconclusive
DEC-03785,A-1,6,collect,skip,extensive_collection,crew_leader,positive,correct
DEC-03786,A-1,6,route,retreat_path,retreat_path,protocol,positive,correct
DEC-03787,A-1,9,engage,observe,observe,protocol,positive,correct
DEC-03788,A-1,10,engage,cautious_approach,cautious_approach,protocol,positive,correct
DEC-03789,A-1,12,collect,standard_specimen,standard_specimen,protocol,neutral,inconclusive
DEC-03790,A-2,1,camp,defensive_site,defensive_site,protocol,neutral,inconclusive
DEC-03791,A-2,2,retreat,pause,pause,protocol,positive,correct
DEC-03792,A-2,5,retreat,pause,pause,protocol,neutral,correct
DEC-03793,A-2,8,engage,direct_engagement,direct_engagement,protocol,positive,correct
DEC-03794,A-2,9,retreat,proceed,proceed,protocol,positive,correct
DEC-03795,A-2,12,camp,standard_site,standard_site,protocol,positive,correct
DEC-03796,A-2,12,route,alternate_path,alternate_path,protocol,neutral,inconclusive
DEC-A3-009,A-3,9,route,primary_path,primary_path,protocol,neutral,inconclusive
DEC-A3-010,A-3,10,retreat,proceed,proceed,protocol,critical_negative,incorrect
DEC-A3-011a,A-3,11,route,primary_path,primary_path,protocol,critical_negative,incorrect
DEC-A3-011b,A-3,11,retreat,,full_retreat,crew_leader,critical_positive,correct
DEC-A3-012,A-3,12,route,,retreat_path,crew_leader,neutral,correct
DEC-A3-013,A-3,13,route,,retreat_path,crew_leader,neutral,correct
DEC-A3-014,A-3,14,route,,retreat_path,crew_leader,negative,correct
DEC-00001,EXP-860-001,1,camp,,continue,crew_leader,positive,correct
DEC-00002,EXP-860-001,4,route,,investigate,crew_leader,neutral,inconclusive
DEC-00003,EXP-860-001,6,retreat,,full_retreat,crew_leader,positive,correct
DEC-00004,EXP-860-001,7,route,,primary_path,crew_leader,positive,correct
DEC-00005,EXP-860-001,9,camp,,continue,crew_leader,positive,correct
DEC-00006,EXP-860-001,12,collect,,skip,crew_leader,positive,correct
DEC-00007,EXP-860-002,1,route,,alternate_path,crew_leader,negative,inconclusive
DEC-00008,EXP-860-002,2,collect,,priority_specimen,crew_leader,critical_negative,unknown
DEC-00009,EXP-860-002,6,route,,primary_path,crew_leader,critical_negative,inconclusive
DEC-00010,EXP-860-002,9,retreat,,partial_retreat,crew_leader,critical_negative,unknown
DEC-00011,EXP-860-002,11,engage,,observe,crew_leader,neutral,correct
DEC-00012,EXP-860-003,1,collect,,skip,crew_leader,positive,correct
DEC-00013,EXP-860-003,1,collect,,priority_specimen,crew_leader,positive,correct
DEC-00014,EXP-860-003,4,engage,,cautious_approach,crew_leader,critical_positive,correct
DEC-00015,EXP-860-003,6,collect,,priority_specimen,crew_leader,positive,correct
DEC-00016,EXP-860-003,8,route,,alternate_path,crew_leader,neutral,inconclusive
DEC-00017,EXP-860-003,9,collect,,priority_specimen,crew_leader,positive,correct
DEC-00018,EXP-860-003,10,route,,alternate_path,crew_leader,neutral,correct
DEC-00019,EXP-860-004,1,engage,,cautious_approach,crew_leader,critical_positive,correct
DEC-00020,EXP-860-004,1,route,,primary_path,crew_leader,neutral,inconclusive
DEC-00021,EXP-860-004,3,collect,,extensive_collection,crew_leader,negative,unknown
DEC-00022,EXP-860-004,6,engage,,cautious_approach,crew_leader,critical_positive,correct
DEC-00023,EXP-860-004,7,route,,alternate_path,crew_leader,critical_negative,incorrect
DEC-00024,EXP-860-004,7,route,,alternate_path,crew_leader,negative,incorrect
DEC-00025,EXP-860-004,10,camp,,defensive_site,crew_leader,critical_positive,correct
DEC-00026,EXP-860-004,11,camp,,standard_site,crew_leader,critical_positive,correct
DEC-00027,EXP-860-005,1,route,,primary_path,crew_leader,critical_negative,unknown
DEC-00028,EXP-860-005,4,route,,retreat_path,crew_leader,critical_negative,incorrect
DEC-00029,EXP-860-005,5,engage,,observe,crew_leader,critical_negative,incorrect
DEC-00030,EXP-860-005,8,camp,,standard_site,crew_leader,negative,inconclusive
DEC-00031,EXP-860-005,9,route,,primary_path,crew_leader,critical_negative,incorrect
DEC-00032,EXP-860-005,11,retreat,,partial_retreat,crew_leader,neutral,correct
DEC-00033,EXP-860-005,12,camp,,standard_site,crew_leader,critical_negative,inconclusive
DEC-00034,EXP-860-005,17,retreat,,proceed,crew_leader,negative,inconclusive
DEC-00035,EXP-860-005,17,route,,alternate_path,crew_leader,negative,unknown
DEC-00036,EXP-860-005,21,engage,,cautious_approach,crew_leader,negative,unknown
DEC-00037,EXP-860-005,23,engage,,direct_engagement,crew_leader,critical_negative,incorrect
DEC-00038,EXP-860-005,23,collect,,standard_specimen,crew_leader,negative,incorrect
DEC-00039,EXP-860-005,27,route,,alternate_path,crew_leader,critical_negative,incorrect
DEC-00040,EXP-860-005,29,collect,,priority_specimen,crew_leader,critical_negative,inconclusive
DEC-00041,EXP-860-006,1,retreat,,proceed,crew_leader,positive,correct
DEC-00042,EXP-860-006,2,retreat,,full_retreat,crew_leader,positive,correct
DEC-00043,EXP-860-006,4,retreat,,partial_retreat,crew_leader,positive,correct
DEC-00044,EXP-860-006,5,engage,,cautious_approach,crew_leader,positive,correct
DEC-00045,EXP-860-006,6,camp,,continue,crew_leader,positive,correct
DEC-00046,EXP-860-006,8,engage,,observe,crew_leader,neutral,correct
DEC-00047,EXP-860-006,9,retreat,,pause,crew_leader,positive,correct
DEC-00048,EXP-860-006,12,collect,,standard_specimen,crew_leader,positive,correct
DEC-00049,EXP-860-006,13,engage,,observe,crew_leader,positive,correct
DEC-00050,EXP-860-007,1,route,,investigate,crew_leader,negative,unknown
DEC-00051,EXP-860-007,2,route,,alternate_path,crew_leader,critical_negative,unknown
DEC-00052,EXP-860-007,5,engage,,avoid,crew_leader,critical_positive,correct
DEC-00053,EXP-860-007,7,engage,,direct_engagement,crew_leader,critical_negative,inconclusive
DEC-00054,EXP-860-007,9,route,,primary_path,crew_leader,critical_positive,correct
DEC-00055,EXP-860-007,10,route,,retreat_path,crew_leader,positive,correct
DEC-00056,EXP-860-007,13,camp,,continue,crew_leader,positive,correct
DEC-00057,EXP-860-007,15,collect,,extensive_collection,crew_leader,critical_positive,correct
DEC-00058,EXP-860-007,15,camp,,emergency_site,crew_leader,positive,correct
DEC-00059,EXP-860-007,17,retreat,,partial_retreat,crew_leader,positive,correct
DEC-00060,EXP-860-008,2,retreat,,pause,crew_leader,positive,correct
DEC-00061,EXP-860-008,4,camp,,emergency_site,crew_leader,positive,correct
DEC-00062,EXP-860-008,6,route,,alternate_path,crew_leader,neutral,correct
DEC-00063,EXP-861-001,1,engage,,avoid,crew_leader,positive,correct
DEC-00064,EXP-861-001,2,retreat,,proceed,crew_leader,positive,correct
DEC-00065,EXP-861-001,6,collect,,standard_specimen,crew_leader,negative,inconclusive
DEC-00066,EXP-861-001,7,collect,,standard_specimen,crew_leader,neutral,inconclusive
DEC-00067,EXP-861-001,9,collect,,extensive_collection,crew_leader,critical_positive,correct
DEC-00068,EXP-861-001,12,retreat,,full_retreat,crew_leader,negative,unknown
DEC-00069,EXP-861-001,14,camp,,continue,crew_leader,critical_positive,correct
DEC-00070,EXP-861-002,1,collect,,standard_specimen,crew_leader,positive,correct
DEC-00071,EXP-861-002,1,route,,investigate,crew_leader,positive,correct
DEC-00072,EXP-861-002,3,route,,primary_path,crew_leader,neutral,inconclusive
DEC-00073,EXP-861-002,4,engage,,avoid,crew_leader,positive,correct
DEC-00074,EXP-861-002,7,route,,investigate,crew_leader,positive,correct
DEC-00075,EXP-861-002,7,collect,,priority_specimen,crew_leader,positive,correct
DEC-00076,EXP-861-002,11,route,,alternate_path,crew_leader,neutral,inconclusive
DEC-00077,EXP-861-002,12,route,,retreat_path,crew_leader,neutral,inconclusive
DEC-00078,EXP-861-003,2,route,,investigate,crew_leader,critical_positive,correct
DEC-00079,EXP-861-003,3,route,,primary_path,crew_leader,positive,correct
DEC-00080,EXP-861-003,3,retreat,,partial_retreat,crew_leader,positive,correct
DEC-00081,EXP-861-003,5,retreat,,proceed,crew_leader,positive,correct
DEC-00082,EXP-861-003,7,engage,,cautious_approach,crew_leader,positive,correct
DEC-00083,EXP-861-003,7,route,,alternate_path,crew_leader,neutral,inconclusive
DEC-00084,EXP-861-004,1,engage,,cautious_approach,crew_leader,critical_negative,incorrect
DEC-00085,EXP-861-004,1,engage,,direct_engagement,crew_leader,critical_positive,correct
DEC-00086,EXP-861-004,4,camp,,defensive_site,crew_leader,critical_negative,unknown
DEC-00087,EXP-861-004,6,retreat,,full_retreat,crew_leader,critical_positive,correct
DEC-00088,EXP-861-004,6,retreat,,partial_retreat,crew_leader,negative,incorrect
DEC-00089,EXP-861-004,10,collect,,extensive_collection,crew_leader,critical_negative,inconclusive
DEC-00090,EXP-861-004,12,retreat,,full_retreat,crew_leader,critical_positive,correct
DEC-00091,EXP-861-005,1,route,,alternate_path,crew_leader,critical_negative,unknown
DEC-00092,EXP-861-005,3,collect,,skip,crew_leader,critical_negative,unknown
DEC-00093,EXP-861-005,7,engage,,direct_engagement,crew_leader,negative,unknown
DEC-00094,EXP-861-005,7,collect,,skip,crew_leader,positive,correct
DEC-00095,EXP-861-005,12,collect,,standard_specimen,crew_leader,critical_negative,unknown
DEC-00096,EXP-861-006,1,engage,,cautious_approach,crew_leader,positive,correct
DEC-00097,EXP-861-006,4,camp,,standard_site,crew_leader,critical_positive,correct
DEC-00098,EXP-861-006,5,camp,,continue,crew_leader,positive,correct
DEC-00099,EXP-861-006,6,engage,,cautious_approach,crew_leader,positive,correct
DEC-00100,EXP-861-006,10,retreat,,proceed,crew_leader,positive,correct
DEC-00101,EXP-861-007,2,retreat,,proceed,crew_leader,critical_positive,correct
DEC-00102,EXP-861-007,3,route,,primary_path,crew_leader,neutral,correct
DEC-00103,EXP-861-007,4,engage,,cautious_approach,crew_leader,negative,inconclusive
DEC-00104,EXP-861-007,5,engage,,observe,crew_leader,critical_positive,correct
DEC-00105,EXP-861-007,9,collect,,skip,crew_leader,negative,unknown
DEC-00106,EXP-861-007,10,route,,alternate_path,crew_leader,neutral,correct
DEC-00107,EXP-861-007,12,retreat,,proceed,crew_leader,critical_negative,inconclusive
DEC-00108,EXP-861-007,14,route,,investigate,crew_leader,negative,inconclusive
DEC-00109,EXP-861-007,16,camp,,defensive_site,crew_leader,neutral,inconclusive
DEC-00110,EXP-861-007,17,collect,,extensive_collection,crew_leader,negative,incorrect
DEC-00111,EXP-861-007,19,camp,,emergency_site,crew_leader,neutral,inconclusive
