source_id,w1_record_type,w1_compiler,w1_record_date,record_content_summary,spatial_element,creature_element,w2_game_mechanic,transformation_type,fidelity_notes,dens_processing_evidence
DAW-001,Creature Survey,Hesta Vorn (SCH-012),Years 861-924,Systematic creature documentation for Capital Taxonomists,Creature habitat zones,23+ documented species,Creature spawn zones in app,Spatial-creature integration,"High fidelity: creature locations → game spawn points. Vorn's habitat data becomes playable geography."
DAW-002,Expedition Route Map,Cartographer's Guild,Years 850-920,Standard expedition routes into Dens region,Route networks and waypoints,Creature encounter frequencies per route,Movement paths between regions,Route preservation,"Guild routes → app navigation paths. Known safe routes become player movement options."
DAW-003,Dens Boundary Survey,Prebel/Guild,Year 912,Boundary impermanence documentation,Gradient boundary zones,Creatures that cross boundaries,Procedurally generated terrain edges,Instability encoded,"Unmappable zones → procedural generation. Dens boundary instability becomes dynamic game terrain."
DAW-004,Hazard Registry,Guild (Form 17-B reports),Ongoing,Compiled hazard reports from expeditions,Dangerous coordinate zones,Dangerous creature territories,Risk/danger zones in game,Hazard preservation,"Form 17-B data → game danger mechanics. Real expedition dangers become strategic obstacles."
DAW-005,Three-Compassed Map,Council of Cartographers,Standard,Three-direction navigation system (no East),Directional limitation,Creature migration patterns (3-directional),Turn-based strategic movement,Directional constraint,"Three compasses → Risk-like movement. Directional limitation encoded in game movement rules."
DAW-006,Proscribed Coordinates (Appendix D),Council of Cartographers,Ongoing,Dangerous sites that should not be visited,Forbidden zones,Extremely dangerous creatures,Locked/hidden regions,Prohibition preserved,"Proscribed sites → locked game areas. What Guild forbids becomes inaccessible game content."
DAW-007,Creature Classification Data,Capital Taxonomists,Years 870-920,Taxonomic creature organization,Habitat preferences by species,Species relationships and hierarchies,Creature types and abilities,Classification preserved,"Taxonomic hierarchy → creature ability trees. Scientific classification → game creature stats."
DAW-008,Half Bad Behavioral Data,Unknown field observer,Unknown,Binary creature behavior observations,Two-state creature responses,Creatures with binary behaviors,Half Bad creature concept,Binary concept preserved,"Binary naturalism → 'Half Bad' game mechanic. Two-state observation → creature behavioral mode."
DAW-009,Prime-Number Cycles,Pollus Brent,Pattern Book era,Creature behavioral cycle documentation,Temporal-spatial patterns,Prime-cycle creature activities (2 3 5 7 11),Turn timing mechanics,Cycle preservation,"Prime patterns → game turn structure. Creature cycles may influence game timing mechanics."
DAW-010,Yeller Protocols (Appendix C),Council of Cartographers,Post-Grigsu,Protocols for mapping plural beings,Multi-location tracking,Yeller as five-in-one,Multi-unit game entities,Plurality encoded,"Yeller's fivefold nature → multi-part game creatures. Plural being → multiple coordinated game units."
DAW-011,Expedition Casualty Records,Various expedition leaders,Years 860-920,Casualty reports from Dens expeditions,Locations of expedition failures,Creatures responsible for casualties,Unit loss mechanics,Loss preservation,"Expedition deaths → game piece removal. Real casualties become strategic resource loss."
DAW-012,Quarry Catch Records,Quarry Crews,Ongoing,Commercial creature capture data,Trap locations and yields,Catch rates by species,Capture mechanics in game,Capture encoded,"Crew catch data → game capture mechanics. Commercial trapping → strategic creature acquisition."
DAW-013,Basin Topology Data,Vornis Keth,Pre-1858,Attractor basin mapping for Dens region,Basin boundaries and attractors,Creatures as basin features,Strategic territory control,Topology preserved,"Keth's basins → game territory zones. Attractor dynamics → strategic control points."
DAW-014,Deep Dens Survey Failures,Multiple expeditions,Years 900-920,Documentation of failed deep penetration attempts,Deep Dens as unmappable,Unknown creatures of Deep Dens,Procedural deep zones,Failure preserved,"Failed surveys → procedurally generated content. What couldn't be mapped becomes dynamic gameplay."
DAW-015,Creature Market Prices,Traders Guild,Ongoing,Commercial value of captured creatures,Trade route coverage,Species market values,In-game creature values,Economy preserved,"Trade prices → game resource values. Commercial ecology → game economy."
DAW-016,Navigation Resonance Data,Rellen Voss,levin-aragon-synthesis era,Gradient-following survey methods,Destination signals,Creatures as navigation markers,Pathfinding mechanics,Navigation preserved,"Voss's resonance → game pathfinding. Destination paradox → fog of war mechanics."
DAW-017,Boundary Instability Index,Prebel Cord,Post-Keth,Stability measurements at Dens edge,Stable vs unstable zones,Creature behavior near boundaries,Zone stability mechanics,Instability indexed,"Prebel's stability index → terrain reliability. Unstable zones → unpredictable game events."
DAW-018,Expedition Resource Requirements,Guild/Command,Ongoing,Resource planning for expeditions,Distance and terrain factors,Creature encounter preparations,Resource management system,Logistics preserved,"Expedition logistics → game resource mechanics. Supply planning → strategic resource allocation."
DAW-019,Village Clerk Census Data,Village Clerk System,As required by Capital law,Population and settlement data near Dens,Settlement locations,Local creature folklore,Town/settlement locations in game,Settlement preserved,"Census data → game map settlements. Village locations become strategic points."
DAW-020,Constellation Method Mapping,Pemlik Tross,levin-aragon-synthesis era,Tension field and neighbor relationships,Spatial clustering of regions,Creature population clusters,Territory connection rules,Relationship preserved,"Tross's constellations → territory adjacency. Graph structure → game region connections."
