registry_id,w2_phenomenon,w2_type,w2_apparent_creator,w1_input_source,w1_compiler,input_date_range,transformation_type,output_characteristics,prime_pattern_evidence,gap_preservation_notes,detailed_source_dataset
DCR-001,The Siege of Mirado (Boardgame),Game,Unknown game designer,Siege military records - dispatches rosters assessments,Fyncho Delt / Command Staff,Years 859-866,Structure preserved + abstraction,"5 players 5 regions; alliance mechanics; incursion management; lifeblood/weakness system","Five columns → five players (prime 5); five regions",Secret region mirrors W1 intelligence gaps; Colonel's family relationships preserved as narrative,siege_boardgame_w1_sources.csv
DCR-002,The Dens App,Mobile Game,Unknown app developer,Creature taxonomy + Dens geography + expedition records,Hesta Vorn / Cartographer's Guild,Years 861-924,Spatial-creature integration,"$.99 turn-based strategy; Risk-like; contains 'Half Bad' concept","Prime creature behavior cycles (2 3 5 7 11) may influence game timing",Unmappable Dens zones → procedurally generated terrain; creature gaps from failed expeditions,dens_app_w1_sources.csv
DCR-003,Little Porn's Puzzle Languages,Language System,Little Porn,TAME hierarchy + creature grammar + taxonomic classification,Pell Anster / Pollus Brent,Years 1871-1890,Classification → generation,"LPN notation; Nine Divisions; tab/groove system; 104 words for 100 pieces","Prime divisions possible (2 3 5 patterns in piece categorization)",Gaps in creature grammar → gaps in language systematicity; incomplete classifications,puzzle_language_w1_sources.csv
DCR-004,Five Family Collectives,Mnemonic Practice,Unknown founders,Memory school methods,Unknown W1 mnemonist,Unknown,Practice pattern preservation,"Five family collectives scattered across US; teach memory techniques","Five families (prime 5)",Methods work better than consciously designed systems; gaps in technique where W1 source incomplete,mnemonic_tradition_w1_sources.csv
DCR-005,Three Schools of Memory,Mnemonic Framework,Various (Little Porn / Mnemonist / Quonxy),W1 mnemonic traditions,Unknown W1 scholars,Unknown,Practice divergence,"Three contrasting approaches: absolute correspondence / unclear / purity","Three schools (prime 3); may relate to 3 memory principles",School differences may reflect W1 factional disputes,mnemonic_tradition_w1_sources.csv
DCR-006,Quonxy's Think-switches,Cognitive Phenomenon,Quonxy,Grigsu's Yeller observations + five-pattern trauma,Grigsu Haldo,Years 861-923,Trauma pattern encoding,"Total topic switches in thinking; sudden cognitive context shifts","Five-pattern from Yeller (2 3 5 7 11 voice patterns)",Quonxy's gaps in understanding mirror Grigsu's incomplete Yeller documentation,TO BE GENERATED
DCR-007,Sherman-Brown Language,Constructed Language,Sherman-Brown,Unknown W1 linguistic work,Unknown,Unknown,Linguistic structure preservation,Language construction project; systematic but source unclear,Unknown,Gaps in language correspond to unknown W1 source gaps,TO BE GENERATED
DCR-008,Artbook Mnemonism,Memory Practice,Ms. Fatehead tradition,Unknown W1 memory palace tradition,Unknown,Unknown,Practice adaptation,"Memorizing poetry in art book paintings; visual-verbal memory palaces",Unknown,Practice has unusual effectiveness suggesting Dens-compiled coherence,TO BE GENERATED
DCR-009,CrossPatch Platform,Repository System,CrossPatchPastorJosh,Archive cataloging systems + debate records,Archive / Various,Unknown,Institutional structure → digital,"GitHub-style repository for witnessing testimonials memorizing; has forks",Unknown,Repository structure echoes Archive organization; fork system echoes debate factions,TO BE GENERATED
DCR-010,Kitchum Circle,Gathering Practice,Jackson,Unknown W1 gathering tradition,Unknown,Unknown,Social structure preservation,"Informal student group at Old Soldier Fountain; coordinated via 'Kitchum Fund'","Group cohesion patterns",Jackson's anomalous nature → circle functions despite his disappearance,TO BE GENERATED
