trade_journey_id,world_journey_id,trader_id,start_date,end_date,origin_place_id,destination_place_id,goods_primary,goods_secondary,profit_capital_credits,creature_attack_count,scam_count,checkpoint_hassles,note
1,6,trav_0006,2032-05-11,2032-06-10,CAPIT_KACHOT_CARDH,CAPIT_CITY_WALL_EA,bones,saint_relics,3068.67,2,1,2,Trader carrying bones with side cargo saint_relics.
2,10,trav_0010,2034-03-14,2034-05-27,YELLE_QUARRY_RIM_S,YELLE_FLOODED_SINK,ore,saint_relics,3517.74,3,1,2,Trader carrying ore with side cargo saint_relics.
3,11,trav_0011,2034-11-22,2035-02-03,DENSM_DENSMOK_BUS_,CAPIT_KACHOT_CARDH,husks,none,837.18,0,1,8,Trader carrying husks with side cargo none.
4,13,trav_0013,2032-03-28,2032-04-10,YELLE_BONE_HUSK_MA,DEADR_DEAD_RIVER_E,contraband,cheap_gifts,3477.2,6,1,3,Trader carrying contraband with side cargo cheap_gifts.
5,16,trav_0016,2038-12-27,2039-01-24,CAPIT_PAPER_BINDER,DEADR_DEAD_RIVER_E,bones,letters,1921.27,1,1,3,Trader carrying bones with side cargo letters.
6,17,trav_0017,2030-10-14,2030-12-14,YELLE_BONE_HUSK_MA,DEADR_DEAD_RIVER_W,contraband,saint_relics,1095.54,4,1,0,Trader carrying contraband with side cargo saint_relics.
7,19,trav_0019,2037-08-01,2037-08-25,YELLE_STALL_TOWN_B,YELLE_OLD_ROPE_BRI,maps,none,3394.18,3,2,6,Trader carrying maps with side cargo none.
8,25,trav_0025,2038-11-23,2039-01-17,DENSM_OVERPASS_GRA,MIRAD_MIRADO_CAMPG,bones,letters,253.43,0,0,4,Trader carrying bones with side cargo letters.
9,30,trav_0030,2038-06-11,2038-08-26,DENSM_DENSMOK_BUS_,YELLE_QUARRY_RIM_S,contraband,none,286.21,1,0,6,Trader carrying contraband with side cargo none.
10,33,trav_0033,2034-03-16,2034-04-17,YELLE_TRAP_FIELDS_,DEADR_FERRYMANS_DO,contraband,children_rumor,1484.92,3,0,4,Trader carrying contraband with side cargo children_rumor.
11,35,trav_0035,2033-06-15,2033-07-19,YELLE_YELLER_GUIDE,DEADR_BROKEN_DEADR,husks,letters,2626.02,3,0,2,Trader carrying husks with side cargo letters.
12,37,trav_0037,2039-04-19,2039-05-14,YELLE_FLOODED_SINK,DEADR_DEADRIVER_SH,bones,letters,3433.27,5,2,4,Trader carrying bones with side cargo letters.
13,38,trav_0038,2037-12-03,2038-02-14,DENSM_DENSMOK_BUS_,CAPIT_CITY_WALL_EA,bones,none,832.17,4,0,3,Trader carrying bones with side cargo none.
14,40,trav_0040,2035-07-20,2035-09-12,DENSM_OLD_QUARRY_R,CAPEA_MIRADO_STICK,maps,children_rumor,3027.15,0,2,8,Trader carrying maps with side cargo children_rumor.
15,41,trav_0041,2033-03-24,2033-04-06,DENSM_OLD_QUARRY_R,DEADR_DEADRIVER_SH,food,children_rumor,3269.55,3,1,4,Trader carrying food with side cargo children_rumor.
16,44,trav_0044,2036-06-05,2036-08-01,YELLE_QUARRY_RIM_S,CAPIT_PAPER_BINDER,food,saint_relics,3676.27,1,0,3,Trader carrying food with side cargo saint_relics.
17,50,trav_0050,2030-03-06,2030-04-04,CAPIT_PAPER_BINDER,YELLE_YELLER_QUARR,contraband,letters,2927.38,2,0,3,Trader carrying contraband with side cargo letters.
18,54,trav_0054,2036-04-17,2036-05-19,DENSM_DENSMOK_BUS_,DEADR_BROKEN_DEADR,husks,saint_relics,3520.88,3,1,5,Trader carrying husks with side cargo saint_relics.
19,55,trav_0055,2036-12-23,2037-01-30,YELLE_STALL_TOWN_B,CAPIT_KACHOT_CARDH,maps,children_rumor,1131.22,3,0,8,Trader carrying maps with side cargo children_rumor.
20,56,trav_0056,2037-07-03,2037-09-15,DENSM_OVERPASS_GRA,YELLE_OLD_ROPE_BRI,maps,none,1888.96,5,1,5,Trader carrying maps with side cargo none.
21,58,trav_0058,2036-01-18,2036-03-26,DENSM_DENSMOK_HILL,YELLE_OLD_ROPE_BRI,husks,cheap_gifts,1928.54,5,0,0,Trader carrying husks with side cargo cheap_gifts.
22,65,trav_0065,2033-08-26,2033-09-20,CAPIT_CENTRAL_ARCH,DEADR_DEADRIVER_SH,food,children_rumor,1768.31,3,0,3,Trader carrying food with side cargo children_rumor.
23,75,trav_0075,2035-02-01,2035-04-14,CAPIT_INNER_TENEME,CAPIT_CITY_WALL_EA,husks,children_rumor,789.15,6,1,7,Trader carrying husks with side cargo children_rumor.
24,78,trav_0078,2034-11-28,2035-02-16,CAPIT_SENATE_SQUAR,DEADR_DEADRIVER_SH,bones,cheap_gifts,2308.84,2,2,8,Trader carrying bones with side cargo cheap_gifts.
25,82,trav_0082,2035-03-23,2035-04-13,YELLE_TRAP_FIELDS_,CAPIT_PAPER_BINDER,ore,letters,3155.77,3,2,5,Trader carrying ore with side cargo letters.
26,84,trav_0084,2033-09-28,2033-11-10,DENSM_DENSMOK_BUS_,CAPEA_RIVERSLAND_S,ore,letters,1512.39,2,0,2,Trader carrying ore with side cargo letters.
27,86,trav_0086,2035-05-05,2035-06-02,DENSM_DENSMOK_STRI,DEADR_DEAD_RIVER_W,bones,children_rumor,3973.39,2,2,2,Trader carrying bones with side cargo children_rumor.
28,98,trav_0098,2031-03-06,2031-05-20,YELLE_YELLER_QUARR,DEADR_BROKEN_DEADR,husks,none,1354.27,5,1,4,Trader carrying husks with side cargo none.
29,100,trav_0100,2031-03-12,2031-04-10,YELLE_BONE_HUSK_MA,YELLE_STALL_TOWN_W,contraband,children_rumor,3400.16,9,0,4,Trader carrying contraband with side cargo children_rumor.
30,106,trav_0106,2034-06-13,2034-06-30,YELLE_QUARRY_RIM_S,CAPIT_DEADRIVER_FE,ore,children_rumor,4163.03,6,2,7,Trader carrying ore with side cargo children_rumor.
31,107,trav_0107,2031-06-07,2031-08-03,CAPIT_KACHOT_CARDH,CAPEA_MIRADO_STICK,contraband,none,1270.52,5,1,8,Trader carrying contraband with side cargo none.
32,109,trav_0109,2038-11-26,2039-02-05,DENSM_DENSMOK_BUS_,CAPIT_KACHOT_CARDH,bones,none,2259.98,1,0,1,Trader carrying bones with side cargo none.
33,117,trav_0117,2034-05-13,2034-07-24,DENSM_DENSMOK_HILL,YELLE_BONE_HUSK_MA,maps,none,513.99,7,0,6,Trader carrying maps with side cargo none.
34,120,trav_0120,2036-11-11,2036-12-20,YELLE_YELLER_GUIDE,YELLE_YELLER_GUIDE,food,saint_relics,2992.16,7,0,4,Trader carrying food with side cargo saint_relics.
