journey_id,step_index,traveler_id,traveler_type,origin_place_id,destination_place_id,origin_borough,destination_borough,step_distance_km,step_physical_risk,step_symbolic_risk,mode,day_offset,timestamp_iso,encounter_creature,encounter_symbolic_event
1,0,trav_0001,novice,CAPIT_DEADRIVER_FE,DEADR_DEAD_RIVER_W,Capital,Deadriver,20.48,4.5,8.0,pilgrim_bus,0,2036-04-15T02:00:00,False,True
1,1,trav_0001,novice,DEADR_DEAD_RIVER_W,YELLE_OLD_ROPE_BRI,Deadriver,Yeller,17.06,7.0,8.0,on_foot,1,2036-04-16T07:00:00,True,True
1,2,trav_0001,novice,YELLE_OLD_ROPE_BRI,YELLE_BONE_HUSK_MA,Yeller,Yeller,2.02,7.0,6.5,cart,1,2036-04-16T12:00:00,True,False
1,3,trav_0001,novice,YELLE_BONE_HUSK_MA,DEADR_DEADRIVER_SH,Yeller,Deadriver,20.64,5.5,7.0,on_foot,1,2036-04-16T19:00:00,True,True
2,0,trav_0002,mapmaker,CAPIT_CAPITAL_TRAI,MIRAD_TOWER_LEVEL_,Capital,Mirado,19.88,5.0,7.0,unknown,1,2039-11-07T02:00:00,False,True
2,1,trav_0002,mapmaker,MIRAD_TOWER_LEVEL_,CAPIT_INNER_TENEME,Mirado,Capital,18.17,5.5,7.0,on_foot,6,2039-11-12T10:00:00,False,True
2,2,trav_0002,mapmaker,CAPIT_INNER_TENEME,YELLE_TRAP_FIELDS_,Capital,Yeller,21.53,6.0,4.5,on_foot,6,2039-11-12T13:00:00,True,False
2,3,trav_0002,mapmaker,YELLE_TRAP_FIELDS_,CAPIT_INNER_TENEME,Yeller,Capital,22.86,6.0,4.5,on_foot,9,2039-11-15T17:00:00,True,False
2,4,trav_0002,mapmaker,CAPIT_INNER_TENEME,DEADR_FERRYMANS_DO,Capital,Deadriver,16.32,5.0,6.5,unknown,13,2039-11-19T22:00:00,True,True
2,5,trav_0002,mapmaker,DEADR_FERRYMANS_DO,CAPIT_KACHOT_CARDH,Deadriver,Capital,18.35,4.5,7.0,on_foot,19,2039-11-25T05:00:00,True,True
2,6,trav_0002,mapmaker,CAPIT_KACHOT_CARDH,MIRAD_MIRADO_STICK,Capital,Mirado,16.71,4.5,6.5,unknown,23,2039-11-29T13:00:00,False,True
2,7,trav_0002,mapmaker,MIRAD_MIRADO_STICK,CAPIT_CAPITAL_TRAI,Mirado,Capital,22.22,4.5,6.0,unknown,26,2039-12-02T19:00:00,False,True
2,8,trav_0002,mapmaker,CAPIT_CAPITAL_TRAI,DEADR_DEAD_RIVER_W,Capital,Deadriver,16.41,5.0,6.5,on_foot,28,2039-12-04T03:00:00,False,True
3,0,trav_0003,senator,CAPIT_CENTRAL_ARCH,MIRAD_MIRADO_STICK,Capital,Mirado,15.74,3.5,8.0,motorcade,0,2031-05-14T04:00:00,False,True
3,1,trav_0003,senator,MIRAD_MIRADO_STICK,DEADR_DEAD_RIVER_W,Mirado,Deadriver,24.69,5.5,8.5,motorcade,1,2031-05-15T12:00:00,False,True
3,2,trav_0003,senator,DEADR_DEAD_RIVER_W,YELLE_OLD_ROPE_BRI,Deadriver,Yeller,23.58,7.0,8.0,motorcade,3,2031-05-17T20:00:00,True,True
3,3,trav_0003,senator,YELLE_OLD_ROPE_BRI,DEADR_FERRYMANS_DO,Yeller,Deadriver,20.7,6.5,8.0,motorcade,5,2031-05-19T01:00:00,True,True
3,4,trav_0003,senator,DEADR_FERRYMANS_DO,MIRAD_MIRADO_CAMPG,Deadriver,Mirado,22.39,4.0,8.0,motorcade,9,2031-05-23T09:00:00,False,True
3,5,trav_0003,senator,MIRAD_MIRADO_CAMPG,NORTH_PILGRIM_WAY_,Mirado,Northo,20.59,2.5,7.0,motorcade,12,2031-05-26T09:00:00,False,True
4,0,trav_0004,teen,CAPEA_CAPEAST_WALM,CAPIT_CITY_WALL_EA,Capeast,Capital,24.22,3.0,4.5,truck,5,2038-10-19T03:00:00,False,False
4,1,trav_0004,teen,CAPIT_CITY_WALL_EA,DEADR_DEADRIVER_SH,Capital,Deadriver,17.43,4.0,7.0,truck,10,2038-10-24T08:00:00,False,True
4,2,trav_0004,teen,DEADR_DEADRIVER_SH,CAPIT_SENATE_SQUAR,Deadriver,Capital,18.97,4.0,7.5,bus,11,2038-10-25T11:00:00,True,True
