route_id,teen_id,date,time_of_day,origin_place_id,destination_place_id,sequence_places,distance_km,risk_traffic,rumor_creature,encounter_mapmaker,got_home_safely
1,teen_josh,2034-11-11,evening,DENSM_DENSMOK_HILL,CAPEA_CAPEAST_USED,DENSM_DENSMOK_HILL;CAPEA_DUSTY_SOCCER;CAPEA_CAPEAST_USED,30.04,2,False,False,False
2,teen_brent,2034-08-30,afternoon,DENSM_DENSMOK_STRI,CAPIT_KACHOT_CARDH,DENSM_DENSMOK_STRI;CAPIT_KACHOT_CARDH,16.79,2,False,False,True
3,teen_gina,2034-09-22,evening,DENSM_OVERPASS_GRA,CAPEA_RIVERSLAND_S,DENSM_OVERPASS_GRA;CAPEA_RIVERSLAND_S,17.34,6,False,False,True
4,teen_tyli,2034-11-09,late_night,CAPEA_RIVERSLAND_H,CAPIT_DEADRIVER_FE,CAPEA_RIVERSLAND_H;DENSM_DENSMOK_BUS_;CAPIT_DEADRIVER_FE,34.68,5,False,False,True
5,teen_josh,2034-10-08,evening,CAPEA_CAPEAST_WALM,DENSM_SMOKELINE_IN,CAPEA_CAPEAST_WALM;DENSM_SMOKELINE_IN,18.18,5,False,False,True
6,teen_josh,2034-08-25,afternoon,CAPEA_DUSTY_SOCCER,CAPEA_RIVERSLAND_S,CAPEA_DUSTY_SOCCER;CAPIT_INNER_TENEME;CAPEA_DUSTY_SOCCER;CAPEA_RIVERSLAND_S,52.39,3,False,False,True
7,teen_faro,2034-11-22,late_night,CAPEA_CAPEAST_USED,CAPEA_CAPEAST_ARTE,CAPEA_CAPEAST_USED;CAPEA_CAPEAST_ARTE,1.11,3,False,False,False
8,teen_faro,2034-10-10,morning,CAPEA_RIVERSLAND_H,DENSM_OVERPASS_GRA,CAPEA_RIVERSLAND_H;CAPIT_CAPITAL_TRAI;DENSM_OVERPASS_GRA,37.24,8,False,False,True
9,teen_gina,2034-08-30,late_night,CAPEA_CAPEAST_USED,CAPEA_CAPEAST_WALM,CAPEA_CAPEAST_USED;CAPIT_KACHOT_CARDH;CAPEA_CAPEAST_WALM,37.83,6,False,False,True
10,teen_josh,2034-09-09,late_night,DENSM_DENSMOK_BUS_,DENSM_OVERPASS_GRA,DENSM_DENSMOK_BUS_;DENSM_OVERPASS_GRA,5.26,7,False,False,True
11,teen_tyli,2034-09-22,afternoon,DENSM_DENSMOK_BUS_,CAPEA_CAPEAST_STRI,DENSM_DENSMOK_BUS_;CAPIT_DEADRIVER_FE;CAPIT_OUTER_ARCHIV;CAPEA_CAPEAST_STRI,48.7,8,False,False,True
12,teen_little_porn,2034-08-31,morning,DENSM_OLD_QUARRY_R,CAPIT_CITY_WALL_EA,DENSM_OLD_QUARRY_R;CAPEA_CAPEAST_YOUT;CAPIT_CITY_WALL_EA,41.47,7,False,False,True
13,teen_josh,2034-10-07,late_night,CAPEA_DEAD_RIVER_O,CAPEA_MIRADO_STICK,CAPEA_DEAD_RIVER_O;DENSM_SMOKELINE_IN;CAPEA_MIRADO_STICK,38.77,2,True,False,True
14,teen_elise,2034-10-05,afternoon,CAPEA_DUSTY_SOCCER,CAPIT_DEADRIVER_FE,CAPEA_DUSTY_SOCCER;CAPIT_DEADRIVER_FE,15.78,6,False,False,True
15,teen_faro,2034-10-01,evening,CAPEA_DEAD_RIVER_O,CAPIT_CITY_WALL_EA,CAPEA_DEAD_RIVER_O;CAPIT_CAPITAL_TRAI;CAPEA_CAPEAST_YOUT;CAPIT_CITY_WALL_EA,54.74,3,False,False,True
16,teen_deshawn,2034-08-16,evening,CAPEA_CAPEAST_ARTE,DENSM_DENSMOK_HILL,CAPEA_CAPEAST_ARTE;DENSM_DENSMOK_HILL,19.77,4,False,True,True
17,teen_little_porn,2034-09-24,afternoon,CAPEA_CAPEAST_YOUT,CAPIT_CITY_WALL_EA,CAPEA_CAPEAST_YOUT;CAPIT_CITY_WALL_EA,21.3,5,False,False,True
18,teen_faro,2034-12-02,morning,CAPEA_CAPEAST_STRI,CAPIT_CITY_WALL_EA,CAPEA_CAPEAST_STRI;CAPEA_CAPEAST_WALM;CAPEA_CAPEAST_USED;CAPIT_CITY_WALL_EA,31.22,2,False,False,True
19,teen_carla,2034-12-13,afternoon,DENSM_DENSMOK_STRI,CAPIT_DEADRIVER_FE,DENSM_DENSMOK_STRI;CAPIT_DEADRIVER_FE,22.28,2,False,False,False
20,teen_carla,2034-10-04,late_night,CAPEA_RIVERSLAND_S,DENSM_SMOKELINE_IN,CAPEA_RIVERSLAND_S;CAPEA_RIVERSLAND_H;DENSM_DENSMOK_STRI;DENSM_SMOKELINE_IN,41.7,6,False,False,True
21,teen_little_porn,2034-09-14,evening,CAPEA_RIVERSLAND_H,CAPIT_DEADRIVER_FE,CAPEA_RIVERSLAND_H;CAPEA_CAPEAST_ARTE;CAPIT_DEADRIVER_FE,26.19,6,True,False,True
22,teen_tyli,2034-10-01,evening,CAPEA_CAPEAST_USED,DENSM_DENSMOK_STRI,CAPEA_CAPEAST_USED;DENSM_OLD_QUARRY_R;DENSM_DENSMOK_STRI,33.01,4,False,False,True
23,teen_brent,2034-12-02,late_night,CAPEA_CAPEAST_STRI,DENSM_DENSMOK_STRI,CAPEA_CAPEAST_STRI;CAPEA_CAPEAST_WALM;DENSM_DENSMOK_STRI,32.57,6,False,False,True
24,teen_gina,2034-09-01,late_night,CAPEA_DUSTY_SOCCER,CAPEA_CAPEAST_USED,CAPEA_DUSTY_SOCCER;CAPIT_DEADRIVER_FE;CAPEA_CAPEAST_YOUT;CAPEA_CAPEAST_USED,43.84,7,True,False,True
25,teen_brent,2034-10-30,afternoon,DENSM_DENSMOK_BUS_,DENSM_OVERPASS_GRA,DENSM_DENSMOK_BUS_;DENSM_OVERPASS_GRA,7.23,4,False,False,True
26,teen_deshawn,2034-09-19,evening,DENSM_DENSMOK_BUS_,CAPEA_CAPEAST_YOUT,DENSM_DENSMOK_BUS_;CAPEA_DEAD_RIVER_O;DENSM_DENSMOK_HILL;CAPEA_CAPEAST_YOUT,67.5,3,False,False,True
27,teen_carla,2034-11-14,evening,CAPEA_CAPEAST_WALM,CAPEA_CAPEAST_USED,CAPEA_CAPEAST_WALM;CAPEA_CAPEAST_ARTE;DENSM_OVERPASS_GRA;CAPEA_CAPEAST_USED,43.96,4,False,False,True
28,teen_carla,2034-09-07,late_night,CAPEA_CAPEAST_YOUT,CAPIT_CENTRAL_ARCH,CAPEA_CAPEAST_YOUT;CAPEA_CAPEAST_WALM;CAPIT_CENTRAL_ARCH,23.31,6,False,False,True
29,teen_josh,2034-09-16,morning,DENSM_OVERPASS_GRA,CAPEA_RIVERSLAND_H,DENSM_OVERPASS_GRA;CAPEA_RIVERSLAND_H,14.73,8,False,False,True
30,teen_faro,2034-10-28,evening,CAPEA_CAPEAST_ARTE,DENSM_OLD_QUARRY_R,CAPEA_CAPEAST_ARTE;CAPEA_RIVERSLAND_H;DENSM_OLD_QUARRY_R,17.75,5,False,False,True
31,teen_deshawn,2034-10-03,evening,DENSM_DENSMOK_BUS_,CAPEA_MIRADO_STICK,DENSM_DENSMOK_BUS_;CAPEA_MIRADO_STICK,15.35,8,False,True,True
32,teen_brent,2034-08-28,evening,CAPEA_DEAD_RIVER_O,CAPEA_MIRADO_STICK,CAPEA_DEAD_RIVER_O;CAPIT_CAPITAL_TRAI;CAPIT_CENTRAL_ARCH;CAPEA_MIRADO_STICK,48.61,6,True,False,True
33,teen_brent,2034-09-20,late_night,DENSM_DENSMOK_STRI,CAPIT_CAPITAL_TRAI,DENSM_DENSMOK_STRI;CAPIT_CAPITAL_TRAI,20.8,6,False,False,True
34,teen_amaya,2034-09-03,morning,CAPEA_DEAD_RIVER_O,DENSM_OVERPASS_GRA,CAPEA_DEAD_RIVER_O;DENSM_DENSMOK_HILL;DENSM_OVERPASS_GRA,25.28,8,False,False,False
35,teen_little_porn,2034-08-26,evening,CAPEA_RIVERSLAND_S,CAPIT_CAPITAL_TRAI,CAPEA_RIVERSLAND_S;CAPIT_CAPITAL_TRAI,16.71,5,False,False,True
