journey_id,traveler_id,traveler_type,start_year,end_year,start_place_id,end_place_id,sequence_places,sequence_boroughs,primary_outcome,total_distance_km,total_physical_risk,total_symbolic_risk,max_symbolic_risk,visited_mirado,visited_deadriver,visited_northo,loops_back_to_start
1,trav_0001,novice,2036,2036,CAPIT_DEADRIVER_FE,DEADR_DEADRIVER_SH,CAPIT_DEADRIVER_FE;DEADR_DEAD_RIVER_W;YELLE_OLD_ROPE_BRI;YELLE_BONE_HUSK_MA;DEADR_DEADRIVER_SH,Capital;Deadriver;Yeller;Yeller;Deadriver,missing,60.2,24.0,29.5,8.0,False,True,False,False
2,trav_0002,mapmaker,2039,2039,CAPIT_CAPITAL_TRAI,DEADR_DEAD_RIVER_W,CAPIT_CAPITAL_TRAI;MIRAD_TOWER_LEVEL_;CAPIT_INNER_TENEME;YELLE_TRAP_FIELDS_;CAPIT_INNER_TENEME;DEADR_FERRYMANS_DO;CAPIT_KACHOT_CARDH;MIRAD_MIRADO_STICK;CAPIT_CAPITAL_TRAI;DEADR_DEAD_RIVER_W,Capital;Mirado;Capital;Yeller;Capital;Deadriver;Capital;Mirado;Capital;Deadriver,missing,172.45,46.0,55.5,7.0,True,True,False,False
3,trav_0003,senator,2031,2031,CAPIT_CENTRAL_ARCH,NORTH_PILGRIM_WAY_,CAPIT_CENTRAL_ARCH;MIRAD_MIRADO_STICK;DEADR_DEAD_RIVER_W;YELLE_OLD_ROPE_BRI;DEADR_FERRYMANS_DO;MIRAD_MIRADO_CAMPG;NORTH_PILGRIM_WAY_,Capital;Mirado;Deadriver;Yeller;Deadriver;Mirado;Northo,saint,127.68,29.0,47.5,8.5,True,True,True,False
4,trav_0004,teen,2038,2038,CAPEA_CAPEAST_WALM,DENSM_DENSMOK_STRI,CAPEA_CAPEAST_WALM;CAPIT_CITY_WALL_EA;DEADR_DEADRIVER_SH;CAPIT_SENATE_SQUAR;DENSM_DENSMOK_STRI,Capeast;Capital;Deadriver;Capital;Densmok,ordinary,81.08,14.0,24.0,7.5,False,True,False,False
5,trav_0005,teen,2032,2032,CAPEA_MIRADO_STICK,YELLE_OLD_ROPE_BRI,CAPEA_MIRADO_STICK;DENSM_SMOKELINE_IN;YELLE_OLD_ROPE_BRI,Capeast;Densmok;Yeller,burned_out,31.71,10.5,9.0,5.0,False,False,False,False
6,trav_0006,trader,2032,2032,CAPIT_KACHOT_CARDH,CAPIT_CITY_WALL_EA,CAPIT_KACHOT_CARDH;YELLE_BONE_HUSK_MA;DEADR_DEAD_RIVER_E;MIRAD_TOWER_LEVEL_;CAPIT_CITY_WALL_EA,Capital;Yeller;Deadriver;Mirado;Capital,archivist,76.96,21.5,30.5,9.5,True,True,False,True
7,trav_0007,senator,2038,2038,CAPIT_SENATE_SQUAR,YELLE_FLOODED_SINK,CAPIT_SENATE_SQUAR;MIRAD_MIRADO_GATE_;DEADR_FERRYMANS_DO;YELLE_BONE_HUSK_MA;DEADR_DEAD_RIVER_W;YELLE_FLOODED_SINK,Capital;Mirado;Deadriver;Yeller;Deadriver;Yeller,cardsharp,95.55,27.0,40.5,9.0,True,True,False,False
8,trav_0008,novice,2035,2035,NORTH_HOUSE_OF_STO,NORTH_NORTH_RIDGE_,NORTH_HOUSE_OF_STO;CAPIT_OUTER_ARCHIV;CAPEA_DEAD_RIVER_O;DEADR_DEAD_RIVER_E;MIRAD_TOWER_LEVEL_;CAPIT_CAPITAL_TRAI;NORTH_NORTH_RIDGE_,Northo;Capital;Capeast;Deadriver;Mirado;Capital;Northo,saint,127.29,24.5,43.5,9.5,True,True,True,True
9,trav_0009,archivist,2030,2030,CAPIT_SENATE_SQUAR,CAPIT_CITY_WALL_QU,CAPIT_SENATE_SQUAR;NORTH_COLLAPSED_CH;MIRAD_TOWER_LEVEL_;DEADR_BROKEN_DEADR;CAPIT_CITY_WALL_QU;YELLE_YELLER_QUARR;CAPIT_OUTER_ARCHIV;DENSM_DENSMOK_HILL;YELLE_TRAP_FIELDS_;CAPIT_CITY_WALL_QU,Capital;Northo;Mirado;Deadriver;Capital;Yeller;Capital;Densmok;Yeller;Capital,saint,191.79,47.5,60.5,9.5,True,True,True,True
10,trav_0010,trader,2034,2034,YELLE_QUARRY_RIM_S,YELLE_FLOODED_SINK,YELLE_QUARRY_RIM_S;DEADR_DEADRIVER_SH;DEADR_FERRYMANS_DO;CAPIT_CENTRAL_ARCH;DEADR_DEAD_RIVER_W;MIRAD_TOWER_LEVEL_;DEADR_DEAD_RIVER_E;YELLE_FLOODED_SINK,Yeller;Deadriver;Deadriver;Capital;Deadriver;Mirado;Deadriver;Yeller,archivist,121.17,38.0,59.0,9.5,True,True,False,True
11,trav_0011,trader,2034,2034,DENSM_DENSMOK_BUS_,CAPIT_KACHOT_CARDH,DENSM_DENSMOK_BUS_;CAPIT_SENATE_SQUAR;NORTH_HOUSE_OF_STO;CAPIT_CAPITAL_TRAI;CAPIT_CITY_WALL_QU;CAPIT_DEADRIVER_FE;MIRAD_TOWER_LEVEL_;CAPIT_OUTER_ARCHIV;CAPIT_KACHOT_CARDH,Densmok;Capital;Northo;Capital;Capital;Capital;Mirado;Capital;Capital,ordinary,110.3,28.5,52.0,8.5,True,False,True,False
12,trav_0012,mapmaker,2031,2031,CAPIT_KACHOT_CARDH,DEADR_DEAD_RIVER_E,CAPIT_KACHOT_CARDH;MIRAD_TOWER_LEVEL_;NORTH_PILGRIM_WAY_;MIRAD_TOWER_LEVEL_;NORTH_HOUSE_OF_STO;MIRAD_MIRADO_GATE_;DEADR_DEAD_RIVER_E;MIRAD_MIRADO_GATE_;DEADR_BROKEN_DEADR;CAPIT_SENATE_SQUAR;DEADR_DEAD_RIVER_E,Capital;Mirado;Northo;Mirado;Northo;Mirado;Deadriver;Mirado;Deadriver;Capital;Deadriver,saint,191.98,46.0,85.0,9.0,True,True,True,False
13,trav_0013,trader,2032,2032,YELLE_BONE_HUSK_MA,DEADR_DEAD_RIVER_E,YELLE_BONE_HUSK_MA;DEADR_DEAD_RIVER_W;DEADR_DEAD_RIVER_W;CAPIT_CENTRAL_ARCH;CAPIT_KACHOT_CARDH;YELLE_BONE_HUSK_MA;DEADR_DEAD_RIVER_W;YELLE_FLOODED_SINK;YELLE_TRAP_FIELDS_;DEADR_DEAD_RIVER_E,Yeller;Deadriver;Deadriver;Capital;Capital;Yeller;Deadriver;Yeller;Yeller;Deadriver,missing,144.28,52.0,66.5,9.0,False,True,False,False
14,trav_0014,novice,2033,2033,NORTH_NORTHO_MARKE,MIRAD_TOWER_LEVEL_,NORTH_NORTHO_MARKE;MIRAD_TOWER_LEVEL_;NORTH_HOUSE_OF_THE;MIRAD_TOWER_LEVEL_;CAPIT_INNER_TENEME;NORTH_NORTH_RIDGE_;MIRAD_TOWER_LEVEL_,Northo;Mirado;Northo;Mirado;Capital;Northo;Mirado,burned_out,122.11,28.5,50.5,9.5,True,False,True,False
15,trav_0015,novice,2035,2035,NORTH_COLLAPSED_CH,NORTH_TRIAL_FIELD_,NORTH_COLLAPSED_CH;MIRAD_TOWER_LEVEL_;NORTH_NORTHO_GATEH;CAPIT_OUTER_ARCHIV;NORTH_TRIAL_FIELD_;CAPIT_CAPITAL_TRAI;NORTH_TRIAL_FIELD_,Northo;Mirado;Northo;Capital;Northo;Capital;Northo,saint,109.97,23.5,43.0,9.0,True,False,True,True
16,trav_0016,trader,2038,2038,CAPIT_PAPER_BINDER,DEADR_DEAD_RIVER_E,CAPIT_PAPER_BINDER;MIRAD_TOWER_LEVEL_;CAPIT_DEADRIVER_FE;DEADR_DEADRIVER_SH;DEADR_DEAD_RIVER_E,Capital;Mirado;Capital;Deadriver;Deadriver,missing,72.2,18.0,32.0,8.5,True,True,False,False
17,trav_0017,trader,2030,2030,YELLE_BONE_HUSK_MA,DEADR_DEAD_RIVER_W,YELLE_BONE_HUSK_MA;YELLE_QUARRY_RIM_S;DEADR_DEAD_RIVER_W;CAPEA_DEAD_RIVER_O;MIRAD_MIRADO_GATE_;DEADR_DEAD_RIVER_E;YELLE_STALL_TOWN_W;DEADR_DEAD_RIVER_E;DEADR_DEAD_RIVER_W,Yeller;Yeller;Deadriver;Capeast;Mirado;Deadriver;Yeller;Deadriver;Deadriver,missing,135.06,43.0,58.5,9.0,True,True,False,False
18,trav_0018,archivist,2036,2036,CAPIT_INNER_TENEME,MIRAD_TOWER_LEVEL_,CAPIT_INNER_TENEME;NORTH_HOUSE_OF_STO;MIRAD_MIRADO_CAMPG;NORTH_NORTHO_MARKE;CAPIT_CITY_WALL_QU;MIRAD_MIRADO_CAMPG;CAPIT_CENTRAL_ARCH;CAPEA_DEAD_RIVER_O;MIRAD_TOWER_LEVEL_,Capital;Northo;Mirado;Northo;Capital;Mirado;Capital;Capeast;Mirado,burned_out,153.13,26.5,56.0,8.0,True,False,True,False
19,trav_0019,trader,2037,2037,YELLE_STALL_TOWN_B,YELLE_OLD_ROPE_BRI,YELLE_STALL_TOWN_B;CAPIT_CITY_WALL_QU;DEADR_FERRYMANS_DO;CAPIT_CENTRAL_ARCH;CAPEA_DUSTY_SOCCER;DEADR_FERRYMANS_DO;CAPIT_DEADRIVER_FE;DEADR_DEADRIVER_SH;DEADR_BROKEN_DEADR;DEADR_DEAD_RIVER_E;DEADR_BROKEN_DEADR;YELLE_OLD_ROPE_BRI,Yeller;Capital;Deadriver;Capital;Capeast;Deadriver;Capital;Deadriver;Deadriver;Deadriver;Deadriver;Yeller,archivist,181.14,54.0,83.0,9.0,False,True,False,True
