convention_id,concept_name,associated_scholar,visualization_approach,geometric_elements,recommended_school,real_world_analogue,common_errors,exemplar_prompt
DIAG-001,Form Library,Erris Pol,Morphospace landscape with attractors as terrain features,"nodes (forms), contours (stability basins), peaks (transitions), valleys (stable forms)",Cartographic Guild,Fitness landscape diagram,"Depicting forms as static objects rather than regions of attraction; missing stability indication","Morphospace terrain in Cartographic Guild style. Elevated view showing Form Library as landscape. Deep valleys for stable forms (Quintic Cycle, Binary Division). Ridges separating attractor basins. Contour lines at regular stability intervals. Color gradient: deep blue (#2C5282) for stable forms, yellow (#ECC94B) for transitional ridges, red (#C53030) for unstable peaks. Parchment background. Legend showing stability scale."
DIAG-002,Basin Topology,Vornis Keth,Topographic map with basins as catchment areas,"contour lines, basin boundaries, flow arrows, attractor points",Geometric-Cartographic Hybrid,Watershed diagram,"Confusing basins with individual states; omitting flow direction; using discrete rather than continuous representation","Basin topology in Geometric-Cartographic hybrid style. Topographic view of attractor landscape. Basins as catchment areas with contour lines showing depth. Flow arrows indicate gradient descent toward attractors. Clean uniform lines for precision. Contours: slate (#1A202C), basin fills: blue gradient (#2C5282 to #ECC94B). White background with subtle elevation shading."
DIAG-003,I-C-∫ Formula,Pell Anster,Hierarchical diagram with integration levels,"nested boundaries, integration arrows, level labels, formula annotation",Notation Scribes,System hierarchy diagram,"Treating levels as discrete categories rather than continuous spectrum; missing the integration metaphor","I-C-∫ hierarchy in Notation Scribes style. Nested boundaries showing integration levels: Triggered (outermost), Autonomous, Modular, Emergent (innermost). Integration symbol (∫) connecting levels with arrows. Clean publication-quality lines. Black (#1A202C) boundaries, blue (#2B6CB0) for integration paths, green (#276749) for validated levels. White background. LaTeX-style labels at each level."
DIAG-004,Constellation Method,Pemlik Tross,Graph visualization with signed edges,"nodes (entities), solid edges (positive), dashed edges (negative), clusters",Organic-Notation Hybrid,Social network graph,"Using spatial proximity instead of edge connections; missing signed relationship indicators; over-clustering","Constellation diagram in Organic-Notation hybrid style. Entities as nodes connected by edges. Solid lines for positive (attraction) relationships, dashed for negative (repulsion). Natural flowing layout with equation annotations. Node colors: forest green (#276749) for stable entities, teal (#319795) for transitional. Variable line weight. Soft gradient background with white label zones."
DIAG-005,Tension Fields,Pemlik Tross,Force field visualization with attraction/repulsion vectors,"arrows (force direction), gradient fills (field strength), equilibrium points",Organic School,Electric field diagram,"Static representation missing the dynamic tension; treating all forces as equal strength","Tension field in Organic School style. Force vectors radiating from entities. Arrow length indicates strength. Gradient fills show field intensity. Equilibrium points marked where forces balance. Flowing variable lines. Green (#276749) for attraction forces, amber (#D69E2E) for repulsion. Soft ambient lighting. Natural perspective."
DIAG-006,Resonance Calculus,Vornis Keth,Wave interference pattern showing state resonance,"wave forms, interference patterns, resonance peaks, phase markers",Organic School,Wave superposition diagram,"Depicting as static rather than dynamic; missing phase relationships; treating resonance as binary","Resonance visualization in Organic School style. Overlapping wave forms representing state similarities. Interference patterns show resonance (constructive) and dissonance (destructive). Variable flowing lines. Teal (#319795) and green (#276749) for different state waves. Warm gradient background. Soft directional lighting showing wave depth."
DIAG-007,Ghost Persistence,Sareth Moll,Decay curve with reactivation spikes,"exponential curve, time axis, memory markers, reactivation pulses",Notation Scribes,Radioactive decay curve,"Linear representation of exponential process; missing reactivation mechanism; treating all memories equally","Ghost persistence in Notation Scribes style. Central exponential decay curve showing memory/haunting fade. Time axis horizontal, intensity vertical. Spike markers for reactivation events that reset decay. Clean precise lines. Black (#1A202C) for main curve, blue (#2B6CB0) for reactivation spikes, red (#C53030) for critical threshold. White background. Integrated equation: I(t) = I_0 * e^(-λt)."
DIAG-008,Navigation Resonance,Rellen Voss,Gradient field with destination attractor,"gradient arrows, contour lines, path trajectory, destination marker",Cartographic Guild,Optimization landscape,"Showing direct paths rather than gradient following; missing the destination paradox visualization","Navigation resonance in Cartographic Guild style. Gradient field flowing toward destination attractor. Contour lines show 'distance' in resonance space. Traveler path follows gradient descent. Destination marked as basin minimum. Thin contour lines, medium boundaries. Blue (#2C5282) low resonance to red (#C53030) high. Parchment background. Scale indicator and legend."
DIAG-009,Federation Theory,Tessyn Mord,Multi-agent network with trust connections,"agent nodes, trust edges (weighted), negotiation links, collective boundary",Organic-Notation Hybrid,Game theory payoff network,"Treating agents as homogeneous; missing trust asymmetry; static rather than negotiating","Federation network in Organic-Notation hybrid style. Agent nodes with individual boundaries maintaining autonomy. Trust edges with variable weight indicating relationship strength. Collective intelligence emerges at center. Flowing organic layout with precise labels. Green (#276749) for high trust, amber (#D69E2E) for moderate. Soft gradient background."
DIAG-010,Taxonomy of Failure,Kella Vorn,Classification tree with failure domains,"branching structure, domain labels, failure type markers, severity gradient",Notation Scribes,Fault tree diagram,"Treating failures as discrete categories; missing interconnection between domains; oversimplifying severity","Failure taxonomy in Notation Scribes style. Six-domain classification tree. Main trunk branches to: Integration, Boundary, Memory, Navigation, Recognition, Federation failures. Sub-branches show specific failure types. Jackson marked as cross-domain anomaly. Clean precise lines. Black (#1A202C) structure, red (#C53030) for severe failures, green (#276749) for recoverable. White background with domain labels."
DIAG-011,Cognitive Horizons,Mira Strand,Four-dimensional projection with horizon limits,"temporal axis, agential axis, abstractive axis, integrative axis, horizon boundary",Geometric-Cartographic Hybrid,Light cone diagram,"Collapsing dimensions; missing the 'care folds time' insight; treating horizons as fixed rather than expandable","Cognitive horizons in Geometric-Cartographic hybrid style. Four-axis projection: temporal depth (vertical), agential range (horizontal), abstractive height (diagonal up), integrative span (diagonal out). Horizon boundary as curved surface limiting cognition. Clean geometric lines with terrain-like shading. Slate (#1A202C) axes, blue (#2C5282) horizon surface. White background."
DIAG-012,TAME Levels,Pell Anster,Concentric rings with integration indicators,"concentric circles (levels), integration markers, example entities at each level",Geometric School,Ecological zone diagram,"Treating levels as discrete rather than continuous; missing transition zones; over-simplifying boundaries","TAME levels in Geometric School style. Four concentric rings: T-Triggered (outer), A-Autonomous, M-Modular, E-Emergent (inner). Integration markers on ring boundaries. Example creatures/entities positioned at appropriate levels. Clean orthographic view. Uniform lines. Slate (#1A202C) rings, blue (#2B6CB0) integration zones. White background. Precise labels."
DIAG-013,Observer Access,Tobin Creel,Multiple overlapping perspectives on same substrate,"substrate representation, observer viewpoints, computation outputs, view boundaries",Organic-Notation Hybrid,Necker cube / multi-stable perception,"Single observer assumption; missing polycomputing insight; static rather than observer-dependent","Observer access in Organic-Notation hybrid style. Central substrate with multiple observer positions around it. Each observer 'sees' different computation. Overlapping view boundaries show shared vs unique access. Flowing arrangement with precise annotations. Teal (#319795) observer positions, green (#276749) substrate, amber (#D69E2E) computation outputs. Soft gradient background."
DIAG-014,Creature Grammar,Pollus Brent,Behavioral sequence notation with prime cycles,"sequence bars, prime markers (2,3,5,7,11), behavioral 'words', sentence structure",Notation Scribes,Musical notation / DNA sequence,"Treating behavior as random; missing prime-number patterns; oversimplifying vocabulary","Creature grammar in Notation Scribes style. Horizontal timeline showing behavioral sequences. Prime-cycle markers (2,3,5,7,11) annotate recurring patterns. 'Words' as behavioral units, 'sentences' as complete sequences. Clean notation-style layout. Black (#1A202C) timeline, blue (#2B6CB0) prime markers, green (#276749) for confirmed patterns. White background. Integrated frequency notation."
DIAG-015,Stability-Plasticity Dilemma,Vornis Keth,Trade-off curve with vigilance parameter,"two axes (stability/plasticity), trade-off curve, vigilance slider, operating points",Geometric School,ROC curve / Pareto frontier,"Treating as binary choice; missing continuous vigilance parameter; static representation","Stability-plasticity in Geometric School style. Two-axis diagram: stability (vertical), plasticity (horizontal). Trade-off curve showing impossibility of maximizing both. Vigilance parameter as slider along curve. Operating points marked for different systems. Clean geometric construction. Slate (#1A202C) axes, red (#C53030) trade-off curve, blue (#2B6CB0) operating points. White background."
DIAG-016,Harmonic Projection,Pemlik Tross,Spectral embedding visualization,"eigenvalue spectrum, projected points, neighbor relationships, frequency bands",Organic-Notation Hybrid,Spectral clustering output,"Missing frequency interpretation; treating as simple dimensionality reduction; ignoring signed relationships","Harmonic projection in Organic-Notation hybrid style. Entities projected into spectral space based on neighbor relationships. K-nearest and K-farthest relationships shown. Frequency bands indicated by color zones. Flowing point distribution with precise eigenvalue labels. Teal (#319795) KNN connections, amber (#D69E2E) KFN repulsion. Soft gradient background."
DIAG-017,Prebel Effect,Prebel Cord,Before/after comparison with observation marker,"two-panel: unstable region (before), stabilized region (after), observation event marker",Geometric School,Quantum measurement diagram,"Missing temporal aspect; treating observation as instantaneous; ignoring partial stabilization","Prebel Effect in Geometric School style. Two-panel comparison. Left: unstable region with fluctuating boundaries. Right: same region post-observation with stable contours. Central observation event marker. Clean uniform lines. Unstable (#C53030), stable (#2B6CB0), observation marker (#276749). White background. Labels: 'Pre-observation' and 'Post-observation'."
DIAG-018,Three-Compassed Maps,Unknown,Directional rose with three cardinal directions,"three arrows (no East), angular divisions, orientation labels",Cartographer's Guild Practice,Modified compass rose,"Adding a fourth direction; using standard NSEW conventions; treating as artistic choice rather than cosmological fact","Three-Compassed orientation in Cartographer's Guild style. Compass rose with only three directions (North, South, West). 120-degree angular divisions. No East marker - conspicuously absent. Survey-grade precision. Medium lines. Blue (#2C5282) primary rose, gold (#ECC94B) accents. Parchment background. Observer notation space below."
DIAG-019,Journey Archetypes,Lurra Venn,Trajectory clustering with archetype regions,"trajectory paths, cluster boundaries, archetype labels, counter-examples",Cartographic Guild,Customer journey map,"Over-determining categories; missing individual variation; treating archetypes as prescriptive","Journey archetypes in Cartographic Guild style. Four trajectory regions: Lucky Fool, Weathered Hand, Doomed Optimist, Happy Accident. Individual paths shown crossing regions. Cluster boundaries as terrain features. Counter-examples (Meck Drune critique) marked. Contour style. Blue (#2C5282) to red (#C53030) gradient for outcome quality. Parchment background."
DIAG-020,Ingression Theory,Archon Vells,Potential-to-actual transition visualization,"abstract forms (top), manifestation arrows, material instances (bottom), ingression pathway",Organic School,Platonic ideal diagram,"Static representation of dynamic process; missing the 'how' of manifestation; treating forms as templates rather than attractors","Ingression in Organic School style. Upper region: abstract Form Library forms as soft shapes. Lower region: material instances as concrete creatures/entities. Ingression arrows showing manifestation pathway. Variable flowing lines show process dynamism. Green (#276749) abstract forms, teal (#319795) transitions, amber (#D69E2E) material instances. Warm gradient background."
DIAG-021,CSQ Notation,Multiple,Symbol reference chart with combination rules,"symbol grid, meaning annotations, combination examples, counter values",Notation Scribes,Programming language syntax chart,"Treating symbols in isolation; missing combination semantics; ignoring counter values","CSQ notation in Notation Scribes style. Grid layout of fundamental symbols (∅,∂,∫,Δ,Σ,Π,∇). Each symbol with meaning, counter value, position rules. Combination examples in sidebar. Clean publication layout. Black (#1A202C) symbols, blue (#2B6CB0) annotations, green (#276749) for examples. White background. LaTeX-quality rendering."
DIAG-022,Breathing Phenomenon,Vornis Keth,Temporal oscillation of basin boundaries,"time axis, basin boundary curves, expansion/contraction phases, cycle markers",Organic School,Tidal chart,"Static snapshot instead of animation; missing cyclical nature; treating as random fluctuation","Basin breathing in Organic School style. Temporal visualization of basin boundary oscillation. Time flows left to right. Basin boundaries shown as curves that expand (inhale) and contract (exhale). Cycle phase markers. Variable flowing lines. Teal (#319795) boundaries, amber (#D69E2E) expansion phases. Warm gradient background. Natural breathing rhythm aesthetic."
