worker_id,worker_region,documentation_silence,reform_survival,responsibility,instructor_morin,instability_causes,supplement_itself,distribution_scope,primary_cluster,confidence_level,position_change_count
morrin_kade,densmok,documentation,parallel,bureau_and_system,understanding,proximity_spatial,supplement_incomplete,wide,documentation_advocates,high,1
dessa_morin,densmok,middle_ground,survival,system,understanding,unknown,supplement_helps,careful,survival_faction,high,0
crenla_b,eastern_regional,documentation,parallel,system,praise,proximity_spatial,supplement_incomplete,wide,documentation_advocates,high,0
tommel_g,densmok,middle_ground,survival,bureau,praise,pragmatic,supplement_helps,need_based,survival_faction,medium,1
renna_v,border_services,documentation,reform,bureau,praise,proximity_spatial,supplement_incomplete,wide,reform_faction,high,0
voss_l,densmok,middle_ground,survival,system,understanding,conditions,supplement_helps,careful,survival_faction,high,0
pollux_k,mountain_province,middle_ground,survival,everyone,understanding,unknown,supplement_helps,careful,silence_advocates,medium,2
terin_holt,eastern_regional,documentation,parallel,system,praise,proximity_spatial,supplement_incomplete,wide,documentation_advocates,high,0
vella_marsh,northern_regional,silence,survival,system,understanding,observation,supplement_risk,careful,silence_advocates,high,0
anonymous_1,northern_regional,silence,survival,system,criticism,observation,supplement_risk,careful,silence_advocates,medium,1
anonymous_2,western_regional,documentation,reform,bureau,praise,proximity_spatial,supplement_incomplete,wide,reform_faction,medium,0
anonymous_3,eastern_regional,documentation,parallel,everyone,understanding,unknown,supplement_incomplete,wide,documentation_advocates,low,3
anonymous_4,mountain_province,middle_ground,survival,system,understanding,pragmatic,supplement_helps,need_based,survival_faction,low,2
anonymous_5,northern_regional,silence,survival,conditions,criticism,observation,supplement_risk,careful,silence_advocates,medium,0
anonymous_6,border_services,documentation,reform,bureau,praise,proximity_spatial,supplement_helps,wide,reform_faction,medium,1
jace_t,densmok,middle_ground,reform,bureau,criticism,unknown,supplement_dangerous,wide,reform_faction,low,3
worker_a,eastern_regional,documentation,reform,bureau,praise,proximity_spatial,supplement_helps,wide,reform_faction,low,0
worker_b,northern_regional,silence,survival,conditions,understanding,observation,supplement_risk,careful,silence_advocates,low,0
worker_c,mountain_province,middle_ground,survival,system,understanding,pragmatic,supplement_helps,need_based,survival_faction,low,1
worker_d,western_regional,documentation,reform,bureau,criticism,proximity_spatial,supplement_incomplete,wide,reform_faction,low,0
worker_e,eastern_regional,documentation,parallel,system,understanding,unknown,supplement_incomplete,wide,documentation_advocates,low,1
worker_f,northern_regional,silence,survival,conditions,criticism,observation,supplement_risk,careful,silence_advocates,low,0
worker_g,eastern_regional,documentation,reform,bureau,praise,proximity_spatial,supplement_helps,wide,reform_faction,low,0
worker_h,northern_regional,silence,survival,system,understanding,observation,supplement_risk,careful,silence_advocates,low,0
worker_i,border_services,documentation,reform,bureau,praise,proximity_spatial,supplement_helps,wide,reform_faction,low,0
failed_contact_1,densmok,documentation,reform,bureau,praise,proximity_spatial,supplement_helps,wide,unknown,unknown,0
failed_contact_2,eastern_regional,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
failed_contact_3,northern_regional,silence,survival,system,understanding,observation,supplement_risk,careful,unknown,unknown,0
failed_contact_4,eastern_regional,documentation,reform,bureau,praise,unknown,supplement_helps,wide,unknown,unknown,0
failed_contact_5,mountain_province,documentation,reform,bureau,praise,unknown,supplement_helps,wide,unknown,unknown,0
failed_contact_6,border_services,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
instructor_perren,densmok,middle_ground,survival,conditions,not_applicable,conditions,not_applicable,not_applicable,historical,historical,0
kellum_vance,capital,not_applicable,not_applicable,none,not_applicable,denial,not_applicable,not_applicable,bureau,bureau,0
lenna_fost,capital,documentation,reform,bureau,not_applicable,proximity_spatial,not_applicable,not_applicable,research,research,0
senior_worker_1,northern_regional,silence,survival,conditions,understanding,observation,supplement_risk,careful,silence_advocates,high,0
senior_worker_2,eastern_regional,documentation,survival,system,understanding,proximity_spatial,supplement_helps,careful,survival_faction,high,0
senior_worker_3,densmok,middle_ground,survival,system,understanding,unknown,supplement_helps,careful,survival_faction,high,0
young_worker_1,densmok,documentation,reform,everyone,criticism,unknown,supplement_dangerous,wide,reform_faction,low,4
young_worker_2,eastern_regional,documentation,reform,bureau,praise,proximity_spatial,supplement_helps,wide,reform_faction,low,2
