context_id,target_word,context_window,left_context,right_context,co_occurrence_count,pmi_score,similarity_cluster,semantic_domain,year_collected,collector,archive_source,methodology,notes
DC-001,surveyor,±3_words,the experienced,documented the,47,3.82,profession_cluster,archive_work,962,corren_moll,archive_corpus,sliding_window,"High co-occurrence with 'documented' and 'boundary'"
DC-002,surveyor,±3_words,chief,reported,38,3.21,profession_cluster,archive_work,962,corren_moll,archive_corpus,sliding_window,"Title context"
DC-003,boundary,±3_words,the unstable,shifted,89,4.15,spatial_cluster,territorial,962,corren_moll,archive_corpus,sliding_window,"Strong territorial context"
DC-004,boundary,±3_words,sector,measurement,72,3.87,spatial_cluster,territorial,962,corren_moll,archive_corpus,sliding_window,"Technical surveying context"
DC-005,breach,±3_words,moat,catastrophic,34,4.52,failure_cluster,infrastructure,963,corren_moll,archive_corpus,sliding_window,"Disaster terminology cluster"
DC-006,breach,±3_words,security,prevented,28,3.94,failure_cluster,infrastructure,963,corren_moll,archive_corpus,sliding_window,"Preventative context"
DC-007,manuscript,±3_words,the archived,contains,156,3.45,document_cluster,scholarship,964,corren_moll,archive_corpus,sliding_window,"Document cluster nucleus"
DC-008,manuscript,±3_words,unpublished,recovered,43,4.23,document_cluster,scholarship,964,corren_moll,archive_corpus,sliding_window,"Recovery/discovery context"
DC-009,ghost,±3_words,the persistent,faded,67,4.67,supernatural_cluster,phenomena,965,corren_moll,archive_corpus,sliding_window,"Persistence vocabulary"
DC-010,ghost,±3_words,yeller,observation,45,4.12,supernatural_cluster,phenomena,965,corren_moll,archive_corpus,sliding_window,"Location-bound phenomena"
DC-011,expedition,±3_words,the failed,returned,112,3.56,journey_cluster,exploration,965,corren_moll,archive_corpus,sliding_window,"Outcome-focused context"
DC-012,expedition,±3_words,scientific,departed,78,3.89,journey_cluster,exploration,965,corren_moll,archive_corpus,sliding_window,"Type classification context"
DC-013,theory,±3_words,proposed,contested,94,3.78,scholarly_cluster,academic,966,corren_moll,archive_corpus,sliding_window,"Academic process terminology"
DC-014,theory,±3_words,the alternative,explains,56,3.92,scholarly_cluster,academic,966,corren_moll,archive_corpus,sliding_window,"Explanatory function context"
DC-015,pattern,±3_words,the recurring,observed,83,3.67,analysis_cluster,observation,967,corren_moll,archive_corpus,sliding_window,"Observational context"
DC-016,pattern,±3_words,substrate,persists,41,4.34,analysis_cluster,observation,967,corren_moll,archive_corpus,sliding_window,"Sareth Moll's terminology"
DC-017,scholar,±3_words,the distinguished,argued,67,3.45,profession_cluster,academic,967,corren_moll,archive_corpus,sliding_window,"Professional identity context"
DC-018,scholar,±3_words,visiting,presented,52,3.78,profession_cluster,academic,967,corren_moll,archive_corpus,sliding_window,"Academic activity context"
DC-019,archive,±3_words,the capital,contains,234,3.12,institution_cluster,infrastructure,968,corren_moll,archive_corpus,sliding_window,"High frequency institutional term"
DC-020,archive,±3_words,western,linguistics,89,4.01,institution_cluster,infrastructure,968,corren_moll,archive_corpus,sliding_window,"Moll's own institution"
DC-021,meaning,±3_words,the true,revealed,78,3.89,semantic_cluster,language,968,corren_moll,archive_corpus,sliding_window,"Core semantic term"
DC-022,meaning,±3_words,distributional,context,123,4.56,semantic_cluster,language,968,corren_moll,archive_corpus,sliding_window,"Key theoretical context"
DC-023,word,±3_words,the written,denotes,145,3.34,linguistic_cluster,language,969,corren_moll,archive_corpus,sliding_window,"Basic linguistic unit"
DC-024,word,±3_words,contextual,embedding,67,4.23,linguistic_cluster,language,969,corren_moll,archive_corpus,sliding_window,"Technical linguistics context"
DC-025,context,±3_words,the surrounding,determines,112,4.12,meta_cluster,methodology,969,corren_moll,archive_corpus,sliding_window,"Methodological key term"
DC-026,context,±3_words,distributional,meaning,98,4.45,meta_cluster,methodology,969,corren_moll,archive_corpus,sliding_window,"The distributional hypothesis"
DC-027,functor,±3_words,the meaning,preserves,34,5.12,category_cluster,mathematics,970,corren_moll,archive_corpus,sliding_window,"Technical category theory term"
DC-028,functor,±3_words,embedding,maps,28,4.89,category_cluster,mathematics,970,corren_moll,archive_corpus,sliding_window,"Mapping function context"
DC-029,morphism,±3_words,grammatical,relates,45,4.78,category_cluster,mathematics,970,corren_moll,archive_corpus,sliding_window,"Structural relation term"
DC-030,morphism,±3_words,composable,identity,23,5.23,category_cluster,mathematics,970,corren_moll,archive_corpus,sliding_window,"Category-theoretic properties"
DC-031,embedding,±3_words,vector,space,156,4.01,representation_cluster,mathematics,971,corren_moll,archive_corpus,sliding_window,"Representational terminology"
DC-032,embedding,±3_words,word,semantic,134,4.34,representation_cluster,mathematics,971,corren_moll,archive_corpus,sliding_window,"Semantic embedding context"
DC-033,king,±3_words,the,ruled,89,3.12,entity_cluster,royalty,972,corren_moll,analogy_corpus,word2vec_style,"Classic analogy source"
DC-034,queen,±3_words,the,ruled,78,3.23,entity_cluster,royalty,972,corren_moll,analogy_corpus,word2vec_style,"Analogy target"
DC-035,man,±3_words,the young,walked,234,2.45,entity_cluster,humanity,972,corren_moll,analogy_corpus,word2vec_style,"Gender term context"
DC-036,woman,±3_words,the young,spoke,212,2.56,entity_cluster,humanity,972,corren_moll,analogy_corpus,word2vec_style,"Parallel gender context"
DC-037,paris,±3_words,in,the capital,123,3.89,location_cluster,geography,973,corren_moll,analogy_corpus,word2vec_style,"Capital city context"
DC-038,france,±3_words,of,kingdom,98,3.67,location_cluster,geography,973,corren_moll,analogy_corpus,word2vec_style,"Country context"
DC-039,berlin,±3_words,in,the capital,89,3.78,location_cluster,geography,973,corren_moll,analogy_corpus,word2vec_style,"Parallel capital context"
DC-040,germany,±3_words,of,empire,112,3.45,location_cluster,geography,973,corren_moll,analogy_corpus,word2vec_style,"Parallel country context"
DC-041,similar,±2_words,semantically,words,67,4.56,similarity_cluster,evaluation,974,corren_moll,archive_corpus,sliding_window,"Similarity evaluation"
DC-042,vector,±2_words,embedding,represents,89,4.23,representation_cluster,mathematics,974,corren_moll,archive_corpus,sliding_window,"Vector representation"
DC-043,probe,±2_words,context,reveals,45,4.78,probing_cluster,methodology,975,corren_moll,archive_corpus,sliding_window,"Probing methodology (Strand influence)"
DC-044,attention,±2_words,weighted,context,34,4.89,mechanism_cluster,computation,976,corren_moll,archive_corpus,sliding_window,"Attention mechanism anticipation"
DC-045,category,±2_words,linguistic,structure,78,4.34,theoretical_cluster,mathematics,977,corren_moll,archive_corpus,sliding_window,"The central theoretical term"
