complaint_id,satellite,complaint_category,frequency,percent_of_complaints,year,employer_region
EC001,Western Densmok,Rigid protocol application,14,45.2,849,western
EC002,Western Densmok,Unable to handle classification discrepancies,9,29.0,849,western
EC003,Western Densmok,Froze when procedures didnt match conditions,5,16.1,849,western
EC004,Western Densmok,Required excessive supervision,2,6.5,849,western
EC005,Western Densmok,Other,1,3.2,849,western
EC006,Western Millbrook,Rigid protocol application,11,38.0,849,western
EC007,Western Millbrook,Unable to handle classification discrepancies,8,27.6,849,western
EC008,Western Millbrook,Froze when procedures didnt match conditions,6,20.7,849,western
EC009,Western Millbrook,Required excessive supervision,3,10.3,849,western
EC010,Western Millbrook,Other,1,3.4,849,western
EC011,Eastern Regional,Rigid protocol application,6,28.6,849,eastern
EC012,Eastern Regional,Unable to handle classification discrepancies,7,33.3,849,eastern
EC013,Eastern Regional,Froze when procedures didnt match conditions,4,19.0,849,eastern
EC014,Eastern Regional,Required excessive supervision,3,14.3,849,eastern
EC015,Eastern Regional,Other,1,4.8,849,eastern
EC016,Mountain Province,Rigid protocol application,8,32.0,849,northern
EC017,Mountain Province,Unable to handle classification discrepancies,9,36.0,849,northern
EC018,Mountain Province,Froze when procedures didnt match conditions,5,20.0,849,northern
EC019,Mountain Province,Required excessive supervision,2,8.0,849,northern
EC020,Mountain Province,Other,1,4.0,849,northern
