episode_id,session_id,semester_id,date,episode_type,duration_seconds,time_in_class_minutes,observed_by_jackson,is_crisis_semester,severity
EP0001,CLS0059,SEM02,2019-02-08,reading_trance,1140.0,35,True,False,
EP0002,CLS0071,SEM02,2019-03-08,no_assignment_call,,19,False,False,
EP0003,CLS0098,SEM02,2019-05-10,blank_out,60.0,23,True,False,2.0
EP0004,CLS0101,SEM03,2019-08-30,no_assignment_call,,8,False,False,
EP0005,CLS0104,SEM03,2019-09-06,no_assignment_call,,28,False,False,
EP0006,CLS0118,SEM03,2019-10-09,reading_trance,1200.0,20,False,False,
EP0007,CLS0137,SEM03,2019-11-22,no_assignment_call,,22,False,False,
EP0008,CLS0137,SEM03,2019-11-22,staring,116.0,14,True,False,
EP0009,CLS0143,SEM03,2019-12-06,no_assignment_call,,24,False,False,
EP0010,CLS0166,SEM04,2020-02-28,reading_trance,1140.0,16,False,False,
EP0011,CLS0180,SEM04,2020-04-01,blank_out,30.0,14,True,False,5.0
EP0012,CLS0182,SEM04,2020-04-06,staring,50.0,20,True,False,
EP0013,CLS0184,SEM04,2020-04-10,no_assignment_call,,35,True,False,
EP0014,CLS0190,SEM04,2020-04-24,no_assignment_call,,26,True,False,
EP0015,CLS0215,SEM05,2020-10-07,folder_loop,118.0,45,True,False,
EP0016,CLS0224,SEM05,2020-10-28,blank_out,20.0,32,True,False,2.0
EP0017,CLS0232,SEM05,2020-11-16,reading_trance,1320.0,21,False,False,
EP0018,CLS0234,SEM05,2020-11-20,reading_trance,960.0,17,True,False,
EP0019,CLS0245,SEM06,2021-01-15,early_departure,75.0,15,True,False,
EP0020,CLS0250,SEM06,2021-01-27,no_assignment_call,,41,True,False,
EP0021,CLS0252,SEM06,2021-02-01,staring,48.0,23,True,False,
EP0022,CLS0264,SEM06,2021-03-01,no_assignment_call,,34,True,False,
EP0023,CLS0264,SEM06,2021-03-01,folder_loop,37.0,5,False,False,
EP0024,CLS0265,SEM06,2021-03-03,no_assignment_call,,8,False,False,
EP0025,CLS0269,SEM06,2021-03-12,reading_trance,900.0,24,True,False,
EP0026,CLS0277,SEM06,2021-03-31,no_assignment_call,,27,False,False,
EP0027,CLS0283,SEM06,2021-04-14,folder_loop,29.0,12,False,False,
EP0028,CLS0287,SEM06,2021-04-23,folder_loop,75.0,42,True,False,
EP0029,CLS0291,SEM06,2021-05-03,no_assignment_call,,7,False,False,
EP0030,CLS0291,SEM06,2021-05-03,early_departure,22.0,45,True,False,
EP0031,CLS0292,SEM06,2021-05-05,no_assignment_call,,37,True,False,
EP0032,CLS0293,SEM06,2021-05-07,no_assignment_call,,39,True,False,
EP0033,CLS0293,SEM06,2021-05-07,reading_trance,1380.0,22,True,False,
EP0034,CLS0297,SEM07,2021-08-30,reading_trance,1260.0,29,True,True,
EP0035,CLS0301,SEM07,2021-09-08,reading_trance,1080.0,42,True,True,
EP0036,CLS0311,SEM07,2021-10-01,no_assignment_call,,31,True,True,
EP0037,CLS0325,SEM07,2021-11-03,folder_loop,87.0,30,False,True,
EP0038,CLS0326,SEM07,2021-11-05,no_assignment_call,,19,True,True,
EP0039,CLS0327,SEM07,2021-11-08,early_departure,18.0,23,True,True,
EP0040,CLS0328,SEM07,2021-11-10,no_assignment_call,,14,True,True,
EP0041,CLS0329,SEM07,2021-11-12,blank_out,90.0,33,True,True,2.0
EP0042,CLS0329,SEM07,2021-11-12,no_assignment_call,,12,True,True,
EP0043,CLS0329,SEM07,2021-11-12,folder_loop,107.0,15,False,True,
EP0044,CLS0332,SEM07,2021-11-19,no_assignment_call,,18,True,True,
EP0045,CLS0332,SEM07,2021-11-19,staring,18.0,39,True,True,
EP0046,CLS0333,SEM07,2021-11-22,no_assignment_call,,36,True,True,
EP0047,CLS0335,SEM07,2021-11-26,no_assignment_call,,13,True,True,
EP0048,CLS0335,SEM07,2021-11-26,folder_loop,52.0,14,True,True,
EP0049,CLS0336,SEM07,2021-11-29,no_assignment_call,,45,True,True,
EP0050,CLS0337,SEM07,2021-12-01,no_assignment_call,,33,True,True,
EP0051,CLS0339,SEM07,2021-12-06,no_assignment_call,,41,True,True,
EP0052,CLS0342,SEM07,2021-12-13,folder_loop,111.0,20,True,True,
EP0053,CLS0351,SEM08,2022-02-02,early_departure,104.0,10,False,False,
EP0054,CLS0355,SEM08,2022-02-11,early_departure,59.0,17,False,False,
EP0055,CLS0357,SEM08,2022-02-16,no_assignment_call,,15,True,False,
EP0056,CLS0358,SEM08,2022-02-18,no_assignment_call,,18,True,False,
EP0057,CLS0358,SEM08,2022-02-18,early_departure,94.0,26,False,False,
EP0058,CLS0361,SEM08,2022-02-25,staring,88.0,15,True,False,
EP0059,CLS0369,SEM08,2022-03-16,staring,13.0,5,True,False,
EP0060,CLS0371,SEM08,2022-03-21,no_assignment_call,,39,True,False,
EP0061,CLS0375,SEM08,2022-03-30,no_assignment_call,,13,False,False,
EP0062,CLS0377,SEM08,2022-04-04,no_assignment_call,,32,True,False,
EP0063,CLS0384,SEM08,2022-04-20,early_departure,30.0,23,True,False,
EP0064,CLS0386,SEM08,2022-04-25,staring,57.0,6,True,False,
EP0065,CLS0387,SEM08,2022-04-27,folder_loop,89.0,29,False,False,
EP0066,CLS0390,SEM08,2022-05-04,no_assignment_call,,11,True,False,
