discovery_id,expedition_id,discovery_type,discovery_specific,discovery_significance,protocol_relevant,serendipitous,decision_context,discoverer
DISC-A1-MISSED,A-1,creature,new_creature_species,high,False,True,not_investigated,none
DISC-0330,A-2,artifact,abandoned_equipment,high,True,False,protocol_objective,Kira Venn
DISC-0001,EXP-860-002,geographic,elevation_survey,medium,True,True,route_deviation,Vass Tonner
DISC-0002,EXP-860-006,phenomenon,spatial_anomaly_minor,low,True,False,protocol_objective,Kern Hollith
DISC-0003,EXP-860-006,creature,creature_behavior_pattern,low,True,True,crew_suggestion,Mik Torvas
DISC-0004,EXP-860-006,creature,stakdur_variant,low,True,False,scheduled_survey,Wenna Fost
DISC-0005,EXP-861-002,geographic,terrain_mapping,high,False,True,route_deviation,Hesta Vorn
DISC-0006,EXP-861-002,geographic,terrain_mapping,high,False,True,route_deviation,Joren Pell
DISC-0007,EXP-861-008,geographic,shelter_location,medium,True,True,crew_suggestion,Kira Venn
DISC-0008,EXP-862-003,phenomenon,atmospheric_effect,low,False,False,scheduled_survey,Kira Venn
DISC-0009,EXP-862-003,phenomenon,unknown_phenomenon,low,False,True,accident,Kira Venn
DISC-0010,EXP-862-003,creature,unknown_predator_sign,medium,False,True,curiosity_investigation,Orna Kellith
DISC-0011,EXP-862-007,creature,creature_interaction,low,True,True,accident,Tess Varn
DISC-0012,EXP-862-008,geographic,river_crossing,low,False,True,discovery_mandate_time,Tesson Vash
DISC-0013,EXP-863-007,artifact,buried_cache,low,True,True,discovery_mandate_time,unknown
DISC-0014,EXP-864-002,phenomenon,compass_deviation_pattern,low,True,False,scheduled_survey,Vass Tonner
DISC-0015,EXP-864-005,artifact,inscribed_stone,high,True,True,crew_suggestion,Kern Hollith
DISC-0016,EXP-864-006,phenomenon,boundary_fluctuation,medium,False,True,rest_period_observation,Mik Torvas
DISC-0017,EXP-865-001,artifact,memorial_site,high,True,True,crew_suggestion,unknown
DISC-0018,EXP-865-006,phenomenon,dissolution_sign,medium,False,False,creature_tracking,unknown
DISC-0019,EXP-865-006,phenomenon,unknown_phenomenon,medium,True,False,protocol_objective,Hesta Vorn
DISC-0020,EXP-865-006,phenomenon,spatial_anomaly_minor,low,True,False,scheduled_survey,Hesta Vorn
DISC-0021,EXP-865-007,creature,creature_habitat,medium,False,False,protocol_objective,crew_collective
DISC-0022,EXP-865-007,phenomenon,spatial_anomaly_minor,high,False,False,protocol_objective,Tess Varn
DISC-0023,EXP-866-003,phenomenon,spatial_anomaly_minor,medium,False,True,discovery_mandate_time,Tess Varn
DISC-0024,EXP-866-003,geographic,water_source,high,True,True,curiosity_investigation,Hesta Vorn
DISC-0025,EXP-866-003,phenomenon,temporal_inconsistency,high,True,True,crew_suggestion,Mik Torvas
DISC-0026,EXP-866-005,creature,unknown_predator_sign,medium,True,False,protocol_objective,Hesta Vorn
DISC-0027,EXP-866-005,artifact,mineral_deposit,low,True,False,protocol_objective,Wenna Fost
DISC-0028,EXP-866-008,phenomenon,atmospheric_effect,medium,True,True,route_deviation,Penn Kellor
DISC-0029,EXP-866-008,creature,glunge_colony,low,False,True,discovery_mandate_time,Joren Pell
DISC-0030,EXP-867-003,geographic,landmark_documentation,low,True,False,creature_tracking,Orna Kellith
DISC-0031,EXP-867-007,phenomenon,unknown_phenomenon,low,True,False,scheduled_survey,Kern Hollith
DISC-0032,EXP-867-009,phenomenon,unknown_phenomenon,high,False,False,curiosity_investigation,Kira Venn
DISC-0033,EXP-867-009,phenomenon,temporal_inconsistency,low,False,False,scheduled_survey,Mik Torvas
DISC-0034,EXP-867-009,creature,unknown_predator_sign,medium,True,False,creature_tracking,Tesson Vash
DISC-0035,EXP-868-002,phenomenon,landmark_shift,high,True,True,route_deviation,unknown
DISC-0036,EXP-868-004,artifact,buried_cache,medium,False,True,discovery_mandate_time,Hesta Vorn
DISC-0037,EXP-868-005,geographic,landmark_documentation,medium,True,False,protocol_objective,Pell Drenn
DISC-0038,EXP-868-005,creature,creature_interaction,major,True,True,accident,Pell Drenn
