catalog_id,item_name,item_type,item_category,manufacturer_origin,primary_use,associated_profession,material_components,special_properties,hazard_notes,storage_location,first_documented,compiler,notes
EEC-001,Pickbox Cart,Transportation,Field Equipment,Quarry craftsmen,"Transport of equipment and specimens across Dens terrain",Mapmaker / Surveyor / Trader,Wood and metal construction with reinforced axles,"Distinctive design allows navigation on unstable Densground; some versions have seventy sides",May attract Dens creatures due to vibration patterns,Field use - not typically stored,Unknown - traditional,Cartographer's Guild,The Mapmaker's cart famously has five women roped to it; Vagabu Olt uses modified version
EEC-002,Tracking Balls,Navigation/Detection,Field Equipment,Capital Taxonomist workshops,Tracking creatures and expeditions in Dens region,Surveyor / Expedition Leader,Sonic components with phosphorescent coating,Glow green when activated; emit sonic signals for remote tracking,May interfere with creature behavior - use with caution near sensitive species,Guild Hall equipment stores,Year 875 approx,Hesta Vorn (SCH-012),Used in modern expeditions; replace earlier less reliable tracking methods
EEC-003,Specimen Bags,Collection,Field Equipment,Leather workers (Capital),Collecting creature specimens for transport,Taxonomist / Expedition member,Leather with treated inner lining,"Designed to preserve creature specimens during transport; various sizes available",Some creatures can escape untreated bags - always use Guild-approved treatments,Archive Taxonomic Wing,Year 850 approx,Capital Taxonomists,Standard equipment for taxonomic expeditions
EEC-004,"Traps (tunnel/box/spherical)",Capture,Capture Equipment,Quarry Crews,"Capturing creatures in various environments - tunnels surface and unusual shapes",Quarry worker,Wood and metal - deliberately imperfect construction,"Deliberately made 'wrong' - corners not square, edges not flush; creatures enter more readily; three types for different situations",Improper placement may collapse tunnels; may capture unintended creatures,Quarry equipment sheds,Traditional - pre-documentation,Quarry Crews (informal records),"Three main types: tunnel traps for burrows, box traps for surface, spherical for unusual body shapes; all share 'wrong' construction principle"
EEC-007,Witch's Foot,Supernatural,Magical Object,Unknown - found objects,Protection or magical purposes,Various - magical practitioners,Twist of black bark or tarred rope,Magical properties - nature disputed,Handle with care - magical objects may have unexpected effects,Personal possession only,Unknown,Informal field reports,Found in Dens region; purposes range from protection to curse-work
EEC-008,Stone Salamander Artifact,Artifact,Archaeological/Magical,Unknown ancient origin,Unknown - artifact under study,Collector / Scholar,Stone carved in salamander form,Strange properties - discovered by Duster,May have connection to Dens creatures - study ongoing,Personal collection (Duster),Unknown - ancient,Field discovery report,Unusual artifact of unclear purpose; may connect W1/W2
EEC-009,Book of Curses,Text,Supernatural Object,Unknown,Curse implementation,Magical practitioner (Kera Qine),Bound text with unknown content,Allows wielder to flatten city blocks - extreme power,Extremely dangerous - responsible for major destruction,Personal possession (Kera Qine),Unknown,Incident reports,Kera Qine acquired accidentally; demonstrates Dens region supernatural hazards
EEC-010,Densbone,Trade Material,Biological Material,Dens creatures,Trade commodity,Trader / Collector,Bone material from Dens-origin creatures,"Densbone skulls particularly valued; unknown properties",May carry Dens-origin effects - handle carefully,Traders Guild warehouses,Traditional,Traders Guild records,Major trade item; some believe has supernatural properties
EEC-011,Aunt Izzy's Comics,Text/Art,Cultural Object,Aunt Izzy (author),Education and entertainment about Quarry,Religious / Educational,Paper and ink - underground publication,"Underground comicbooks about Quarry life; used in church readings",Content may be considered subversive by Capital,Personal collections / Churches,Recent (W1/W2 bridge),Informal documentation,Bridge object - appears in both W1 Quarry context and W2 religious settings
EEC-012,Surveyor Equipment (standard kit),Navigation,Field Equipment,Guild certified manufacturers,Mapping and surveying,Surveyor / Cartographer,"Compass (three-point), measuring tools, recording materials",Standard Guild-approved equipment following Three-Compassed Map protocol,Standard equipment poses no unusual hazards,Guild Hall / Field use,Year 800 approx standardization,Cartographer's Guild,Does not include East-pointing instruments per Three-Compassed Map doctrine
EEC-013,MS-XXXX Manuscripts,Text,Archive Holdings,Various W1 scholars,Scholarly reference and preservation,Archivist / Scholar,Parchment/paper with various inks,Archive manuscript identifiers - MS-prefix numbering system,Some manuscripts may contain dangerous knowledge - access restricted,The Archives - Central Catalog,Archive founding era,Archive Cataloging Office,Standard Archive numbering for manuscript holdings
EEC-014,Knocker-bugs,Tracking/Detection,Biological Tool,Dens-origin - captured for use,Tracking in Dens region,Expedition teams,Living aureate creatures - gold with red spots,Used for tracking - follow targets through Dens terrain,Living creatures require care and feeding,Field containment only,Unknown - traditional use,Expedition reports,Biological alternative to mechanical tracking balls
EEC-015,Form 17-B,Document,Administrative,Cartographer's Guild,Hazard reporting for mapped locations,Surveyor / Cartographer,Standard Guild paper format,Official hazard reporting document - feeds into Guild records,No physical hazard - administrative document,Guild Hall filing system,Unknown - Guild protocol,Cartographer's Guild,Standard form for documenting dangerous locations during surveys
