expedition_id,landmark_id,landmark_name,landmark_type,expected_bearing_deg,actual_bearing_deg,bearing_delta,expected_distance_km,actual_distance_km,distance_delta_km,visible,stable,observer_notes
100,gray_spire,Gray Spire,rock_formation,45,43.514354480658945,-1.5,23.4,23.4,-0.0,True,True,position matches records
100,twisted_grove,Twisted Grove,vegetation,78,76.569818126215,-1.4,31.2,31.1,-0.1,True,True,position matches records
100,dry_wash,Dry Wash,terrain,112,,,45.6,,,False,True,NOT FOUND - Dry Wash not visible
100,standing_stones,Standing Stones,rock_formation,134,136.8539463527595,2.9,67.8,69.3,1.5,True,False,normal observation
100,split_boulder,Split Boulder,rock_formation,156,156.0468196577081,0.0,89.2,88.6,-0.6,True,True,position matches records
100,denstone_approach,Denstone Approach,settlement_edge,178,177.54362426359197,-0.5,142.3,142.0,-0.3,True,True,position matches records
100,moat_crossing,Moat Crossing,infrastructure,180,180.25658624703533,0.3,187.0,186.9,-0.1,True,True,position matches records
101,gradient_marker_a,Gradient Marker A,survey_stake,270,268.95176722386765,-1.0,2.0,2.0,0.0,True,False,normal observation
101,gradient_marker_b,Gradient Marker B,survey_stake,270,268.8504236829512,-1.1,5.0,5.1,0.1,True,False,normal observation
101,dens_edge,Dens Edge,terrain,270,,,14.0,,,False,True,NOT FOUND - Dens Edge not visible
101,yeller_shack,Yeller Shack,structure,195,197.17931109869866,2.2,4.8,4.7,-0.1,True,False,normal observation
102,gradient_marker_a,Gradient Marker A,survey_stake,270,,,2.0,,,False,False,NOT FOUND - Gradient Marker A not visible
102,gradient_marker_b,Gradient Marker B,survey_stake,270,269.78054037706795,-0.2,5.0,5.0,-0.0,True,True,position matches records
102,dens_edge,Dens Edge,terrain,270,271.9604658326781,2.0,14.0,13.8,-0.2,True,False,normal observation
102,yeller_shack,Yeller Shack,structure,195,195.89801608052633,0.9,4.8,4.6,-0.2,True,False,normal observation
103,gray_spire,Gray Spire,rock_formation,45,46.032311464009396,1.0,23.4,23.2,-0.2,True,False,normal observation
103,twisted_grove,Twisted Grove,vegetation,78,79.12969835996894,1.1,31.2,31.3,0.1,True,True,position matches records
103,dry_wash,Dry Wash,terrain,112,109.99748174969112,-2.0,45.6,45.5,-0.1,True,False,normal observation
103,standing_stones,Standing Stones,rock_formation,134,136.37443170547255,2.4,67.8,69.0,1.2,True,False,normal observation
103,split_boulder,Split Boulder,rock_formation,156,156.9691864883945,1.0,89.2,86.8,-2.4,True,False,normal observation
103,denstone_approach,Denstone Approach,settlement_edge,178,176.29773935557213,-1.7,142.3,143.8,1.5,True,False,normal observation
103,moat_crossing,Moat Crossing,infrastructure,180,179.7281535618485,-0.3,187.0,184.6,-2.4,True,False,normal observation
104,gray_spire,Gray Spire,rock_formation,45,46.415835682504614,1.4,23.4,24.0,0.6,True,False,normal observation
104,twisted_grove,Twisted Grove,vegetation,78,78.21957622931465,0.2,31.2,31.4,0.2,True,True,position matches records
104,dry_wash,Dry Wash,terrain,112,112.65472883233052,0.7,45.6,46.3,0.7,True,False,normal observation
104,standing_stones,Standing Stones,rock_formation,134,133.79381984928006,-0.2,67.8,66.9,-0.9,True,False,normal observation
104,split_boulder,Split Boulder,rock_formation,156,158.0375831803716,2.0,89.2,88.9,-0.3,True,False,normal observation
104,denstone_approach,Denstone Approach,settlement_edge,178,,,142.3,,,False,False,NOT FOUND - Denstone Approach not visible
104,moat_crossing,Moat Crossing,infrastructure,180,181.53485770380672,1.5,187.0,183.8,-3.2,True,False,normal observation
105,gradient_marker_a,Gradient Marker A,survey_stake,270,,,2.0,,,False,True,NOT FOUND - Gradient Marker A not visible
105,gradient_marker_b,Gradient Marker B,survey_stake,270,270.3812336091681,0.4,5.0,4.9,-0.1,True,False,normal observation
105,dens_edge,Dens Edge,terrain,270,,,14.0,,,False,True,NOT FOUND - Dens Edge not visible
105,yeller_shack,Yeller Shack,structure,195,194.95795801882784,-0.0,4.8,4.7,-0.1,True,False,normal observation
106,gray_spire,Gray Spire,rock_formation,45,45.76893265056196,0.8,23.4,23.3,-0.1,True,True,position matches records
106,twisted_grove,Twisted Grove,vegetation,78,,,31.2,,,False,False,NOT FOUND - Twisted Grove not visible
106,dry_wash,Dry Wash,terrain,112,113.65493812895728,1.7,45.6,44.7,-0.9,True,False,normal observation
106,standing_stones,Standing Stones,rock_formation,134,135.51128735145593,1.5,67.8,66.9,-0.9,True,False,normal observation
106,split_boulder,Split Boulder,rock_formation,156,158.88312628842687,2.9,89.2,91.1,1.9,True,False,normal observation
106,denstone_approach,Denstone Approach,settlement_edge,178,176.22792008764304,-1.8,142.3,141.3,-1.0,True,True,position matches records
106,moat_crossing,Moat Crossing,infrastructure,180,183.02697825994548,3.0,187.0,189.1,2.1,True,False,normal observation
107,gray_spire,Gray Spire,rock_formation,45,46.02193340318028,1.0,23.4,23.4,-0.0,True,True,position matches records
107,twisted_grove,Twisted Grove,vegetation,78,,,31.2,,,False,True,NOT FOUND - Twisted Grove not visible
107,dry_wash,Dry Wash,terrain,112,111.15061107864744,-0.8,45.6,46.1,0.5,True,False,normal observation
107,standing_stones,Standing Stones,rock_formation,134,134.4664266659,0.5,67.8,69.2,1.4,True,False,normal observation
107,split_boulder,Split Boulder,rock_formation,156,,,89.2,,,False,True,NOT FOUND - Split Boulder not visible
107,denstone_approach,Denstone Approach,settlement_edge,178,178.4905584313569,0.5,142.3,143.8,1.5,True,False,normal observation
107,moat_crossing,Moat Crossing,infrastructure,180,,,187.0,,,False,False,NOT FOUND - Moat Crossing not visible
108,gray_spire,Gray Spire,rock_formation,45,46.0927941412838,1.1,23.4,23.7,0.3,True,False,normal observation
108,twisted_grove,Twisted Grove,vegetation,78,,,31.2,,,False,True,NOT FOUND - Twisted Grove not visible
108,dry_wash,Dry Wash,terrain,112,109.55958257432988,-2.4,45.6,44.6,-1.0,True,False,normal observation
108,standing_stones,Standing Stones,rock_formation,134,134.31854816416305,0.3,67.8,67.8,-0.0,True,True,position matches records
108,split_boulder,Split Boulder,rock_formation,156,155.98872086074536,-0.0,89.2,88.6,-0.6,True,True,position matches records
108,denstone_approach,Denstone Approach,settlement_edge,178,180.5987661552901,2.6,142.3,140.8,-1.5,True,False,normal observation
108,moat_crossing,Moat Crossing,infrastructure,180,180.7984292914435,0.8,187.0,182.0,-5.0,True,False,normal observation
109,gradient_marker_a,Gradient Marker A,survey_stake,270,269.75859535713397,-0.2,2.0,2.0,0.0,True,False,normal observation
109,gradient_marker_b,Gradient Marker B,survey_stake,270,,,5.0,,,False,False,NOT FOUND - Gradient Marker B not visible
109,dens_edge,Dens Edge,terrain,270,269.98882572045795,-0.0,14.0,13.6,-0.4,True,False,normal observation
109,yeller_shack,Yeller Shack,structure,195,194.9716654009918,-0.0,4.8,4.8,0.0,True,True,position matches records
110,gray_spire,Gray Spire,rock_formation,45,43.578242260981234,-1.4,23.4,23.0,-0.4,True,False,normal observation
110,twisted_grove,Twisted Grove,vegetation,78,76.45424064372601,-1.5,31.2,31.0,-0.2,True,True,position matches records
110,dry_wash,Dry Wash,terrain,112,112.4343815130055,0.4,45.6,46.0,0.4,True,True,position matches records
110,standing_stones,Standing Stones,rock_formation,134,,,67.8,,,False,False,NOT FOUND - Standing Stones not visible
110,split_boulder,Split Boulder,rock_formation,156,,,89.2,,,False,False,NOT FOUND - Split Boulder not visible
