expedition_id,year,date,cartographer,origin,destination,days_planned,days_actual,route,route_matches_return,landmarks_expected,landmarks_found,landmarks_stable,distance_planned_km,distance_actual_km,instruments_used,instruments_functional_end,surveyor_state_start,surveyor_state_end,notes
100,1840,1840-05-19,Archon Vells,Capital,Denstone,14,19,northern,no,7,6,6,187,186.9,notebook compass chain,all,calm,curious,some landmarks not found
101,1840,1840-06-22,Archon Vells,Denstone,SW Border,2,4,local,yes,4,3,1,10,11.8,notebook compass chain,all,calm,shaken,difficult psychological conditions; some landmarks not found
102,1840,1840-01-25,Tenniv,Denstone,NW Border,2,2,local,yes,4,3,1,10,23.4,notebook compass chain,all,curious,anxious,some landmarks not found
103,1840,1840-07-17,Tenniv,Capital,Denstone,14,19,northern,no,7,7,1,187,184.6,notebook compass chain,all,curious,calm,routine expedition
104,1840,1840-09-03,Tenniv,Capital,Denstone,14,15,northern,yes,7,6,1,187,183.8,notebook compass chain,all,curious,calm,some landmarks not found
105,1840,1840-01-24,Archon Vells,Denstone,NW Border,3,2,local,yes,4,2,2,15,9.600000000000001,notebook compass chain,all,curious,calm,some landmarks not found
106,1840,1840-03-19,Archon Vells,Capital,Denstone,14,14,northern,yes,7,6,2,187,189.1,notebook compass chain,all,curious,calm,some landmarks not found
107,1840,1840-08-22,Tenniv,Capital,Denstone,14,15,northern,yes,7,4,3,187,,notebook compass chain,all,calm,uneasy,some landmarks not found
108,1841,1841-06-23,Tenniv,Capital,Denstone,14,15,northern,yes,7,6,3,187,182.0,notebook compass chain,all,calm,anxious,some landmarks not found
109,1841,1841-06-03,Tenniv,Denstone,Gradient Zone,6,6,local,yes,4,3,1,30,20.4,notebook compass chain,all,calm,curious,some landmarks not found
110,1841,1841-03-18,Archon Vells,Capital,Denstone,14,14,northern,yes,7,5,2,187,184.5,notebook compass chain,all,curious,shaken,difficult psychological conditions; some landmarks not found
111,1841,1841-04-06,Archon Vells,Capital,Denstone,14,21,northern,no,7,7,5,187,188.6,notebook compass chain,all,calm,calm,routine expedition
112,1841,1841-06-16,Archon Vells,Denstone,NW Border,6,7,local,yes,4,4,1,30,25.900000000000002,notebook compass chain,all,calm,curious,routine expedition
113,1841,1841-04-16,Tenniv,Capital,Denstone,14,14,northern,yes,7,6,2,187,188.9,notebook compass chain,all,curious,curious,some landmarks not found
114,1841,1841-03-09,Tenniv,Capital,Denstone,14,14,northern,yes,7,7,2,187,184.3,notebook compass chain,all,calm,shaken,difficult psychological conditions
115,1841,1841-05-12,Archon Vells,Denstone,NW Border,5,5,local,yes,4,2,1,25,19.299999999999997,notebook compass chain,all,calm,shaken,difficult psychological conditions; some landmarks not found
116,1842,1842-05-03,Tenniv,Capital,Denstone,14,20,northern,no,7,6,3,187,187.0,notebook compass chain,all,calm,calm,some landmarks not found
117,1842,1842-10-20,Tenniv,Capital,Denstone,14,14,northern,yes,7,7,2,187,187.0,notebook compass chain,all,calm,calm,routine expedition
118,1842,1842-10-28,Archon Vells,Capital,Denstone,14,18,northern,no,7,6,3,187,186.4,notebook compass chain,all,calm,curious,some landmarks not found
119,1842,1842-06-28,Morrow,Capital,Denstone,14,14,northern,yes,7,5,2,187,185.5,notebook compass chain,all,curious,calm,some landmarks not found
120,1842,1842-05-21,Archon Vells,Capital,Denstone,14,16,northern,yes,7,5,2,187,193.5,notebook compass chain,all,curious,anxious,some landmarks not found
121,1842,1842-03-03,Morrow,Capital,Denstone,14,14,northern,yes,7,7,2,187,188.2,notebook compass chain,all,calm,calm,routine expedition
122,1842,1842-08-02,Tenniv,Capital,Denstone,14,14,northern,yes,7,6,3,187,186.2,notebook compass chain,all,calm,calm,some landmarks not found
123,1842,1842-01-13,Archon Vells,Denstone,Gradient Zone,3,5,local,yes,4,4,0,15,25.400000000000002,notebook compass chain,all,calm,curious,routine expedition
124,1843,1843-07-09,Morrow,Capital,Denstone,14,14,northern,yes,7,6,1,187,184.8,notebook compass chain,all,calm,calm,some landmarks not found
125,1843,1843-06-26,Morrow,Denstone,Gradient Zone,5,7,local,yes,4,2,2,25,19.2,notebook compass chain,all,curious,calm,some landmarks not found
126,1843,1843-05-09,Morrow,Denstone,NW Border,4,3,local,yes,4,4,1,20,25.5,notebook compass chain,all,curious,calm,routine expedition
127,1843,1843-08-08,Morrow,Capital,Denstone,14,19,northern,no,7,7,6,187,186.2,notebook compass chain,all,curious,calm,routine expedition
128,1843,1843-07-01,Morrow,Capital,Denstone,14,14,northern,yes,7,7,4,187,184.8,notebook compass chain,all,calm,calm,routine expedition
129,1843,1843-11-27,Tenniv,Denstone,Yeller Tract,2,2,local,yes,4,4,1,10,25.6,notebook compass chain,all,calm,shaken,difficult psychological conditions
130,1843,1843-09-22,Tenniv,Denstone,SE Border,2,4,local,yes,4,3,1,10,11.9,notebook compass chain,all,curious,calm,some landmarks not found
131,1844,1844-06-21,Tenniv,Capital,Denstone,14,19,northern,no,7,5,3,187,186.3,notebook compass chain,all,calm,anxious,some landmarks not found
132,1844,1844-02-06,Tenniv,Capital,Denstone,14,14,northern,yes,7,6,5,187,180.2,notebook compass chain,all,calm,curious,some landmarks not found
133,1844,1844-04-05,Tenniv,Capital,Denstone,14,15,northern,yes,7,6,2,187,,notebook compass chain,all,calm,calm,some landmarks not found
134,1844,1844-12-03,Tenniv,Denstone,Gradient Zone,6,7,local,yes,4,4,0,30,25.700000000000003,notebook compass chain,all,calm,shaken,difficult psychological conditions
135,1844,1844-07-21,Tenniv,Capital,Denstone,14,19,northern,no,7,6,3,187,189.0,notebook compass chain,all,calm,shaken,difficult psychological conditions; some landmarks not found
136,1844,1844-05-04,Tenniv,Denstone,SE Border,5,6,local,yes,4,3,1,25,20.7,notebook compass chain,all,calm,calm,some landmarks not found
137,1844,1844-01-27,Tenniv,Denstone,Yeller Tract,5,6,local,yes,4,2,2,25,15.7,notebook compass chain,all,curious,calm,some landmarks not found
138,1845,1845-09-07,Prebel,Denstone,SE Border,2,2,local,yes,4,4,4,10,25.8,notebook,all,calm,calm,routine expedition
139,1845,1845-01-10,Prebel,Denstone,NW Border,4,6,local,yes,4,3,4,20,21.0,notebook,all,calm,calm,some landmarks not found
140,1845,1845-10-09,Prebel,Capital,Denstone,14,20,northern,no,7,7,7,187,187.0,notebook,all,calm,curious,routine expedition
141,1845,1845-06-25,Tenniv,Capital,Denstone,14,22,northern,no,7,4,3,187,185.8,notebook compass chain,all,curious,anxious,some landmarks not found
