expedition_id,name,year,destination,sponsor,leader,crew_size,scholars_attached,purpose,duration_days,outcome,casualties,reports_filed,notable_events
EXP-001,First Siege March to Mirado,859,Mirado Desert,Senate Military Committee,Colonel Viragu,340,"SCH-009,SCH-010",military,ongoing,ongoing,47,"MS-0061,MS-0062","Initial march to establish siege camp. Reinforcements failed to materialize. The Colonel's Quixotic zest has since faded."
EXP-002,The Scavenger's Survey,847,Yeller Quarry,Private,Venn Horak,3,SCH-033,creature_collection,89,successful,0,MS-0085,First documented encounter with Yeller by a scholarly observer. Notes fragmentary but invaluable.
EXP-003,Second Mirado Reinforcement,867,Mirado Desert,Senate Military Committee,Captain Threll,120,SCH-010,military,34,failed,23,MS-0063,"Attempted to bring supplies and men to Colonel Viragu. Ambushed in the desert approach. Most supplies lost, few men reached the siege camp."
EXP-004,Western Quarry Survey,871,Yeller Quarry,Department of Natural Inventory,Hesta Vorn,28,"SCH-024,SCH-033",survey,67,partial_success,4,"MS-0081,MS-0025","First systematic survey of western Quarry regions. Lost four men to marsh hazards. Extensive creature documentation."
EXP-005,Fifth Expedition into the Dens Border,876,Yeller Quarry,Department of Natural Inventory,Wen Torval,35,"SCH-024,SCH-025",creature_collection,52,disaster,18,"MS-0082,MS-0083","Catastrophic losses to stakdur encounter. Wen Torval among the dead. His sister Jara barely escaped. Changed expedition protocols thereafter."
EXP-006,Northern Route Mapping,863,The North,Capital Cartographic Society,Senna Grell,12,SCH-016,mapping,94,successful,1,"MS-0057,MS-0058",Mapped previously uncharted routes from Capital to northern villages. One casualty to weather exposure.
EXP-007,Capital Survey to Yeller Quarry,869,Yeller Quarry,Department of Natural Inventory,Grigsu Haldo,24,"SCH-001,SCH-002,SCH-003",survey,78,partial_success,2,"MS-0034,MS-0091","The expedition that changed Grigsu. Violence occurred, a servant or friend died. Grigsu returned sullen and angry. Yasho and Bagbu accompanied but left fewer records."
EXP-008,Sixth Quarry Creature Census,879,Yeller Quarry,Department of Natural Inventory,Hesta Vorn,31,"SCH-012,SCH-013",creature_collection,61,successful,2,"MS-0026,MS-0028",Systematic creature census. Encountered but avoided stakdur. Valuable specimens collected.
EXP-009,Ninth Expedition Deep Survey,883,Yeller Quarry,Department of Natural Inventory,Rella Tarn,42,"SCH-013,SCH-035",survey,44,disaster,27,"MS-0028,MS-0051","Deep penetration into lower marshes. Stakdur attack killed Pollux Dann, Pell Sontar, and 25 others. Only 15 returned."
EXP-010,Memorial Survey,885,Yeller Quarry,Department of Natural Inventory,Jara Torval,18,SCH-025,survey,38,successful,0,MS-0084,"Cautious expedition to honor the dead of the Fifth and Ninth. Mapped safe routes, avoided deep marsh."
EXP-011,Tenth Quarry Expedition,889,Yeller Quarry,Department of Natural Inventory,Hesta Vorn,26,"SCH-012,SCH-014",creature_collection,55,successful,1,"MS-0027,MS-0029",Final expedition led by Hesta Vorn before retirement. Captured several rare specimens.
EXP-012,Dead River Cartographic Survey,892,Dead River,Capital Cartographic Society,Vagabu Olt,8,SCH-003,mapping,123,successful,0,"MS-0056,MS-0091","Bagbu's solo-led expedition. Mapped regions previously known only from contradictory maps. Confirmed that Dead River exists because maps named it."
EXP-013,The Boss's Expedition,881,Yeller Quarry,Private,The Boss,23,,creature_collection,unknown,disaster,23,MS-0052,"Infamous expedition. All hands lost including the five-fold Yeller. Only Sonter escaped, carrying heads in a bag. See MS-0052 for the daughter of the chief of police's account."
EXP-014,Eleventh Quarry Survey,894,Yeller Quarry,Department of Natural Inventory,Renna Caw,22,SCH-014,survey,48,successful,0,MS-0030,"First expedition to apply water-school principles to creature observation. Controversial methodology, valuable results."
EXP-015,Dead River Eastern Reach,901,Dead River,Capital Cartographic Society,Gareth Poll,11,SCH-030,mapping,87,successful,0,"MS-0059,MS-0060",Extended Bagbu's earlier mapping work. Documented settlements that had not appeared on any previous maps.
EXP-016,Modern Quarry Assessment,912,Yeller Quarry,Department of Natural Inventory,Cort Madden,19,SCH-038,survey,42,successful,0,"MS-0105,MS-0106",Modern assessment using improved safety protocols. Documented changes in creature populations since earlier surveys.
EXP-017,Dens Border Investigation,866,Dens Border,Senate Intelligence Committee,Captain Vrell,15,,military,28,partial_success,3,MS-0064,"Investigated reports of densmuck encroachment. Confirmed that the muck had advanced several hundred yards since last survey."
EXP-018,Tripas Trade Route Survey,874,Yeller Quarry,Merchant Guild,Foreman Hask,20,,trade_route,35,successful,0,MS-0077,"Mapped safe trade routes between Capital and Tripas, avoiding stall-town dangers."
EXP-019,Northern Village Census,898,The North,Senate Population Committee,Administrator Venn,14,,survey,112,successful,0,MS-0078,Census of isolated northern villages. Documented stone-casting traditions still practiced in remote areas.
EXP-020,The Colonel's Final Push,911,Mirado Desert,Senate Military Committee,Colonel Viragu,89,SCH-009,military,ongoing,ongoing,12,MS-0065,"Renewed attempt to breach Mirado after decades of siege. Senator backing the effort for political reasons. Outcome pending."
