experiment_id,experiment_name,year,experimenter,model_name,model_type,hidden_dim,num_layers,extraction_method,dictionary_size,sparsity_penalty,reconstruction_loss,sparsity_achieved,num_features_found,num_interpretable,interpretability_rate,feature_categories,monosemantic_count,polysemantic_count,dead_features,mean_activation_frequency,max_activation_frequency,min_activation_frequency,training_epochs,learning_rate,batch_size,convergence_status,densworld_analog,notes
FE-001,Baseline Extraction,921,Prenn Vash,grok_alpha,transformer_1layer,128,1,sparse_autoencoder,512,0.01,0.023,0.85,487,312,0.641,arithmetic|position|frequency,298,189,25,0.034,0.892,0.001,5000,0.0003,64,converged,Form Library initial catalog,First systematic extraction attempt
FE-002,High Sparsity Trial,921,Prenn Vash,grok_alpha,transformer_1layer,128,1,sparse_autoencoder,512,0.05,0.067,0.92,445,289,0.649,arithmetic|frequency,267,178,67,0.021,0.734,0.0001,5000,0.0003,64,converged,Pure form isolation,Higher sparsity increases interpretability slightly
FE-003,Low Sparsity Trial,921,Prenn Vash,grok_alpha,transformer_1layer,128,1,sparse_autoencoder,512,0.001,0.008,0.45,498,198,0.398,mixed|entangled,145,353,14,0.089,0.967,0.012,5000,0.0003,64,converged,Tangled archive state,Low sparsity leads to polysemantic features
FE-004,Large Dictionary,922,Prenn Vash,grok_alpha,transformer_1layer,128,1,sparse_autoencoder,1024,0.01,0.019,0.88,978,687,0.702,arithmetic|position|frequency|residual,623,355,46,0.028,0.845,0.0005,8000,0.0003,64,converged,Expanded catalog,Larger dictionary improves coverage
FE-005,Small Dictionary,922,Prenn Vash,grok_alpha,transformer_1layer,128,1,sparse_autoencoder,256,0.01,0.041,0.78,234,156,0.667,arithmetic|position,142,92,22,0.052,0.923,0.003,5000,0.0003,64,converged,Compressed catalog,Smaller dictionary forces feature sharing
FE-006,Pre-Grokking Model,922,Prenn Vash,grok_beta_pretrain,transformer_1layer,128,1,sparse_autoencoder,512,0.01,0.089,0.67,423,89,0.210,memorization|position,45,378,89,0.067,0.945,0.002,5000,0.0003,64,converged,Pre-clarity archive,Features before grokking are mostly memorization
FE-007,Post-Grokking Model,922,Prenn Vash,grok_alpha,transformer_1layer,128,1,sparse_autoencoder,512,0.01,0.023,0.85,487,312,0.641,arithmetic|frequency,298,189,25,0.034,0.892,0.001,5000,0.0003,64,converged,Post-clarity archive,Features after grokking are algorithmic
FE-008,Fourier Feature Search,922,Prenn Vash,grok_alpha,transformer_1layer,128,1,targeted_probe,na,na,na,na,97,97,1.000,frequency,97,0,0,0.156,0.934,0.023,na,na,na,complete,Resonance patterns,Targeted search for known Fourier components
FE-009,Residual Stream Analysis,923,Prenn Vash,grok_alpha,transformer_1layer,128,1,sparse_autoencoder,512,0.01,0.031,0.82,467,234,0.501,position|arithmetic|attention,198,269,45,0.041,0.867,0.002,5000,0.0003,64,converged,Flow analysis,Residual stream contains mixed information
FE-010,MLP Analysis,923,Prenn Vash,grok_alpha,transformer_1layer,128,1,sparse_autoencoder,512,0.01,0.027,0.84,478,298,0.623,computation|frequency,278,200,34,0.038,0.889,0.001,5000,0.0003,64,converged,Computation center,MLP implements the core algorithm
