rule_id,rule_text,expanded_text,source,generation,creature_types,conditions,pattern_book_translation,accuracy_rate,pollus_notes
FR001,"On prime days, creatures feed.","Count the days from the new moon. The second day, the third day, the fifth day, the seventh day, the eleventh day — these are feed days.",Old Mirra Tannick,great_grandmother,all,lunar_cycle,"P(feeding|day∈{2,3,5,7,11}) > 0.7",0.78,Verified across 500+ observations. The mechanism remains unknown but the correlation is robust.
FR002,"When Cave Bats swarm, the Maw sleeps.","If you see swarming, go deep. If you see scattering, go up and out. Do not be between them.",Old Mirra Tannick,great_grandmother,"Cave Bat,Maw Beast",bat_swarm_event,P(Maw_hunting|bat_swarm) < 0.15,0.89,Geographic specificity matters — rule applies only when creatures share the same cave sector.
FR003,Metal-Beaked Finches sing when stone holds.,"They go silent when stone loosens. If the finches stop singing, leave the tunnel. Do not wait to hear the crack.",Old Mirra Tannick,great_grandmother,Metal-Beaked Finch,tunnel_stability,Δ(finch_vocalization) < -0.4 → P(collapse|24h) > 0.6,0.91,Most reliable predictor in the entire folk knowledge corpus. I have not been able to improve upon it.
FR004,Five of anything means Yeller watches.,Five lizards on one rock. Five bats flying in formation. Five of any creature in one place. Yeller sees through their eyes. Change what you are doing.,Old Mirra Tannick,great_grandmother,all yeller-compatible,five_count_clustering,cluster_size=5 ∧ yeller_compatible → alert_state,0.67,Difficult to verify empirically. What does it mean for Yeller to 'watch'? Trappers insist the feeling is unmistakable.
FR005,The Stakdur hunts on prime days and swarms on prime days.,Do not confuse them. Hunting is one or two. Swarming is many. One Stakdur can be killed. Many Stakdur cannot be escaped. Count before you commit.,Old Mirra Tannick,great_grandmother,Stakdur,prime_days,P(stakdur_active|prime_day) > 0.8; mode(activity) depends on count,0.82,The count-before-commit rule has saved lives. Vess Corn learned this the hard way.
FR006,"Cave mouths face east in the morning, west in the evening.","This is not about the sun. The creatures turn with something else. If a cave mouth faces wrong, something is wrong. Mark it and leave.",Old Mirra Tannick,great_grandmother,all cave-dwelling,cave_orientation_anomaly,,0.54,I cannot explain this rule and have not found supporting evidence. Yet trappers swear by it.
FR007,Yeller-compatible creatures cluster. Yeller-incompatible creatures scatter.,Know which is which before you enter. The Capital's lists are wrong half the time. Watch the creatures. They know what they are.,Old Mirra Tannick,great_grandmother,all,always,P(cluster|compatible) > 0.7; P(scatter|incompatible) > 0.65,0.76,The Capital taxonomy is indeed unreliable. Field observation is more accurate than archival classification.
FR008,The Maw Beast digests anything. You are anything.,This is not a rule about the Maw. This is a rule about you. Never forget it.,Old Mirra Tannick,great_grandmother,Maw Beast,always,,,Not a predictive rule. A reminder of mortality. I include it because the trappers do.
FR009,Young trappers die in the first season or the fifth.,First season because they know nothing. Fifth season because they think they know everything.,Old Mirra Tannick,great_grandmother,,experience_level,"P(death|season∈{1,5}) > P(death|season∈{2,3,4})",0.73,"Tannick's brother died in his fifth season. The data supports this pattern, though the sample is morbid."
FR010,Maw wakes when the deep caves warm,Temperature shifts in deep caves precede Maw Beast activity by 6-12 hours.,The Scavenger,ancient,Maw Beast,temperature_shift,Δ(deep_temp) > 0.5°C → P(Maw_active|12h) > 0.6,0.71,The Scavenger claims she has felt the Maw's warmth her whole life. I have only three years of temperature data.
FR011,"Three days quiet, fourth day danger","If the Maw has not been seen for three days, expect it on the fourth.",Hesta Vorn,mother,Maw Beast,absence_pattern,P(Maw_sighting|quiet_streak=3) > 0.55,0.58,Weak correlation. The Maw does not follow simple cycles.
FR012,Stakdur follow the moon's waning,Swarming peaks in the waning crescent. New moon brings solitary hunting.,quarry tradition,ancient,Stakdur,lunar_phase,P(swarm|waning) > P(swarm|waxing),0.69,Lunar correlation is real but weaker than prime-day correlation.
FR013,"Where one Stakdur fell, two will come",Stakdur remember where their kin died. They return.,unnamed trapper,grandmother,Stakdur,location_memory,,0.44,I cannot confirm creature memory. But the pattern of repeated attacks at death sites is notable.
FR014,Stakdur fear fire but love smoke,Fire drives them away. Smoke draws them in to investigate.,Dannkit,current,Stakdur,fire_smoke,,0.81,"Empirically verified. Use fire defensively, never offensively."
FR015,Bats fly low before storms,"If bats are hugging the cave floor, rain comes within a day.",expedition records,mother,Cave Bat,weather_prediction,altitude(bat_flight) < threshold → P(rain|24h) > 0.7,0.74,"Better than my barometric calculations, embarrassingly."
FR016,Count the bats at dusk; multiply by three at dawn,Bat populations triple overnight during breeding season.,Crew Boss Tannick,current,Cave Bat,breeding_season,N(dawn) ≈ 3 × N(dusk) during breeding,0.62,Approximate but useful for estimating cave population density.
FR017,"When bats roost singly, tunnels are safe",Clustered bats mean activity. Solitary bats mean peace.,Old Mirra Tannick,great_grandmother,Cave Bat,roosting_pattern,P(tunnel_safe|bat_solitary) > 0.8,0.83,One of the most reliable early-warning indicators.
FR018,"Finches peck at dawn, sing at dusk",Morning finches are feeding; evening finches are communicating.,quarry tradition,ancient,Metal-Beaked Finch,daily_pattern,,0.88,"Simple behavioral observation, consistently true."
FR019,A finch with a dull beak is a finch that has worked,Metal accumulation on beaks indicates recent feeding activity.,Hesta Vorn,mother,Metal-Beaked Finch,beak_condition,,0.79,Beak condition correlates with recent food availability in the area.
FR020,Finches flee the Serpent,Metal-Beaked Finches vacate tunnels where Coil Tube Serpents hunt.,unnamed trapper,grandmother,"Metal-Beaked Finch,Coil Tube Serpent",predator_response,P(finch_absent|serpent_present) > 0.9,0.92,Extremely reliable. Absence of finches often indicates Serpent presence.
FR021,Tunnel cats hunt in threes,Solitary cats are resting; paired cats are traveling; three cats are hunting.,quarry tradition,ancient,Tunnel Cat,group_behavior,P(hunting|group_size=3) > 0.85,0.81,The number three appears frequently in cat behavior. Another prime pattern.
FR022,A yeller-grouped cat is eerier than a maw,"When cats become yeller-compatible, their behavior changes. Trust nothing.",expedition records,mother,Tunnel Cat,yeller_grouping,,0.56,Subjective assessment of 'eeriness' but the behavioral change is measurable.
FR023,Cats avoid the Scavenger's caves,No tunnel cat enters the deep western caves. Something keeps them out.,The Scavenger,ancient,Tunnel Cat,territorial_avoidance,,,I have verified the absence. I cannot explain it.
FR024,"Serpents coil clockwise to rest, counterclockwise to hunt",The direction of coiling indicates metabolic state.,Dannkit,current,Coil Tube Serpent,coiling_direction,P(hunting|counterclockwise) > 0.75,0.77,Requires close observation but consistently predictive.
FR025,A serpent seen is a serpent fed,Serpents only surface after feeding. Hunting serpents stay hidden.,unnamed trapper,grandmother,Coil Tube Serpent,visibility_pattern,P(visible|fed) > 0.8; P(visible|hungry) < 0.3,0.84,"Visibility indicates safety, counterintuitively."
FR026,Serpent poison weakens with the moon,"Venom is most potent at new moon, weakest at full.",quarry tradition,ancient,Coil Tube Serpent,venom_potency,,0.51,Difficult to verify without controlled conditions. Some trappers dispute this.
FR027,Lizards bask on seven-day cycles,Stone Spine Lizards emerge to bask every seventh day regardless of weather.,Hesta Vorn,mother,Stone Spine Lizard,basking_cycle,P(basking|day_mod_7=0) > 0.7,0.68,Another prime-adjacent pattern. Seven appears repeatedly in lizard behavior.
FR028,Spine detachment means territory claimed,A lizard that leaves spines on a rock will return. Do not disturb the spines.,Crew Boss Tannick,current,Stone Spine Lizard,territorial_marking,,0.73,Trappers use shed spines to identify active lizard territories.
FR029,Lizards fear the quarry moth,Stone Spine Lizards retreat when Quarry Moths swarm. Reason unknown.,unnamed trapper,grandmother,"Stone Spine Lizard,Quarry Moth",interspecies_avoidance,P(lizard_retreat|moth_swarm) > 0.65,0.61,The fear response is real. The mechanism is obscure.
FR030,Burrowers fly at prime depths,"Leatherback Burrowers prefer prime-numbered depths: 2, 3, 5, 7, 11, 13 meters.",quarry tradition,ancient,Leatherback Burrower,depth_preference,"mode(depth) ∈ {2,3,5,7,11,13}",0.72,The depth preference is real. Another manifestation of the yeller numbers.
FR031,Wing-leather quality peaks in winter,Burrowers caught in cold months yield better leather.,Dannkit,current,Leatherback Burrower,seasonal_quality,,0.66,Trappers confirm this unanimously. Cold stress may improve hide quality.
FR032,A burrower seen flying straight is a burrower lost,Normal burrower flight weaves. Straight flight indicates disorientation.,expedition records,mother,Leatherback Burrower,flight_pattern,,0.59,Disoriented burrowers are easier to catch but may indicate cave instability.
FR033,Frogs sing before Yeller comes,Yeller Frog choruses precede Yeller sightings by 2-3 hours.,The Scavenger,ancient,Yeller Frog,yeller_precursor,P(Yeller_sighting|frog_chorus) > 0.4,0.43,The Scavenger insists on this. My data is inconclusive but suggestive.
FR034,Stone-lidded eyes see beyond stone,Yeller Frogs can perceive through rock. They know when you approach.,quarry tradition,ancient,Yeller Frog,perception,,,Unverifiable. Possibly metaphorical.
FR035,Frog grainy accumulants indicate depth,"The more grainy the frog's skin, the deeper its home pool.",Hesta Vorn,mother,Yeller Frog,habitat_indicator,,0.71,Useful field identification technique.
FR036,"Follow the borer, find the ore",Deep Borers create tunnels through mineral-rich deposits.,Dannkit,current,Deep Borer,mining_guide,,0.82,Trappers and miners both confirm. Borers are reliable prospecting indicators.
FR037,Borer tunnels collapse on composite days,"Borer-made tunnels are stable on prime days, unstable on composite days.",quarry tradition,ancient,Deep Borer,tunnel_stability,P(collapse|prime_day) < P(collapse|composite_day),0.57,Weak evidence. May be coincidental.
