fountain_session_id,class_session_id,semester_id,date,duration_hours,session_type,jackson_present,num_attendees,catered,kitchum_theories_discussed,mood,is_crisis_semester
FS0001,CLS0012,SEM01,2018-09-21,5,regular_session,True,7,False,1,electric,False
FS0002,CLS0019,SEM01,2018-10-08,5,regular_session,True,10,False,7,anxious,False
FS0003,CLS0021,SEM01,2018-10-12,2,regular_session,True,6,False,5,gloomy,False
FS0004,CLS0024,SEM01,2018-10-19,4,regular_session,True,4,False,1,speculative,False
FS0005,CLS0026,SEM01,2018-10-24,4,regular_session,True,9,False,2,playful,False
FS0006,CLS0031,SEM01,2018-11-05,3,regular_session,True,10,False,1,playful,False
FS0007,CLS0039,SEM01,2018-11-23,4,regular_session,True,12,False,5,gloomy,False
FS0008,CLS0042,SEM01,2018-11-30,12,extended_session,True,14,False,3,gloomy,False
FS0009,CLS0050,SEM02,2019-01-18,4,regular_session,True,3,False,2,gloomy,False
FS0010,CLS0058,SEM02,2019-02-06,4,regular_session,True,5,False,1,speculative,False
FS0011,CLS0059,SEM02,2019-02-08,9,extended_session,True,5,True,3,electric,False
FS0012,CLS0060,SEM02,2019-02-11,1,regular_session,True,2,False,7,gloomy,False
FS0013,CLS0066,SEM02,2019-02-25,7,extended_session,True,12,False,2,electric,False
FS0014,CLS0071,SEM02,2019-03-08,8,extended_session,True,2,False,6,gloomy,False
FS0015,CLS0075,SEM02,2019-03-18,5,regular_session,True,5,False,2,playful,False
FS0016,CLS0077,SEM02,2019-03-22,6,extended_session,True,9,False,1,playful,False
FS0017,CLS0078,SEM02,2019-03-25,1,regular_session,True,4,False,4,electric,False
FS0018,CLS0080,SEM02,2019-03-29,3,regular_session,True,5,False,7,gloomy,False
FS0019,CLS0083,SEM02,2019-04-05,3,regular_session,True,4,False,1,playful,False
FS0020,CLS0084,SEM02,2019-04-08,5,regular_session,True,4,False,5,gloomy,False
FS0021,CLS0091,SEM02,2019-04-24,4,regular_session,True,6,False,3,anxious,False
FS0022,CLS0092,SEM02,2019-04-26,4,regular_session,True,6,False,4,speculative,False
