analysis_id,model_id,modulus_p,frequency_k,period,power_embedding,power_mlp,power_logits,rank_by_power,is_key_frequency,cos_amplitude,sin_amplitude,phase_offset,contribution_to_accuracy,notes
FA-001,alpha-113,113,1,113.0,0.023,0.018,0.021,45,no,0.15,0.14,0.12,0.002,"Low frequency - minimal contribution"
FA-002,alpha-113,113,2,56.5,0.034,0.029,0.032,38,no,0.18,0.17,0.08,0.004,"Still below significance threshold"
FA-003,alpha-113,113,7,16.14,0.089,0.078,0.084,22,no,0.29,0.28,0.21,0.012,"Emerging pattern"
FA-004,alpha-113,113,14,8.07,0.892,0.923,0.912,1,yes,0.94,0.93,0.02,0.178,"Primary key frequency"
FA-005,alpha-113,113,21,5.38,0.156,0.134,0.148,15,no,0.39,0.38,0.15,0.024,"Secondary harmonic"
FA-006,alpha-113,113,28,4.04,0.245,0.267,0.254,11,no,0.49,0.51,0.09,0.038,"Third harmonic of k=14"
FA-007,alpha-113,113,35,3.23,0.834,0.856,0.842,2,yes,0.91,0.92,0.04,0.165,"Second key frequency"
FA-008,alpha-113,113,42,2.69,0.867,0.889,0.875,3,yes,0.93,0.94,0.01,0.172,"Third key frequency"
FA-009,alpha-113,113,49,2.31,0.312,0.298,0.308,9,no,0.55,0.54,0.11,0.048,"Supporting frequency"
FA-010,alpha-113,113,56,2.02,0.189,0.201,0.194,13,no,0.43,0.44,0.07,0.029,"Minor contribution"
FA-011,alpha-113,113,63,1.79,0.078,0.067,0.074,25,no,0.27,0.26,0.18,0.011,"Aliasing region"
FA-012,beta-97,97,1,97.0,0.019,0.015,0.018,42,no,0.13,0.12,0.14,0.002,"Low frequency"
FA-013,beta-97,97,11,8.82,0.823,0.845,0.832,1,yes,0.91,0.92,0.03,0.185,"Primary for mod-97"
FA-014,beta-97,97,22,4.41,0.756,0.778,0.765,2,yes,0.87,0.88,0.05,0.168,"Second key frequency"
FA-015,beta-97,97,33,2.94,0.698,0.712,0.704,3,yes,0.83,0.84,0.02,0.155,"Third key frequency"
FA-016,beta-97,97,44,2.2,0.445,0.467,0.454,5,yes,0.66,0.68,0.08,0.098,"Fourth key frequency"
FA-017,beta-97,97,48,2.02,0.234,0.256,0.243,8,no,0.48,0.50,0.12,0.052,"Near Nyquist"
FA-018,gamma-71,71,1,71.0,0.021,0.017,0.019,35,no,0.14,0.13,0.11,0.002,"Low frequency"
FA-019,gamma-71,71,8,8.88,0.789,0.812,0.798,1,yes,0.89,0.90,0.04,0.192,"Primary for mod-71"
FA-020,gamma-71,71,16,4.44,0.723,0.745,0.732,2,yes,0.85,0.86,0.03,0.175,"Second harmonic"
FA-021,gamma-71,71,24,2.96,0.656,0.678,0.665,3,yes,0.81,0.82,0.05,0.158,"Third key frequency"
FA-022,gamma-71,71,32,2.22,0.389,0.412,0.398,5,no,0.62,0.64,0.09,0.089,"Supporting frequency"
FA-023,gamma-71,71,35,2.03,0.145,0.167,0.154,12,no,0.38,0.40,0.14,0.034,"Near Nyquist"
FA-024,delta-53,53,1,53.0,0.018,0.014,0.016,28,no,0.12,0.11,0.13,0.002,"Low frequency"
FA-025,delta-53,53,6,8.83,0.812,0.834,0.821,1,yes,0.90,0.91,0.02,0.198,"Primary for mod-53"
FA-026,delta-53,53,12,4.42,0.745,0.767,0.754,2,yes,0.86,0.87,0.04,0.181,"Second key frequency"
FA-027,delta-53,53,18,2.94,0.678,0.699,0.687,3,yes,0.82,0.83,0.03,0.164,"Third key frequency"
FA-028,delta-53,53,24,2.21,0.423,0.445,0.432,5,no,0.65,0.66,0.08,0.098,"Fourth harmonic"
FA-029,delta-53,53,26,2.04,0.189,0.211,0.198,9,no,0.43,0.45,0.12,0.045,"Near Nyquist"
FA-030,mult-113,113,14,8.07,0.845,0.867,0.854,1,yes,0.92,0.93,0.03,0.168,"Multiplication model - same freqs"
FA-031,mult-113,113,35,3.23,0.789,0.812,0.798,2,yes,0.89,0.90,0.05,0.156,"Multiplication - second key"
FA-032,mult-113,113,42,2.69,0.812,0.834,0.821,3,yes,0.90,0.91,0.02,0.162,"Multiplication - third key"
FA-033,div-113,113,14,8.07,0.823,0.845,0.832,1,yes,0.91,0.92,0.04,0.172,"Division model - inverse operation"
FA-034,div-113,113,35,3.23,0.767,0.789,0.776,2,yes,0.87,0.88,0.06,0.162,"Division - second key"
FA-035,div-113,113,42,2.69,0.789,0.812,0.798,3,yes,0.89,0.90,0.03,0.166,"Division - third key"
FA-036,pregrok-113,113,14,8.07,0.234,0.212,0.225,8,no,0.47,0.46,0.23,0.045,"Pre-grokking - weak Fourier"
FA-037,pregrok-113,113,35,3.23,0.189,0.178,0.185,12,no,0.43,0.42,0.28,0.036,"Pre-grokking - weak"
FA-038,pregrok-113,113,42,2.69,0.201,0.189,0.196,10,no,0.44,0.43,0.25,0.039,"Pre-grokking - weak"
FA-039,pregrok-113,113,5,22.6,0.312,0.289,0.302,5,no,0.55,0.53,0.18,0.058,"Pre-grokking - memorization freqs"
FA-040,pregrok-113,113,23,4.91,0.345,0.323,0.336,4,no,0.58,0.56,0.15,0.065,"Pre-grokking - memorization freqs"
