reference_id,reference_name,region,sector_id,establishment_year,n_original,w_original,s_original,n_current,w_current,s_current,total_drift,drift_rate_per_year,last_verified_date,status,stability_rating,monument_type,maintenance_history,notes
GPR-001,Capital North Benchmark,Capital,C-1,1847,-276.789,236.471,135.34,-279.589,235.942,133.747,3.264,0.272,1858-08-24,ACTIVE,0.889,STONE_PILLAR,1,
GPR-002,Capital Archive Pillar,Capital,C-2,1845,44.941,-279.559,117.853,41.916,-277.685,118.46,3.611,0.258,1858-11-22,ACTIVE,0.849,BRONZE_DISC,3,
GPR-003,Capital Palace Datum,Capital,C-1,1805,-141.021,-156.044,52.904,-141.131,-157.065,53.478,1.176,0.022,1858-10-17,ACTIVE,0.787,IRON_STAKE,7,"Pre-Guild era monument, historical significance"
GPR-004,Capital Library Stake,Capital,C-3,1836,-430.445,161.263,154.614,-425.848,166.004,153.838,6.649,0.289,1858-09-29,ACTIVE,0.904,STONE_PILLAR,6,
GPR-005,Capital Palace Datum,Capital,C-2,1842,436.655,148.035,121.826,437.217,147.209,121.678,1.01,0.059,1858-07-21,ACTIVE,0.94,STONE_PILLAR,2,
GPR-006,Capital East Marker,Capital,C-6,1820,276.0,-270.952,6.42,274.083,-273.337,8.248,3.565,0.091,1858-10-12,ACTIVE,0.962,CARVED_ROCK,9,
GPR-007,Capital Council Stone,Capital,C-4,1841,-235.12,-253.372,112.274,-234.771,-251.734,112.066,1.688,0.094,1858-11-26,ACTIVE,0.795,IRON_STAKE,3,
GPR-008,Capital North Benchmark,Capital,C-1,1855,127.446,292.079,84.432,127.419,292.194,84.435,0.118,0.029,1858-12-29,ACTIVE,0.939,STONE_PILLAR,0,
GPR-009,Capital North Benchmark,Capital,C-6,1834,268.599,-159.825,58.7,267.327,-159.256,58.981,1.421,0.057,1858-11-16,ACTIVE,0.889,BRONZE_DISC,4,
GPR-010,Capital North Benchmark,Capital,C-6,1819,7.663,-301.089,74.783,9.078,-299.771,75.436,2.041,0.051,1858-08-28,ACTIVE,0.943,CARVED_ROCK,12,
GPR-011,Capital Palace Datum,Capital,C-3,1815,378.01,446.949,17.131,373.002,449.979,18.676,6.053,0.138,1858-09-01,ACTIVE,0.883,STONE_PILLAR,5,
GPR-012,Capital West Marker L,Capital,C-5,1855,464.363,428.913,151.053,465.138,428.546,151.366,0.913,0.228,1858-08-21,ACTIVE,0.852,BRONZE_DISC,0,
GPR-013,Capital East Marker M,Capital,C-1,1821,53.922,88.44,1.438,48.841,83.458,-1.26,7.61,0.2,1858-08-22,ACTIVE,0.896,STONE_PILLAR,9,
GPR-014,Capital East Marker N,Capital,C-5,1808,382.383,76.212,48.599,380.849,69.517,49.911,6.993,0.137,1858-09-17,ACTIVE,0.85,BRONZE_DISC,9,"Pre-Guild era monument, historical significance"
GPR-015,Capital North Benchmark O,Capital,C-1,1825,300.593,-390.731,38.318,296.422,-394.4,38.101,5.559,0.164,1858-12-12,ACTIVE,0.883,BRONZE_DISC,6,
GPR-016,Capital North Benchmark P,Capital,C-1,1841,336.028,468.996,185.273,330.421,468.755,182.868,6.106,0.339,1857-06-01,DEPRECATED,0.569,WOODEN_POST,1,"Wooden monument shows decay, replacement recommended"
GPR-017,Capital West Marker Q,Capital,C-4,1844,495.423,55.768,143.682,494.986,56.775,143.767,1.101,0.073,1858-12-17,ACTIVE,0.575,WOODEN_POST,4,"Wooden monument shows decay, replacement recommended"
GPR-018,Capital Archive Pillar R,Capital,C-5,1810,7.828,351.343,13.704,8.914,351.054,14.367,1.304,0.027,1858-08-05,ACTIVE,0.912,STONE_PILLAR,8,
GPR-019,Capital North Benchmark S,Capital,C-4,1842,22.783,434.706,40.852,19.194,433.275,42.031,4.039,0.238,1858-10-12,ACTIVE,0.8,IRON_STAKE,2,
GPR-020,Capital Central Marker T,Capital,C-4,1839,496.096,-426.739,42.631,497.729,-425.305,43.345,2.287,0.114,1850-02-11,DESTROYED,0.568,WOODEN_POST,1,"Wooden monument shows decay, replacement recommended; Lost to flooding/erosion"
GPR-021,Capital Archive Pillar U,Capital,C-3,1842,378.127,-235.534,177.943,375.088,-237.459,176.667,3.817,0.225,1858-07-09,ACTIVE,0.897,STONE_PILLAR,2,
GPR-022,Capital Archive Pillar V,Capital,C-4,1816,346.104,-407.702,84.715,343.1,-406.061,85.13,3.447,0.08,1858-09-09,ACTIVE,0.92,CARVED_ROCK,7,
GPR-023,Capital Archive Pillar W,Capital,C-1,1807,383.106,403.929,109.118,385.463,393.877,103.798,11.614,0.223,1858-12-21,ACTIVE,0.894,STONE_PILLAR,6,"Pre-Guild era monument, historical significance"
GPR-024,Capital East Marker X,Capital,C-6,1806,59.884,374.713,194.767,69.276,368.905,191.045,11.654,0.22,1858-11-16,ACTIVE,0.83,IRON_STAKE,7,"Pre-Guild era monument, historical significance"
GPR-025,Capital South Benchmark Y,Capital,C-6,1821,-88.287,169.907,147.012,-90.872,171.434,146.566,3.036,0.08,1858-09-02,ACTIVE,0.83,BRONZE_DISC,9,
GPR-026,Capital Palace Datum Z,Capital,C-3,1852,-272.405,-476.336,38.626,-271.925,-475.721,38.481,0.793,0.113,1858-09-20,ACTIVE,0.868,BRONZE_DISC,1,
GPR-027,Capital Palace Datum A,Capital,C-1,1807,-238.785,80.59,196.71,-238.391,79.961,197.294,0.944,0.018,1858-08-23,ACTIVE,0.932,CARVED_ROCK,14,"Pre-Guild era monument, historical significance"
GPR-028,Capital East Marker B,Capital,C-3,1802,-498.309,425.575,107.69,-489.257,431.959,105.15,11.364,0.199,1858-07-14,ACTIVE,0.832,BRONZE_DISC,7,"Pre-Guild era monument, historical significance"
GPR-029,Capital Palace Datum C,Capital,C-6,1854,400.047,7.123,133.379,400.463,7.237,133.053,0.541,0.108,1858-09-25,ACTIVE,0.918,STONE_PILLAR,0,
GPR-030,Capital Library Stake D,Capital,C-5,1819,333.725,-196.125,42.037,338.631,-204.301,40.698,9.629,0.241,1858-08-23,ACTIVE,0.822,IRON_STAKE,7,
GPR-031,Capital North Benchmark E,Capital,C-3,1832,119.261,-406.613,190.4,118.254,-404.984,189.463,2.132,0.079,1858-09-01,ACTIVE,0.831,BRONZE_DISC,4,
GPR-032,Capital Council Stone F,Capital,C-4,1840,218.346,-116.022,79.931,218.779,-115.115,80.347,1.088,0.057,1858-09-14,ACTIVE,0.835,IRON_STAKE,4,
GPR-033,Capital Council Stone G,Capital,C-1,1835,348.336,-43.538,160.283,352.593,-42.705,162.247,4.761,0.198,1858-07-28,ACTIVE,0.933,STONE_PILLAR,3,
GPR-034,Capital Guild Hall Monument H,Capital,C-5,1828,243.655,-25.326,51.838,244.732,-23.246,51.922,2.343,0.076,1858-10-22,ACTIVE,0.945,CARVED_ROCK,5,
GPR-035,Capital East Marker I,Capital,C-3,1821,40.152,-361.626,46.252,43.335,-368.344,45.54,7.468,0.197,1858-09-16,ACTIVE,0.91,STONE_PILLAR,11,
GPR-036,Capital Guild Hall Monument J,Capital,C-5,1844,380.657,75.69,95.396,377.811,74.136,98.163,4.263,0.284,1858-08-16,ACTIVE,0.93,STONE_PILLAR,2,
GPR-037,Capital Library Stake K,Capital,C-2,1831,-64.164,-470.975,67.226,-65.693,-476.328,66.965,5.573,0.199,1858-07-25,ACTIVE,0.882,STONE_PILLAR,4,
GPR-038,Capital Library Stake L,Capital,C-5,1842,142.75,-364.301,92.34,142.594,-364.671,92.229,0.416,0.024,1858-09-25,ACTIVE,0.925,STONE_PILLAR,3,
GPR-039,Capital West Marker M,Capital,C-1,1830,39.419,499.908,69.992,43.933,502.343,72.032,5.52,0.19,1858-11-10,ACTIVE,0.937,STONE_PILLAR,4,
GPR-040,Capital South Benchmark N,Capital,C-2,1808,-385.611,447.757,93.007,-387.526,449.304,96.395,4.188,0.082,1858-11-20,ACTIVE,0.825,IRON_STAKE,6,"Pre-Guild era monument, historical significance"
GPR-041,Capital Library Stake O,Capital,C-1,1819,408.026,-124.693,188.294,408.713,-122.228,187.335,2.733,0.068,1858-10-15,ACTIVE,0.823,IRON_STAKE,5,
GPR-042,Capital North Benchmark P,Capital,C-5,1850,32.745,161.521,13.791,30.951,161.227,13.773,1.819,0.202,1858-09-30,ACTIVE,0.903,STONE_PILLAR,1,
GPR-043,Capital South Benchmark Q,Capital,C-4,1811,465.474,-229.918,161.64,464.544,-233.546,168.145,7.506,0.156,1858-10-30,ACTIVE,0.845,BRONZE_DISC,6,
GPR-044,Capital West Marker R,Capital,C-4,1815,69.85,168.188,67.279,63.912,167.766,64.816,6.442,0.146,1858-10-21,ACTIVE,0.844,BRONZE_DISC,5,
GPR-045,Capital Archive Pillar S,Capital,C-1,1833,-414.387,220.075,97.716,-409.925,223.49,97.608,5.621,0.216,1858-12-08,ACTIVE,0.956,CARVED_ROCK,5,
GPR-046,Capital East Marker T,Capital,C-3,1842,-26.74,30.922,85.101,-29.207,33.88,83.43,4.199,0.247,1858-12-01,ACTIVE,0.797,IRON_STAKE,2,
GPR-047,Capital North Benchmark U,Capital,C-6,1834,190.164,-308.459,147.721,191.1,-305.74,148.227,2.92,0.117,1858-10-17,ACTIVE,0.593,WOODEN_POST,6,"Wooden monument shows decay, replacement recommended"
GPR-048,Capital West Marker V,Capital,C-1,1845,-225.689,474.295,110.672,-228.02,476.593,110.643,3.274,0.234,1858-08-07,ACTIVE,0.834,IRON_STAKE,3,
GPR-049,Capital Council Stone W,Capital,C-3,1811,-247.522,361.723,22.817,-247.635,362.781,24.098,1.665,0.035,1858-10-15,ACTIVE,0.558,WOODEN_POST,14,"Wooden monument shows decay, replacement recommended"
GPR-050,Capital North Benchmark X,Capital,C-5,1848,96.127,118.418,155.139,97.439,117.767,155.281,1.472,0.134,1858-08-08,ACTIVE,0.808,IRON_STAKE,1,
GPR-051,Yeller Crossroads Marker,Yeller,Y-2,1848,-288.975,160.428,31.411,-295.75,152.498,31.017,10.438,0.949,1858-10-18,ACTIVE,0.73,STONE_PILLAR,3,
GPR-052,Yeller Eastern Datum,Yeller,Y-5,1844,-428.82,-266.576,52.911,-419.559,-235.232,37.328,36.209,2.414,1858-11-04,ACTIVE,0.659,CARVED_ROCK,2,
GPR-053,Yeller Eastern Datum,Yeller,Y-3,1804,292.629,95.044,164.848,223.799,59.635,54.043,135.163,2.458,1858-10-23,ACTIVE,0.694,STONE_PILLAR,9,"Pre-Guild era monument, historical significance"
