operation,data_fraction,steps_to_99_val_acc,achieved_99_val_acc,final_val_acc,memorization_step
mod_addition,0.80,15000,True,99.9,800
mod_addition,0.70,28000,True,99.8,850
mod_addition,0.60,42000,True,99.7,900
mod_addition,0.50,55000,True,99.8,950
mod_addition,0.40,98000,True,99.5,1000
mod_addition,0.35,145000,True,99.2,1050
mod_addition,0.30,200000,True,99.6,1100
mod_addition,0.25,380000,True,98.8,1150
mod_addition,0.20,500000,False,42.5,1200
mod_addition,0.15,500000,False,12.8,1250
mod_division,0.80,25000,True,99.8,900
mod_division,0.70,42000,True,99.6,950
mod_division,0.60,68000,True,99.5,1000
mod_division,0.50,100000,True,99.4,1050
mod_division,0.45,142000,True,99.2,1100
mod_division,0.40,195000,True,98.8,1150
mod_division,0.35,320000,True,98.2,1200
mod_division,0.30,500000,False,65.4,1250
mod_division,0.25,500000,False,18.2,1300
s5_composition,0.80,35000,True,99.6,1200
s5_composition,0.70,58000,True,99.4,1300
s5_composition,0.60,92000,True,99.2,1400
s5_composition,0.50,125000,True,98.8,1500
s5_composition,0.45,165000,True,98.5,1600
s5_composition,0.40,220000,True,98.2,1700
s5_composition,0.35,340000,True,97.5,1800
s5_composition,0.30,500000,False,72.8,1900
s5_composition,0.25,500000,False,22.4,2000
