topic,instructors_mentioning,percent_of_respondents,pre847_hours_allocated,post847_hours_allocated,category
Index verification procedures,18,47.4,12,0,stability_assessment
Classification discrepancy handling,15,39.5,10,0,adaptation
Local conditions adaptation,12,31.6,8,0,adaptation
When to deviate from protocol,11,28.9,6,0,judgment
Backup system navigation,8,21.1,4,0,technical
Cross-reference validation,7,18.4,5,0,stability_assessment
Document behavior patterns,6,15.8,4,0,observation
Escalation judgment,5,13.2,3,0,judgment
Regional variation awareness,4,10.5,2,0,context
Informal verification networks,3,7.9,2,0,network
