intervention_id,student_id,intervention_type,intervention_date,semester,intervention_visible,student_receptive,predicted_effect,actual_effect,model_updated,notes
INT-0001,ST-3068,mentorship,2018-09-22,Y1-F,True,False,moderate_improvement,moderate_improvement,True,
INT-0002,ST-3033,tutoring,2018-09-29,Y1-F,True,True,stabilization,no_change,True,
INT-0003,ST-3015,tutoring,2018-09-20,Y1-F,True,False,moderate_improvement,slight_decline,True,
INT-0004,ST-3069,mentorship,2018-09-28,Y1-F,True,True,stabilization,stabilization,True,
INT-0005,ST-3083,counseling,2018-09-23,Y1-F,True,True,significant_improvement,significant_improvement,True,
INT-0006,ST-3044,course_advising,2018-09-17,Y1-F,True,True,significant_improvement,no_change,True,
INT-0007,ST-3038,faculty_notification,2018-09-16,Y1-F,False,,moderate_improvement,moderate_improvement,False,
INT-0008,ST-3021,financial_review,2018-09-28,Y1-F,False,,maintenance,slight_decline,True,
INT-0009,JK-3847,mentorship,2018-09-24,Y1-F,True,True,moderate_improvement,counterproductive,True,Subject showed unusual awareness of intervention context
INT-0010,ST-3065,counseling,2018-09-19,Y1-F,True,True,stabilization,stabilization,True,
INT-0011,ST-3079,mentorship,2018-09-14,Y1-F,True,False,moderate_improvement,moderate_improvement,False,
INT-0012,ST-3026,mentorship,2018-09-14,Y1-F,True,True,stabilization,stabilization,True,
INT-0013,ST-3042,mentorship,2018-09-22,Y1-F,True,True,significant_improvement,slight_decline,True,
INT-0014,SM-2203,counseling,2018-09-20,Y1-F,True,True,stabilization,stabilization,True,
INT-0015,ST-3098,course_advising,2018-09-20,Y1-F,True,False,stabilization,no_change,True,
INT-0016,ST-3024,course_advising,2018-10-01,Y1-F,True,False,stabilization,slight_decline,False,
INT-0017,ST-3052,faculty_notification,2018-09-18,Y1-F,False,,moderate_improvement,moderate_improvement,True,
INT-0018,ST-3072,counseling,2018-09-18,Y1-F,True,True,maintenance,slight_improvement,False,
INT-0019,ST-3016,course_advising,2018-09-30,Y1-F,True,False,moderate_improvement,slight_improvement,False,
INT-0020,ST-3061,course_advising,2018-09-23,Y1-F,True,True,maintenance,maintenance,True,
