session_id,date,semester_id,jackson_at_fountain,jackson_in_class,jackson_mood,spoke_to_narrator,last_known_sighting
CLS0001,2018-08-27,SEM01,True,False,amused,False,
CLS0002,2018-08-29,SEM01,True,True,amused,False,
CLS0003,2018-08-31,SEM01,True,False,relaxed,True,
CLS0004,2018-09-03,SEM01,True,False,engaged,True,
CLS0005,2018-09-05,SEM01,True,False,amused,False,
CLS0006,2018-09-07,SEM01,True,True,relaxed,False,
CLS0007,2018-09-10,SEM01,True,True,relaxed,False,
CLS0008,2018-09-12,SEM01,True,False,amused,False,
CLS0009,2018-09-14,SEM01,False,False,engaged,False,
CLS0010,2018-09-17,SEM01,True,False,relaxed,False,
CLS0011,2018-09-19,SEM01,True,True,relaxed,True,
CLS0012,2018-09-21,SEM01,True,True,amused,False,
CLS0013,2018-09-24,SEM01,True,True,engaged,True,
CLS0014,2018-09-26,SEM01,True,False,relaxed,False,
CLS0015,2018-09-28,SEM01,False,False,amused,False,
CLS0016,2018-10-01,SEM01,True,False,pensive,False,
CLS0017,2018-10-03,SEM01,True,False,engaged,False,
CLS0018,2018-10-05,SEM01,True,True,pensive,False,
CLS0019,2018-10-08,SEM01,True,False,relaxed,False,
CLS0020,2018-10-10,SEM01,True,True,pensive,False,
CLS0021,2018-10-12,SEM01,True,True,amused,False,
CLS0022,2018-10-15,SEM01,True,False,relaxed,False,
CLS0023,2018-10-17,SEM01,True,False,amused,False,
CLS0024,2018-10-19,SEM01,True,False,engaged,False,
CLS0025,2018-10-22,SEM01,False,False,pensive,True,
CLS0026,2018-10-24,SEM01,True,False,engaged,True,
CLS0027,2018-10-26,SEM01,True,False,engaged,False,
CLS0028,2018-10-29,SEM01,True,True,relaxed,False,
CLS0029,2018-10-31,SEM01,True,False,pensive,False,
CLS0030,2018-11-02,SEM01,True,True,relaxed,True,
CLS0031,2018-11-05,SEM01,True,True,amused,False,
CLS0032,2018-11-07,SEM01,True,True,engaged,False,
CLS0033,2018-11-09,SEM01,True,True,relaxed,False,
CLS0034,2018-11-12,SEM01,False,False,pensive,False,
CLS0035,2018-11-14,SEM01,True,False,pensive,False,
CLS0036,2018-11-16,SEM01,True,False,amused,False,
CLS0037,2018-11-19,SEM01,True,True,engaged,False,
CLS0038,2018-11-21,SEM01,True,False,relaxed,False,
CLS0039,2018-11-23,SEM01,True,True,amused,False,
CLS0040,2018-11-26,SEM01,True,True,amused,False,
CLS0041,2018-11-28,SEM01,True,False,pensive,True,
CLS0042,2018-11-30,SEM01,True,False,amused,False,
CLS0043,2018-12-03,SEM01,True,False,amused,False,
CLS0044,2018-12-05,SEM01,True,True,pensive,False,
CLS0045,2018-12-07,SEM01,True,False,engaged,False,
CLS0046,2018-12-10,SEM01,True,False,relaxed,False,
CLS0047,2018-12-12,SEM01,True,True,pensive,False,
CLS0048,2018-12-14,SEM01,True,False,pensive,False,
CLS0049,2019-01-16,SEM02,True,True,engaged,True,
CLS0050,2019-01-18,SEM02,True,False,amused,False,
CLS0051,2019-01-21,SEM02,True,False,pensive,False,
CLS0052,2019-01-23,SEM02,False,False,pensive,False,
CLS0053,2019-01-25,SEM02,True,False,relaxed,False,
CLS0054,2019-01-28,SEM02,True,False,engaged,False,
CLS0055,2019-01-30,SEM02,True,False,pensive,False,
CLS0056,2019-02-01,SEM02,True,False,engaged,False,
CLS0057,2019-02-04,SEM02,True,True,engaged,False,
CLS0058,2019-02-06,SEM02,True,True,relaxed,False,
CLS0059,2019-02-08,SEM02,True,False,relaxed,False,
CLS0060,2019-02-11,SEM02,True,True,engaged,False,
CLS0061,2019-02-13,SEM02,True,True,amused,True,
CLS0062,2019-02-15,SEM02,True,False,engaged,False,
CLS0063,2019-02-18,SEM02,True,False,amused,False,
CLS0064,2019-02-20,SEM02,True,False,pensive,False,
CLS0065,2019-02-22,SEM02,True,False,pensive,False,
CLS0066,2019-02-25,SEM02,True,False,relaxed,True,
CLS0067,2019-02-27,SEM02,True,False,amused,False,
CLS0068,2019-03-01,SEM02,True,False,pensive,True,
CLS0069,2019-03-04,SEM02,True,False,relaxed,True,
CLS0070,2019-03-06,SEM02,True,False,pensive,False,
CLS0071,2019-03-08,SEM02,True,False,amused,True,
CLS0072,2019-03-11,SEM02,True,False,engaged,False,
CLS0073,2019-03-13,SEM02,True,True,amused,False,
CLS0074,2019-03-15,SEM02,True,False,engaged,False,
CLS0075,2019-03-18,SEM02,False,True,amused,True,
CLS0076,2019-03-20,SEM02,True,True,relaxed,False,
CLS0077,2019-03-22,SEM02,True,False,relaxed,True,
CLS0078,2019-03-25,SEM02,True,False,relaxed,True,
CLS0079,2019-03-27,SEM02,True,True,pensive,False,
CLS0080,2019-03-29,SEM02,True,False,engaged,False,
CLS0081,2019-04-01,SEM02,True,False,pensive,False,
CLS0082,2019-04-03,SEM02,False,False,engaged,False,
CLS0083,2019-04-05,SEM02,False,False,relaxed,True,
CLS0084,2019-04-08,SEM02,False,False,amused,True,
CLS0085,2019-04-10,SEM02,True,False,amused,False,
CLS0086,2019-04-12,SEM02,True,False,engaged,False,
CLS0087,2019-04-15,SEM02,True,True,pensive,True,
CLS0088,2019-04-17,SEM02,True,True,pensive,False,
CLS0089,2019-04-19,SEM02,True,False,relaxed,False,
CLS0090,2019-04-22,SEM02,False,False,engaged,False,
CLS0091,2019-04-24,SEM02,False,False,engaged,False,
CLS0092,2019-04-26,SEM02,True,True,relaxed,True,
CLS0093,2019-04-29,SEM02,True,False,engaged,True,
CLS0094,2019-05-01,SEM02,True,True,amused,False,
CLS0095,2019-05-03,SEM02,True,False,relaxed,True,
CLS0096,2019-05-06,SEM02,False,True,pensive,False,
CLS0097,2019-05-08,SEM02,True,True,pensive,False,
CLS0098,2019-05-10,SEM02,False,False,amused,False,
CLS0099,2019-08-26,SEM03,True,False,pensive,False,
CLS0100,2019-08-28,SEM03,False,False,relaxed,False,
CLS0101,2019-08-30,SEM03,True,False,engaged,False,
CLS0102,2019-09-02,SEM03,True,False,engaged,False,
CLS0103,2019-09-04,SEM03,True,True,relaxed,True,
CLS0104,2019-09-06,SEM03,True,False,amused,False,
CLS0105,2019-09-09,SEM03,True,False,pensive,False,
CLS0106,2019-09-11,SEM03,True,True,relaxed,False,
CLS0107,2019-09-13,SEM03,True,False,engaged,False,
CLS0108,2019-09-16,SEM03,True,False,amused,False,
CLS0109,2019-09-18,SEM03,True,True,engaged,True,
CLS0110,2019-09-20,SEM03,False,False,pensive,False,
CLS0111,2019-09-23,SEM03,True,False,pensive,True,
CLS0112,2019-09-25,SEM03,True,False,relaxed,False,
CLS0113,2019-09-27,SEM03,True,False,relaxed,False,
CLS0114,2019-09-30,SEM03,True,False,amused,False,
CLS0115,2019-10-02,SEM03,True,False,pensive,True,
CLS0116,2019-10-04,SEM03,True,False,amused,False,
CLS0117,2019-10-07,SEM03,True,False,amused,False,
CLS0118,2019-10-09,SEM03,True,True,amused,False,
CLS0119,2019-10-11,SEM03,True,False,engaged,False,
CLS0120,2019-10-14,SEM03,True,False,pensive,False,
CLS0121,2019-10-16,SEM03,False,False,engaged,True,
CLS0122,2019-10-18,SEM03,True,False,relaxed,False,
CLS0123,2019-10-21,SEM03,True,False,amused,False,
CLS0124,2019-10-23,SEM03,True,False,amused,False,
CLS0125,2019-10-25,SEM03,True,True,relaxed,False,
CLS0126,2019-10-28,SEM03,False,True,amused,False,
CLS0127,2019-10-30,SEM03,False,False,amused,False,
CLS0128,2019-11-01,SEM03,True,False,amused,False,
CLS0129,2019-11-04,SEM03,True,False,pensive,False,
CLS0130,2019-11-06,SEM03,False,False,engaged,False,
CLS0131,2019-11-08,SEM03,True,False,pensive,False,
CLS0132,2019-11-11,SEM03,False,False,engaged,False,
CLS0133,2019-11-13,SEM03,False,False,relaxed,False,
CLS0134,2019-11-15,SEM03,False,False,pensive,False,
CLS0135,2019-11-18,SEM03,True,True,relaxed,True,
CLS0136,2019-11-20,SEM03,True,False,amused,True,
CLS0137,2019-11-22,SEM03,True,False,pensive,False,
CLS0138,2019-11-25,SEM03,True,False,engaged,False,
CLS0139,2019-11-27,SEM03,True,False,amused,True,
CLS0140,2019-11-29,SEM03,True,False,amused,False,
CLS0141,2019-12-02,SEM03,True,False,engaged,True,
CLS0142,2019-12-04,SEM03,True,False,relaxed,False,
CLS0143,2019-12-06,SEM03,True,False,relaxed,True,
CLS0144,2019-12-09,SEM03,True,True,engaged,False,
CLS0145,2019-12-11,SEM03,True,True,amused,False,
CLS0146,2019-12-13,SEM03,True,True,relaxed,True,
CLS0147,2020-01-15,SEM04,True,True,amused,False,
CLS0148,2020-01-17,SEM04,False,True,pensive,True,
CLS0149,2020-01-20,SEM04,False,False,pensive,False,
CLS0150,2020-01-22,SEM04,True,False,pensive,False,
CLS0151,2020-01-24,SEM04,False,False,amused,False,
CLS0152,2020-01-27,SEM04,True,True,relaxed,True,
CLS0153,2020-01-29,SEM04,True,False,amused,False,
CLS0154,2020-01-31,SEM04,True,False,amused,False,
CLS0155,2020-02-03,SEM04,True,False,pensive,False,
CLS0156,2020-02-05,SEM04,False,False,relaxed,False,
CLS0157,2020-02-07,SEM04,True,False,amused,False,
CLS0158,2020-02-10,SEM04,True,False,amused,False,
CLS0159,2020-02-12,SEM04,True,False,amused,False,
CLS0160,2020-02-14,SEM04,True,False,engaged,False,
CLS0161,2020-02-17,SEM04,False,True,pensive,True,
CLS0162,2020-02-19,SEM04,True,False,relaxed,False,
CLS0163,2020-02-21,SEM04,True,False,pensive,True,
CLS0164,2020-02-24,SEM04,True,True,relaxed,False,
CLS0165,2020-02-26,SEM04,False,False,relaxed,False,
CLS0166,2020-02-28,SEM04,True,False,pensive,False,
CLS0167,2020-03-02,SEM04,True,True,pensive,False,
CLS0168,2020-03-04,SEM04,False,False,relaxed,False,
CLS0169,2020-03-06,SEM04,True,False,engaged,True,
CLS0170,2020-03-09,SEM04,True,False,engaged,False,
CLS0171,2020-03-11,SEM04,True,True,amused,False,
CLS0172,2020-03-13,SEM04,True,False,pensive,True,
CLS0173,2020-03-16,SEM04,True,False,amused,False,
CLS0174,2020-03-18,SEM04,True,False,engaged,False,
CLS0175,2020-03-20,SEM04,True,False,pensive,False,
CLS0176,2020-03-23,SEM04,True,False,amused,False,
