event_id,journey_id,event_sequence,event_type,event_subtype,day_of_journey,outcome,outcome_impact,is_regulatory
JRN-BAG-0001-E001,JRN-BAG-0001,1,delay,bureaucratic,3,resolved_poorly,-0.441,False
JRN-BAG-0001-E002,JRN-BAG-0001,2,discovery,technique,18,resolved_favorably,0.711,True
JRN-BAG-0001-E003,JRN-BAG-0001,3,trade_difficulty,price_collapse,18,resolved_poorly,-0.455,True
JRN-BAG-0001-E005,JRN-BAG-0001,4,interpersonal,robbery,19,unresolved,0.121,True
JRN-BAG-0001-E006,JRN-BAG-0001,5,creature_attack,swarm,20,resolved_poorly,-0.397,False
JRN-BAG-0001-E007,JRN-BAG-0001,6,weather,extreme_heat,20,resolved_poorly,-0.551,False
JRN-BAG-0001-E004,JRN-BAG-0001,7,trade_difficulty,counterfeit_goods,21,resolved_poorly,-0.426,False
JRN-BAG-0002-E002,JRN-BAG-0002,1,creature_attack,night_crawler,4,resolved_favorably,0.519,True
JRN-BAG-0002-E001,JRN-BAG-0002,2,interpersonal,companion_conflict,22,resolved_poorly,-0.448,True
JRN-BAG-0002-E005,JRN-BAG-0002,3,trade_difficulty,weighted_coins,24,resolved_favorably,0.666,False
JRN-BAG-0002-E003,JRN-BAG-0002,4,weather,extreme_heat,25,resolved_favorably,0.762,False
JRN-BAG-0002-E004,JRN-BAG-0002,5,interpersonal,helpful_stranger,31,resolved_favorably,0.231,True
JRN-BAG-0002-E006,JRN-BAG-0002,6,creature_attack,Stakdur,59,resolved_favorably,0.717,False
JRN-BAG-0002-E007,JRN-BAG-0002,7,delay,illness,61,resolved_favorably,0.469,True
JRN-BAG-0003-E002,JRN-BAG-0003,1,trade_difficulty,weighted_coins,16,resolved_favorably,0.361,False
JRN-BAG-0003-E001,JRN-BAG-0003,2,delay,bridge_out,17,resolved_favorably,0.27,False
JRN-BAG-0003-E005,JRN-BAG-0003,3,weather,flooding,33,resolved_poorly,-0.364,False
JRN-BAG-0003-E003,JRN-BAG-0003,4,trade_difficulty,counterfeit_goods,34,resolved_poorly,-0.515,False
JRN-BAG-0003-E004,JRN-BAG-0003,5,interpersonal,official_harassment,37,resolved_poorly,-0.352,False
JRN-BAG-0003-E006,JRN-BAG-0003,6,delay,bureaucratic,37,resolved_poorly,-0.434,False
JRN-BAG-0004-E002,JRN-BAG-0004,1,delay,bridge_out,6,resolved_poorly,-0.532,True
JRN-BAG-0004-E001,JRN-BAG-0004,2,discovery,information,8,resolved_favorably,0.475,True
JRN-BAG-0004-E003,JRN-BAG-0004,3,discovery,valuable_site,16,resolved_poorly,-0.418,True
JRN-BAG-0004-E004,JRN-BAG-0004,4,trade_success,bulk_buyer,16,resolved_favorably,0.763,False
JRN-BAG-0004-E006,JRN-BAG-0004,5,discovery,information,16,resolved_favorably,0.792,False
JRN-BAG-0004-E005,JRN-BAG-0004,6,discovery,opportunity,18,resolved_favorably,0.353,False
JRN-BAG-0004-E007,JRN-BAG-0004,7,encounter,desperate_person,34,resolved_favorably,0.589,False
JRN-BAG-0005-E001,JRN-BAG-0005,1,weather,drought,10,resolved_poorly,-0.474,False
JRN-BAG-0005-E002,JRN-BAG-0005,2,trade_difficulty,counterfeit_goods,12,unresolved,-0.107,True
JRN-BAG-0005-E003,JRN-BAG-0005,3,creature_attack,territorial_bird,32,resolved_poorly,-0.381,True
JRN-BAG-0005-E004,JRN-BAG-0005,4,weather,cold_snap,32,resolved_poorly,-0.733,True
JRN-BAG-0005-E005,JRN-BAG-0005,5,weather,storm,42,resolved_favorably,0.565,False
JRN-BAG-0005-E006,JRN-BAG-0005,6,discovery,warning,65,resolved_favorably,0.424,False
JRN-BAG-0005-E008,JRN-BAG-0005,7,creature_attack,unknown,66,unresolved,0.188,False
JRN-BAG-0005-E007,JRN-BAG-0005,8,trade_difficulty,price_collapse,67,resolved_favorably,0.547,False
JRN-BAG-0005-E009,JRN-BAG-0005,9,creature_attack,Maw_Beast,67,resolved_favorably,0.261,False
JRN-BAG-0006-E002,JRN-BAG-0006,1,weather,storm,1,resolved_favorably,0.455,True
JRN-BAG-0006-E001,JRN-BAG-0006,2,creature_attack,unknown,2,resolved_favorably,0.641,True
JRN-BAG-0006-E003,JRN-BAG-0006,3,weather,storm,10,unresolved,-0.03,True
JRN-BAG-0006-E010,JRN-BAG-0006,4,trade_difficulty,scam_attempt,20,resolved_poorly,-0.265,False
JRN-BAG-0006-E006,JRN-BAG-0006,5,weather,storm,22,resolved_poorly,-0.219,True
JRN-BAG-0006-E004,JRN-BAG-0006,6,delay,bridge_out,24,resolved_poorly,-0.67,False
JRN-BAG-0006-E009,JRN-BAG-0006,7,interpersonal,official_harassment,25,resolved_poorly,-0.42,False
JRN-BAG-0006-E008,JRN-BAG-0006,8,creature_attack,Stakdur,26,resolved_poorly,-0.625,False
JRN-BAG-0006-E005,JRN-BAG-0006,9,delay,equipment_failure,29,resolved_poorly,-0.262,False
JRN-BAG-0006-E007,JRN-BAG-0006,10,interpersonal,local_hospitality,29,unresolved,0.097,False
JRN-BAG-0007-E002,JRN-BAG-0007,1,weather,drought,1,resolved_favorably,0.63,False
JRN-BAG-0007-E003,JRN-BAG-0007,2,encounter,potential_partner,2,resolved_favorably,0.248,False
JRN-BAG-0007-E001,JRN-BAG-0007,3,creature_attack,unknown,3,unresolved,-0.035,False
JRN-BAG-0007-E004,JRN-BAG-0007,4,interpersonal,helpful_stranger,18,resolved_favorably,0.437,False
JRN-BAG-0007-E005,JRN-BAG-0007,5,delay,illness,25,resolved_poorly,-0.788,False
JRN-BAG-0007-E006,JRN-BAG-0007,6,encounter,potential_partner,33,resolved_poorly,-0.247,True
JRN-BAG-0007-E008,JRN-BAG-0007,7,delay,bridge_out,34,resolved_favorably,0.218,True
JRN-BAG-0007-E007,JRN-BAG-0007,8,discovery,information,44,resolved_favorably,0.343,True
JRN-BAG-0008-E001,JRN-BAG-0008,1,interpersonal,companion_conflict,22,resolved_favorably,0.279,False
JRN-BAG-0008-E002,JRN-BAG-0008,2,weather,fog,34,resolved_favorably,0.68,False
JRN-BAG-0008-E006,JRN-BAG-0008,3,trade_difficulty,scam_attempt,44,resolved_poorly,-0.467,True
JRN-BAG-0008-E008,JRN-BAG-0008,4,interpersonal,helpful_stranger,51,resolved_poorly,-0.664,False
JRN-BAG-0008-E004,JRN-BAG-0008,5,interpersonal,local_hospitality,53,unresolved,0.235,True
JRN-BAG-0008-E005,JRN-BAG-0008,6,interpersonal,official_harassment,54,resolved_poorly,-0.356,False
JRN-BAG-0008-E007,JRN-BAG-0008,7,delay,bridge_out,55,resolved_poorly,-0.773,False
JRN-BAG-0008-E003,JRN-BAG-0008,8,weather,extreme_heat,57,resolved_poorly,-0.539,False
JRN-BAG-0009-E003,JRN-BAG-0009,1,creature_attack,territorial_bird,4,unresolved,-0.211,False
JRN-BAG-0009-E002,JRN-BAG-0009,2,creature_attack,swarm,15,resolved_favorably,0.217,False
JRN-BAG-0009-E001,JRN-BAG-0009,3,discovery,shortcut,17,resolved_favorably,0.732,True
JRN-BAG-0009-E007,JRN-BAG-0009,4,weather,flooding,27,resolved_favorably,0.564,False
JRN-BAG-0009-E005,JRN-BAG-0009,5,encounter,official,29,resolved_favorably,0.472,True
JRN-BAG-0009-E006,JRN-BAG-0009,6,trade_success,rare_goods_found,30,resolved_favorably,0.598,False
JRN-BAG-0009-E004,JRN-BAG-0009,7,trade_difficulty,weighted_coins,37,resolved_poorly,-0.23,False
JRN-BAG-0009-E008,JRN-BAG-0009,8,encounter,potential_partner,42,resolved_favorably,0.684,False
JRN-BAG-0009-E010,JRN-BAG-0009,9,delay,border_closure,42,unresolved,-0.228,True
JRN-BAG-0009-E009,JRN-BAG-0009,10,discovery,shortcut,53,unresolved,-0.229,False
JRN-BAG-0010-E003,JRN-BAG-0010,1,trade_difficulty,market_closure,12,resolved_favorably,0.783,True
JRN-BAG-0010-E001,JRN-BAG-0010,2,creature_attack,Maw_Beast,13,resolved_favorably,0.74,True
JRN-BAG-0010-E002,JRN-BAG-0010,3,delay,bureaucratic,24,resolved_favorably,0.627,True
JRN-BAG-0010-E004,JRN-BAG-0010,4,trade_success,monopoly_opportunity,31,resolved_favorably,0.55,False
JRN-BAG-0010-E006,JRN-BAG-0010,5,delay,equipment_failure,32,resolved_poorly,-0.782,False
JRN-BAG-0010-E005,JRN-BAG-0010,6,discovery,warning,41,resolved_favorably,0.565,False
JRN-BAG-0010-E010,JRN-BAG-0010,7,trade_difficulty,price_collapse,52,resolved_favorably,0.298,False
JRN-BAG-0010-E009,JRN-BAG-0010,8,trade_success,bulk_buyer,61,resolved_favorably,0.726,False
JRN-BAG-0010-E007,JRN-BAG-0010,9,delay,equipment_failure,64,resolved_favorably,0.447,False
JRN-BAG-0010-E008,JRN-BAG-0010,10,discovery,opportunity,73,resolved_poorly,-0.74,False
JRN-BAG-0011-E001,JRN-BAG-0011,1,creature_attack,Maw_Beast,1,resolved_poorly,-0.75,True
JRN-BAG-0011-E002,JRN-BAG-0011,2,trade_difficulty,market_closure,7,resolved_poorly,-0.793,True
JRN-BAG-0011-E003,JRN-BAG-0011,3,trade_difficulty,buyer_default,10,resolved_favorably,0.453,False
JRN-BAG-0011-E005,JRN-BAG-0011,4,interpersonal,guide_betrayal,23,resolved_favorably,0.588,True
JRN-BAG-0011-E004,JRN-BAG-0011,5,creature_attack,swarm,37,resolved_favorably,0.717,False
JRN-BAG-0011-E008,JRN-BAG-0011,6,interpersonal,helpful_stranger,49,resolved_favorably,0.474,False
JRN-BAG-0011-E006,JRN-BAG-0011,7,interpersonal,local_hospitality,53,resolved_poorly,-0.401,False
JRN-BAG-0011-E007,JRN-BAG-0011,8,weather,drought,57,resolved_favorably,0.578,False
JRN-BAG-0012-E001,JRN-BAG-0012,1,trade_difficulty,scam_attempt,18,resolved_favorably,0.712,True
