journey_id,trader_id,journey_number,archetype_classification,classification_confidence,signature_vector,cluster_id,outlier_score,trajectory_position
JRN-BAG-0001,TRAV-BAGBU,1,JRN-DO,0.607,"[0.203,0.182,0.397,0.248,0.000,0.644,0.865,0.913,0.822,0.402]",11,0.246,0.003
JRN-BAG-0002,TRAV-BAGBU,2,JRN-WH,0.817,"[0.706,0.506,0.484,0.580,0.282,0.453,0.574,0.631,0.464,0.556]",6,0.125,0.005
JRN-BAG-0003,TRAV-BAGBU,3,JRN-DO,0.826,"[0.000,0.009,0.063,0.231,0.200,0.517,0.927,0.750,0.787,0.156]",9,0.242,0.007
JRN-BAG-0004,TRAV-BAGBU,4,JRN-UN,0.503,"[0.000,0.463,0.510,0.505,0.508,0.530,0.414,0.700,0.316,0.429]",20,0.461,0.01
JRN-BAG-0005,TRAV-BAGBU,5,JRN-WH,0.859,"[0.714,0.486,0.287,0.420,0.643,0.283,0.505,0.538,0.453,0.609]",5,0.211,0.013
JRN-BAG-0006,TRAV-BAGBU,6,JRN-DO,0.66,"[0.099,0.000,0.403,0.000,0.130,0.704,0.993,0.884,0.998,0.321]",9,0.14,0.015
JRN-BAG-0007,TRAV-BAGBU,7,JRN-UN,0.248,"[0.439,0.525,0.463,0.734,0.441,0.348,0.436,0.557,0.584,0.496]",19,0.51,0.018
JRN-BAG-0008,TRAV-BAGBU,8,JRN-DO,0.791,"[0.183,0.101,0.000,0.033,0.205,0.707,0.810,0.858,0.564,0.450]",11,0.17,0.02
JRN-BAG-0009,TRAV-BAGBU,9,JRN-UN,0.505,"[0.497,0.350,0.346,0.738,0.596,0.816,0.597,0.343,0.259,0.399]",15,0.685,0.022
JRN-BAG-0010,TRAV-BAGBU,10,JRN-UN,0.308,"[0.267,0.511,0.494,0.814,0.516,0.667,0.000,0.424,0.384,0.305]",16,0.296,0.025
JRN-BAG-0011,TRAV-BAGBU,11,JRN-WH,0.928,"[0.836,0.423,0.508,0.271,0.465,0.353,0.431,0.372,0.633,0.403]",5,0.114,0.028
JRN-BAG-0012,TRAV-BAGBU,12,JRN-WH,0.819,"[0.635,0.735,0.511,0.552,0.520,0.632,0.526,0.379,0.489,0.314]",8,0.111,0.03
JRN-BAG-0013,TRAV-BAGBU,13,JRN-WH,0.821,"[0.534,0.409,0.631,0.591,0.351,0.578,0.471,0.278,0.568,0.493]",7,0.075,0.033
