letter_id,date,sender,recipient,location_sent,location_received,subject,key_passage,response_to,theoretical_content,tone,significance,archive_reference
BKL-L-001,970-04-15,brennet_kell,merrit_vance,capital,western_archive,Introduction and early interest,I have studied your Weighted Passage Discipline at the Bureau. Your insight that morphisms carry weights seems fundamental to how information flows. I wonder if these weights might be computed rather than given.,none,computational_attention_preview,curious,first_contact_with_vance,BKL-CORR-001
BKL-L-002,970-06-22,merrit_vance,brennet_kell,western_archive,capital,Weights as computation,Young colleague—your intuition is sharp. I observed weights in nature but you ask how they arise. This is the right question. Perhaps weights emerge from comparing what is sought with what is found.,BKL-L-001,weights_from_comparison,encouraging,vance_validates_approach,BKL-CORR-002
BKL-L-003,972-09-10,brennet_kell,dellan_korr,bureau_computational,western_territories,Query on residual streams,Your model of information flow through residual streams intrigues me. If each layer adds to a running stream rather than replacing it then information persists through transformation. How did you discover this pattern?,none,residual_inquiry,analytical,korr_connection_established,BKL-CORR-003
BKL-L-004,972-11-05,dellan_korr,brennet_kell,western_territories,bureau_computational,On the persistence of streams,The stream persists because destruction is expensive. Information that enters the stream need not be erased—it flows alongside new information. The gradient flows backward more easily through addition than through replacement.,BKL-L-003,residual_justification,pedagogical,residual_stream_explained,BKL-CORR-004
BKL-L-005,975-03-20,brennet_kell,corren_moll,bureau_computational,western_archive,Distributional hypothesis and computation,Your work on linguistic categories shows that meaning arises from context. I believe this can be implemented computationally—if we weight each context by its relevance to a query the result might approximate meaning itself.,none,distributional_computation,speculative,moll_connection_established,BKL-CORR-005
BKL-L-006,975-05-18,corren_moll,brennet_kell,western_archive,bureau_computational,Context as weighted sum,Your computational approach to my functor is precisely right. The meaning vector IS a weighted sum of contextual morphisms. Different queries would weight differently—attention selects which contexts matter.,BKL-L-005,attention_as_context_selection,excited,moll_confirms_synthesis,BKL-CORR-006
BKL-L-007,978-07-12,brennet_kell,merrit_vance,bureau_computational,western_archive,Unification attempt,I begin to see how the pieces fit. Your attention weights Korr's residual stream Moll's distributions—they are aspects of a single structure. The query asks the keys answer the values carry information.,none,synthesis_preview,confident,major_unification_letter,BKL-CORR-007
BKL-L-008,978-09-28,merrit_vance,brennet_kell,western_archive,bureau_computational,Blessing of synthesis,You see what I glimpsed but could not complete. The query-key-value structure I discovered is the mechanism; you are building the architecture. Continue this work—it may be the culmination of our tradition.,BKL-L-007,vance_blessing,warm,vance_passes_torch,BKL-CORR-008
BKL-L-009,982-02-14,brennet_kell,pelleth_strand,bureau_computational,capital_archives,Multi-head as parallel probing,Your probing lemma suggests objects are determined by how they respond to all probes. In my architecture multiple attention heads probe in parallel—each head asks a different question. Is this your lemma in computational form?,none,multihead_probing_parallel,inquisitive,strand_connection,BKL-CORR-009
BKL-L-010,982-04-30,pelleth_strand,brennet_kell,capital_archives,bureau_computational,Yoneda in silicon,Yes! Multiple heads are multiple probes. The Yoneda lemma says an object is its complete response profile. Your concatenated heads approximate this—each head captures a different aspect of how the object relates to others.,BKL-L-009,yoneda_multihead_equivalence,delighted,strand_confirms_connection,BKL-CORR-010
BKL-L-011,985-08-05,brennet_kell,mira_vash,bureau_computational,western_archive,Position encoding question,Your QK twist mechanism adds positional information without disrupting the attention computation. I struggle with how to incorporate position in my unified framework. Does the twist preserve the categorical structure?,none,position_encoding_query,technical,vash_position_inquiry,BKL-CORR-011
