report_id,reporting_period,region,metric_name,aggregation_level,sample_size,aggregate_value,noise_added,epsilon,individual_identifiable,guild_council_use,comparable_to_previous
AGT-0001,Year_890_Q1,Levin-Aragon Basin,journey_success_rate,region,47,0.78,0.02,0.5,false,resource_allocation,true
AGT-0002,Year_890_Q1,Levin-Aragon Basin,average_journey_duration,region,47,12.3,0.15,0.5,false,route_safety,true
AGT-0003,Year_890_Q1,Guild Wide,new_route_discoveries,guild_wide,234,23,1.0,0.3,false,training_needs,true
AGT-0004,Year_890_Q1,Capital Region,trade_volume,region,89,4567.0,12.5,0.5,false,resource_allocation,true
AGT-0005,Year_890_Q1,Dens Periphery,anomaly_encounters,region,34,8,0.5,0.7,false,route_safety,true
AGT-0006,Year_890_Q1,Guild Wide,apprentice_completion_rate,guild_wide,56,0.72,0.03,0.3,false,training_needs,true
AGT-0007,Year_890_Q1,Northern Territories,cargo_loss_rate,region,28,0.04,0.01,0.5,false,route_safety,true
AGT-0008,Year_890_Q1,Coastal Zones,journey_success_rate,region,63,0.85,0.02,0.5,false,resource_allocation,true
AGT-0009,Year_890_Q1,Guild Wide,veteran_retention_rate,guild_wide,178,0.91,0.02,0.3,false,training_needs,true
AGT-0010,Year_890_Q1,Southern Markets,trade_volume,region,72,3892.0,10.8,0.5,false,resource_allocation,true
AGT-0011,Year_890_Q2,Levin-Aragon Basin,journey_success_rate,region,49,0.80,0.02,0.5,false,resource_allocation,true
AGT-0012,Year_890_Q2,Levin-Aragon Basin,average_journey_duration,region,49,11.8,0.14,0.5,false,route_safety,true
AGT-0013,Year_890_Q2,Guild Wide,new_route_discoveries,guild_wide,238,27,1.1,0.3,false,training_needs,true
AGT-0014,Year_890_Q2,Capital Region,trade_volume,region,92,4823.0,13.2,0.5,false,resource_allocation,true
AGT-0015,Year_890_Q2,Dens Periphery,anomaly_encounters,region,36,7,0.4,0.7,false,route_safety,true
AGT-0016,Year_890_Q2,Guild Wide,apprentice_completion_rate,guild_wide,58,0.74,0.03,0.3,false,training_needs,true
AGT-0017,Year_890_Q2,Northern Territories,cargo_loss_rate,region,30,0.03,0.01,0.5,false,route_safety,true
AGT-0018,Year_890_Q2,Coastal Zones,journey_success_rate,region,67,0.86,0.02,0.5,false,resource_allocation,true
AGT-0019,Year_890_Q2,Guild Wide,veteran_retention_rate,guild_wide,182,0.92,0.02,0.3,false,training_needs,true
AGT-0020,Year_890_Q2,Southern Markets,trade_volume,region,75,4156.0,11.4,0.5,false,resource_allocation,true
AGT-0021,Year_890_Q3,Levin-Aragon Basin,journey_success_rate,region,51,0.81,0.02,0.5,false,resource_allocation,true
AGT-0022,Year_890_Q3,Levin-Aragon Basin,average_journey_duration,region,51,11.5,0.13,0.5,false,route_safety,true
AGT-0023,Year_890_Q3,Guild Wide,new_route_discoveries,guild_wide,241,31,1.2,0.3,false,training_needs,true
AGT-0024,Year_890_Q3,Capital Region,trade_volume,region,95,5012.0,14.1,0.5,false,resource_allocation,true
AGT-0025,Year_890_Q3,Dens Periphery,anomaly_encounters,region,38,9,0.5,0.7,false,route_safety,true
AGT-0026,Year_890_Q3,Guild Wide,apprentice_completion_rate,guild_wide,61,0.75,0.03,0.3,false,training_needs,true
AGT-0027,Year_890_Q3,Northern Territories,cargo_loss_rate,region,32,0.03,0.01,0.5,false,route_safety,true
AGT-0028,Year_890_Q3,Coastal Zones,journey_success_rate,region,70,0.87,0.02,0.5,false,resource_allocation,true
AGT-0029,Year_890_Q3,Guild Wide,veteran_retention_rate,guild_wide,186,0.93,0.02,0.3,false,training_needs,true
AGT-0030,Year_890_Q3,Southern Markets,trade_volume,region,78,4389.0,12.0,0.5,false,resource_allocation,true
AGT-0031,Year_890_Q4,Levin-Aragon Basin,journey_success_rate,region,48,0.79,0.02,0.5,false,resource_allocation,true
AGT-0032,Year_890_Q4,Levin-Aragon Basin,average_journey_duration,region,48,12.1,0.14,0.5,false,route_safety,true
AGT-0033,Year_890_Q4,Guild Wide,new_route_discoveries,guild_wide,235,25,1.0,0.3,false,training_needs,true
AGT-0034,Year_890_Q4,Capital Region,trade_volume,region,88,4234.0,11.6,0.5,false,resource_allocation,true
