contribution_id,survey_team,region,contribution_type,local_sample_size,local_model_accuracy,gradient_shared,raw_data_shared,method_details_shared,central_model_improvement,privacy_preserved,team_credit,subsequent_local_benefit
FSC-0001,Northern Basin Team,Levin-Aragon Basin,terrain_classification,156,0.84,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0002,Dens Border Unit,Dens Periphery,route_safety,89,0.71,true,false,false,0.05,true,named_contribution,0.18
FSC-0003,Capital Survey Corps,Capital Region,landmark_update,234,0.91,true,false,false,0.02,true,anonymous,0.08
FSC-0004,Coastal Mapping Division,Coastal Zones,terrain_classification,178,0.86,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0005,Southern Route Scouts,Southern Markets,route_safety,112,0.78,true,false,false,0.04,true,named_contribution,0.15
FSC-0006,Mountain Survey Squad,Northern Territories,landmark_update,98,0.82,true,false,false,0.04,true,aggregate_acknowledgment,0.13
FSC-0007,Eastern Boundary Team,Levin-Aragon Basin,terrain_classification,145,0.85,true,false,false,0.03,true,named_contribution,0.12
FSC-0008,Dens Approach Unit,Dens Periphery,route_safety,76,0.68,true,false,false,0.06,true,named_contribution,0.20
FSC-0009,Archive Survey Support,Capital Region,landmark_update,267,0.93,true,false,false,0.02,true,anonymous,0.07
FSC-0010,Harbor Mapping Crew,Coastal Zones,terrain_classification,189,0.87,true,false,false,0.03,true,aggregate_acknowledgment,0.10
FSC-0011,Trade Route Surveyors,Southern Markets,route_safety,134,0.80,true,false,false,0.04,true,aggregate_acknowledgment,0.14
FSC-0012,Highland Expedition Unit,Northern Territories,landmark_update,87,0.79,true,false,false,0.04,true,named_contribution,0.14
FSC-0013,Western Basin Scouts,Levin-Aragon Basin,terrain_classification,162,0.85,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0014,Dens Proximity Team,Dens Periphery,route_safety,82,0.69,true,false,false,0.06,true,named_contribution,0.19
FSC-0015,Central Archive Corps,Capital Region,landmark_update,245,0.92,true,false,false,0.02,true,anonymous,0.08
FSC-0016,Peninsula Mapping Unit,Coastal Zones,terrain_classification,167,0.86,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0017,Market Corridor Scouts,Southern Markets,route_safety,128,0.79,true,false,false,0.04,true,aggregate_acknowledgment,0.15
FSC-0018,Northern Peak Survey,Northern Territories,landmark_update,92,0.80,true,false,false,0.04,true,named_contribution,0.14
FSC-0019,Basin Core Team,Levin-Aragon Basin,terrain_classification,158,0.84,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0020,Dens Outer Ring Unit,Dens Periphery,route_safety,85,0.70,true,false,false,0.05,true,named_contribution,0.18
FSC-0021,Northern Basin Team,Levin-Aragon Basin,route_safety,142,0.81,true,false,false,0.04,true,aggregate_acknowledgment,0.14
FSC-0022,Dens Border Unit,Dens Periphery,terrain_classification,78,0.65,true,false,false,0.07,true,named_contribution,0.22
FSC-0023,Capital Survey Corps,Capital Region,route_safety,221,0.89,true,false,false,0.02,true,anonymous,0.09
FSC-0024,Coastal Mapping Division,Coastal Zones,route_safety,165,0.83,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0025,Southern Route Scouts,Southern Markets,terrain_classification,118,0.79,true,false,false,0.04,true,named_contribution,0.14
FSC-0026,Mountain Survey Squad,Northern Territories,route_safety,94,0.77,true,false,false,0.05,true,aggregate_acknowledgment,0.16
FSC-0027,Eastern Boundary Team,Levin-Aragon Basin,route_safety,138,0.82,true,false,false,0.03,true,named_contribution,0.13
FSC-0028,Dens Approach Unit,Dens Periphery,terrain_classification,72,0.64,true,false,false,0.07,true,named_contribution,0.23
FSC-0029,Archive Survey Support,Capital Region,route_safety,254,0.91,true,false,false,0.02,true,anonymous,0.08
FSC-0030,Harbor Mapping Crew,Coastal Zones,route_safety,176,0.84,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0031,Trade Route Surveyors,Southern Markets,terrain_classification,126,0.78,true,false,false,0.04,true,aggregate_acknowledgment,0.15
FSC-0032,Highland Expedition Unit,Northern Territories,terrain_classification,84,0.76,true,false,false,0.05,true,named_contribution,0.17
FSC-0033,Western Basin Scouts,Levin-Aragon Basin,route_safety,148,0.82,true,false,false,0.03,true,aggregate_acknowledgment,0.13
FSC-0034,Dens Proximity Team,Dens Periphery,terrain_classification,75,0.66,true,false,false,0.06,true,named_contribution,0.21
FSC-0035,Central Archive Corps,Capital Region,route_safety,232,0.90,true,false,false,0.02,true,anonymous,0.09
FSC-0036,Peninsula Mapping Unit,Coastal Zones,route_safety,158,0.83,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0037,Market Corridor Scouts,Southern Markets,terrain_classification,122,0.78,true,false,false,0.04,true,aggregate_acknowledgment,0.15
FSC-0038,Northern Peak Survey,Northern Territories,terrain_classification,88,0.77,true,false,false,0.05,true,named_contribution,0.16
FSC-0039,Basin Core Team,Levin-Aragon Basin,route_safety,152,0.82,true,false,false,0.03,true,aggregate_acknowledgment,0.13
FSC-0040,Dens Outer Ring Unit,Dens Periphery,terrain_classification,79,0.67,true,false,false,0.06,true,named_contribution,0.20
FSC-0041,Northern Basin Team,Levin-Aragon Basin,landmark_update,148,0.83,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0042,Dens Border Unit,Dens Periphery,landmark_update,84,0.70,true,false,false,0.05,true,named_contribution,0.18
FSC-0043,Capital Survey Corps,Capital Region,terrain_classification,228,0.90,true,false,false,0.02,true,anonymous,0.08
FSC-0044,Coastal Mapping Division,Coastal Zones,landmark_update,172,0.85,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0045,Southern Route Scouts,Southern Markets,landmark_update,108,0.77,true,false,false,0.04,true,named_contribution,0.15
FSC-0046,Mountain Survey Squad,Northern Territories,terrain_classification,96,0.81,true,false,false,0.04,true,aggregate_acknowledgment,0.13
FSC-0047,Eastern Boundary Team,Levin-Aragon Basin,landmark_update,140,0.84,true,false,false,0.03,true,named_contribution,0.12
FSC-0048,Dens Approach Unit,Dens Periphery,landmark_update,74,0.67,true,false,false,0.06,true,named_contribution,0.21
FSC-0049,Archive Survey Support,Capital Region,terrain_classification,260,0.92,true,false,false,0.02,true,anonymous,0.07
FSC-0050,Harbor Mapping Crew,Coastal Zones,landmark_update,182,0.86,true,false,false,0.03,true,aggregate_acknowledgment,0.10
FSC-0051,Trade Route Surveyors,Southern Markets,terrain_classification,130,0.79,true,false,false,0.04,true,aggregate_acknowledgment,0.14
FSC-0052,Highland Expedition Unit,Northern Territories,route_safety,90,0.78,true,false,false,0.05,true,named_contribution,0.16
FSC-0053,Western Basin Scouts,Levin-Aragon Basin,landmark_update,155,0.84,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0054,Dens Proximity Team,Dens Periphery,landmark_update,80,0.68,true,false,false,0.06,true,named_contribution,0.20
FSC-0055,Central Archive Corps,Capital Region,terrain_classification,238,0.91,true,false,false,0.02,true,anonymous,0.08
FSC-0056,Peninsula Mapping Unit,Coastal Zones,landmark_update,162,0.85,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0057,Market Corridor Scouts,Southern Markets,landmark_update,124,0.78,true,false,false,0.04,true,aggregate_acknowledgment,0.15
FSC-0058,Northern Peak Survey,Northern Territories,landmark_update,94,0.79,true,false,false,0.04,true,named_contribution,0.14
FSC-0059,Basin Core Team,Levin-Aragon Basin,landmark_update,160,0.84,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0060,Dens Outer Ring Unit,Dens Periphery,landmark_update,82,0.69,true,false,false,0.05,true,named_contribution,0.19
FSC-0061,River Delta Squad,Coastal Zones,terrain_classification,195,0.88,true,false,false,0.02,true,aggregate_acknowledgment,0.10
FSC-0062,Inland Basin Unit,Levin-Aragon Basin,terrain_classification,168,0.85,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0063,Dens Inner Ring Team,Dens Periphery,route_safety,68,0.62,true,false,false,0.08,true,named_contribution,0.25
FSC-0064,Metropolitan Survey,Capital Region,landmark_update,275,0.93,true,false,false,0.02,true,anonymous,0.07
FSC-0065,Coastal Trade Mappers,Southern Markets,route_safety,136,0.80,true,false,false,0.04,true,aggregate_acknowledgment,0.14
FSC-0066,Alpine Survey Corps,Northern Territories,terrain_classification,102,0.82,true,false,false,0.04,true,named_contribution,0.13
FSC-0067,Basin Perimeter Team,Levin-Aragon Basin,route_safety,154,0.83,true,false,false,0.03,true,aggregate_acknowledgment,0.12
FSC-0068,Dens Gradient Unit,Dens Periphery,terrain_classification,71,0.63,true,false,false,0.07,true,named_contribution,0.24
FSC-0069,Heritage Survey Division,Capital Region,route_safety,248,0.90,true,false,false,0.02,true,anonymous,0.08
FSC-0070,Estuary Mapping Crew,Coastal Zones,route_safety,188,0.85,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0071,Caravan Route Scouts,Southern Markets,landmark_update,114,0.78,true,false,false,0.04,true,named_contribution,0.15
FSC-0072,Glacier Survey Team,Northern Territories,landmark_update,86,0.78,true,false,false,0.05,true,aggregate_acknowledgment,0.16
FSC-0073,Central Basin Corps,Levin-Aragon Basin,landmark_update,164,0.85,true,false,false,0.03,true,aggregate_acknowledgment,0.11
FSC-0074,Dens Threshold Unit,Dens Periphery,route_safety,77,0.66,true,false,false,0.06,true,named_contribution,0.21
FSC-0075,Civic Survey Brigade,Capital Region,terrain_classification,252,0.92,true,false,false,0.02,true,anonymous,0.07
FSC-0076,Island Chain Mappers,Coastal Zones,landmark_update,175,0.86,true,false,false,0.03,true,aggregate_acknowledgment,0.10
FSC-0077,Desert Edge Scouts,Southern Markets,terrain_classification,108,0.76,true,false,false,0.05,true,named_contribution,0.17
FSC-0078,Tundra Survey Squad,Northern Territories,route_safety,82,0.75,true,false,false,0.05,true,named_contribution,0.17
FSC-0079,Lower Basin Team,Levin-Aragon Basin,route_safety,146,0.82,true,false,false,0.03,true,aggregate_acknowledgment,0.13
FSC-0080,Dens Margin Corps,Dens Periphery,landmark_update,73,0.65,true,false,false,0.07,true,named_contribution,0.22
