incident_id,year,institution,original_practitioner_role,documentation_type,extraction_use,time_to_extraction,original_practitioner_outcome,quality_change,tacit_knowledge_lost,practitioner_awareness,kellis_vorn_violation,legal_challenge
MEI-0001,850,Capital Archive,Senior Authenticator,decision_logs,successor_training,18,retired,-0.15,0.42,unaware,true,false
MEI-0002,851,Cartographer's Guild,Master Surveyor,tool_sequences,process_automation,24,demoted,-0.22,0.48,unaware,true,false
MEI-0003,852,Traders Guild,Route Specialist,classification_rationale,standardization,30,replaced,-0.18,0.38,unaware,true,false
MEI-0004,853,Capital Archive,Chief Archivist,decision_logs,successor_training,15,retired,-0.12,0.35,unaware,true,false
MEI-0005,854,Cartographer's Guild,Expedition Leader,route_decisions,standardization,28,demoted,-0.25,0.52,unaware,true,true
MEI-0006,855,Traders Guild,Senior Negotiator,classification_rationale,process_automation,22,replaced,-0.20,0.45,unaware,true,false
MEI-0007,856,Capital Archive,Document Specialist,tool_sequences,successor_training,20,retired,-0.14,0.38,unaware,true,false
MEI-0008,857,Cartographer's Guild,Terrain Analyst,decision_logs,standardization,26,demoted,-0.19,0.42,unaware,true,false
MEI-0009,858,Traders Guild,Market Expert,classification_rationale,process_automation,24,replaced,-0.23,0.50,unaware,true,true
MEI-0010,859,Capital Archive,Senior Authenticator,decision_logs,successor_training,18,retired,-0.12,0.35,unaware,true,false
MEI-0011,860,Cartographer's Guild,Master Surveyor,tool_sequences,process_automation,30,demoted,-0.28,0.55,unaware,true,true
MEI-0012,861,Traders Guild,Route Specialist,classification_rationale,standardization,25,replaced,-0.21,0.46,unaware,true,false
MEI-0013,862,Capital Archive,Chief Archivist,decision_logs,successor_training,16,retired,-0.10,0.32,unaware,true,false
MEI-0014,863,Cartographer's Guild,Expedition Leader,route_decisions,standardization,32,demoted,-0.30,0.58,aware_contested,true,true
MEI-0015,864,Traders Guild,Senior Negotiator,classification_rationale,process_automation,20,replaced,-0.18,0.40,unaware,true,false
MEI-0016,865,Capital Archive,Document Specialist,tool_sequences,successor_training,22,demoted,-0.16,0.38,aware_contested,true,true
MEI-0017,866,Cartographer's Guild,Terrain Analyst,decision_logs,standardization,28,demoted,-0.24,0.48,aware_contested,true,true
MEI-0018,867,Traders Guild,Market Expert,classification_rationale,process_automation,26,replaced,-0.22,0.45,aware_contested,true,true
MEI-0019,868,Capital Archive,Senior Authenticator,decision_logs,successor_training,19,retired,-0.11,0.33,aware_contested,true,false
MEI-0020,869,Cartographer's Guild,Master Surveyor,tool_sequences,process_automation,24,demoted,-0.20,0.42,aware_contested,true,true
MEI-0021,870,Traders Guild,Route Specialist,classification_rationale,standardization,30,replaced,-0.25,0.50,aware_contested,true,true
MEI-0022,871,Capital Archive,Chief Archivist,decision_logs,successor_training,17,retired,-0.12,0.35,aware_contested,true,false
MEI-0023,872,Cartographer's Guild,Expedition Leader,route_decisions,standardization,28,demoted,-0.22,0.45,aware_contested,true,true
MEI-0024,873,Traders Guild,Senior Negotiator,classification_rationale,process_automation,22,demoted,-0.18,0.40,aware_contested,true,true
MEI-0025,874,Capital Archive,Document Specialist,tool_sequences,successor_training,20,retained,-0.10,0.30,aware_contested,true,false
MEI-0026,875,Cartographer's Guild,Terrain Analyst,decision_logs,standardization,26,retained,-0.15,0.35,aware_contested,true,true
MEI-0027,876,Traders Guild,Market Expert,classification_rationale,successor_training,32,retained,0.02,0.18,aware_consented,false,false
MEI-0028,877,Capital Archive,Senior Authenticator,decision_logs,successor_training,36,retained,0.05,0.15,aware_consented,false,false
MEI-0029,877,Cartographer's Guild,Master Surveyor,tool_sequences,standardization,38,retained,0.03,0.16,aware_consented,false,false
MEI-0030,878,Traders Guild,Route Specialist,classification_rationale,successor_training,40,retained,0.06,0.14,aware_consented,false,false
MEI-0031,878,Capital Archive,Chief Archivist,decision_logs,successor_training,35,retained,0.04,0.15,aware_consented,false,false
MEI-0032,879,Cartographer's Guild,Expedition Leader,route_decisions,standardization,42,retained,0.05,0.12,aware_consented,false,false
MEI-0033,879,Traders Guild,Senior Negotiator,classification_rationale,successor_training,38,retained,0.07,0.13,aware_consented,false,false
MEI-0034,880,Capital Archive,Document Specialist,tool_sequences,successor_training,36,retained,0.04,0.14,aware_consented,false,false
MEI-0035,880,Cartographer's Guild,Terrain Analyst,decision_logs,standardization,40,retained,0.06,0.11,aware_consented,false,false
MEI-0036,881,Traders Guild,Market Expert,classification_rationale,successor_training,44,retained,0.08,0.10,aware_consented,false,false
MEI-0037,851,Capital Archive,Collection Curator,decision_logs,process_automation,22,replaced,-0.20,0.44,unaware,true,false
MEI-0038,852,Cartographer's Guild,Coastal Surveyor,tool_sequences,standardization,26,demoted,-0.24,0.50,unaware,true,false
MEI-0039,853,Traders Guild,Warehouse Supervisor,classification_rationale,process_automation,20,replaced,-0.18,0.42,unaware,true,false
MEI-0040,854,Capital Archive,Translation Expert,decision_logs,successor_training,18,retired,-0.14,0.38,unaware,true,false
MEI-0041,855,Cartographer's Guild,River Navigator,route_decisions,process_automation,28,demoted,-0.26,0.52,unaware,true,true
MEI-0042,856,Traders Guild,Contract Specialist,classification_rationale,standardization,24,replaced,-0.20,0.45,unaware,true,false
MEI-0043,857,Capital Archive,Linguistic Analyst,tool_sequences,successor_training,16,retired,-0.12,0.35,unaware,true,false
MEI-0044,858,Cartographer's Guild,Desert Surveyor,decision_logs,process_automation,30,demoted,-0.28,0.55,unaware,true,true
MEI-0045,859,Traders Guild,Quality Controller,classification_rationale,standardization,22,replaced,-0.19,0.42,unaware,true,false
MEI-0046,860,Capital Archive,Manuscript Conservator,decision_logs,successor_training,20,retired,-0.15,0.40,unaware,true,false
MEI-0047,861,Cartographer's Guild,Cave Surveyor,tool_sequences,process_automation,32,demoted,-0.30,0.58,unaware,true,true
MEI-0048,862,Traders Guild,Customs Analyst,classification_rationale,standardization,26,replaced,-0.22,0.48,unaware,true,false
MEI-0049,863,Capital Archive,Source Authenticator,decision_logs,successor_training,18,retired,-0.13,0.36,unaware,true,false
MEI-0050,864,Cartographer's Guild,Island Mapper,route_decisions,process_automation,28,demoted,-0.25,0.52,aware_contested,true,true
MEI-0051,865,Traders Guild,Port Coordinator,classification_rationale,standardization,24,replaced,-0.20,0.45,aware_contested,true,true
MEI-0052,866,Capital Archive,Comparative Scholar,tool_sequences,successor_training,22,demoted,-0.17,0.40,aware_contested,true,true
MEI-0053,867,Cartographer's Guild,Mountain Guide,decision_logs,process_automation,30,demoted,-0.26,0.52,aware_contested,true,true
MEI-0054,868,Traders Guild,Caravan Leader,classification_rationale,standardization,26,replaced,-0.22,0.48,aware_contested,true,true
MEI-0055,869,Capital Archive,Oral Tradition Keeper,decision_logs,successor_training,20,retired,-0.14,0.38,aware_contested,true,false
MEI-0056,870,Cartographer's Guild,Survey Assistant Lead,tool_sequences,process_automation,28,demoted,-0.24,0.50,aware_contested,true,true
MEI-0057,871,Traders Guild,Inventory Specialist,classification_rationale,standardization,24,demoted,-0.20,0.44,aware_contested,true,true
MEI-0058,872,Capital Archive,Dialect Researcher,decision_logs,successor_training,22,retained,-0.12,0.32,aware_contested,true,false
MEI-0059,873,Cartographer's Guild,Boundary Expert,route_decisions,process_automation,26,retained,-0.16,0.38,aware_contested,true,true
MEI-0060,874,Traders Guild,Trade Analyst,classification_rationale,standardization,28,retained,-0.14,0.35,aware_contested,true,true
MEI-0061,875,Capital Archive,Archive Navigator,tool_sequences,successor_training,24,retained,-0.10,0.28,aware_contested,true,false
MEI-0062,876,Cartographer's Guild,Map Illustrator,decision_logs,successor_training,34,retained,0.03,0.17,aware_consented,false,false
MEI-0063,877,Traders Guild,Senior Appraiser,classification_rationale,successor_training,38,retained,0.05,0.14,aware_consented,false,false
MEI-0064,877,Capital Archive,Senior Curator,decision_logs,successor_training,36,retained,0.04,0.15,aware_consented,false,false
MEI-0065,878,Cartographer's Guild,Survey Coordinator,tool_sequences,standardization,40,retained,0.06,0.12,aware_consented,false,false
MEI-0066,878,Traders Guild,Route Coordinator,classification_rationale,successor_training,42,retained,0.07,0.11,aware_consented,false,false
MEI-0067,879,Capital Archive,Research Director,decision_logs,successor_training,38,retained,0.05,0.13,aware_consented,false,false
MEI-0068,879,Cartographer's Guild,Navigation Expert,route_decisions,standardization,44,retained,0.08,0.10,aware_consented,false,false
MEI-0069,880,Traders Guild,Market Coordinator,classification_rationale,successor_training,40,retained,0.06,0.12,aware_consented,false,false
MEI-0070,880,Capital Archive,Document Director,tool_sequences,successor_training,36,retained,0.04,0.14,aware_consented,false,false
MEI-0071,881,Cartographer's Guild,Terrain Coordinator,decision_logs,standardization,42,retained,0.07,0.10,aware_consented,false,false
MEI-0072,852,Capital Archive,Index Specialist,decision_logs,process_automation,24,replaced,-0.21,0.46,unaware,true,false
MEI-0073,853,Cartographer's Guild,Field Coordinator,tool_sequences,standardization,28,demoted,-0.25,0.52,unaware,true,false
MEI-0074,854,Traders Guild,Negotiation Expert,classification_rationale,process_automation,22,replaced,-0.19,0.44,unaware,true,false
MEI-0075,855,Capital Archive,Restoration Lead,decision_logs,successor_training,20,retired,-0.16,0.40,unaware,true,false
MEI-0076,856,Cartographer's Guild,Expedition Coordinator,route_decisions,process_automation,30,demoted,-0.28,0.55,unaware,true,true
MEI-0077,857,Traders Guild,Shipping Supervisor,classification_rationale,standardization,26,replaced,-0.22,0.48,unaware,true,false
MEI-0078,858,Capital Archive,Authentication Lead,tool_sequences,successor_training,18,retired,-0.13,0.36,unaware,true,false
MEI-0079,859,Cartographer's Guild,Mapping Supervisor,decision_logs,process_automation,32,demoted,-0.30,0.58,unaware,true,true
MEI-0080,860,Traders Guild,Valuation Expert,classification_rationale,standardization,24,replaced,-0.20,0.45,unaware,true,false
MEI-0081,861,Capital Archive,Cataloging Director,decision_logs,successor_training,22,retired,-0.17,0.42,unaware,true,false
MEI-0082,862,Cartographer's Guild,Survey Director,tool_sequences,process_automation,34,demoted,-0.32,0.60,unaware,true,true
MEI-0083,863,Traders Guild,Trade Coordinator,classification_rationale,standardization,28,replaced,-0.24,0.50,unaware,true,false
MEI-0084,864,Capital Archive,Collection Director,decision_logs,successor_training,20,retired,-0.15,0.38,aware_contested,true,false
MEI-0085,865,Cartographer's Guild,Coastal Coordinator,route_decisions,process_automation,30,demoted,-0.27,0.54,aware_contested,true,true
MEI-0086,866,Traders Guild,Customs Director,classification_rationale,standardization,26,replaced,-0.22,0.48,aware_contested,true,true
MEI-0087,867,Capital Archive,Research Coordinator,tool_sequences,successor_training,24,demoted,-0.18,0.42,aware_contested,true,true
MEI-0088,868,Cartographer's Guild,Mountain Coordinator,decision_logs,process_automation,32,demoted,-0.28,0.55,aware_contested,true,true
MEI-0089,869,Traders Guild,Port Director,classification_rationale,standardization,28,replaced,-0.24,0.50,aware_contested,true,true
MEI-0090,870,Capital Archive,Translation Director,decision_logs,successor_training,22,retired,-0.16,0.40,aware_contested,true,false
MEI-0091,871,Cartographer's Guild,River Coordinator,tool_sequences,process_automation,30,demoted,-0.26,0.52,aware_contested,true,true
MEI-0092,872,Traders Guild,Contract Director,classification_rationale,standardization,26,demoted,-0.20,0.45,aware_contested,true,true
MEI-0093,873,Capital Archive,Linguistic Director,decision_logs,successor_training,24,retained,-0.14,0.35,aware_contested,true,false
MEI-0094,874,Cartographer's Guild,Desert Coordinator,route_decisions,process_automation,28,retained,-0.18,0.40,aware_contested,true,true
