practitioner_id,institution,evaluation_regime,role,years_experience,outcome_accuracy,outcome_throughput,method_documentation_burden,reported_stress,reported_autonomy,innovation_attempts,innovation_successes,retention_risk,institutional_knowledge_score,dens_fieldwork
PRC-0001,Capital Archive,process_disclosure,Document Authenticator,12,0.87,1.15,8.5,7,3,1,0,0.35,0.81,false
PRC-0002,Traders Guild,outcome_only,Route Planner,8,0.82,1.32,0.5,4,8,5,2,0.10,0.42,true
PRC-0003,Cartographer's Guild,opacity_convention,Field Surveyor,15,0.91,1.08,2.0,3,7,4,2,0.08,0.68,true
PRC-0004,Capital Archive,process_disclosure,Senior Archivist,18,0.89,0.98,9.2,8,2,0,0,0.42,0.85,false
PRC-0005,Traders Guild,outcome_only,Market Analyst,5,0.78,1.45,0.3,3,9,6,3,0.08,0.35,true
PRC-0006,Cartographer's Guild,opacity_convention,Terrain Analyst,10,0.88,1.12,1.8,4,7,3,1,0.12,0.65,true
PRC-0007,Capital Archive,process_disclosure,Research Analyst,7,0.84,1.08,7.8,6,4,2,0,0.28,0.72,false
PRC-0008,Traders Guild,outcome_only,Contract Negotiator,11,0.85,1.28,0.4,4,8,4,2,0.11,0.45,false
PRC-0009,Cartographer's Guild,opacity_convention,Expedition Leader,20,0.93,0.95,2.2,3,8,5,3,0.06,0.78,true
PRC-0010,Capital Archive,process_disclosure,Collection Curator,14,0.86,1.02,8.8,7,3,1,0,0.38,0.79,false
PRC-0011,Traders Guild,outcome_only,Inventory Manager,6,0.79,1.38,0.5,4,8,5,2,0.09,0.38,false
PRC-0012,Cartographer's Guild,opacity_convention,Boundary Marker,8,0.86,1.18,1.5,4,7,4,2,0.10,0.62,true
PRC-0013,Capital Archive,process_disclosure,Translation Specialist,9,0.88,1.05,8.2,7,3,1,1,0.32,0.76,false
PRC-0014,Traders Guild,outcome_only,Caravan Coordinator,13,0.84,1.22,0.6,5,7,4,2,0.14,0.48,true
PRC-0015,Cartographer's Guild,opacity_convention,Coastal Surveyor,12,0.90,1.05,2.0,3,7,4,2,0.09,0.70,true
PRC-0016,Capital Archive,process_disclosure,Manuscript Restorer,16,0.91,0.92,9.5,8,2,0,0,0.45,0.88,false
PRC-0017,Traders Guild,outcome_only,Commodity Appraiser,4,0.76,1.48,0.3,3,9,7,3,0.07,0.32,false
PRC-0018,Cartographer's Guild,opacity_convention,Mountain Guide,18,0.92,0.98,2.3,3,8,5,3,0.07,0.75,true
