practitioner_id,measurement_date,institution,monitoring_level,monitoring_changed,monitoring_direction,stress_score,autonomy_score,trust_in_institution,output_quality,output_volume,sick_days,error_rate,creative_attempts
SSR-0001,Year_878_M01,Capital Archive,continuous,false,unchanged,7,3,4,0.78,1.12,3,0.12,0
SSR-0001,Year_878_M06,Capital Archive,continuous,false,unchanged,8,2,3,0.75,1.08,4,0.14,0
SSR-0001,Year_879_M01,Capital Archive,continuous,false,unchanged,8,2,3,0.74,1.05,5,0.15,0
SSR-0001,Year_879_M06,Capital Archive,periodic,true,decreased,5,6,6,0.82,1.10,2,0.08,2
SSR-0001,Year_880_M01,Capital Archive,periodic,false,unchanged,4,7,7,0.85,1.12,1,0.06,3
SSR-0002,Year_878_M01,Cartographer's Guild,periodic,false,unchanged,5,6,6,0.82,1.15,2,0.08,2
SSR-0002,Year_878_M06,Cartographer's Guild,periodic,false,unchanged,5,6,6,0.83,1.14,2,0.07,2
SSR-0002,Year_879_M01,Cartographer's Guild,minimal,true,decreased,3,8,8,0.87,1.18,1,0.05,4
SSR-0002,Year_879_M06,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.88,1.20,0,0.04,4
SSR-0002,Year_880_M01,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.89,1.22,0,0.04,5
SSR-0003,Year_878_M01,Traders Guild,minimal,false,unchanged,4,7,7,0.84,1.25,1,0.06,3
SSR-0003,Year_878_M06,Traders Guild,minimal,false,unchanged,4,7,7,0.85,1.28,1,0.05,3
SSR-0003,Year_879_M01,Traders Guild,periodic,true,increased,6,5,5,0.80,1.20,2,0.09,1
SSR-0003,Year_879_M06,Traders Guild,periodic,false,unchanged,6,5,5,0.79,1.18,3,0.10,1
SSR-0003,Year_880_M01,Traders Guild,periodic,false,unchanged,6,5,5,0.78,1.15,3,0.10,1
SSR-0004,Year_878_M01,Capital Archive,continuous,false,unchanged,8,2,3,0.72,1.00,5,0.16,0
SSR-0004,Year_878_M06,Capital Archive,continuous,false,unchanged,9,1,2,0.70,0.95,6,0.18,0
SSR-0004,Year_879_M01,Capital Archive,periodic,true,decreased,6,5,5,0.78,1.05,3,0.10,1
SSR-0004,Year_879_M06,Capital Archive,periodic,false,unchanged,5,6,6,0.82,1.10,2,0.08,2
SSR-0004,Year_880_M01,Capital Archive,periodic,false,unchanged,4,7,7,0.85,1.12,1,0.06,3
SSR-0005,Year_878_M01,Cartographer's Guild,continuous,false,unchanged,7,3,4,0.76,1.05,4,0.13,0
SSR-0005,Year_878_M06,Cartographer's Guild,continuous,false,unchanged,8,2,3,0.74,1.02,4,0.14,0
SSR-0005,Year_879_M01,Cartographer's Guild,continuous,false,unchanged,8,2,3,0.73,1.00,5,0.15,0
SSR-0005,Year_879_M06,Cartographer's Guild,minimal,true,decreased,4,7,7,0.84,1.15,1,0.06,3
SSR-0005,Year_880_M01,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.88,1.20,0,0.04,4
SSR-0006,Year_878_M01,Traders Guild,periodic,false,unchanged,5,6,6,0.81,1.20,2,0.08,2
SSR-0006,Year_878_M06,Traders Guild,periodic,false,unchanged,5,6,6,0.82,1.22,2,0.07,2
SSR-0006,Year_879_M01,Traders Guild,continuous,true,increased,7,4,4,0.77,1.12,3,0.11,1
SSR-0006,Year_879_M06,Traders Guild,continuous,false,unchanged,8,3,3,0.75,1.08,4,0.13,0
SSR-0006,Year_880_M01,Traders Guild,continuous,false,unchanged,8,3,3,0.74,1.05,5,0.14,0
SSR-0007,Year_878_M01,Capital Archive,periodic,false,unchanged,5,6,6,0.80,1.10,2,0.09,2
SSR-0007,Year_878_M06,Capital Archive,periodic,false,unchanged,5,6,6,0.81,1.12,2,0.08,2
SSR-0007,Year_879_M01,Capital Archive,minimal,true,decreased,3,8,8,0.86,1.18,1,0.05,4
SSR-0007,Year_879_M06,Capital Archive,minimal,false,unchanged,3,8,8,0.88,1.20,0,0.04,4
SSR-0007,Year_880_M01,Capital Archive,minimal,false,unchanged,2,9,9,0.90,1.22,0,0.03,5
SSR-0008,Year_878_M01,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.87,1.22,1,0.05,4
SSR-0008,Year_878_M06,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.88,1.25,0,0.04,4
SSR-0008,Year_879_M01,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.89,1.28,0,0.04,5
SSR-0008,Year_879_M06,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.90,1.30,0,0.03,5
SSR-0008,Year_880_M01,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.91,1.32,0,0.03,6
SSR-0009,Year_878_M01,Traders Guild,continuous,false,unchanged,7,3,4,0.75,1.08,4,0.13,0
SSR-0009,Year_878_M06,Traders Guild,continuous,false,unchanged,8,2,3,0.73,1.05,5,0.15,0
SSR-0009,Year_879_M01,Traders Guild,periodic,true,decreased,5,6,6,0.80,1.12,2,0.09,2
SSR-0009,Year_879_M06,Traders Guild,periodic,false,unchanged,4,7,7,0.84,1.18,1,0.06,3
SSR-0009,Year_880_M01,Traders Guild,periodic,false,unchanged,4,7,7,0.86,1.20,1,0.05,3
SSR-0010,Year_878_M01,Capital Archive,continuous,false,unchanged,8,2,3,0.74,1.05,5,0.14,0
SSR-0010,Year_878_M06,Capital Archive,continuous,false,unchanged,9,1,2,0.71,1.00,6,0.17,0
SSR-0010,Year_879_M01,Capital Archive,continuous,false,unchanged,9,1,2,0.70,0.98,7,0.18,0
SSR-0010,Year_879_M06,Capital Archive,periodic,true,decreased,6,5,5,0.78,1.08,3,0.10,1
SSR-0010,Year_880_M01,Capital Archive,periodic,false,unchanged,5,6,6,0.82,1.12,2,0.08,2
SSR-0011,Year_878_M01,Cartographer's Guild,periodic,false,unchanged,5,6,6,0.81,1.15,2,0.08,2
SSR-0011,Year_878_M06,Cartographer's Guild,periodic,false,unchanged,5,6,6,0.82,1.18,2,0.07,2
SSR-0011,Year_879_M01,Cartographer's Guild,periodic,false,unchanged,4,7,7,0.84,1.20,1,0.06,3
SSR-0011,Year_879_M06,Cartographer's Guild,minimal,true,decreased,3,8,8,0.87,1.22,1,0.05,4
SSR-0011,Year_880_M01,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.89,1.25,0,0.04,4
SSR-0012,Year_878_M01,Traders Guild,minimal,false,unchanged,4,7,7,0.83,1.22,1,0.06,3
SSR-0012,Year_878_M06,Traders Guild,minimal,false,unchanged,4,7,7,0.84,1.25,1,0.05,3
SSR-0012,Year_879_M01,Traders Guild,minimal,false,unchanged,3,8,8,0.86,1.28,0,0.05,4
SSR-0012,Year_879_M06,Traders Guild,minimal,false,unchanged,3,8,8,0.87,1.30,0,0.04,4
SSR-0012,Year_880_M01,Traders Guild,minimal,false,unchanged,3,8,8,0.88,1.32,0,0.04,5
SSR-0013,Year_878_M01,Capital Archive,continuous,false,unchanged,7,3,4,0.76,1.08,4,0.12,0
SSR-0013,Year_878_M06,Capital Archive,continuous,false,unchanged,8,2,3,0.74,1.05,5,0.14,0
SSR-0013,Year_879_M01,Capital Archive,periodic,true,decreased,5,6,6,0.81,1.12,2,0.08,2
SSR-0013,Year_879_M06,Capital Archive,periodic,false,unchanged,4,7,7,0.84,1.15,1,0.06,3
SSR-0013,Year_880_M01,Capital Archive,periodic,false,unchanged,4,7,7,0.86,1.18,1,0.05,3
SSR-0014,Year_878_M01,Cartographer's Guild,continuous,false,unchanged,8,2,3,0.73,1.02,5,0.15,0
SSR-0014,Year_878_M06,Cartographer's Guild,continuous,false,unchanged,8,2,3,0.72,1.00,5,0.16,0
SSR-0014,Year_879_M01,Cartographer's Guild,minimal,true,decreased,4,7,7,0.83,1.12,1,0.07,3
SSR-0014,Year_879_M06,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.87,1.18,0,0.05,4
SSR-0014,Year_880_M01,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.89,1.22,0,0.04,5
SSR-0015,Year_878_M01,Traders Guild,periodic,false,unchanged,5,6,6,0.80,1.18,2,0.09,2
SSR-0015,Year_878_M06,Traders Guild,periodic,false,unchanged,5,6,6,0.81,1.20,2,0.08,2
SSR-0015,Year_879_M01,Traders Guild,continuous,true,increased,7,4,4,0.76,1.10,3,0.12,1
SSR-0015,Year_879_M06,Traders Guild,continuous,false,unchanged,8,3,3,0.74,1.05,4,0.14,0
SSR-0015,Year_880_M01,Traders Guild,continuous,false,unchanged,8,3,3,0.73,1.02,5,0.15,0
SSR-0016,Year_878_M01,Capital Archive,periodic,false,unchanged,5,6,6,0.81,1.12,2,0.08,2
SSR-0016,Year_878_M06,Capital Archive,periodic,false,unchanged,5,6,6,0.82,1.14,2,0.07,2
SSR-0016,Year_879_M01,Capital Archive,periodic,false,unchanged,4,7,7,0.84,1.16,1,0.06,3
SSR-0016,Year_879_M06,Capital Archive,minimal,true,decreased,3,8,8,0.87,1.20,1,0.05,4
SSR-0016,Year_880_M01,Capital Archive,minimal,false,unchanged,2,9,9,0.90,1.24,0,0.03,5
SSR-0017,Year_878_M01,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.86,1.20,1,0.05,4
SSR-0017,Year_878_M06,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.87,1.22,0,0.05,4
SSR-0017,Year_879_M01,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.88,1.25,0,0.04,4
SSR-0017,Year_879_M06,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.89,1.28,0,0.04,5
SSR-0017,Year_880_M01,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.90,1.30,0,0.03,5
SSR-0018,Year_878_M01,Traders Guild,continuous,false,unchanged,7,3,4,0.74,1.05,4,0.13,0
SSR-0018,Year_878_M06,Traders Guild,continuous,false,unchanged,8,2,3,0.72,1.02,5,0.15,0
SSR-0018,Year_879_M01,Traders Guild,continuous,false,unchanged,8,2,3,0.71,1.00,6,0.16,0
SSR-0018,Year_879_M06,Traders Guild,periodic,true,decreased,5,6,6,0.79,1.10,2,0.09,2
SSR-0018,Year_880_M01,Traders Guild,periodic,false,unchanged,4,7,7,0.83,1.15,1,0.07,3
SSR-0019,Year_878_M01,Capital Archive,continuous,false,unchanged,8,2,3,0.73,1.02,5,0.15,0
SSR-0019,Year_878_M06,Capital Archive,continuous,false,unchanged,9,1,2,0.70,0.98,6,0.17,0
SSR-0019,Year_879_M01,Capital Archive,periodic,true,decreased,6,5,5,0.77,1.06,3,0.11,1
SSR-0019,Year_879_M06,Capital Archive,periodic,false,unchanged,5,6,6,0.81,1.10,2,0.08,2
SSR-0019,Year_880_M01,Capital Archive,periodic,false,unchanged,4,7,7,0.84,1.14,1,0.06,3
SSR-0020,Year_878_M01,Cartographer's Guild,periodic,false,unchanged,5,6,6,0.80,1.14,2,0.09,2
SSR-0020,Year_878_M06,Cartographer's Guild,periodic,false,unchanged,5,6,6,0.81,1.16,2,0.08,2
SSR-0020,Year_879_M01,Cartographer's Guild,minimal,true,decreased,3,8,8,0.86,1.20,1,0.05,4
SSR-0020,Year_879_M06,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.88,1.24,0,0.04,4
SSR-0020,Year_880_M01,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.90,1.28,0,0.03,5
SSR-0021,Year_878_M01,Traders Guild,minimal,false,unchanged,4,7,7,0.84,1.24,1,0.06,3
SSR-0021,Year_878_M06,Traders Guild,minimal,false,unchanged,4,7,7,0.85,1.26,1,0.05,3
SSR-0021,Year_879_M01,Traders Guild,periodic,true,increased,6,5,5,0.80,1.18,2,0.09,1
SSR-0021,Year_879_M06,Traders Guild,periodic,false,unchanged,6,5,5,0.79,1.15,3,0.10,1
SSR-0021,Year_880_M01,Traders Guild,periodic,false,unchanged,6,5,5,0.78,1.12,3,0.10,1
SSR-0022,Year_878_M01,Capital Archive,continuous,false,unchanged,7,3,4,0.77,1.10,4,0.12,0
SSR-0022,Year_878_M06,Capital Archive,continuous,false,unchanged,8,2,3,0.75,1.06,5,0.14,0
SSR-0022,Year_879_M01,Capital Archive,continuous,false,unchanged,8,2,3,0.74,1.04,5,0.15,0
SSR-0022,Year_879_M06,Capital Archive,periodic,true,decreased,5,6,6,0.81,1.12,2,0.08,2
SSR-0022,Year_880_M01,Capital Archive,periodic,false,unchanged,4,7,7,0.85,1.16,1,0.06,3
SSR-0023,Year_878_M01,Cartographer's Guild,continuous,false,unchanged,7,3,4,0.75,1.06,4,0.13,0
SSR-0023,Year_878_M06,Cartographer's Guild,continuous,false,unchanged,8,2,3,0.73,1.02,5,0.15,0
SSR-0023,Year_879_M01,Cartographer's Guild,periodic,true,decreased,5,6,6,0.80,1.10,2,0.09,2
SSR-0023,Year_879_M06,Cartographer's Guild,periodic,false,unchanged,4,7,7,0.84,1.15,1,0.06,3
SSR-0023,Year_880_M01,Cartographer's Guild,periodic,false,unchanged,4,7,7,0.86,1.18,1,0.05,3
SSR-0024,Year_878_M01,Traders Guild,periodic,false,unchanged,5,6,6,0.82,1.20,2,0.07,2
SSR-0024,Year_878_M06,Traders Guild,periodic,false,unchanged,5,6,6,0.83,1.22,2,0.07,2
SSR-0024,Year_879_M01,Traders Guild,minimal,true,decreased,3,8,8,0.87,1.28,1,0.05,4
SSR-0024,Year_879_M06,Traders Guild,minimal,false,unchanged,3,8,8,0.88,1.30,0,0.04,4
SSR-0024,Year_880_M01,Traders Guild,minimal,false,unchanged,2,9,9,0.90,1.32,0,0.03,5
SSR-0025,Year_878_M01,Capital Archive,periodic,false,unchanged,5,6,6,0.80,1.12,2,0.09,2
SSR-0025,Year_878_M06,Capital Archive,periodic,false,unchanged,5,6,6,0.81,1.14,2,0.08,2
SSR-0025,Year_879_M01,Capital Archive,continuous,true,increased,7,4,4,0.76,1.04,3,0.12,1
SSR-0025,Year_879_M06,Capital Archive,continuous,false,unchanged,8,3,3,0.74,1.00,4,0.14,0
SSR-0025,Year_880_M01,Capital Archive,continuous,false,unchanged,8,3,3,0.73,0.98,5,0.15,0
SSR-0026,Year_878_M01,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.88,1.24,0,0.04,4
SSR-0026,Year_878_M06,Cartographer's Guild,minimal,false,unchanged,3,8,8,0.89,1.26,0,0.04,5
SSR-0026,Year_879_M01,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.90,1.28,0,0.03,5
SSR-0026,Year_879_M06,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.91,1.30,0,0.03,5
SSR-0026,Year_880_M01,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.92,1.32,0,0.02,6
SSR-0027,Year_878_M01,Traders Guild,continuous,false,unchanged,8,2,3,0.73,1.04,5,0.14,0
SSR-0027,Year_878_M06,Traders Guild,continuous,false,unchanged,8,2,3,0.72,1.02,5,0.15,0
SSR-0027,Year_879_M01,Traders Guild,periodic,true,decreased,5,6,6,0.79,1.10,2,0.09,2
SSR-0027,Year_879_M06,Traders Guild,periodic,false,unchanged,4,7,7,0.83,1.14,1,0.07,3
SSR-0027,Year_880_M01,Traders Guild,periodic,false,unchanged,4,7,7,0.85,1.18,1,0.06,3
SSR-0028,Year_878_M01,Capital Archive,continuous,false,unchanged,9,1,2,0.70,0.96,6,0.18,0
SSR-0028,Year_878_M06,Capital Archive,continuous,false,unchanged,9,1,2,0.68,0.94,7,0.19,0
SSR-0028,Year_879_M01,Capital Archive,periodic,true,decreased,6,5,5,0.76,1.04,3,0.11,1
SSR-0028,Year_879_M06,Capital Archive,periodic,false,unchanged,5,6,6,0.80,1.08,2,0.09,2
SSR-0028,Year_880_M01,Capital Archive,periodic,false,unchanged,4,7,7,0.84,1.12,1,0.07,3
SSR-0029,Year_878_M01,Cartographer's Guild,periodic,false,unchanged,5,6,6,0.81,1.16,2,0.08,2
SSR-0029,Year_878_M06,Cartographer's Guild,periodic,false,unchanged,4,7,7,0.83,1.18,1,0.07,3
SSR-0029,Year_879_M01,Cartographer's Guild,periodic,false,unchanged,4,7,7,0.84,1.20,1,0.06,3
SSR-0029,Year_879_M06,Cartographer's Guild,minimal,true,decreased,3,8,8,0.87,1.24,0,0.05,4
SSR-0029,Year_880_M01,Cartographer's Guild,minimal,false,unchanged,2,9,9,0.90,1.28,0,0.04,5
SSR-0030,Year_878_M01,Traders Guild,minimal,false,unchanged,4,7,7,0.85,1.26,1,0.05,3
SSR-0030,Year_878_M06,Traders Guild,minimal,false,unchanged,4,7,7,0.86,1.28,1,0.05,4
SSR-0030,Year_879_M01,Traders Guild,minimal,false,unchanged,3,8,8,0.87,1.30,0,0.04,4
SSR-0030,Year_879_M06,Traders Guild,minimal,false,unchanged,3,8,8,0.88,1.32,0,0.04,4
SSR-0030,Year_880_M01,Traders Guild,minimal,false,unchanged,3,8,8,0.89,1.34,0,0.04,5
SSR-0031,Year_878_M01,Capital Archive,continuous,false,unchanged,7,3,4,0.76,1.08,4,0.13,0
SSR-0031,Year_878_M06,Capital Archive,continuous,false,unchanged,8,2,3,0.74,1.04,5,0.14,0
SSR-0031,Year_879_M01,Capital Archive,minimal,true,decreased,4,7,7,0.83,1.14,1,0.07,3
SSR-0031,Year_879_M06,Capital Archive,minimal,false,unchanged,3,8,8,0.87,1.18,0,0.05,4
SSR-0031,Year_880_M01,Capital Archive,minimal,false,unchanged,2,9,9,0.90,1.22,0,0.04,5
SSR-0032,Year_878_M01,Cartographer's Guild,continuous,false,unchanged,8,2,3,0.72,1.00,5,0.16,0
SSR-0032,Year_878_M06,Cartographer's Guild,continuous,false,unchanged,9,1,2,0.70,0.97,6,0.18,0
SSR-0032,Year_879_M01,Cartographer's Guild,periodic,true,decreased,5,6,6,0.79,1.08,2,0.09,2
SSR-0032,Year_879_M06,Cartographer's Guild,periodic,false,unchanged,4,7,7,0.83,1.12,1,0.07,3
SSR-0032,Year_880_M01,Cartographer's Guild,periodic,false,unchanged,4,7,7,0.85,1.16,1,0.06,3
