observation_id,landmark_id,landmark_name,observer_name,date,time_of_day,weather,bearing_expected,bearing_measured,bearing_delta,distance_expected_km,distance_measured_km,distance_delta_km,instruments_used,instrument_count,instruments_failed,observer_state,visible,stable,notes
1,gray_spire,Gray Spire,Archon Vells,1840-02-19,afternoon,overcast,45,,,23.4,,,notebook compass chain,3,none,curious,False,True,NOT FOUND - Gray Spire not visible
2,gray_spire,Gray Spire,Tenniv,1840-02-20,afternoon,clear,45,45.9,0.9,23.4,23.64,0.24,notebook compass chain,3,none,calm,True,False,normal observation
3,twisted_grove,Twisted Grove,Tenniv,1840-05-17,afternoon,clear,78,80.2,2.2,31.2,31.15,-0.05,notebook compass chain,3,none,calm,True,False,normal observation
4,twisted_grove,Twisted Grove,Archon Vells,1840-05-18,midday,clear,78,76.5,-1.5,31.2,30.82,-0.38,notebook compass chain,3,none,curious,True,False,normal observation
5,dry_wash,Dry Wash,Archon Vells,1840-12-15,dusk,overcast,112,111.8,-0.2,45.6,45.32,-0.28,notebook compass chain,3,none,uneasy,True,True,position matches records
6,dry_wash,Dry Wash,Tenniv,1840-12-16,dusk,clear,112,111.3,-0.7,45.6,46.22,0.62,notebook compass chain,3,none,calm,True,False,normal observation
7,dry_wash,Dry Wash,Tenniv,1840-11-11,dusk,clear,112,114.2,2.2,45.6,46.88,1.28,notebook compass chain,3,none,calm,True,False,normal observation
8,dry_wash,Dry Wash,Archon Vells,1840-11-12,afternoon,clear,112,109.6,-2.4,45.6,45.67,0.07,notebook compass chain,3,none,calm,True,False,normal observation
9,twisted_grove,Twisted Grove,Tenniv,1840-02-06,midday,clear,78,,,31.2,,,notebook compass chain,3,none,uneasy,False,False,NOT FOUND - Twisted Grove not visible
10,twisted_grove,Twisted Grove,Archon Vells,1840-02-07,afternoon,clear,78,78.2,0.2,31.2,31.2,-0.0,notebook compass chain,3,none,calm,True,True,position matches records
11,standing_stones,Standing Stones,Tenniv,1840-06-04,afternoon,clear,134,139.6,5.6,67.8,65.79,-2.01,notebook compass chain,3,none,frightened,True,False,moderate bearing variance
12,standing_stones,Standing Stones,Archon Vells,1840-06-05,dusk,clear,134,132.5,-1.5,67.8,67.21,-0.59,notebook compass chain,3,none,calm,True,True,position matches records
13,dry_wash,Dry Wash,Tenniv,1840-04-19,afternoon,overcast,112,112.7,0.7,45.6,45.32,-0.28,notebook compass chain,3,none,calm,True,True,position matches records
14,dry_wash,Dry Wash,Archon Vells,1840-04-20,dusk,clear,112,116.4,4.4,45.6,46.49,0.89,notebook compass chain,3,none,curious,True,False,normal observation
15,split_boulder,Split Boulder,Archon Vells,1840-06-19,midday,clear,156,159.4,3.4,89.2,91.36,2.16,notebook compass chain,3,none,calm,True,False,normal observation
16,split_boulder,Split Boulder,Tenniv,1840-06-20,dusk,fog,156,156.6,0.6,89.2,88.67,-0.53,notebook compass chain,3,none,uneasy,True,True,position matches records
17,dry_wash,Dry Wash,Tenniv,1840-10-16,afternoon,clear,112,111.9,-0.1,45.6,46.9,1.3,notebook compass chain,3,none,calm,True,False,normal observation
18,dry_wash,Dry Wash,Archon Vells,1840-10-17,afternoon,overcast,112,112.6,0.6,45.6,43.63,-1.97,notebook compass chain,3,none,uneasy,True,False,normal observation
19,dry_wash,Dry Wash,Archon Vells,1840-12-19,dusk,dens_mist,112,116.3,4.3,45.6,46.05,0.45,notebook compass chain,3,none,curious,True,False,normal observation
20,dry_wash,Dry Wash,Tenniv,1840-12-20,dusk,fog,112,113.3,1.3,45.6,43.27,-2.33,notebook compass chain,3,none,calm,True,False,normal observation
21,denstone_approach,Denstone Approach,Tenniv,1841-06-11,dawn,fog,178,182.3,4.3,142.3,143.24,0.94,notebook compass chain,3,none,anxious,True,False,normal observation
22,denstone_approach,Denstone Approach,Archon Vells,1841-06-12,dawn,overcast,178,177.0,-1.0,142.3,143.88,1.58,notebook compass chain,3,none,calm,True,False,normal observation
23,moat_crossing,Moat Crossing,Tenniv,1841-08-08,dusk,overcast,180,,,187.0,,,notebook compass chain,3,none,uneasy,False,False,NOT FOUND - Moat Crossing not visible
24,moat_crossing,Moat Crossing,Archon Vells,1841-08-09,dusk,clear,180,181.7,1.7,187.0,184.24,-2.76,notebook compass chain,3,none,curious,True,False,normal observation
25,standing_stones,Standing Stones,Tenniv,1841-02-13,midday,overcast,134,129.9,-4.1,67.8,68.04,0.24,notebook compass chain,3,none,frightened,True,False,normal observation
26,standing_stones,Standing Stones,Archon Vells,1841-02-14,midday,clear,134,134.9,0.9,67.8,67.07,-0.73,notebook compass chain,3,none,calm,True,False,normal observation
27,moat_crossing,Moat Crossing,Archon Vells,1841-08-23,dawn,overcast,180,179.5,-0.5,187.0,181.88,-5.12,notebook compass chain,3,chain,anxious,True,False,distance significantly different (5.1km)
28,moat_crossing,Moat Crossing,Tenniv,1841-08-24,midday,overcast,180,,,187.0,,,notebook compass chain,3,none,calm,False,True,NOT FOUND - Moat Crossing not visible
29,standing_stones,Standing Stones,Archon Vells,1841-06-20,afternoon,clear,134,129.0,-5.0,67.8,69.59,1.79,notebook compass chain,3,none,curious,True,False,normal observation
30,standing_stones,Standing Stones,Tenniv,1841-06-21,midday,clear,134,134.8,0.8,67.8,67.29,-0.51,notebook compass chain,3,none,calm,True,True,position matches records
31,twisted_grove,Twisted Grove,Tenniv,1841-11-09,afternoon,overcast,78,77.0,-1.0,31.2,31.21,0.01,notebook compass chain,3,none,uneasy,True,True,position matches records
32,twisted_grove,Twisted Grove,Archon Vells,1841-11-10,dawn,fog,78,78.8,0.8,31.2,31.14,-0.06,notebook compass chain,3,none,calm,True,True,position matches records
33,dry_wash,Dry Wash,Tenniv,1841-11-02,dusk,fog,112,112.6,0.6,45.6,45.75,0.15,notebook compass chain,3,none,calm,True,True,position matches records
34,dry_wash,Dry Wash,Archon Vells,1841-11-03,afternoon,overcast,112,,,45.6,,,notebook compass chain,3,none,curious,False,True,NOT FOUND - Dry Wash not visible
35,split_boulder,Split Boulder,Tenniv,1841-05-01,dusk,clear,156,,,89.2,,,notebook compass chain,3,none,calm,False,False,NOT FOUND - Split Boulder not visible
36,split_boulder,Split Boulder,Archon Vells,1841-05-02,dawn,overcast,156,,,89.2,,,notebook compass chain,3,none,curious,False,True,NOT FOUND - Split Boulder not visible
37,twisted_grove,Twisted Grove,Archon Vells,1841-03-12,midday,clear,78,77.5,-0.5,31.2,31.31,0.11,notebook compass chain,3,none,calm,True,True,position matches records
38,twisted_grove,Twisted Grove,Tenniv,1841-03-13,dawn,overcast,78,79.7,1.7,31.2,31.17,-0.03,notebook compass chain,3,compass,curious,True,True,position matches records
39,moat_crossing,Moat Crossing,Archon Vells,1841-02-03,dusk,clear,180,177.9,-2.1,187.0,190.94,3.94,notebook compass chain,3,chain,calm,True,False,normal observation
40,moat_crossing,Moat Crossing,Tenniv,1841-02-04,dawn,clear,180,176.8,-3.2,187.0,187.29,0.29,notebook compass chain,3,none,calm,True,False,normal observation
41,twisted_grove,Twisted Grove,Tenniv,1842-10-03,afternoon,clear,78,79.3,1.3,31.2,30.35,-0.85,notebook compass chain,3,none,calm,True,False,normal observation
42,twisted_grove,Twisted Grove,Morrow,1842-10-04,dawn,clear,78,80.3,2.3,31.2,31.0,-0.2,notebook compass chain,3,none,calm,True,False,normal observation
43,twisted_grove,Twisted Grove,Archon Vells,1842-10-05,dusk,clear,78,79.1,1.1,31.2,31.42,0.22,notebook compass chain,3,none,frightened,True,True,position matches records
44,gray_spire,Gray Spire,Archon Vells,1842-07-20,dusk,overcast,45,47.9,2.9,23.4,23.89,0.49,notebook compass chain,3,none,curious,True,False,normal observation
45,gray_spire,Gray Spire,Morrow,1842-07-21,midday,clear,45,45.3,0.3,23.4,23.47,0.07,notebook compass chain,3,none,calm,True,True,position matches records
46,dry_wash,Dry Wash,Morrow,1842-02-02,dawn,dens_mist,112,111.4,-0.6,45.6,47.66,2.06,notebook compass chain,3,none,calm,True,False,normal observation
47,dry_wash,Dry Wash,Tenniv,1842-02-03,dawn,overcast,112,114.9,2.9,45.6,46.69,1.09,notebook compass chain,3,none,calm,True,False,normal observation
48,standing_stones,Standing Stones,Tenniv,1842-10-25,afternoon,overcast,134,131.7,-2.3,67.8,68.06,0.26,notebook compass chain,3,none,uneasy,True,False,normal observation
49,standing_stones,Standing Stones,Archon Vells,1842-10-26,midday,clear,134,136.5,2.5,67.8,66.9,-0.9,notebook compass chain,3,compass,curious,True,False,normal observation
50,twisted_grove,Twisted Grove,Morrow,1842-08-22,midday,fog,78,79.7,1.7,31.2,30.92,-0.28,notebook compass chain,3,theodolite,calm,True,True,position matches records
