event_id,type,date,location,actors,parent,depth,details,notes,source_type,confidence
EV-400-001,theory_proposed,400-01-20,capital,"[""mellick_orn""]",,0,"{""theory"": ""Geometric School"", ""philosophy"": ""Clarity is the highest virtue"", ""focus"": ""Taxonomic specimens, precise relationships, Euclidean clarity""}","Foundation of the first of the Four Illustration Schools. Emphasized clean precise lines, uniform line weight, minimal ornamentation.",course,1.0
EV-520-001,theory_proposed,520-04-12,capital,"[""sera_lindahl""]",,0,"{""theory"": ""Organic School"", ""philosophy"": ""Mathematics lives"", ""focus"": ""Living creatures, dynamic processes, intuition-building""}","Second of the Four Illustration Schools. Response to Geometric rigidity. Variable line weight, flowing curves, nature-inspired forms.",course,1.0
EV-580-001,discovery,580-05-10,dens_boundary.SW-6,"[""dens_edge_crafters""]",,0,"{""discovery"": ""Densmuck pigment extraction"", ""material"": ""Absolute black pigment from Dens boundary surface"", ""properties"": ""Permanent, deep black, unique visual signature""}","Discovery of Dens-derived materials opened new possibilities for visual documentation, creating the Dens-Derived material domain.",course,1.0
EV-580-002,archive_note,580-05-17,dens_boundary.SW-6,[],EV-580-001,1,"{""note_type"": ""discovery_record""}",,cascade,1.0
EV-600-001,archive_accession,600-03-15,capital.archives.visual_methods,[],,0,"{""collection"": ""Archive of Visual Mathematical Methods"", ""contents"": ""Diagrams, geometric constructions, visual proofs"", ""significance"": ""Visual mathematics as essential mode of understanding""}",The visual tradition in Densworld mathematics. Prerequisite course teaches seeing mathematical structure through visualization.,course,1.0
EV-610-001,theory_proposed,610-07-05,capital,"[""torven_gull""]",,0,"{""theory"": ""Cartographic Guild"", ""philosophy"": ""All mathematics is geography"", ""focus"": ""Landscapes, spatial relationships, terrain visualization""}","Third of the Four Illustration Schools. Developed elevation encoding, terrain metaphors, and the topology-as-landscape approach.",course,1.0
EV-630-001,discovery,630-08-15,yeller_quarry,"[""quarry_crew_crafters""]",,0,"{""discovery"": ""Quarry Ochre pigment processing"", ""material"": ""Iron oxide pigment from Quarry mines"", ""properties"": ""Rust-orange, highly permanent, suitable for field conditions""}","Quarry crews developed their own material tradition using local resources, distinct from Archive standards.",course,1.0
EV-630-002,archive_note,630-08-30,yeller_quarry,[],EV-630-001,1,"{""note_type"": ""discovery_record""}",,cascade,1.0
EV-650-001,discovery,650-11-22,yeller_quarry,"[""quarry_crew_crafters""]",,0,"{""discovery"": ""Creature-derived pigment processing"", ""materials"": [""Wharver scale pigment"", ""Knocker-bug gold""], ""method"": ""Field processing techniques for creature materials""}","Quarry tradition expanded to include creature-derived materials, creating distinctive field documentation aesthetic.",course,1.0
EV-650-002,archive_note,650-12-03,yeller_quarry,[],EV-650-001,1,"{""note_type"": ""discovery_record""}",,cascade,1.0
EV-685-001,policy_change,685-03-20,capital_archives.Wing-M,"[""archive_administration""]",,0,"{""policy"": ""Archive Material Standards"", ""scope"": ""All cataloged works in Wing M"", ""requirements"": ""Iron gall ink on Archive-standard paper for MS-Prefix documents; survey-grade stock for maps""}",Formalization of material requirements that distinguish Archive work from expedition field documentation.,course,1.0
EV-687-001,personnel_change,687-01-15,capital_archives.Wing-M,"[""venn_tessik""]",,0,"{""position"": ""Archivist of Visual Methods"", ""appointment_type"": ""Formal appointment to new position"", ""responsibility"": ""Cataloging and preserving visual heritage of all four Illustration Schools""}",Creation of the Archivist of Visual Methods position recognized the need for systematic preservation of visual traditions.,course,1.0
EV-688-001,archive_accession,688-02-14,capital_archives.Wing-M,"[""venn_tessik""]",,0,"{""accession"": ""Material Standards Compendium"", ""content"": ""Systematic catalog of approved materials for each document class"", ""scope"": ""MS-Prefix, Survey Maps, Expedition Reports, Ceremonial Documents""}",Venn Tessik codified the Archive's material requirements into a single reference document.,course,1.0
EV-689-001,manuscript_written,689-04-20,capital_archives.Wing-M,"[""venn_tessik""]",,0,"{""title"": ""On Describing Visual Traditions"", ""content"": ""Systematic vocabulary for visual specification distinguishing essential from incidental elements"", ""key_insight"": ""Every visual tradition rests on a small number of commitments. Identify those commitments, and you can translate the tradition anywhere.""}",Tessik's foundational work on style translation methodology.,course,1.0
EV-689-002,archive_accession,689-06-24,capital_archives.Wing-M,[],EV-689-001,1,{},,cascade,1.0
