date,type,material_type,title,author,related_event,notes,event_id
580-05-17,archive_note,discovery_record,,,EV-580-001,,EV-580-002
600-03-15,archive_accession,,,,,The visual tradition in Densworld mathematics. Prerequisite course teaches seeing mathematical structure through visualization.,EV-600-001
630-08-30,archive_note,discovery_record,,,EV-630-001,,EV-630-002
650-12-03,archive_note,discovery_record,,,EV-650-001,,EV-650-002
688-02-14,archive_accession,,,venn_tessik,,Venn Tessik codified the Archive's material requirements into a single reference document.,EV-688-001
689-06-24,archive_accession,,,,EV-689-001,,EV-689-002
693-02-28,archive_accession,,,venn_tessik,,First systematic catalog enabling translation of Densworld visual traditions for unfamiliar audiences.,EV-693-001
693-06-08,archive_accession,,,indexer_pell_carten,,Carten's creature index became the template for all subsequent catalogs. The danger_rating scale (1-10) remains in use today.,EV-693-002
697-07-05,archive_accession,,,,EV-697-001,,EV-697-002
700-01-15,archive_accession,,,chief_archivist_mink,,The Archives become the center of civilization's accumulated knowledge. Tutorial 2 establishes the Capital as where 'everything flows through.',EV-700-001
703-07-25,archive_accession,,,venn_tessik,,Systematization of Tessik's methods into reproducible templates.,EV-703-001
705-09-26,archive_accession,,,,EV-705-002,,EV-705-003
718-11-29,archive_accession,,,,EV-718-001,,EV-718-002
720-11-02,archive_accession,,,,EV-720-003,,EV-720-004
721-02-01,archive_accession,,,,EV-720-002,,EV-721-001
722-03-12,archive_note,discovery_record,,,EV-722-001,,EV-722-002
728-11-03,archive_accession,,,template_scribe_hesta_mell,,"The Forge-Wing established as dedicated space for generator development. Mell's catalog documented each generator's parameters, constraints, and connection points.",EV-728-001
730-06-14,archive_accession,,,,EV-730-001,,EV-730-003
740-09-30,archive_accession,,,alleth_vorn,,Formal codification of Notation Scribes methodology into Archive reference.,EV-740-001
745-10-31,archive_accession,,,,EV-745-001,,EV-745-002
747-11-29,archive_accession,,,,EV-747-001,,EV-747-002
752-07-18,archive_accession,,,,EV-752-001,,EV-752-002
755-09-14,archive_accession,,,,EV-755-001,,EV-755-002
762-12-07,archive_accession,,,,EV-762-001,,EV-762-002
765-01-25,archive_accession,,,kelleth_trove,,Systematization of Trove's brand identity methods into production-ready templates.,EV-765-002
765-10-03,archive_accession,,,,EV-765-003,,EV-765-004
780-09-01,archive_accession,,,,,The mathematical foundations that both retrieval and geometric traditions build upon. Prerequisites for understanding the schism.,EV-780-001
812-05-30,archive_accession,,,,EV-812-001,,EV-812-002
815-10-04,archive_accession,,,,EV-815-001,,EV-815-002
836-06-21,archive_note,discovery_record,,,EV-836-001,,EV-836-002
838-07-29,archive_accession,,,,EV-838-003,,EV-838-006
838-12-12,archive_accession,,,,EV-838-001,,EV-838-002
840-03-01,archive_accession,,,guild_of_cartographers,,The Archive would become central to debates about whether landmarks move or observers distort. Clerk Prentis would later call the archive policy 'bureaucratic cowardice dressed as philosophical sophistication.',EV-840-001
843-04-02,archive_accession,,,,EV-843-005,,EV-843-006
843-09-27,archive_note,incident_record,,,EV-843-007,,EV-843-009
843-12-07,archive_accession,expedition_journal,,,EV-843-001,,EV-843-003
846-05-20,archive_accession,,,,EV-846-001,,EV-846-002
847-02-01,archive_note,discovery_record,,,EV-847-015,,EV-847-020
847-12-16,archive_accession,,,,EV-847-012,,EV-847-013
848-01-29,archive_accession,,,,EV-847-003,,EV-848-001
848-11-14,archive_note,incident_record,,,EV-848-003,,EV-848-005
851-07-22,archive_accession,,,,EV-851-003,,EV-851-005
851-10-08,archive_accession,expedition_journal,,,EV-851-001,,EV-851-002
851-12-10,archive_accession,,,,EV-851-004,,EV-851-006
855-03-26,archive_note,incident_record,,,EV-855-015,,EV-855-017
855-04-01,archive_note,incident_record,,,EV-855-002,,EV-855-008
855-04-05,archive_note,incident_record,,,EV-855-005,,EV-855-010
858-11-26,archive_accession,,,,EV-858-001,,EV-858-003
858-12-31,archive_note,,,thurmond_gast,,"Thurmond files his report in the Western Archive, behind the locked case. Never officially submitted to the Council.",EV-858-002
859-06-13,archive_note,incident_record,,,EV-859-002,,EV-859-004
859-07-24,archive_note,discovery_record,,,EV-859-006,,EV-859-007
862-04-19,archive_note,discovery_record,,,EV-862-001,,EV-862-002
873-11-14,archive_note,incident_record,,,EV-873-001,,EV-873-003
876-08-18,archive_accession,,,,EV-876-001,,EV-876-002
880-10-30,archive_accession,,,,EV-880-002,,EV-880-003
889-08-06,archive_accession,,,,EV-889-004,,EV-889-005
889-09-07,archive_accession,expedition_journal,,,EV-889-002,,EV-889-003
890-05-03,archive_note,discovery_record,,,EV-890-002,,EV-890-003
892-03-29,archive_note,discovery_record,,,EV-892-001,,EV-892-002
893-03-15,archive_accession,,,,EV-893-001,,EV-893-002
894-07-17,archive_note,discovery_record,,,EV-894-001,,EV-894-002
