date,discoverer,discovery_type,finding,context,connection,location,notes,event_id
892-03-15,erris_pol,taxonomic_paradox,,,,capital,The taxonomic paradox that sparked the Library hypothesis. Two creatures from opposite ends of Densworld cycle through five behavioral states on prime intervals. Capital taxonomists dismissed as coincidence; Pol found the patterns too precise.,EV-892-001
903-04-10,erris_pol,intellectual_correspondence,,,,capital,First exchange between Pol (theorist) and Brent (empiricist at Yeller Quarry). The correspondence (Years 903-912) would produce the modern Form Library theory through fusion of philosophy and field observation.,EV-903-001
908-06-15,pell_anster,taxonomic_paradox,,,,capital,"The classification paradox that sparked the TAME hierarchy. Bureau taxonomists classified them at opposite ends of the entity spectrum—one a 'mindless creature,' the other a 'reasoning being.' Yet both learned. Both adapted. Anster began asking: What if we classify not by body type, but by cognitive depth?",EV-908-001
915-08-01,pell_anster,intellectual_correspondence,,,,capital,The Anster-Prebel correspondence (Years 915-920) represents a collision between cognitive classification and spatial philosophy. This exchange led Anster to add a crucial qualification: Some entities may exhibit different levels depending on who is observing them.,EV-915-002
836-06-01,pemlik_tross,methodological_insight,,,,western_archive,"After eleven years at the Archive, Tross crystallizes his core insight: every observation has two fundamental relationships—sympathetic neighbors (those that cluster together) and antipathetic neighbors (those maximally separated). Both carry classification information.",EV-836-001
930-02-15,kella_vorn,intellectual_archaeology,,,,capital,"Kella Vorn recognizes Tross and Keth as complementary thinkers: Keth asked whether new observations matched existing templates (recognition), while Tross asked how entities naturally cluster based on relationships (discovery). This rediscovery begins the modern synthesis of their frameworks.",EV-930-001
912-09-30,,forgery_evidence,,,,capital,"The Twenty-Ten Group publishes findings: the evidence is strong, not conclusive. Someone forged these texts. The handwriting is not Grigsu's. But WHO held the pen remains unprovable. The forgery scandal advanced the water-school position by showing manuscripts cannot be trusted.",EV-912-006
920-04-15,rellen_voss,navigation_paradox,,,,western_archive,"The destination paradox: how can a system navigate toward a Form it has never occupied? A newborn stakdur has no map of morphospace, yet within 30 days its behavior locks into the five-phase Quintic Cycle. This observation launches Voss's three-year trajectory research program.",EV-920-001
895-06-01,lurra_venn,archetype_classification,,,,western_archive,"Lurra Venn (active 890-920) begins her 23-year study of Bagbu's journey records. She identifies four primary archetypes: The Lucky Fool (success without understanding), The Weathered Hand (distributed problems resolved), The Doomed Optimist (smooth sailing then catastrophe), The Happy Accident (chaos yields opportunity).",EV-895-003
912-09-15,lurra_venn,pattern_limit,,,,western_archive,The encounter with Jackson leads Venn to recognize the limits of pattern recognition: 'Some individuals genuinely resist classification. Jackson was not following a pattern we have not discovered—he was not following a pattern at all. This is the limit I could not articulate.' She creates 'The Unknowable' as her final archetype category.,EV-912-007
907-04-10,sareth_moll,ghost_survey,,,,denstone.third_mill,Formal documentation of the Third Mill ghost 130 years after the fire. Strength 0.74 and stability 0.82 are remarkable—most ghosts of this age would have faded to 0.10 or below. The Scavenger recognizes it immediately. Pattern persists because rhythmic grinding was robust enough to survive substrate destruction.,EV-907-002
915-02-20,koss,memory_editing_method,,,,western_archive,The Koss experiments begin—controversial attempts to modify or remove persistent patterns. Initial A-series tests suppression and modification techniques. Success rates vary by method; erasure proves most difficult at only 15% success. Ethical concerns emerge: who consents to memory editing when the pattern's original entity is dead?,EV-915-005
935-09-15,old_gritts,perception_loss,,,,boundary_zones,"Old Gritts outlives Moll. In her final years, she reportedly stops perceiving ghosts entirely—not because the ghosts faded, but because her attention mechanism changed. She describes it as 'losing the ears to hear the grinding.' Moll's theory confirmed: perception is selective. The ghosts persist; the Scavenger simply cannot see them anymore.",EV-935-002
911-09-03,tessyn_mord,collective_knowledge,,,,capital_archives,The incident that launched federation theory. The Chief Archivist knew where documents were that she had never seen. Mord concludes: 'She did not know where those documents were. Yet the Archive knew.' This paradox of collective knowledge exceeding individual knowledge becomes Mord's life work.,EV-911-001
920-03-15,tessyn_mord,agent_registry,,,,capital_archives,"Mord initiates the agent registry project, systematically documenting agents from cellular to institutional scale. Properties tracked include: scale, agency level (using Anster's hierarchy), competency domains, autonomy, integration score, and trust metrics. The registry will eventually contain 500+ documented agents.",EV-920-003
934-06-01,archon_vells,fundamental_constraint,,,,capital,"Vells discovers the fundamental constraint: Rate × Fidelity ≤ K. 'You can defer the cost, but you cannot escape it.' This law becomes central to understanding generative processes—the tradeoff between inference speed and output quality that every generative system faces.",EV-934-001
918-06-15,kella_vorn,pattern_recognition,73% of severe pathologies involve at least two domains,,,capital,"After three years and 500 cases, Vorn identifies the first grammar of failure: pathologies cascade across domains. Boundary dissolution predisposes to ghost contamination. Horizon collapse predisposes to navigation failure. Severe cases rarely affect a single domain.",EV-918-005
