date,decision_makers,policy_name,scope,justification,requirements,location,notes,event_id
847-01-03,torvun_kell,,all_sectors,,,denstone,Beginning of systematic data collection. Baseline established for drift analysis.,EV-847-001
823-06-15,guild_of_cartographers,,all_expeditions,,,capital,The Western Prohibition establishes a data gap that would shape Guild politics for decades. Keth later called this 'intellectual cowardice.',EV-823-001
821-01-01,archive_committee,,,,,capital_archives,Archive Committee adopts new taxonomy rejecting Corpo's breach hypothesis. Shift from theoretical to empirical classification. First major revision of archive standards.,EV-821-001
870-01-01,archivist_dren,,,,,capital_archives,Archivist Dren implements Unified Archive Schema. Attempted synthesis of prior taxonomies. Dren discovers the paradox: extensively classified phenomena dissolve faster. Current system but under question.,EV-870-001
847-03-20,"senator_voth, senate",,sw_quadrant,,,capital,SW Emergency Funding authorized. Moat engineering budget spikes dramatically.,EV-847-008
855-03-01,capital_archive_administration,decision_log_requirement,all_field_surveyors,institutional_memory,,capital_archives,"The Archive implements its most comprehensive documentation requirement yet. Field surveyors must now document their reasoning, not just their results. This policy marks the beginning of what Kellis Vorn will later call the 'Method Capture Crisis.'",EV-855-012
892-03-20,maren_drusk,federated_survey_system,,,,cartographers_guild,"Senior Protocol Developer Maren Drusk launches the Cartographer's Guild federated survey system. Teams contribute aggregate findings without exposing individual surveyor methods. Within three years, the central terrain classification model improves by 23%—without a single field note leaving its team of origin.",EV-892-003
903-02-10,bureau_administration,standard_termination_protocol,all_prediction_engines,efficiency_and_resource_conservation,,bureau_of_computational_standards,"The Bureau establishes standard termination protocols for prediction engines. Training stops at 1,000 passes once training performance plateaus. This protocol would have prevented the discovery of Delayed Clarity.",EV-903-003
912-11-01,bureau_administration,extended_observation_mode,suspected_delayed_clarity_tasks,delayed_clarity_discovery,,bureau_of_computational_standards,The Bureau establishes Extended Observation Mode for tasks where Delayed Clarity is suspected. This protocol allows training to continue far beyond standard termination points.,EV-912-015
915-06-01,"tessyn_korr, bureau_administration",mechanism_cartography_protocol,all_prediction_engines,,"[""circuit_diagrams_required"", ""no_black_box_systems"", ""weight_analysis_mandatory""]",bureau_of_computational_standards,"The Bureau adopts Korr's mechanism cartography principles as official protocol. Every prediction engine must be accompanied by circuit diagrams showing information flow. Korr's maxim becomes policy: 'If you cannot draw the circuit, you do not understand the engine.'",EV-915-009
915-09-01,tessyn_korr,circuit_classification_system,all_prediction_engine_components,,,bureau_of_computational_standards,"Korr establishes the three-tier classification system for circuit understanding: 'identified' (fully understood function), 'partial' (known correlates but unclear mechanism), and 'unidentified' (no understanding). This becomes the standard for mechanistic interpretability work.",EV-915-010
924-01-10,bureau_administration,grokking_readiness_assessment,all_new_prediction_engine_projects,,"[""algorithmic_structure_check"", ""data_fraction_evaluation"", ""regularization_plan""]",bureau_of_computational_standards,"The Bureau establishes formal protocols for assessing whether a task is likely to exhibit grokking. Projects must evaluate three conditions before determining training length: algorithmic structure, data fraction, and regularization strategy.",EV-924-003
925-06-01,bureau_administration,early_stopping_prohibition,grokking_candidate_tasks,Early stopping prevents grokking,,bureau_of_computational_standards,"The Bureau formally prohibits early stopping for tasks identified as grokking candidates. Standard ML practice would terminate training after memorization, preventing the phenomenon entirely. New policy requires training to at least twice the expected grokking time.",EV-925-003
918-01-15,calibration_committee,,,,,capital.archives,Senate responds cautiously to new technology,EV-918-011
920-08-01,"calibration_committee, morwen",,,,,capital.archives,First formal policy on AI tool restrictions in the Archives,EV-920-013
923-08-01,deployment_council,,,,,mirado.workshop,Quality control for deployed interfaces,EV-923-009
926-01-10,"verification_council, mivros",,,,,capital.oracle_chamber,The Verification Council demands epistemic honesty,EV-926-001
685-03-20,archive_administration,,All cataloged works in Wing M,,Iron gall ink on Archive-standard paper for MS-Prefix documents; survey-grade stock for maps,capital_archives.Wing-M,Formalization of material requirements that distinguish Archive work from expedition field documentation.,EV-685-001
732-06-30,"hesta_vorn, archive_administration",,,,,capital_archives.Taxonomic-Division,Formalization of observation constraints based on creature danger levels. Protocol D-1 subjects require compiled survivor accounts.,EV-732-001
699-09-10,"venn_tessik, archive_administration",,All new acquisitions to established collections,,"Visual vocabulary consistency, style drift prevention, template adherence",capital_archives.Wing-M,Formalization of the Archive Standard ensuring manuscripts acquired today fit visually with those from centuries ago.,EV-699-001
760-06-20,"archive_administration, kelleth_trove",,All official Archive publications and documentation,,,capital_archives,Adoption of Trove's hybrid style as the official Archive visual identity.,EV-760-001
763-03-15,archivist_kellum_voss,,,,,capital_archives,"First institutionalization of mediated access. Kellum Voss argued that 'the gate must open, but not all the way.' Created the role of Oracle—an intermediary who knows the archive but speaks only what seekers need.",EV-763-001
702-04-01,chief_archivist_torvun_bell,,,,,capital_archives,Bell recognized that catalogs could create false completeness. The Incompleteness Manifest became required for all structured data products.,EV-702-001
725-06-15,"chief_archivist_torvun_bell, template_scribe_hesta_mell",,,,,capital_archives,"Bell and Mell agreed that generators must be opaque. Users see inputs and outputs; they do not see the probability distributions, template libraries, or validation logic.",EV-725-002
731-03-20,"chief_archivist_torvun_bell, template_scribe_hesta_mell, oracle_tessyn_grell",,,,,capital_archives.Great-Hall,"The three-way collaboration between Archive, Forge, and Oracle established governance for what students could do with generated content. Not all generated material is equal.",EV-731-001
741-01-30,chief_archivist_torvun_bell,,,,,capital_archives,Bell formalized the six levels of access. The Archives currently enable through 'Generate' for students; 'Redistribute' remains forbidden to all but full archivists.,EV-741-001
750-12-09,"chief_archivist_torvun_bell, archivist_kellum_voss, indexer_pell_carten, template_scribe_hesta_mell, oracle_tessyn_grell",,,,,capital_archives,"The Integration Accord brought the three access systems together. The platform concept was born—Oracle, API, and Generators accessible through a single student portal.",EV-750-002
847-01-03,torvun_kell,,,,,denstone,Imported from SIM-005,EV-847-014
853-09-01,thurmond_gast,,,,,capital,Imported from SIM-017,EV-853-002
840-03-15,senator_vorn,,,,,capital_senate,Foundational policy,EV-840-014
840-06-22,senator_krehl,,,,,capital_senate,First major infrastructure investment,EV-840-015
840-09-10,senator_vorn,,,,,capital_senate,Created Survey Office,EV-840-016
841-02-18,senator_krehl,,,,,capital_senate,Expansion approved,EV-841-013
841-05-25,senator_trell,,,,,capital_senate,Training program established,EV-841-014
841-08-30,senator_vorn,,,,,capital_senate,Framework for crises,EV-841-015
842-01-12,senator_krehl,,,,,capital_senate,Continued investment,EV-842-016
842-04-20,senator_gast,,,,,capital_senate,First research funding,EV-842-017
842-07-15,senator_trell,,,,,capital_senate,Technical improvement,EV-842-018
