date,session_id,intensity,dominant_faction,attendance,duration_hours,special_topic,tension_score,outcome_summary,triggered_by,event_id
840-01-15,SS-001,routine,traditionalist,18,3,,0.2,Standard business completed,,EV-840-002
840-02-12,SS-002,routine,traditionalist,17,3,,0.1,Survey protocol discussed,,EV-840-003
840-03-15,SS-003,heightened,traditionalist,20,4,Boundary Survey Protocol,0.3,Protocol approved,,EV-840-004
840-04-10,SS-004,routine,traditionalist,16,3,,0.2,Budget review,,EV-840-005
840-05-18,SS-005,routine,interventionist,18,3,,0.2,Moat proposal introduced,,EV-840-006
840-06-22,SS-006,heightened,interventionist,21,5,Moat Engineering Appropriation,0.4,First moat funding approved,,EV-840-007
840-07-14,SS-007,routine,traditionalist,15,3,,0.1,Summer session,,EV-840-008
840-08-20,SS-008,routine,traditionalist,17,3,,0.2,Surveyor reports reviewed,,EV-840-009
840-09-10,SS-009,routine,traditionalist,19,4,Survey Office Funding,0.2,Survey Office established,,EV-840-010
840-10-15,SS-010,routine,traditionalist,16,3,,0.2,Fall business,,EV-840-011
840-11-12,SS-011,routine,traditionalist,18,3,,0.1,Year-end planning,,EV-840-012
840-12-18,SS-012,routine,traditionalist,14,2,,0.1,Recess preparation,,EV-840-013
841-01-20,SS-013,routine,traditionalist,17,3,,0.2,New year opening,,EV-841-001
841-02-18,SS-014,heightened,interventionist,20,4,Moat Extension,0.3,Extension authorized,,EV-841-002
841-03-15,SS-015,routine,traditionalist,18,3,,0.2,Survey results presented,,EV-841-003
841-04-22,SS-016,routine,traditionalist,16,3,,0.2,Spring business,,EV-841-004
841-05-25,SS-017,routine,traditionalist,19,3,Surveyor Training,0.2,Training standards set,,EV-841-005
841-06-18,SS-018,routine,interventionist,17,3,,0.2,Construction updates,,EV-841-006
841-07-20,SS-019,routine,traditionalist,14,2,,0.1,Summer recess,,EV-841-007
841-08-30,SS-020,heightened,interventionist,20,4,Emergency Response Protocol,0.3,Protocol established,,EV-841-008
841-09-15,SS-021,routine,traditionalist,18,3,,0.2,Fall session,,EV-841-009
