date,theorist,theory_name,claim,evidence,tradition,key_concept,location,notes,event_id
843-12-15,vornis_keth,Coordinate Curvature Hypothesis,Landmarks are stable; the observer's coordinate system is curved,,,,capital,Keth wrote: 'The surveyor assumes her coordinates are stable. But what if the coordinates themselves are curved? What if the shortest path between two points is not a straight line?',EV-843-002
765-01-01,dr_smint_corpo,corpo_classification,,,,,capital_archives,Dr. Smint Corpo creates first Archive classification system. Foundation of archival science for spatial phenomena. Corpo's personal trauma (specimens vanishing) informed his theory.,EV-765-001
845-07-01,archon_vells,persistence_taxonomy,,,,,capital_archives,Archon Vells proposes Persistence Taxonomy. First system to explicitly categorize terminal events. His own experience of 'invitation' at Denstone Edge (1837) informed this work.,EV-845-002
859-01-01,dendra_coss,observer_interaction_model,,,,,capital_archives,Dendra Coss proposes Observer Interaction Model. Based on her systematic Gradient Zone measurements (1859). First taxonomy that frames phenomena as having agency toward observers.,EV-859-001
847-03-20,vornis_keth,,A fearful observer sees landmarks in different positions than a calm observer,survey_comparison_study,,,capital,Keth proposes that geometry varies by observer state. Anticipates quantum measurement problem.,EV-847-010
865-05-10,archon_prebel,,The dens is not older than you. The dens is contemporaneous.,,,,capital,Archon Prebel articulates relational ontology. The dens is not given but emerges through interaction.,EV-865-001
895-06-01,erris_pol,library_hypothesis,All forms exist prior to their physical manifestation in an abstract Library from which bodies read their patterns,,,,capital,"Pol proposes the Library hypothesis: 'Let us imagine that all possible forms exist prior to their physical manifestation—that they inhabit, as it were, a Library of patterns from which bodies, creatures, places, and phenomena draw their shapes and behaviors.'",EV-895-001
912-03-01,pell_anster,persuadability_framework,All entities can be classified by cognitive depth measured through persuadability—how they respond to different kinds of influence,,,,capital,Anster proposes the TAME hierarchy: 'Persuade a stone to roll and you've done nothing. Persuade a creature to hunt and you've channeled what was already there. Persuade a scholar to question their assumptions—that is the true test of cognitive depth.',EV-912-001
847-08-10,pemlik_tross,constellation_theory,"Entities should be classified by their position in a field of attractions and repulsions, not by their intrinsic properties",,,,capital,Tross presents 'The Geometry of Affinities' to a skeptical Guild assembly. Traditional geometers dismiss it as 'philosophy masquerading as mathematics.' The paper is rejected for the Archive. Tross writes in his journal: 'They want coordinates. I give them constellations. They want fixed points. I give them forces.',EV-847-001
925-02-20,rellen_voss,five_axioms_of_navigation,Navigation succeeds through local gradient following—systems respond to resonance signals without needing global knowledge of destination,,,,western_archive,Voss formalizes five axioms: (1) Attractor Specificity—bodies attuned to specific Forms; (2) Signal Strength—resonance increases with proximity; (3) Interference—competing signals create challenges; (4) Energy Cost—movement requires effort; (5) Memory—prior navigation improves efficiency. The framework maps directly to gradient descent optimization.,EV-925-001
