agent_id,agent_name,agent_scale,anster_level,agent_type,competency_domain,competency_level,autonomy_level,parent_agent_id,federation_role,delegation_accepts,delegation_gives,integration_score,communication_channels,memory_distributed,turnover_resilient,temporal_horizon_days,spatial_horizon_km,trust_given_score,trust_received_score,documented_year,documenter,region,confidence,notes
AG-0001,The Capital Archive,institution,4.0,institution,preservation,master,autonomous,,coordinator,True,True,0.85,15,True,True,36500,500,0.8,0.9,920,T. Mord,Capital,0.9,Canonical example of high-integration Level 4 collective
AG-0002,Klutch CC Class of 912,small_group,3.0,human_group,coordination,expert,semi_autonomous,,component,True,True,0.5,8,False,False,3650,50,0.6,0.7,920,T. Mord,Densmok,0.9,"Moderate integration, collective restlessness led to Jackson's departure"
AG-0003,Digger Colony 7,large_collective,3.0,creature_colony,construction,expert,semi_autonomous,,component,True,True,0.7,12,True,True,7300,50,0.6,0.7,920,T. Mord,Yeller Quarry,0.9,"High integration creature colony, Level 2 components produce Level 3 collective"
AG-0004,Jackson,individual,4.0,person,meta_cognition,master,sovereign,,sovereign,True,True,0.0,3,False,False,10950,50,0.8,0.7,915,P. Anster,Densmok,0.9,Level 4 individual who exceeded Level 3 class collective
AG-0005,Surveyor Guild,institution,3.5,institution,meta_cognition,expert,autonomous,,component,True,True,0.7,3,False,False,10950,50,0.8,0.7,920,T. Mord,Multiple,0.9,"Moderate integration, pursues institutional status without member awareness"
AG-0010,Third Mill Crew,small_group,3.0,human_group,meta_cognition,expert,semi_autonomous,,component,True,True,0.7,3,False,False,10950,50,0.6,0.7,920,T. Mord,Multiple,0.9,"High integration work crew, ghost of purpose persists"
AG-0007,Mirin Thane,individual,2.9,person,memory_storage,basic,autonomous,AG-0001,specialist,False,True,0.0,10,False,False,3238.2,558.1,0.48,0.51,914,T. Crost,Northo,0.94,
AG-0008,Eastern Class 11,small_group,2.9,human_group,decision_making,expert,semi_autonomous,,component,True,True,0.51,2,False,True,3585.8,47.9,0.65,0.92,935,O. Venn,Yeller Quarry,0.76,
AG-0009,Third Mill Unit 12,small_group,3.3,human_group,construction,expert,supervised,,sovereign,True,True,0.64,14,True,False,4272.3,470.8,0.64,0.79,926,Independent Observer,Northo,0.7,
AG-0010,Yeller Quarry Federation,large_collective,2.7,human_group,preservation,expert,autonomous,,component,True,True,0.53,11,False,False,12929.7,79.7,0.43,0.61,931,T. Crost,Unknown,0.76,
AG-0011,Liver Complex 011,organ,2.3,organism,adaptation,competent,supervised,,component,True,False,0.78,4,True,False,10.7,176.2,0.0,0.61,917,T. Mord,Unknown,0.66,
AG-0012,Boundary Squad 11,small_group,3.4,human_group,construction,master,autonomous,,component,True,False,0.35,1,False,True,5491.9,52.7,0.72,0.59,921,Colony Observation Unit,Capital,0.93,
AG-0013,Third Mill Unit 19,small_group,2.8,human_group,construction,competent,semi_autonomous,,specialist,True,True,0.57,8,False,False,5527.0,525.2,0.63,0.86,918,P. Anster,Yeller Quarry,0.86,
AG-0014,Cell Colony 014-D,cellular,1.5,organism,signaling,competent,supervised,,generalist,True,False,0.83,6,True,False,0.0,679.9,0.0,0.9,934,Colony Observation Unit,Unknown,0.64,
AG-0015,Western Team 16,small_group,3.1,human_group,construction,competent,semi_autonomous,,component,True,False,0.43,8,True,False,5438.2,249.0,0.47,0.64,931,Archive Survey Team,Densmok,0.88,
AG-0016,Third Mill Section 10,small_group,2.7,creature_colony,decision_making,master,semi_autonomous,AG-0012,specialist,True,False,0.62,2,True,False,2394.2,303.7,0.71,0.59,940,P. Anster,Northo,0.79,
AG-0017,Archive Section 8,small_group,2.6,human_group,coordination,basic,supervised,,specialist,True,True,0.58,13,False,True,1310.4,532.4,0.47,0.8,912,Boundary Commission,Northo,0.62,
AG-0018,Circulatory Unit 018,organ,2.2,organism,coordination,basic,supervised,,specialist,True,False,0.93,18,True,True,13.5,756.1,0.0,0.93,922,T. Crost,Yeller Quarry,0.62,
AG-0019,Nils Thane,individual,3.5,person,adaptation,expert,supervised,,component,True,False,0.0,8,False,False,3070.1,842.6,0.36,0.64,939,Colony Observation Unit,Yeller Quarry,0.72,
AG-0020,Densmok The Guild,institution,3.3,institution,memory_storage,master,supervised,,specialist,True,True,0.84,3,False,False,4681.6,763.3,0.36,0.6,922,P. Anster,Densmok,0.68,
AG-0021,Boundary The College,institution,3.3,creature_colony,memory_storage,master,semi_autonomous,,coordinator,True,True,0.52,9,True,True,14445.3,94.2,0.55,0.94,937,Independent Observer,Unknown,0.79,
AG-0022,Tunnel Digger Specimen 022,individual,3.9,creature,document_processing,competent,sovereign,,component,True,True,0.0,6,False,False,2384.0,660.8,0.72,0.74,916,Archive Survey Team,Dens boundary,0.72,
AG-0023,Digger Colony 32,large_collective,3.4,creature_colony,protection,expert,autonomous,,component,True,True,0.8,1,True,True,8443.8,476.8,0.39,0.5,927,P. Anster,Yeller Quarry,0.92,
AG-0024,Digger Colony 12,large_collective,2.7,creature_colony,preservation,competent,semi_autonomous,,component,True,True,0.72,6,False,True,3951.0,725.6,0.49,0.45,933,P. Anster,Capital,0.93,
AG-0025,Quarry Squad 3,small_group,2.8,human_group,construction,basic,semi_autonomous,,specialist,True,True,0.42,7,True,True,5619.8,325.6,0.39,0.77,916,T. Crost,Unknown,0.71,
AG-0026,Night Stalker Specimen 026,individual,2.6,creature,coordination,competent,semi_autonomous,,component,True,True,0.1,6,False,False,3148.9,255.2,0.49,0.94,930,M. Strand,Tower of Mirado,0.73,
AG-0027,Digger Colony 23,large_collective,2.9,creature_colony,protection,expert,fully_dependent,,component,False,True,0.6,12,True,True,13962.0,785.4,0.51,0.67,930,M. Strand,Tower of Mirado,0.74,
AG-0028,Archive Team 19,small_group,2.9,human_group,resource_acquisition,expert,supervised,,component,False,False,0.62,11,True,False,2100.4,109.7,0.37,0.83,936,Klutch CC Research,Multiple,0.81,
AG-0029,Quarry Crew 11,small_group,2.9,human_group,protection,basic,semi_autonomous,,coordinator,True,True,0.47,12,False,False,4039.3,358.6,0.57,0.87,925,Klutch CC Research,Yeller Quarry,0.91,
AG-0030,Multiple Coalition,large_collective,2.7,institution,preservation,master,semi_autonomous,,component,True,True,0.71,16,True,True,14196.4,27.4,0.88,0.79,933,T. Crost,Tower of Mirado,0.62,
AG-0031,Mirin Keth,individual,3.3,person,memory_storage,expert,fully_dependent,,interface,True,True,0.0,6,False,False,898.8,70.4,0.66,0.43,939,Colony Observation Unit,Yeller Quarry,0.62,
AG-0032,Maw Beast Specimen 032,individual,3.0,creature,document_processing,expert,autonomous,AG-0009,component,True,True,0.0,8,False,False,1926.5,152.3,0.32,0.46,934,Klutch CC Research,Unknown,0.89,
AG-0033,Tissue Complex 033,tissue,1.9,organism,coordination,basic,supervised,,specialist,False,False,0.8,12,True,False,0.5,607.6,0.0,0.46,936,M. Strand,Yeller Quarry,0.7,
AG-0034,Unknown Federation,large_collective,2.6,institution,preservation,master,supervised,,sovereign,True,True,0.54,14,False,False,6402.7,684.8,0.36,0.52,924,T. Mord,Multiple,0.73,
AG-0035,Toren Kellam,individual,3.9,person,spatial_navigation,expert,supervised,AG-0003,coordinator,True,True,0.06,10,True,False,2466.6,953.7,0.87,0.73,913,Colony Observation Unit,Northo,0.85,
AG-0036,Mira Tall,individual,3.5,person,memory_storage,competent,sovereign,AG-0015,generalist,True,True,0.17,5,False,False,2815.0,497.0,0.36,0.51,924,Klutch CC Research,Densmok,0.89,
AG-0037,Cell Colony 037-A,cellular,0.6,organism,resource_acquisition,foundational,fully_dependent,,component,True,False,0.71,10,False,False,0.0,525.7,0.0,0.92,918,M. Strand,Tower of Mirado,0.73,
AG-0038,Civilization Fragment 9,civilization_fragment,3.8,institution,adaptation,master,sovereign,,interface,True,True,0.57,5,True,True,24196.7,772.3,0.53,0.48,914,T. Crost,Unknown,0.83,
AG-0039,Western Crew 14,small_group,2.5,creature_colony,decision_making,competent,supervised,AG-0018,component,True,True,0.52,13,True,False,1482.5,778.9,0.66,0.5,918,P. Anster,Unknown,0.92,
AG-0040,Capital Section 8,small_group,3.1,human_group,coordination,expert,autonomous,,interface,True,False,0.47,4,False,False,3629.0,551.4,0.5,0.63,926,Klutch CC Research,Tower of Mirado,0.71,
AG-0041,Western Class 3,small_group,2.5,human_group,construction,master,fully_dependent,,component,False,False,0.57,9,False,False,3267.0,343.8,0.46,0.85,938,P. Anster,Dens boundary,0.74,
AG-0042,Multiple Federation,large_collective,2.7,human_group,coordination,competent,fully_dependent,,component,True,True,0.75,15,True,True,8515.0,165.8,0.7,0.44,915,P. Anster,Unknown,0.9,
AG-0043,Marsh Moll,individual,3.0,person,construction,expert,semi_autonomous,,specialist,False,True,0.0,10,False,False,2978.0,526.5,0.39,0.62,929,Archive Survey Team,Yeller Quarry,0.6,
AG-0044,Archive Team 15,small_group,3.2,human_group,resource_acquisition,competent,supervised,,generalist,True,True,0.62,2,True,True,1988.8,629.7,0.52,0.65,939,T. Crost,Unknown,0.83,
AG-0045,Western Class 14,small_group,3.1,creature_colony,construction,master,supervised,,specialist,True,False,0.56,6,False,False,5327.8,790.2,0.54,0.82,918,T. Crost,Multiple,0.94,
AG-0046,Night Stalker Specimen 046,individual,2.3,creature,communication,expert,fully_dependent,,specialist,True,False,0.0,6,False,False,3488.7,9.5,0.0,0.81,934,Boundary Commission,Northo,0.8,
AG-0047,Tunnel Digger Specimen 047,individual,3.4,creature,adaptation,expert,semi_autonomous,,component,False,True,0.0,8,False,False,3287.9,105.7,0.5,0.4,935,M. Strand,Multiple,0.87,
AG-0048,Maw Beast Specimen 048,individual,3.2,creature,construction,expert,semi_autonomous,,coordinator,True,False,0.06,9,False,False,740.7,179.9,0.62,0.43,926,T. Crost,Northo,0.72,
AG-0049,Nils Marsh,individual,3.9,person,resource_acquisition,competent,fully_dependent,AG-0017,specialist,True,False,0.14,1,False,False,1332.4,186.3,0.5,0.41,932,Boundary Commission,Northo,0.74,
AG-0050,Capital The Archive,institution,4.3,human_group,decision_making,competent,semi_autonomous,,component,True,True,0.74,12,True,False,12396.9,282.1,0.64,0.43,939,Independent Observer,Tower of Mirado,0.67,
AG-0051,Survey Squad 2,small_group,3.3,human_group,construction,competent,autonomous,,component,True,True,0.4,6,True,True,2832.5,242.9,0.55,0.57,932,Boundary Commission,Multiple,0.79,
AG-0052,Tissue Complex 052,tissue,1.8,organism,construction,basic,supervised,,specialist,True,False,0.78,11,True,True,0.4,175.5,0.0,0.74,930,M. Strand,Capital,0.84,
AG-0053,Greta Moll,individual,2.3,person,communication,competent,semi_autonomous,AG-0011,coordinator,True,False,0.0,10,False,False,716.6,537.1,0.0,0.57,922,Colony Observation Unit,Capital,0.7,
AG-0054,Kellen Kellam,individual,2.8,person,memory_storage,competent,autonomous,AG-0002,specialist,True,False,0.11,9,False,False,1411.5,308.9,0.91,0.44,912,P. Anster,Multiple,0.61,
AG-0055,Cell Cluster 055-C,cellular,0.5,organism,resource_acquisition,competent,supervised,,coordinator,True,False,1.0,13,True,True,0.0,20.6,0.0,0.65,919,T. Crost,Northo,0.61,
AG-0056,Holt Creel,individual,3.5,person,document_processing,master,supervised,,component,True,True,0.0,10,False,False,523.8,159.7,0.49,0.51,917,Boundary Commission,Dens boundary,0.7,
AG-0057,Yeller Quarry Consortium,large_collective,2.9,human_group,adaptation,expert,supervised,,interface,True,False,0.54,15,False,False,7917.0,364.6,0.56,0.7,929,Archive Survey Team,Densmok,0.81,
AG-0058,Nils Anster,individual,3.9,person,pattern_recognition,expert,autonomous,,component,True,False,0.07,3,True,False,1950.6,119.3,0.79,0.89,912,Klutch CC Research,Northo,0.74,
AG-0059,Cell Colony 059-E,cellular,1.3,organism,cellular_maintenance,basic,supervised,,component,True,False,1.0,20,True,True,0.1,387.2,0.0,0.64,921,Archive Survey Team,Tower of Mirado,0.92,
AG-0060,Tissue Complex 060,tissue,1.8,organism,signaling,competent,autonomous,,component,True,False,0.78,15,True,False,0.9,193.1,0.0,0.69,929,Klutch CC Research,Northo,0.93,
AG-0061,Quarry Squad 18,small_group,3.2,human_group,resource_acquisition,competent,autonomous,,sovereign,False,True,0.36,10,False,False,861.4,33.3,0.8,0.55,937,Klutch CC Research,Northo,0.76,
AG-0062,Dens boundary Federation,large_collective,3.3,human_group,communication,basic,autonomous,,coordinator,True,False,0.74,9,True,True,10033.2,89.4,0.65,0.52,917,Colony Observation Unit,Northo,0.81,
AG-0063,Nils Crost,individual,2.9,person,construction,competent,autonomous,,sovereign,True,True,0.0,3,False,False,883.8,570.1,0.75,0.68,930,O. Venn,Unknown,0.82,
AG-0064,Liver Complex 064,organ,2.5,organism,adaptation,competent,supervised,,sovereign,True,True,0.87,8,True,True,7.2,655.8,0.79,0.88,936,P. Anster,Unknown,0.9,
AG-0065,Digger Colony 35,large_collective,3.3,creature_colony,preservation,competent,autonomous,,component,True,True,0.58,9,False,True,16546.9,615.8,0.9,0.57,939,Archive Survey Team,Yeller Quarry,0.64,
AG-0066,Densmok The Academy,institution,3.2,creature_colony,preservation,competent,fully_dependent,,sovereign,True,True,0.54,4,False,True,26841.4,731.0,0.33,0.7,927,P. Anster,Densmok,0.74,
AG-0067,Multiple Alliance,large_collective,3.2,institution,preservation,expert,supervised,,component,True,True,0.64,4,False,False,7721.9,420.4,0.77,0.7,929,Colony Observation Unit,Dens boundary,0.79,
AG-0068,Eastern Team 20,small_group,2.8,human_group,coordination,basic,semi_autonomous,,component,False,True,0.5,12,True,False,2970.0,223.2,0.74,0.64,913,T. Crost,Multiple,0.81,
AG-0069,Archive Crew 16,small_group,3.2,creature_colony,construction,expert,semi_autonomous,AG-0019,specialist,True,False,0.54,4,True,True,5391.5,176.6,0.84,0.63,932,Boundary Commission,Unknown,0.78,
AG-0070,Cell Cluster 070-D,cellular,1.4,organism,resource_acquisition,competent,semi_autonomous,,sovereign,True,False,0.87,8,True,True,0.1,484.1,0.0,0.43,939,P. Anster,Densmok,0.81,
AG-0071,Vira Keth,individual,2.9,person,coordination,expert,supervised,AG-0009,component,True,True,0.08,3,False,False,3210.2,361.0,0.8,0.4,929,Boundary Commission,Yeller Quarry,0.69,
AG-0072,Survey Unit 6,small_group,2.6,human_group,protection,expert,supervised,,interface,True,True,0.33,6,True,False,7241.3,95.5,0.64,0.86,932,T. Mord,Dens boundary,0.86,
AG-0073,Night Stalker Specimen 073,individual,2.2,creature,spatial_navigation,master,semi_autonomous,,component,True,False,0.0,10,False,False,2445.3,96.9,0.0,0.42,921,T. Mord,Yeller Quarry,0.89,
AG-0074,Archive Squad 3,small_group,2.7,human_group,resource_acquisition,foundational,semi_autonomous,,component,True,False,0.43,1,False,True,1235.4,107.8,0.74,0.83,916,Klutch CC Research,Northo,0.88,
AG-0075,Digger Colony 31,large_collective,3.2,creature_colony,preservation,basic,sovereign,,specialist,True,True,0.5,6,True,True,7818.7,200.4,0.84,0.85,935,O. Venn,Capital,0.85,
AG-0076,Border Creature Specimen 076,individual,2.7,creature,maintenance,competent,fully_dependent,AG-0011,interface,True,True,0.06,3,False,False,3240.5,331.7,0.63,0.74,938,O. Venn,Tower of Mirado,0.69,
AG-0077,Survey Section 14,small_group,3.3,creature_colony,coordination,expert,semi_autonomous,AG-0003,specialist,True,True,0.66,12,False,True,739.2,527.8,0.63,0.75,937,Archive Survey Team,Unknown,0.72,
AG-0078,Cellular Unit 078-B,cellular,1.2,organism,signaling,expert,autonomous,,coordinator,True,False,1.0,19,True,False,0.0,394.4,0.0,0.83,934,Colony Observation Unit,Capital,0.88,
AG-0079,Third Mill Unit 4,small_group,3.1,human_group,protection,expert,supervised,,component,True,True,0.47,8,False,False,7037.7,860.3,0.64,0.87,930,P. Anster,Unknown,0.87,
AG-0080,Tissue Complex 080,tissue,2.0,organism,construction,expert,supervised,,component,True,False,0.99,2,True,True,0.5,405.0,0.0,0.69,937,Archive Survey Team,Unknown,0.87,
AG-0081,Capital Circle 13,small_group,3.5,human_group,decision_making,basic,supervised,AG-0014,specialist,True,True,0.46,1,False,True,3585.5,761.6,0.45,0.52,935,O. Venn,Multiple,0.92,
AG-0082,Quarry Unit 8,small_group,2.5,human_group,coordination,expert,autonomous,,coordinator,True,False,0.5,12,True,False,6407.6,448.9,0.49,0.92,937,M. Strand,Northo,0.64,
AG-0083,Lung System 083,organ,1.9,organism,adaptation,foundational,fully_dependent,,component,True,False,0.87,17,False,False,26.6,357.9,0.0,0.69,930,O. Venn,Northo,0.75,
AG-0084,Boundary The Guild,institution,3.3,human_group,preservation,expert,semi_autonomous,,specialist,True,True,0.69,6,True,True,21345.1,471.2,0.81,0.83,935,T. Crost,Capital,0.78,
AG-0085,Tunnel Digger Specimen 085,individual,3.5,creature,construction,master,semi_autonomous,,component,True,True,0.15,3,False,True,1663.3,71.9,0.33,0.7,930,T. Crost,Yeller Quarry,0.9,
AG-0086,Eastern Circle 8,small_group,3.5,creature_colony,decision_making,expert,sovereign,,generalist,True,True,0.34,12,False,False,6434.5,568.6,0.39,0.41,916,Archive Survey Team,Multiple,0.87,
AG-0087,Jorn Vells,individual,3.3,person,adaptation,basic,semi_autonomous,AG-0003,coordinator,True,True,0.04,3,False,False,620.0,880.0,0.47,0.79,921,O. Venn,Capital,0.76,
AG-0088,Maw Beast Specimen 088,individual,3.7,creature,signaling,master,semi_autonomous,,generalist,True,True,0.09,4,False,False,1732.9,336.1,0.87,0.64,926,T. Crost,Tower of Mirado,0.88,
AG-0089,Quarry Unit 19,small_group,2.7,human_group,coordination,competent,fully_dependent,AG-0014,specialist,True,True,0.43,14,False,False,5031.6,7.0,0.58,0.94,937,O. Venn,Yeller Quarry,0.63,
AG-0090,Circulatory Unit 090,organ,1.6,organism,maintenance,competent,semi_autonomous,,component,True,False,0.9,2,True,True,10.0,518.7,0.0,0.45,924,Klutch CC Research,Densmok,0.8,
AG-0091,Boundary Circle 19,small_group,2.8,human_group,construction,competent,supervised,AG-0005,sovereign,True,True,0.56,10,False,False,3116.0,822.8,0.83,0.45,937,Colony Observation Unit,Tower of Mirado,0.77,
AG-0092,Dask Drusk,individual,3.1,person,document_processing,competent,semi_autonomous,,component,True,True,0.07,3,False,False,777.4,367.1,0.48,0.77,919,Colony Observation Unit,Densmok,0.66,
AG-0093,Circulatory Unit 093,organ,2.1,organism,coordination,expert,supervised,,component,True,False,0.63,10,True,False,28.5,326.9,0.0,0.65,918,Colony Observation Unit,Yeller Quarry,0.81,
AG-0094,Western Section 19,small_group,3.4,human_group,protection,master,sovereign,,specialist,True,True,0.38,1,False,True,3305.0,532.7,0.43,0.72,921,M. Strand,Dens boundary,0.81,
AG-0095,Cell Colony 095-B,cellular,0.8,organism,signaling,competent,supervised,,component,False,False,1.0,9,True,False,0.0,130.8,0.0,0.51,927,T. Crost,Yeller Quarry,0.93,
AG-0096,Lung System 096,organ,1.8,organism,coordination,master,fully_dependent,,component,False,False,0.61,5,False,True,9.4,163.3,0.0,0.79,934,Boundary Commission,Multiple,0.87,
AG-0097,Tissue Fragment 097-B,cellular,1.1,organism,signaling,competent,fully_dependent,,coordinator,True,False,0.94,1,True,True,0.0,582.8,0.0,0.77,939,Boundary Commission,Unknown,0.91,
AG-0098,Dask Mord,individual,3.2,person,memory_storage,competent,semi_autonomous,AG-0001,component,True,True,0.11,8,False,False,2366.6,39.3,0.86,0.93,928,T. Crost,Capital,0.9,
AG-0099,Archive Circle 8,small_group,2.9,creature_colony,resource_acquisition,basic,fully_dependent,AG-0009,component,True,True,0.61,8,False,False,6558.2,404.9,0.34,0.52,925,M. Strand,Capital,0.72,
AG-0100,Digger Colony 7,large_collective,2.6,creature_colony,communication,competent,semi_autonomous,,component,True,True,0.47,3,False,False,16313.7,530.5,0.86,0.91,925,Colony Observation Unit,Tower of Mirado,0.65,
AG-0101,Cave Bat Specimen 101,individual,3.9,creature,communication,expert,sovereign,,specialist,True,True,0.0,4,False,False,187.0,523.5,0.92,0.45,927,Klutch CC Research,Dens boundary,0.61,
AG-0102,Senn Thane,individual,2.0,person,coordination,foundational,supervised,AG-0018,component,True,False,0.05,10,False,False,2171.2,431.1,0.0,0.86,919,Boundary Commission,Northo,0.82,
AG-0103,Archive Class 4,small_group,2.8,human_group,protection,competent,autonomous,AG-0001,component,False,False,0.7,5,True,True,5509.6,657.0,0.45,0.48,934,T. Mord,Capital,0.67,
AG-0104,Tunnel Digger Specimen 104,individual,3.8,creature,threat_response,basic,autonomous,AG-0012,specialist,True,True,0.0,6,False,False,3502.0,249.8,0.38,0.79,919,O. Venn,Yeller Quarry,0.8,
AG-0105,Survey Unit 9,small_group,2.8,creature_colony,construction,master,supervised,,component,True,True,0.6,6,True,False,1783.7,550.2,0.6,0.73,925,O. Venn,Tower of Mirado,0.93,
AG-0106,Archive Section 7,small_group,3.3,human_group,protection,master,supervised,,component,True,True,0.46,1,False,True,2579.0,122.1,0.63,0.78,927,T. Crost,Northo,0.85,
AG-0107,Multiple Assembly,large_collective,2.5,institution,protection,expert,semi_autonomous,,generalist,True,True,0.52,13,True,True,16854.2,718.6,0.59,0.78,926,T. Crost,Yeller Quarry,0.76,
AG-0108,Dask Anster,individual,3.1,person,communication,basic,semi_autonomous,,generalist,True,True,0.2,11,True,False,3233.0,415.9,0.49,0.69,922,O. Venn,Northo,0.9,
AG-0109,Survey Unit 4,small_group,3.4,human_group,resource_acquisition,competent,autonomous,,component,True,False,0.35,10,True,False,3952.2,460.7,0.65,0.73,915,Klutch CC Research,Tower of Mirado,0.92,
AG-0110,Capital Class 14,small_group,2.6,human_group,protection,competent,autonomous,,coordinator,True,True,0.51,14,True,False,5974.9,387.5,0.67,0.66,920,T. Mord,Capital,0.9,
AG-0111,Orra Kellam,individual,2.7,person,pattern_recognition,competent,semi_autonomous,,interface,True,True,0.12,11,False,False,1510.6,702.5,0.57,0.48,938,P. Anster,Unknown,0.93,
AG-0112,Eastern Squad 1,small_group,2.8,human_group,decision_making,expert,supervised,,component,False,False,0.61,2,True,False,6844.5,608.8,0.47,0.43,935,Klutch CC Research,Densmok,0.63,
AG-0113,Regional The Academy,institution,3.4,human_group,memory_storage,master,autonomous,,specialist,True,True,0.89,9,True,False,28566.0,783.9,0.41,0.41,927,T. Mord,Unknown,0.86,
AG-0114,Toren Vells,individual,3.5,person,decision_making,expert,supervised,,coordinator,True,True,0.12,7,False,False,3332.2,774.1,0.75,0.93,915,P. Anster,Dens boundary,0.82,
AG-0115,Ferris Thane,individual,3.9,person,spatial_navigation,competent,semi_autonomous,,component,True,True,0.0,7,False,False,1746.8,174.2,0.47,0.75,934,T. Mord,Northo,0.71,
AG-0116,Third Mill Squad 9,small_group,2.8,creature_colony,resource_acquisition,expert,supervised,AG-0012,component,True,False,0.4,10,True,False,3653.2,336.2,0.77,0.83,933,Archive Survey Team,Yeller Quarry,0.92,
AG-0117,Petra Kellam,individual,3.4,person,coordination,expert,semi_autonomous,AG-0008,coordinator,True,False,0.0,5,False,False,673.4,568.2,0.82,0.46,928,Klutch CC Research,Dens boundary,0.87,
AG-0118,Capital Class 11,small_group,3.2,human_group,decision_making,competent,semi_autonomous,,component,True,True,0.48,8,True,True,4590.8,198.4,0.66,0.57,923,Colony Observation Unit,Tower of Mirado,0.78,
AG-0119,Holt Brent,individual,3.6,person,signaling,competent,semi_autonomous,,coordinator,False,False,0.01,3,False,False,3118.9,606.8,0.3,0.91,928,P. Anster,Northo,0.63,
AG-0120,Vira Mord,individual,2.3,person,adaptation,competent,supervised,,component,True,False,0.19,6,False,True,1304.9,190.8,0.0,0.56,932,Klutch CC Research,Northo,0.94,
AG-0121,Toren Kellam,individual,2.8,person,spatial_navigation,basic,semi_autonomous,,component,True,True,0.02,9,False,False,3177.7,198.3,0.84,0.77,921,O. Venn,Tower of Mirado,0.64,
AG-0122,Tunnel Digger Specimen 122,individual,2.7,creature,memory_storage,expert,semi_autonomous,,specialist,True,False,0.01,4,False,False,2637.0,24.3,0.61,0.89,936,Independent Observer,Yeller Quarry,0.68,
AG-0123,Cell Colony 123-A,cellular,1.2,organism,signaling,competent,supervised,,component,True,False,0.78,12,False,True,0.0,563.1,0.0,0.67,921,T. Crost,Dens boundary,0.74,
AG-0124,Densmok Assembly,large_collective,3.3,institution,adaptation,basic,supervised,,specialist,False,False,0.6,13,False,False,11247.8,667.8,0.54,0.47,926,Colony Observation Unit,Densmok,0.91,
AG-0125,Eastern Squad 13,small_group,3.4,human_group,protection,competent,fully_dependent,AG-0004,component,False,True,0.46,14,False,True,2533.4,387.5,0.43,0.48,930,O. Venn,Capital,0.89,
AG-0126,Archive Team 10,small_group,2.9,human_group,resource_acquisition,competent,supervised,AG-0008,generalist,True,True,0.66,12,True,True,5437.2,409.4,0.56,0.64,917,Independent Observer,Tower of Mirado,0.9,
AG-0127,Capital The Guild,institution,4.2,institution,preservation,basic,autonomous,,coordinator,False,True,0.76,10,True,True,31442.6,666.6,0.83,0.95,930,P. Anster,Dens boundary,0.73,
AG-0128,Survey Crew 4,small_group,3.3,creature_colony,decision_making,competent,semi_autonomous,AG-0014,specialist,True,True,0.61,16,False,False,4342.7,629.7,0.6,0.45,927,P. Anster,Tower of Mirado,0.76,
AG-0129,Stakdur Specimen 129,individual,3.9,creature,construction,competent,semi_autonomous,,interface,False,True,0.0,8,False,False,3338.0,363.8,0.44,0.5,924,M. Strand,Multiple,0.67,
AG-0130,Circulatory Unit 130,organ,2.3,organism,adaptation,master,semi_autonomous,,specialist,True,False,0.73,4,False,False,7.6,601.7,0.0,0.91,918,T. Crost,Yeller Quarry,0.93,
AG-0131,Archive Squad 20,small_group,2.8,creature_colony,coordination,competent,semi_autonomous,,specialist,True,True,0.49,11,True,False,4489.4,697.7,0.48,0.88,914,T. Mord,Unknown,0.77,
