relationship_id,entity_id,entity_name,neighbor_id,neighbor_name,antipathy_rank,antipathy_strength,distance_morphospace,antipathy_type,mutual,stability,edge_weight,contribution_to_separation,first_documented,documenter,documentation_method,confidence,notes
AN-0001,MS-0001,The Quintic Cycle,MS-0039,Form 39,1,0.83,1.6572,historical,True,0.68,-0.785,0.73,926,P. Tross,classification_opposition,0.53,
AN-0002,MS-0001,The Quintic Cycle,MS-0060,Form 60,2,0.83,1.6508,unknown,True,0.8,-0.7,0.24,925,P. Tross,trajectory_divergence,0.84,
AN-0003,MS-0001,The Quintic Cycle,MS-0093,Form 93,3,0.8,1.6038,incompatible,False,0.51,-0.738,0.2,928,P. Tross,distance_measurement,0.55,
AN-0004,MS-0001,The Quintic Cycle,MS-0086,Form 86,4,0.8,1.5946,unknown,True,0.63,-0.65,0.75,1843,T. Vells,behavioral_observation,0.5,
AN-0005,MS-0002,The Binary Division,MS-0118,Form 118,1,0.94,1.8812,competitive,True,0.65,-0.883,0.57,915,Archive Survey Team,conflict_documentation,0.69,
AN-0006,MS-0002,The Binary Division,MS-0027,The Five-Body Form,2,0.91,1.8146,unknown,False,0.92,-0.772,0.5,1834,T. Vells,trajectory_divergence,0.73,
AN-0007,MS-0002,The Binary Division,MS-0036,Form 36,3,0.87,1.7403,historical,False,0.75,-0.739,0.85,928,T. Vells,behavioral_observation,0.54,
AN-0008,MS-0002,The Binary Division,MS-0192,Form 192,4,0.86,1.7108,orthogonal,True,0.6,-0.829,0.23,1830,P. Tross,conflict_documentation,0.64,
AN-0009,MS-0003,The Breathing Mode,MS-0149,Form 149,1,0.88,1.7647,incompatible,True,0.86,-0.868,0.49,1837,T. Vells,distance_measurement,0.54,
AN-0010,MS-0003,The Breathing Mode,MS-0096,Form 96,2,0.84,1.6848,historical,False,0.81,-0.721,0.49,927,P. Tross,conflict_documentation,0.69,
AN-0011,MS-0003,The Breathing Mode,MS-0135,Form 135,3,0.77,1.5321,incompatible,True,0.53,-0.639,0.41,924,Archive Survey Team,conflict_documentation,0.74,
AN-0012,MS-0004,The Tension,MS-0060,Form 60,1,0.93,1.867,historical,False,0.74,-0.878,0.32,927,Constellation Survey,conflict_documentation,0.53,
AN-0013,MS-0004,The Tension,MS-0039,Form 39,2,0.93,1.8663,orthogonal,False,0.69,-0.791,0.71,918,T. Vells,conflict_documentation,0.57,
AN-0014,MS-0004,The Tension,MS-0093,Form 93,3,0.91,1.815,unknown,False,0.74,-0.827,0.76,915,P. Tross,trajectory_divergence,0.6,
AN-0015,MS-0005,The Triad Form,MS-0060,Form 60,1,0.89,1.7878,unknown,True,0.77,-0.873,0.67,924,Constellation Survey,conflict_documentation,0.74,
AN-0016,MS-0005,The Triad Form,MS-0087,Form 87,2,0.88,1.7548,competitive,True,0.58,-0.753,0.23,920,P. Tross,conflict_documentation,0.75,
AN-0017,MS-0005,The Triad Form,MS-0149,Form 149,3,0.83,1.6648,incompatible,True,0.72,-0.726,0.52,927,P. Tross,behavioral_observation,0.54,
AN-0018,MS-0005,The Triad Form,MS-0039,Form 39,4,0.83,1.6516,opposing,True,0.8,-0.814,0.24,1844,T. Vells,behavioral_observation,0.53,
AN-0019,MS-0005,The Triad Form,MS-0089,Form 89,5,0.82,1.6365,opposing,True,0.64,-0.81,0.9,1833,P. Tross,classification_opposition,0.87,
AN-0020,MS-0006,The Septenary Rhythm,MS-0118,Form 118,1,0.91,1.8194,incompatible,True,0.6,-0.796,0.4,917,T. Vells,distance_measurement,0.79,
AN-0021,MS-0006,The Septenary Rhythm,MS-0124,Form 124,2,0.88,1.7595,competitive,True,0.58,-0.871,0.3,1842,Constellation Survey,classification_opposition,0.94,
AN-0022,MS-0006,The Septenary Rhythm,MS-0139,Form 139,3,0.87,1.7455,opposing,True,0.82,-0.7,0.84,1835,P. Tross,classification_opposition,0.82,
AN-0023,MS-0006,The Septenary Rhythm,EN-002,The Dens Boundary,4,0.86,1.7261,historical,True,0.56,-0.726,0.76,926,T. Vells,trajectory_divergence,0.54,
