arrival_id,trajectory_id,destination_form_id,destination_form_name,basin_id,arrival_position,arrival_year,arrival_type,distance_from_center,arrival_velocity,stabilization_time,stability_achieved,match_quality,persistence_duration,prior_exposure,inherited_trajectory,guidance_received,observer,observation_method,confidence,description,notes
AA-0001,NT-0407,MS-0011,Form 0011,BA-029,inner,925,sudden_collapse,0.0927,0.3826,42,0.84,0.707,999,False,True,False,R. Voss,instrumental_measurement,0.727,System settled into inner position of BA-029 via sudden_collapse.,Lineage shows similar trajectory pattern.
AA-0002,NT-0092,MS-0008,Form 0008,BA-019,center,923,gradual_convergence,0.0451,0.0651,16,0.858,0.888,303,False,False,False,K. Strand,behavior_signature,0.714,System settled into center position of BA-019 via gradual_convergence.,
AA-0003,NT-0114,MS-0005,The Triad Form,BA-004,center,920,gradual_convergence,0.0101,0.0671,33,0.88,0.92,999,True,False,False,C. Vells,direct_observation,0.828,System settled into center position of BA-004 via gradual_convergence.,Prior exposure to this Form documented.
AA-0004,NT-0292,MS-0045,Form 0045,BA-022,inner,924,sudden_collapse,0.0308,0.299,54,0.797,0.674,35,False,True,False,C. Vells,direct_observation,0.733,System settled into inner position of BA-022 via sudden_collapse.,Lineage shows similar trajectory pattern.
AA-0005,NT-0164,MS-0008,Form 0008,BA-019,inner,929,gradual_convergence,0.1198,0.0611,32,0.751,0.747,445,True,False,False,R. Voss,form_recognition,0.909,System settled into inner position of BA-019 via gradual_convergence.,Prior exposure to this Form documented.
AA-0006,NT-0300,MS-0076,Form 0076,BA-040,outer,926,bounce_settle,0.1486,0.1002,30,0.588,0.989,288,False,True,True,T. Vells,behavior_signature,0.766,Form manifestation confirmed at distance 0.149 from center.,Lineage shows similar trajectory pattern.
AA-0007,NT-0174,MS-0095,Form 0095,BA-025,outer,925,oscillating_approach,0.1227,0.1185,42,0.664,0.929,191,False,True,False,R. Voss,direct_observation,0.785,Form manifestation confirmed at distance 0.123 from center.,Lineage shows similar trajectory pattern.
AA-0008,NT-0490,MS-0046,Form 0046,BA-017,center,930,sudden_collapse,0.0157,0.4136,38,0.944,0.952,999,False,False,False,K. Strand,direct_observation,0.932,System settled into center position of BA-017 via sudden_collapse.,
AA-0009,NT-0038,MS-0015,Form 0015,BA-050,outer,931,drift_capture,0.1112,0.1738,18,0.744,0.889,466,False,True,False,Boundary Commission,instrumental_measurement,0.858,System settled into outer position of BA-050 via drift_capture.,Lineage shows similar trajectory pattern.
AA-0010,,MS-0019,Form 0019,BA-039,ridge_adjacent,926,sudden_collapse,0.2488,0.4721,36,0.662,0.913,365,False,True,False,T. Vells,direct_observation,0.954,Stabilization to 0.66 achieved after sudden_collapse approach.,Lineage shows similar trajectory pattern.
