switch_id,trajectory_id,original_target_id,original_target_name,original_basin_id,new_target_id,new_target_name,new_basin_id,switch_year,switch_type,switch_location_x,switch_location_y,switch_location_z,progress_to_original,distance_between_targets,same_basin,switch_cause,outcome,switch_quality,adaptation_benefit,documenter,documentation_method,confidence,description,notes
AS-0001,,MS-0001,The Quintic Cycle,BA-001,MS-0083,Form 0083,BA-025,932,voluntary,-0.263,0.7537,-0.7639,23.0,1.2498,False,boundary_block,new_target_reached,0.999,False,C. Vells,trajectory_comparison,0.972,Switch from The Quintic Cycle to Form 0083 (voluntary). Cause: boundary_block.,
AS-0002,NT-0181,MS-0023,Form 0023,BA-014,MS-0097,Form 0097,BA-031,930,catastrophic,0.7985,-0.9509,0.1655,39.4,1.328,False,environmental_change,returned_to_original,0.91,False,K. Strand,continuous_tracking,0.87,Switch from Form 0023 to Form 0097 (catastrophic). Cause: environmental_change.,
AS-0003,NT-0054,MS-0025,Form 0025,BA-038,MS-0071,Form 0071,BA-038,927,gradual_drift,-0.8617,0.2061,-0.3666,62.0,1.1375,True,stronger_attractor,new_target_reached,0.98,True,R. Voss,continuous_tracking,0.819,Switch from Form 0025 to Form 0071 (gradual_drift). Cause: stronger_attractor.,
AS-0004,NT-0168,MS-0049,Form 0049,BA-030,MS-0060,Form 0060,BA-016,920,forced,-0.0291,-0.9932,0.9914,20.3,0.1533,False,damage_recovery,new_target_reached,1.0,True,K. Strand,continuous_tracking,0.666,Switch from Form 0049 to Form 0060 (forced). Cause: damage_recovery.,
AS-0005,NT-0132,MS-0083,Form 0083,BA-025,MS-0001,The Quintic Cycle,BA-001,923,gradual_drift,0.6183,0.1258,-0.2778,62.6,0.6808,False,original_weakened,new_target_reached,0.643,True,K. Strand,continuous_tracking,0.554,Switch from Form 0083 to The Quintic Cycle (gradual_drift). Cause: original_weakened.,
AS-0006,,MS-0028,Form 0028,BA-027,MS-0076,Form 0076,BA-016,932,opportunistic,0.306,-0.1321,-0.1097,71.8,1.3848,False,boundary_block,third_target,0.363,True,R. Voss,continuous_tracking,0.605,Switch from Form 0028 to Form 0076 (opportunistic). Cause: boundary_block.,
AS-0007,,MS-0079,Form 0079,BA-005,MS-0099,Form 0099,BA-036,929,catastrophic,-0.309,0.7504,0.3091,90.0,0.2311,False,stronger_attractor,new_target_reached,0.834,False,C. Vells,continuous_tracking,0.692,Switch from Form 0079 to Form 0099 (catastrophic). Cause: stronger_attractor.,
AS-0008,NT-0081,MS-0066,Form 0066,BA-032,MS-0047,Form 0047,BA-003,922,opportunistic,-0.1411,-0.352,-0.2522,24.8,0.9153,False,unknown,new_target_reached,1.0,True,K. Strand,trajectory_comparison,0.978,Switch from Form 0066 to Form 0047 (opportunistic). Cause: unknown.,
AS-0009,NT-0275,MS-0032,Form 0032,BA-032,MS-0080,Form 0080,BA-032,923,defensive,0.8371,0.1497,-0.6495,19.3,1.467,True,boundary_block,new_target_reached,0.686,True,T. Vells,continuous_tracking,0.935,Switch from Form 0032 to Form 0080 (defensive). Cause: boundary_block.,
AS-0010,NT-0478,MS-0024,Form 0024,BA-015,MS-0060,Form 0060,BA-016,926,voluntary,0.5566,-0.6979,-0.943,90.2,1.1585,False,competition,new_target_reached,0.972,True,Archive Survey Team,form_sequence_analysis,0.98,Switch from Form 0024 to Form 0060 (voluntary). Cause: competition.,
AS-0011,NT-0417,MS-0053,Form 0053,BA-017,MS-0062,Form 0062,BA-034,919,defensive,-0.3882,0.1564,0.3852,54.3,1.3295,False,environmental_change,lost,0.891,True,T. Vells,retrospective_reconstruction,0.516,Switch from Form 0053 to Form 0062 (defensive). Cause: environmental_change.,
AS-0012,NT-0398,MS-0052,Form 0052,BA-042,MS-0023,Form 0023,BA-014,930,opportunistic,0.6576,-0.4494,-0.4152,59.0,0.3616,False,unknown,new_target_reached,0.5,True,C. Vells,retrospective_reconstruction,0.931,Switch from Form 0052 to Form 0023 (opportunistic). Cause: unknown.,
AS-0013,,MS-0058,Form 0058,BA-015,MS-0069,Form 0069,BA-048,919,opportunistic,0.4096,-0.0469,-0.7905,64.8,1.4143,False,boundary_block,ongoing,0.944,False,T. Vells,trajectory_comparison,0.961,Switch from Form 0058 to Form 0069 (opportunistic). Cause: boundary_block.,
AS-0014,NT-0258,MS-0078,Form 0078,BA-018,MS-0046,Form 0046,BA-011,929,forced,0.1611,0.4306,0.7463,20.7,0.5198,False,original_weakened,new_target_reached,0.704,True,Archive Survey Team,continuous_tracking,0.68,Switch from Form 0078 to Form 0046 (forced). Cause: original_weakened.,
AS-0015,NT-0002,MS-0097,Form 0097,BA-031,MS-0065,Form 0065,BA-018,932,catastrophic,0.7366,-0.6161,-0.1932,78.1,1.4606,False,original_weakened,returned_to_original,0.781,True,K. Strand,continuous_tracking,0.923,Switch from Form 0097 to Form 0065 (catastrophic). Cause: original_weakened.,
AS-0016,NT-0331,MS-0078,Form 0078,BA-018,MS-0018,Form 0018,BA-043,921,opportunistic,-0.3037,-0.8464,-0.1956,60.3,1.0451,False,original_weakened,returned_to_original,0.731,True,T. Vells,retrospective_reconstruction,0.665,Switch from Form 0078 to Form 0018 (opportunistic). Cause: original_weakened.,
AS-0017,NT-0177,MS-0064,Form 0064,BA-044,MS-0055,Form 0055,BA-025,927,forced,-0.5716,0.6459,-0.0787,54.3,0.9309,False,developmental_signal,new_target_reached,0.567,False,T. Vells,continuous_tracking,0.681,Switch from Form 0064 to Form 0055 (forced). Cause: developmental_signal.,
AS-0018,,MS-0011,Form 0011,BA-007,MS-0068,Form 0068,BA-002,923,opportunistic,0.083,0.9606,0.9499,7.9,1.0042,False,original_weakened,ongoing,0.438,True,T. Vells,trajectory_comparison,0.921,Switch from Form 0011 to Form 0068 (opportunistic). Cause: original_weakened.,
AS-0019,,MS-0097,Form 0097,BA-031,MS-0055,Form 0055,BA-025,926,forced,-0.8386,0.7608,-0.0208,42.9,1.3659,False,original_weakened,lost,0.527,True,T. Vells,continuous_tracking,0.706,Switch from Form 0097 to Form 0055 (forced). Cause: original_weakened.,
AS-0020,,MS-0085,Form 0085,BA-006,MS-0077,Form 0077,BA-010,924,forced,-0.1621,0.3638,0.2749,72.8,1.3281,False,boundary_block,new_target_reached,0.97,True,R. Voss,form_sequence_analysis,0.689,Switch from Form 0085 to Form 0077 (forced). Cause: boundary_block.,
AS-0021,NT-0403,MS-0025,Form 0025,BA-038,MS-0026,Form 0026,BA-027,922,opportunistic,-0.6637,-0.5407,0.3886,10.8,1.2291,False,stronger_attractor,returned_to_original,0.332,True,C. Vells,trajectory_comparison,0.619,Switch from Form 0025 to Form 0026 (opportunistic). Cause: stronger_attractor.,
AS-0022,NT-0193,MS-0005,The Triad Form,BA-004,MS-0058,Form 0058,BA-015,930,opportunistic,0.2148,0.3359,0.7978,53.5,0.1323,False,unknown,ongoing,0.463,True,K. Strand,form_sequence_analysis,0.92,Switch from The Triad Form to Form 0058 (opportunistic). Cause: unknown.,
AS-0023,,MS-0058,Form 0058,BA-015,MS-0019,Form 0019,BA-044,924,opportunistic,0.2585,0.229,-0.6673,19.9,0.418,False,damage_recovery,new_target_reached,0.955,True,Archive Survey Team,continuous_tracking,0.85,Switch from Form 0058 to Form 0019 (opportunistic). Cause: damage_recovery.,
AS-0024,NT-0133,MS-0036,Form 0036,BA-035,MS-0076,Form 0076,BA-016,920,opportunistic,0.0823,-0.3936,-0.9784,21.3,1.0531,False,stronger_attractor,new_target_reached,0.896,True,K. Strand,form_sequence_analysis,0.804,Switch from Form 0036 to Form 0076 (opportunistic). Cause: stronger_attractor.,
AS-0025,,MS-0051,Form 0051,BA-008,MS-0055,Form 0055,BA-025,918,voluntary,-0.3026,0.806,-0.5612,11.6,0.1466,False,damage_recovery,new_target_reached,0.706,True,T. Vells,continuous_tracking,0.91,Switch from Form 0051 to Form 0055 (voluntary). Cause: damage_recovery.,
AS-0026,NT-0212,MS-0025,Form 0025,BA-038,MS-0013,Form 0013,BA-020,927,forced,0.0958,-0.3168,-0.8339,37.5,0.467,False,developmental_signal,new_target_reached,0.612,False,C. Vells,continuous_tracking,0.803,Switch from Form 0025 to Form 0013 (forced). Cause: developmental_signal.,
AS-0027,NT-0467,MS-0072,Form 0072,BA-029,MS-0004,The Tension,BA-003,926,defensive,0.8968,-0.58,0.5873,69.8,1.1117,False,damage_recovery,new_target_reached,0.877,False,C. Vells,trajectory_comparison,0.969,Switch from Form 0072 to The Tension (defensive). Cause: damage_recovery.,
