measurement_id,location,sector,region,dens_proximity_km,barrier_thickness,barrier_permeability,barrier_stability,barrier_uniformity,boundary_drift_rate,spatial_curvature,prebel_discrepancy,ingression_frequency,ingression_rate_correlation,creature_permeability,phenomenon_permeability,pattern_permeability,selective,seasonal_variation,time_of_day_variation,trend,measurement_year,measurer,method,confidence,notes
BM-0001,Third Mill,,Yeller Quarry,159.2,31.9,0.58,slowly_varying,uniform,4.12,moderately_curved,0.0,44,0.33,0.6,0.6,0.69,True,True,False,thinning,930,T. Mord,indigenous_knowledge,0.51,
BM-0002,Third Mill,,Yeller Quarry,152.8,36.4,0.52,unstable,uniform,4.29,highly_curved,0.0,47,0.78,0.51,0.58,0.65,True,False,True,thickening,934,C. Vells,ingression_correlation,0.86,
BM-0003,Central anomaly,Western-7,Dens,0.0,11.7,0.84,unstable,patchy,10.34,highly_curved,0.0,20,0.77,0.92,0.81,1.0,True,False,True,thinning,921,Field Team,indigenous_knowledge,0.89,
BM-0004,Dens interior,SE-8,Dens,0.0,1.3,0.81,chaotic,highly_variable,9.27,extreme,1.0,15,0.35,0.81,0.85,0.97,True,False,True,thinning,926,T. Mord,theoretical_inference,0.78,
BM-0005,Coder quarter,,Densmok,268.6,80.0,0.25,chaotic,uniform,0.34,mildly_curved,2.2,19,0.6,0.21,0.3,0.27,True,False,False,unknown,928,S. Moll,prebel_method,0.67,
BM-0006,Siege fields,NW-2,Tower of Mirado,186.1,69.9,0.52,slowly_varying,uniform,3.44,flat,4.0,9,0.5,0.42,0.56,0.56,True,True,True,stable,929,Capital Survey Team,theoretical_inference,0.64,
BM-0007,Philosophical Society grounds,SW-6,Capital,254.0,95.3,0.37,unstable,highly_variable,1.12,flat,4.9,24,0.69,0.39,0.41,0.45,True,False,False,unknown,932,Field Team,prebel_method,0.58,
BM-0008,Sector NE-4,,Dens boundary,21.8,7.3,0.94,slowly_varying,gradient,9.11,extreme,0.0,31,0.79,0.9,0.92,1.0,True,False,True,thickening,933,M. Strand,theoretical_inference,0.49,
BM-0009,Northern margin,,Dens boundary,48.5,17.3,0.78,stable,gradient,7.57,extreme,0.0,6,0.32,0.73,0.75,0.82,True,True,False,thinning,929,Capital Survey Team,theoretical_inference,0.42,
BM-0010,Central anomaly,,Dens,0.0,1.8,0.98,slowly_varying,uniform,10.64,highly_curved,0.0,35,0.7,0.82,0.92,1.0,True,True,True,unknown,923,C. Vells,ingression_correlation,0.59,
BM-0011,Quarry Sector 7,,Yeller Quarry,157.0,33.7,0.3,stable,patchy,4.95,highly_curved,0.0,16,0.67,0.27,0.27,0.39,True,False,True,thickening,932,S. Moll,indigenous_knowledge,0.82,
BM-0012,Dissolution zone,SE-8,Dens,0.0,4.6,0.87,stable,highly_variable,9.25,extreme,0.0,5,0.67,0.84,0.87,0.92,True,True,False,unknown,920,Field Team,ingression_correlation,0.54,
BM-0013,Northern workings,,Yeller Quarry,132.1,47.2,0.45,chaotic,uniform,5.18,moderately_curved,0.0,49,0.35,0.43,0.42,0.57,True,True,True,thickening,926,E. Pol,spatial_analysis,0.84,
BM-0014,Sector NE-4,Central-12,Dens boundary,20.6,4.2,0.83,fluctuating,patchy,8.39,highly_curved,0.0,4,0.56,0.88,0.94,1.0,True,False,False,stable,929,Ingression Study Group,spatial_analysis,0.53,
BM-0015,Eastern markets,,Capital,288.4,75.2,0.12,fluctuating,uniform,0,mildly_curved,0.0,31,0.77,0.1,0.12,0.14,True,False,False,stable,920,Boundary Commission,theoretical_inference,0.83,
BM-0016,Trapper territory,,Yeller Quarry,111.1,58.8,0.34,unstable,highly_variable,5.41,mildly_curved,0.0,7,0.34,0.34,0.37,0.41,True,True,True,thickening,928,S. Moll,spatial_analysis,0.73,
BM-0017,Sector NE-4,,Dens boundary,34.0,30.3,0.6,stable,uniform,8.85,moderately_curved,0.0,29,0.87,0.54,0.6,0.6,True,True,False,stable,927,A. Prebel,spatial_analysis,0.82,
BM-0018,Northern approach,Eastern-3,Tower of Mirado,219.0,54.5,0.25,unstable,patchy,2.47,mildly_curved,0.0,40,0.49,0.25,0.29,0.3,True,False,True,thinning,918,Capital Survey Team,spatial_analysis,0.83,
BM-0019,Coder quarter,Eastern-3,Densmok,239.2,59.6,0.19,stable,patchy,1.35,mildly_curved,0.0,30,0.84,0.19,0.21,0.22,True,True,True,unknown,922,Boundary Commission,theoretical_inference,0.56,
BM-0020,Suburban zone,NE-4,Densmok,205.5,58.8,0.19,slowly_varying,uniform,2.71,moderately_curved,0.0,6,0.35,0.19,0.17,0.23,True,True,False,thickening,925,T. Mord,ingression_correlation,0.59,
BM-0021,Ascetic village,,Northo,393.8,90.6,0.31,fluctuating,highly_variable,0,mildly_curved,0.0,38,0.77,0.29,0.34,0.33,True,False,True,thinning,933,T. Mord,prebel_method,0.52,
BM-0022,Suburban zone,,Densmok,268.2,52.8,0.39,chaotic,gradient,0.7,mildly_curved,0.0,39,0.7,0.38,0.36,0.41,True,False,False,stable,931,Capital Survey Team,theoretical_inference,0.47,
