basin_id,basin_name,measurement_id,center_x,center_y,center_z,depth,width,slope,curvature_avg,stability_index,escape_velocity,form_count,adjacent_basins,ridge_count,geodesic_count,measurement_year,measurement_method,surveyor,confidence,notes
BA-001,Quintic Basin,BM-0001,0.4459,0.3389,0.1886,1.891,0.242,2.0,0.355,0.908,0.9,16,"BA-003,BA-007,BA-020,BA-025",4,15,925,boundary_mapping,K. Strand,0.63,Adjacent basin measurements suggest shared ridge.
BA-001,Quintic Basin,BM-0002,0.4655,0.3496,0.1907,1.856,0.248,2.0,0.974,0.915,0.84,17,"BA-003,BA-007,BA-020,BA-025",4,17,927,historical_reconstruction,Esseny Moll,0.71,Consistent with Vells Year 918 survey.
BA-001,Quintic Basin,BM-0003,0.4793,0.3148,0.1788,1.664,0.224,2.0,0.457,0.942,0.68,13,"BA-003,BA-007,BA-020,BA-025",4,13,928,historical_reconstruction,Western Archive Team,0.75,Width appears to have expanded slightly since Year 920.
BA-001,Quintic Basin,BM-0004,0.4534,0.3228,0.1816,1.753,0.276,2.0,0.309,0.989,0.85,14,"BA-003,BA-007,BA-020,BA-025",4,11,929,historical_reconstruction,Independent Scholar,0.75,Geodesic paths through this basin documented.
BA-001,Quintic Basin,BM-0005,0.4386,0.3197,0.1795,1.604,0.265,2.0,0.728,0.927,0.77,17,"BA-003,BA-007,BA-020,BA-025",4,17,932,form_clustering,Western Archive Team,0.86,Depth measurement refined from earlier estimates.
BA-002,Binary Basin,BM-0006,-0.5602,-0.4391,0.0742,1.644,0.45,1.755,0.786,0.971,0.87,34,"BA-049,BA-019,BA-033,BA-037",4,23,918,boundary_mapping,Western Archive Team,0.58,Adjacent basin measurements suggest shared ridge.
BA-002,Binary Basin,BM-0007,-0.5226,-0.4266,0.076,2.0,0.436,2.0,0.628,0.99,0.9,34,"BA-049,BA-019,BA-033,BA-037",4,20,919,historical_reconstruction,T. Vells,0.59,Archive Survey Team suggests revised coordinates.
BA-002,Binary Basin,BM-0008,-0.475,-0.4438,0.0844,2.0,0.478,1.987,0.347,0.99,0.8,34,"BA-049,BA-019,BA-033,BA-037",4,22,921,form_clustering,Archive Survey Team,0.72,Archive Survey Team suggests revised coordinates.
BA-002,Binary Basin,BM-0009,-0.5003,-0.4227,0.0746,1.961,0.378,2.0,0.305,0.951,0.91,34,"BA-049,BA-019,BA-033,BA-037",4,24,923,trajectory_analysis,C. Vells,0.66,Archive Survey Team suggests revised coordinates.
BA-002,Binary Basin,BM-0010,-0.473,-0.402,0.0825,2.0,0.423,2.0,0.816,0.919,0.95,36,"BA-049,BA-019,BA-033,BA-037",4,27,928,boundary_mapping,Archive Survey Team,0.75,Independent verification pending.
