case_id,case_name,entity_type,entity_scale,original_boundary_strength,dissolution_type,dissolution_rate,completeness,reversibility,primary_cause,secondary_causes,dens_proximity_km,boundary_drift_rate,early_symptoms,progression_pattern,duration_to_crisis_days,outcome,entity_survived,ghost_produced,affected_neighbors,recovery_attempted,recovery_method,recovery_success,location,region,observation_year,observer,confidence,cross_reference,notes
BD-0001,Student 3 Identity Confusion,individual,cellular,0.91,merger,gradual,0.88,irreversible,boundary_instability,ghost_contamination,113.9,8.43,pattern_leakage,exponential,714,recovery,True,True,30,False,none,not_attempted,Northern workings,Yeller Quarry,907,Field Team B,0.78,,
BD-0002,Colony 72 Absorption,creature,individual,0.83,sudden_collapse,gradual,0.88,irreversible,dens_proximity,,171.6,1.34,self_reference_failure,oscillating,12,partial_dissolution,False,True,7,True,isolation,failed,Tower base,Tower of Mirado,934,Field Team B,0.52,HS-0183,
BD-0003,Trapper 91 Boundary Failure,individual,individual,0.76,sudden_collapse,prolonged,0.14,partially_reversible,trauma,substrate_degradation,119.2,9.54,boundary_fluctuation,exponential,8,recovery,True,False,3,True,merger_acceptance,successful,Northern approach,Tower of Mirado,932,Field Team B,0.92,,
BD-0004,Settlement 38 Dissolution,institution,large_collective,0.72,absorption,intermittent,0.68,partially_reversible,dens_proximity,,167.3,0.17,neighbor_blending,stepwise,327,partial_dissolution,True,False,26,False,none,not_attempted,Capital outskirts,Capital,939,Field Team B,0.64,HS-0160,
BD-0005,Northern Surveyor Identity Loss,creature,individual,0.73,absorption,gradual,0.27,spontaneous_recovery,dens_proximity,,119.6,0.39,neighbor_blending,stepwise,61,total_dissolution,False,False,16,True,relocation,made_worse,Coder quarter,Densmok,916,Boundary Commission,0.73,,
BD-0006,Healer 40 Boundary Weakening,federation,large_collective,0.79,gradual_weakening,rapid,0.13,fully_reversible,dens_proximity,,117.1,5.13,boundary_fluctuation,plateau_then_collapse,503,fragmentation_stable,False,False,5,False,none,not_attempted,Quarry interior,Yeller Quarry,929,C. Vells,0.9,,
BD-0007,Threshold Walker Case,federation,small_collective,0.89,selective_permeability,gradual,0.23,fully_reversible,trust_failure,dens_proximity,126.4,7.97,boundary_fluctuation,plateau_then_collapse,435,merger_complete,False,False,5,True,boundary_reinforcement,made_worse,Veteran settlement,Tower of Mirado,928,A. Vells,0.85,HS-0096,
BD-0008,Colony 90 Absorption,individual,individual,0.47,gradual_weakening,gradual,0.73,partially_reversible,dens_proximity,trauma,142.7,8.05,pattern_leakage,stepwise,2586,total_dissolution,False,True,9,True,relocation,failed,Suburban zone,Densmok,929,K. Vorn,0.82,HS-0048,
BD-0009,Colony 81 Absorption,individual,cellular,0.83,sudden_collapse,intermittent,0.35,spontaneous_recovery,trust_failure,dens_proximity,130.4,0.58,boundary_fluctuation,exponential,30,transformation,True,False,7,True,boundary_reinforcement,partial,Klutch CC,Densmok,929,Boundary Commission,0.54,HS-0087,
BD-0010,Scholar 98 Identity Diffusion,individual,individual,0.74,merger,rapid,0.82,partially_reversible,substrate_degradation,trauma,0.7,13.75,neighbor_blending,stepwise,345,partial_dissolution,True,False,26,True,relocation,partial,Dens deep,Dens,920,A. Vells,0.98,,
BD-0011,Colony 6 Absorption,institution,institutional,0.94,sudden_collapse,rapid,0.85,partially_reversible,boundary_instability,substrate_degradation,0.8,14.56,neighbor_blending,linear,13,total_dissolution,False,False,4,True,boundary_reinforcement,failed,Dens deep,Dens,892,K. Vorn,0.75,HS-0114,
BD-0012,Mill Worker 59 Blending,colony,small_collective,0.48,sudden_collapse,gradual,0.3,irreversible,trauma,dens_proximity,25.4,10.6,boundary_fluctuation,stepwise,6,merger_complete,False,False,7,True,isolation,failed,Sector SW-6,Dens boundary,932,K. Vorn,0.54,HS-0193,
BD-0013,Trapper 92 Boundary Failure,creature,cellular,0.66,sudden_collapse,intermittent,0.36,irreversible,boundary_instability,dens_proximity,94.1,0.06,pattern_leakage,stepwise,22,fragmentation_stable,False,False,5,True,boundary_reinforcement,made_worse,Trapper territory,Yeller Quarry,918,C. Vells,0.55,,
BD-0014,Mill Worker 82 Blending,creature,cellular,0.97,fragmentation,rapid,0.82,irreversible,ghost_contamination,horizon_collapse,148.0,4.49,permeability_increase,oscillating,421,partial_dissolution,True,True,11,True,pattern_editing,partial,Northern workings,Yeller Quarry,934,P. Tross (recovered),0.96,HS-0121,
BD-0015,Pattern 64 Boundary Breach,colony,small_collective,0.99,gradual_weakening,intermittent,0.44,irreversible,ghost_contamination,substrate_degradation,3.9,7.53,permeability_increase,linear,1645,recovery,True,False,0,True,pattern_editing,successful,Dens deep,Dens,891,P. Tross (recovered),0.64,,
BD-0016,Healer 18 Boundary Weakening,federation,large_collective,0.6,gradual_weakening,prolonged,0.82,irreversible,competing_form,substrate_degradation,193.6,6.49,neighbor_blending,exponential,185,transformation,False,True,1,True,boundary_reinforcement,partial,Northern approach,Tower of Mirado,917,P. Tross (recovered),0.94,,
BD-0017,Archive Annex 67 Dissolution,individual,individual,0.92,sudden_collapse,prolonged,0.75,partially_reversible,trauma,ghost_contamination,206.3,3.72,self_reference_failure,stepwise,14,recovery,True,True,3,False,none,not_attempted,Capital proper,Capital,892,C. Vells,0.97,,
BD-0018,Student 58 Identity Confusion,creature,cellular,0.85,gradual_weakening,rapid,1.0,irreversible,trust_failure,,18.9,7.37,permeability_increase,linear,1962,recovery,True,False,7,False,none,not_attempted,Western approach,Dens boundary,924,A. Vells,0.79,,
BD-0019,Archive Annex 28 Dissolution,colony,small_collective,0.63,merger,intermittent,0.88,partially_reversible,boundary_instability,trust_failure,132.7,7.94,identity_confusion,stepwise,57,recovery,True,True,30,False,none,not_attempted,Quarry interior,Yeller Quarry,935,Capital Survey,0.84,,
BD-0020,Colony 57 Absorption,federation,large_collective,0.76,merger,rapid,1.0,partially_reversible,trauma,horizon_collapse,24.1,0.64,pattern_leakage,linear,316,partial_dissolution,False,True,21,False,none,not_attempted,Sector NE-4,Dens boundary,910,Field Team B,0.74,,
BD-0021,Settlement 4 Dissolution,creature,cellular,0.47,sudden_collapse,instantaneous,0.82,irreversible,dens_proximity,ghost_contamination,21.8,4.37,self_reference_failure,linear,9,recovery,True,False,4,True,pattern_editing,successful,Eastern fluctuation zone,Dens boundary,909,K. Vorn,0.66,,
BD-0022,Mill Worker 4 Blending,pattern,individual,0.65,gradual_weakening,prolonged,0.75,partially_reversible,horizon_collapse,trust_failure,29.1,1.09,pattern_leakage,exponential,1719,fragmentation_stable,True,True,8,True,isolation,failed,Sector NE-4,Dens boundary,934,C. Vells,0.82,,
BD-0023,Archive Annex 5 Dissolution,institution,institutional,0.45,gradual_weakening,intermittent,0.63,irreversible,dens_proximity,ghost_contamination,1.2,15.89,boundary_fluctuation,linear,1696,merger_complete,False,True,0,False,none,not_attempted,Dens deep,Dens,911,K. Vorn,0.71,,
BD-0024,Healer 24 Boundary Weakening,creature,individual,0.48,gradual_weakening,prolonged,0.34,partially_reversible,dens_proximity,ghost_contamination,4.3,2.97,neighbor_blending,stepwise,1361,transformation,True,False,2,False,none,not_attempted,Dissolution zone,Dens,921,Boundary Commission,0.84,,
BD-0025,Threshold Walker Case,colony,large_collective,0.43,selective_permeability,intermittent,0.14,partially_reversible,dens_proximity,substrate_degradation,247.6,6.89,pattern_leakage,oscillating,215,partial_dissolution,False,False,2,True,isolation,failed,Capital outskirts,Capital,896,A. Vells,0.9,,
BD-0026,Northern Surveyor Identity Loss,colony,small_collective,0.49,gradual_weakening,instantaneous,0.31,fully_reversible,unknown,dens_proximity,385.9,0.49,self_reference_failure,linear,1435,total_dissolution,False,False,3,True,merger_acceptance,failed,Recovery settlement,Northo,931,K. Vorn,0.65,,
BD-0027,Trapper 44 Boundary Failure,creature,cellular,0.69,selective_permeability,instantaneous,0.74,irreversible,ghost_contamination,trauma,117.9,3.67,boundary_fluctuation,plateau_then_collapse,606,partial_dissolution,True,False,1,True,isolation,partial,Coder quarter,Densmok,936,Field Team A,0.79,,
BD-0028,Threshold Walker Case,individual,cellular,0.65,fragmentation,intermittent,0.73,partially_reversible,trauma,substrate_degradation,305.6,9.1,permeability_increase,plateau_then_collapse,688,merger_complete,False,True,20,False,none,not_attempted,Recovery settlement,Northo,917,K. Vorn,0.77,HS-0060,
BD-0029,Settlement 95 Dissolution,creature,cellular,0.77,fragmentation,rapid,0.67,partially_reversible,dens_proximity,,8.3,16.57,permeability_increase,stepwise,870,partial_dissolution,True,False,22,True,pattern_editing,failed,Western approach,Dens boundary,898,C. Vells,0.85,,
BD-0030,Mill Worker 88 Blending,individual,cellular,0.69,gradual_weakening,prolonged,0.79,partially_reversible,horizon_collapse,dens_proximity,114.8,3.6,self_reference_failure,linear,1343,partial_dissolution,True,False,9,True,boundary_reinforcement,partial,Quarry Sector 7,Yeller Quarry,913,Capital Survey,0.87,,
BD-0031,Archive Annex 81 Dissolution,creature,cellular,0.41,fragmentation,intermittent,0.13,partially_reversible,dens_proximity,trauma,63.0,1.32,identity_confusion,linear,769,total_dissolution,False,False,8,True,pattern_editing,failed,Quarry Sector 7,Yeller Quarry,902,Capital Survey,0.82,,
BD-0032,Mill Worker 37 Blending,colony,large_collective,0.91,gradual_weakening,rapid,0.21,irreversible,trust_failure,trauma,63.0,9.76,pattern_leakage,linear,1337,fragmentation_stable,True,False,7,True,isolation,failed,Quarry interior,Yeller Quarry,896,K. Vorn,0.53,,
BD-0033,Expedition 63 Fragmentation,individual,individual,0.6,sudden_collapse,instantaneous,0.78,irreversible,trust_failure,trauma,280.1,1.68,boundary_fluctuation,plateau_then_collapse,19,partial_dissolution,True,True,2,True,pattern_editing,failed,Isolation community,Northo,925,Capital Survey,0.54,,
BD-0034,Threshold Walker Case,colony,large_collective,0.44,gradual_weakening,rapid,0.63,fully_reversible,boundary_instability,ghost_contamination,22.2,0.67,boundary_fluctuation,exponential,2685,partial_dissolution,True,False,5,True,merger_acceptance,failed,Eastern fluctuation zone,Dens boundary,925,C. Vells,0.89,,
BD-0035,Student 14 Identity Confusion,federation,large_collective,0.59,gradual_weakening,intermittent,0.33,partially_reversible,boundary_instability,ghost_contamination,69.5,6.21,boundary_fluctuation,stepwise,2154,merger_complete,False,False,8,False,none,not_attempted,Northern workings,Yeller Quarry,892,Capital Survey,0.62,HS-0160,
BD-0036,Archive Annex 56 Dissolution,federation,large_collective,0.87,sudden_collapse,gradual,0.95,fully_reversible,trust_failure,,3.9,18.53,boundary_fluctuation,linear,1,total_dissolution,False,True,8,False,none,not_attempted,Dens interior,Dens,915,Boundary Commission,0.75,HS-0071,
BD-0037,Pattern 34 Boundary Breach,federation,small_collective,0.42,sudden_collapse,instantaneous,0.91,partially_reversible,competing_form,horizon_collapse,29.4,1.57,identity_confusion,stepwise,4,total_dissolution,False,True,0,True,isolation,made_worse,Sector SW-6,Dens boundary,890,Field Team A,0.53,,
BD-0038,Colony 81 Absorption,creature,cellular,0.93,selective_permeability,rapid,0.26,partially_reversible,dens_proximity,horizon_collapse,115.4,4.86,identity_confusion,plateau_then_collapse,399,partial_dissolution,True,False,2,False,none,not_attempted,Trapper territory,Yeller Quarry,937,K. Vorn,0.83,,
BD-0039,Northern Surveyor Identity Loss,pattern,institutional,0.72,selective_permeability,instantaneous,0.88,irreversible,ghost_contamination,dens_proximity,170.2,2.79,self_reference_failure,linear,893,partial_dissolution,True,True,5,True,boundary_reinforcement,partial,Capital proper,Capital,910,P. Tross (recovered),0.52,HS-0154,
BD-0040,Scholar 51 Identity Diffusion,place,individual,0.85,fragmentation,prolonged,0.82,irreversible,competing_form,dens_proximity,93.7,9.18,permeability_increase,exponential,268,merger_complete,False,True,25,True,relocation,failed,Quarry Sector 7,Yeller Quarry,922,Field Team A,0.65,,
BD-0041,Scholar 86 Identity Diffusion,institution,institutional,0.78,fragmentation,gradual,1.0,fully_reversible,trauma,dens_proximity,20.7,8.18,permeability_increase,oscillating,352,partial_dissolution,True,True,9,True,isolation,failed,Eastern fluctuation zone,Dens boundary,897,K. Vorn,0.79,HS-0030,
BD-0042,Colony 16 Absorption,colony,small_collective,0.77,sudden_collapse,prolonged,0.27,fully_reversible,trust_failure,trauma,247.9,6.46,identity_confusion,oscillating,4,recovery,True,False,1,False,none,not_attempted,Archive vicinity,Capital,930,Field Team A,0.73,,
BD-0043,Archive Annex 48 Dissolution,institution,institutional,0.48,absorption,rapid,0.65,partially_reversible,dens_proximity,horizon_collapse,120.8,0.58,identity_confusion,exponential,971,partial_dissolution,True,True,15,True,isolation,partial,Siege fields,Tower of Mirado,906,C. Vells,0.86,,
BD-0044,Expedition 90 Fragmentation,creature,cellular,0.71,sudden_collapse,intermittent,0.81,partially_reversible,competing_form,dens_proximity,143.0,8.64,neighbor_blending,stepwise,13,total_dissolution,False,True,1,False,none,not_attempted,Northern approach,Tower of Mirado,919,Boundary Commission,0.95,,
BD-0045,Colony 47 Absorption,individual,individual,0.79,gradual_weakening,intermittent,0.57,partially_reversible,dens_proximity,ghost_contamination,129.7,5.0,identity_confusion,exponential,284,partial_dissolution,True,False,9,False,none,not_attempted,Suburban zone,Densmok,919,K. Vorn,0.92,,
BD-0046,Archive Annex 64 Dissolution,individual,cellular,0.86,sudden_collapse,rapid,0.46,irreversible,boundary_instability,dens_proximity,244.9,8.11,boundary_fluctuation,linear,11,partial_dissolution,True,False,5,True,isolation,failed,Recovery settlement,Northo,932,P. Tross (recovered),0.94,,
BD-0047,Threshold Walker Case,individual,individual,0.58,gradual_weakening,rapid,0.67,partially_reversible,boundary_instability,,58.3,6.43,boundary_fluctuation,oscillating,521,total_dissolution,False,True,3,True,relocation,failed,Quarry Sector 7,Yeller Quarry,895,C. Vells,0.99,,
BD-0048,Threshold Walker Case,federation,large_collective,0.6,gradual_weakening,intermittent,0.45,partially_reversible,dens_proximity,ghost_contamination,72.8,5.36,pattern_leakage,stepwise,916,partial_dissolution,True,False,1,True,merger_acceptance,failed,Trapper territory,Yeller Quarry,914,C. Vells,0.69,,
BD-0049,Healer 54 Boundary Weakening,institution,institutional,0.97,merger,rapid,0.63,fully_reversible,competing_form,trauma,227.6,2.39,pattern_leakage,exponential,347,fragmentation_stable,True,True,27,True,isolation,failed,Healing Institute,Capital,909,Capital Survey,0.99,HS-0170,
BD-0050,Mill Worker 44 Blending,phenomenon,large_collective,0.7,fragmentation,rapid,0.46,partially_reversible,boundary_instability,ghost_contamination,219.1,3.84,boundary_fluctuation,plateau_then_collapse,73,recovery,True,False,28,True,boundary_reinforcement,successful,Archive vicinity,Capital,932,Field Team A,0.66,HS-0025,
BD-0051,Expedition 34 Fragmentation,phenomenon,regional,0.79,merger,rapid,0.98,irreversible,ghost_contamination,trauma,17.9,8.83,pattern_leakage,stepwise,447,partial_dissolution,True,True,10,True,boundary_reinforcement,partial,Eastern fluctuation zone,Dens boundary,909,A. Vells,0.8,,
BD-0052,Trapper 50 Boundary Failure,creature,cellular,0.76,sudden_collapse,gradual,0.28,irreversible,unknown,trust_failure,172.3,9.68,identity_confusion,stepwise,4,total_dissolution,False,False,6,True,boundary_reinforcement,made_worse,Veteran settlement,Tower of Mirado,892,K. Vorn,0.8,,
BD-0053,Mill Worker 19 Blending,creature,individual,0.6,merger,instantaneous,0.24,spontaneous_recovery,boundary_instability,,108.7,5.32,self_reference_failure,exponential,973,total_dissolution,False,False,12,True,relocation,made_worse,Coder quarter,Densmok,895,Capital Survey,0.8,,
BD-0054,Archive Annex 57 Dissolution,creature,individual,0.76,gradual_weakening,intermittent,0.47,spontaneous_recovery,trust_failure,,1.1,0.18,neighbor_blending,stepwise,689,total_dissolution,False,False,5,True,relocation,made_worse,Dissolution zone,Dens,932,Field Team A,0.69,,
BD-0055,Mill Worker 19 Blending,phenomenon,large_collective,0.44,gradual_weakening,instantaneous,0.81,spontaneous_recovery,boundary_instability,,1.1,16.4,pattern_leakage,linear,835,partial_dissolution,True,False,4,True,merger_acceptance,failed,Dens deep,Dens,926,C. Vells,0.8,HS-0159,
BD-0056,Northern Surveyor Identity Loss,institution,institutional,0.42,sudden_collapse,prolonged,0.57,fully_reversible,dens_proximity,ghost_contamination,11.3,5.04,self_reference_failure,stepwise,8,partial_dissolution,True,True,1,False,none,not_attempted,Sector SW-6,Dens boundary,903,C. Vells,0.87,HS-0088,
BD-0057,Northern Surveyor Identity Loss,place,regional,0.88,gradual_weakening,intermittent,0.48,spontaneous_recovery,dens_proximity,trauma,4.7,7.65,identity_confusion,oscillating,1279,merger_complete,False,False,8,False,none,not_attempted,Dens interior,Dens,909,A. Vells,0.84,HS-0058,
