negotiation_id,boundary_id,entity_a_id,entity_b_id,initiator,negotiation_year,duration_days,negotiation_type,outcome,shift_distance,strength_change,tension_before,tension_after,equilibrium_restored,documented_by,primary_evidence,confidence,description,notes
BN-0001,EB-0107,MS-0064,MS-0010,mutual,926,15,fission,no_change,,-0.16,0.37,0.28,True,T. Vells,historical_inference,0.74,Division negotiation documented.,
BN-0002,EB-0113,MS-0045,MS-0045,external,927,2373,merger,ongoing,,-0.15,0.54,0.35,True,Western Archive Team,trajectory_changes,0.85,Merger negotiation successful.,
BN-0003,EB-0026,MS-0070,MS-0077,unknown,925,2194,drift,boundary_created,,0.05,0.81,0.9,True,Western Archive Team,trajectory_changes,0.56,Boundary drifted without clear initiator.,
BN-0004,EB-0240,MS-0046,MS-0078,unknown,926,1,dispute,boundary_strengthened,,-0.37,0.72,0.47,True,K. Strand,trajectory_changes,0.66,Active conflict over boundary position.,
BN-0005,EB-0143,MS-0019,MS-0017,external,926,2858,fission,boundary_created,,-0.08,0.48,0.31,True,Senate Survey,trajectory_changes,0.8,"Entity split, new boundary formed.",
BN-0006,EB-0247,MS-0037,MS-0084,mutual,915,339,dispute,boundary_created,,0.13,0.57,0.44,True,Boundary Commission,classification_records,0.66,Active conflict over boundary position.,
BN-0007,EB-0099,MS-0035,MS-0091,entity_a,924,2065,drift,ongoing,,-0.2,0.63,0.66,True,P. Tross,trajectory_changes,0.6,Gradual repositioning observed.,
BN-0008,EB-0340,MS-0079,MS-0018,external,922,4,expansion,boundary_dissolved,,0.27,0.38,0.4,True,K. Strand,historical_inference,0.85,Gradual territorial expansion documented.,
BN-0009,EB-0193,MS-0090,MS-0042,unknown,925,15,contraction,boundary_weakened,,0.1,0.46,0.05,True,P. Tross,entity_testimony,0.58,Voluntary contraction documented.,
BN-0010,EB-0112,MS-0054,MS-0005,mutual,1850,1827,dispute,boundary_dissolved,,0.29,0.79,0.82,True,Western Archive Team,historical_inference,0.62,Contested boundary with competing claims.,
BN-0011,EB-0314,MS-0087,MS-0034,unknown,1838,25,drift,boundary_created,,-0.27,0.48,0.4,True,Western Archive Team,trajectory_changes,0.75,Boundary drifted without clear initiator.,
BN-0012,EB-0079,MS-0051,MS-0028,unknown,930,162,dispute,no_change,,0.27,0.37,0.24,True,T. Vells,trajectory_changes,0.74,Contested boundary with competing claims.,
BN-0013,EB-0305,MS-0065,MS-0016,unknown,926,3184,expansion,no_change,,-0.08,0.31,0.19,True,T. Vells,direct_observation,0.66,One entity's influence grew beyond previous boundary.,
BN-0014,EB-0331,MS-0039,MS-0042,entity_b,921,140,fission,no_change,,0.12,0.71,0.64,True,Senate Survey,historical_inference,0.51,"Entity split, new boundary formed.",
BN-0015,EB-0305,MS-0055,MS-0040,external,1830,13,clarification,boundary_weakened,,0.05,0.39,0.35,True,Archive Survey Team,trajectory_changes,0.83,Clarification resolved ambiguity.,
BN-0016,EB-0223,MS-0037,MS-0051,unknown,1847,17,clarification,no_change,,-0.11,0.64,0.56,True,P. Tross,entity_testimony,0.53,Clarification resolved ambiguity.,
BN-0017,EB-0065,MS-0011,MS-0034,entity_b,917,2053,drift,boundary_dissolved,,-0.17,0.38,0.29,True,P. Tross,classification_records,0.71,Boundary drifted without clear initiator.,
BN-0018,EB-0317,MS-0033,MS-0032,mutual,918,900,drift,boundary_shifted_toward_b,0.195,-0.06,0.74,0.69,True,Archive Survey Team,direct_observation,0.83,Gradual repositioning observed.,
BN-0019,EB-0162,MS-0048,MS-0025,mutual,1842,26,expansion,boundary_shifted_toward_b,0.068,0.04,0.72,0.75,True,Boundary Commission,entity_testimony,0.72,One entity's influence grew beyond previous boundary.,
BN-0020,EB-0289,MS-0050,MS-0096,entity_a,914,3483,expansion,boundary_strengthened,,-0.1,0.64,0.79,False,Archive Survey Team,direct_observation,0.82,Entity A expanded into B's territory.,
BN-0021,EB-0022,MS-0076,MS-0007,entity_a,928,3267,expansion,boundary_weakened,,0.08,0.38,0.31,True,Archive Survey Team,trajectory_changes,0.75,Gradual territorial expansion documented.,
BN-0022,EB-0160,MS-0026,MS-0040,external,918,561,drift,boundary_weakened,,-0.0,0.74,0.62,True,K. Strand,trajectory_changes,0.78,Boundary drifted without clear initiator.,
BN-0023,EB-0317,MS-0051,MS-0059,entity_b,1842,2143,clarification,boundary_weakened,,-0.11,0.45,0.46,True,Boundary Commission,entity_testimony,0.6,Boundary location made explicit.,
BN-0024,EB-0288,MS-0099,MS-0051,external,1847,3487,merger,boundary_dissolved,,0.27,0.41,0.61,False,Senate Survey,entity_testimony,0.51,Merger negotiation successful.,
BN-0025,EB-0135,MS-0051,MS-0098,mutual,929,1986,drift,no_change,,-0.24,0.53,0.7,False,Archive Survey Team,historical_inference,0.94,Mutual adjustment over time.,
BN-0026,EB-0223,MS-0035,MS-0030,entity_a,929,2578,dispute,boundary_created,,-0.1,0.45,0.45,True,Senate Survey,entity_testimony,0.73,Active conflict over boundary position.,
BN-0027,EB-0204,MS-0024,MS-0016,unknown,914,2959,dispute,boundary_created,,-0.43,0.35,0.23,True,P. Tross,historical_inference,0.84,Boundary dispute required resolution.,
BN-0028,EB-0317,MS-0068,MS-0073,external,1833,3628,fission,ongoing,,0.19,0.86,0.95,True,Senate Survey,direct_observation,0.78,"Entity split, new boundary formed.",
BN-0029,EB-0293,MS-0027,MS-0004,mutual,922,23,contraction,boundary_strengthened,,0.16,0.79,0.85,True,Western Archive Team,trajectory_changes,0.81,Boundary contracted as one entity retreated.,
BN-0030,EB-0250,MS-0048,MS-0009,entity_a,1834,3415,clarification,boundary_shifted_toward_b,0.193,-0.05,0.58,0.42,True,Boundary Commission,trajectory_changes,0.77,Previously fuzzy boundary defined.,
BN-0031,EB-0010,MS-0056,MS-0009,entity_a,1847,406,dispute,boundary_created,,0.04,0.46,0.41,True,Senate Survey,direct_observation,0.89,Boundary dispute required resolution.,
BN-0032,EB-0125,MS-0018,MS-0005,external,1844,1961,clarification,boundary_dissolved,,0.1,0.55,0.22,True,K. Strand,direct_observation,0.9,Clarification resolved ambiguity.,
BN-0033,EB-0136,MS-0048,MS-0037,entity_a,916,1433,fission,boundary_created,,-0.14,0.51,0.37,True,T. Vells,historical_inference,0.66,Fission created new separation.,
BN-0034,EB-0150,MS-0011,MS-0082,entity_b,921,3121,expansion,boundary_weakened,,-0.17,0.81,0.62,True,P. Tross,trajectory_changes,0.92,One entity's influence grew beyond previous boundary.,
BN-0035,EB-0098,MS-0082,MS-0089,external,1845,13,contraction,boundary_weakened,,-0.35,0.49,0.33,True,T. Vells,trajectory_changes,0.94,Voluntary contraction documented.,
BN-0036,EB-0145,MS-0048,MS-0036,entity_a,912,358,drift,ongoing,,-0.23,0.4,0.49,True,Boundary Commission,entity_testimony,0.51,Boundary drifted without clear initiator.,
BN-0037,EB-0182,MS-0017,MS-0095,external,930,148,drift,boundary_shifted_toward_b,0.132,0.23,0.84,0.8,True,Western Archive Team,historical_inference,0.91,Gradual repositioning observed.,
BN-0038,EB-0080,MS-0062,MS-0089,entity_b,1847,50,expansion,no_change,,0.19,0.48,0.48,True,Western Archive Team,trajectory_changes,0.53,One entity's influence grew beyond previous boundary.,
BN-0039,EB-0277,MS-0016,MS-0007,entity_a,927,2,dispute,boundary_shifted_toward_b,0.194,-0.2,0.86,0.72,True,Archive Survey Team,classification_records,0.64,Active conflict over boundary position.,
BN-0040,EB-0071,MS-0072,MS-0057,mutual,1840,1427,contraction,no_change,,-0.19,0.67,0.79,False,P. Tross,trajectory_changes,0.72,Entity withdrew from contested region.,
BN-0041,EB-0116,MS-0026,MS-0055,unknown,914,3606,drift,ongoing,,-0.24,0.41,0.23,True,Western Archive Team,classification_records,0.95,Boundary drifted without clear initiator.,
BN-0042,EB-0087,MS-0002,MS-0079,entity_a,922,2456,merger,boundary_shifted_toward_a,0.238,0.33,0.68,0.84,False,Senate Survey,trajectory_changes,0.63,Merger negotiation successful.,
BN-0043,EB-0301,MS-0066,MS-0001,external,915,2588,fission,boundary_weakened,,-0.27,0.86,0.87,True,T. Vells,direct_observation,0.94,"Entity split, new boundary formed.",
BN-0044,EB-0304,MS-0039,MS-0064,unknown,920,12,contraction,boundary_dissolved,,0.5,0.82,0.51,True,Senate Survey,direct_observation,0.75,Voluntary contraction documented.,
BN-0045,EB-0101,MS-0026,MS-0006,entity_a,930,2064,drift,ongoing,,0.21,0.63,0.2,True,P. Tross,direct_observation,0.9,Gradual repositioning observed.,
BN-0046,EB-0215,MS-0062,MS-0035,entity_a,917,999,expansion,boundary_weakened,,-0.01,0.89,0.95,True,P. Tross,trajectory_changes,0.93,One entity's influence grew beyond previous boundary.,
BN-0047,EB-0311,MS-0008,MS-0081,external,1851,10,contraction,boundary_strengthened,,-0.15,0.32,0.34,True,Senate Survey,entity_testimony,0.88,Boundary contracted as one entity retreated.,
BN-0048,EB-0239,MS-0038,MS-0007,mutual,922,1252,expansion,boundary_strengthened,,0.0,0.5,0.38,True,Senate Survey,direct_observation,0.69,Gradual territorial expansion documented.,
BN-0049,EB-0099,MS-0048,MS-0053,entity_a,1832,2790,contraction,boundary_weakened,,0.06,0.9,0.48,True,K. Strand,classification_records,0.63,Voluntary contraction documented.,
