measurement_id,boundary_id,entity_a_id,entity_b_id,measurement_year,strength_value,strength_change,permeability_value,tension_value,tension_gradient,measurement_context,external_factors,measurer,method,confidence,notes
BS-0001,EB-0317,MS-0061,MS-0002,920,0.66,0.02,0.42,0.28,0.086,routine_survey,None observed,Archive Survey Team,tension_probe,0.86,
BS-0002,EB-0318,MS-0087,MS-0075,918,0.69,0.01,0.3,0.49,-0.145,seasonal,Dens proximity event,T. Vells,permeability_test,0.88,
BS-0003,EB-0314,MS-0046,MS-0001,922,0.24,0.26,0.64,0.45,-0.17,routine_survey,None observed,T. Vells,tension_probe,0.73,
BS-0004,EB-0110,MS-0006,MS-0052,914,0.91,0.03,0.05,0.77,-0.036,boundary_incident,None observed,Western Archive Team,tension_probe,0.71,
BS-0005,EB-0071,MS-0064,MS-0014,915,0.93,-0.22,0.05,0.34,-0.158,seasonal,Adjacent boundary dissolution,Boundary Commission,tension_probe,0.61,
BS-0006,EB-0324,MS-0076,MS-0039,1845,0.63,-0.1,0.27,0.1,-0.096,post_violation,Creature migration,Western Archive Team,permeability_test,0.61,
BS-0007,EB-0142,MS-0038,MS-0073,921,0.35,0.22,0.59,0.14,-0.081,routine_survey,None observed,P. Tross,trajectory_deviation,0.55,
BS-0008,EB-0244,MS-0073,MS-0086,927,0.47,-0.24,0.55,0.13,0.034,routine_survey,Creature migration,P. Tross,permeability_test,0.63,
BS-0009,EB-0195,MS-0045,MS-0083,1845,0.51,0.13,0.33,0.17,0.167,post_violation,Survey activity,Boundary Commission,classification_differential,0.6,
BS-0010,EB-0314,MS-0071,MS-0087,1836,0.71,-0.05,0.25,0.51,0.058,routine_survey,Seasonal fluctuation,K. Strand,historical_inference,0.72,
BS-0011,EB-0044,MS-0043,MS-0004,1830,0.58,0.24,0.32,0.47,-0.229,seasonal,None observed,T. Vells,historical_inference,0.75,
BS-0012,EB-0255,MS-0053,MS-0001,912,0.64,-0.19,0.37,0.13,-0.039,routine_survey,Seasonal fluctuation,T. Vells,classification_differential,0.54,
