failure_id,failure_name,bridge_type,bridge_mechanism,intended_temporal_gap_days,actual_bridge_duration_days,agent_type,agent_id,agent_horizon_days,failure_mode,failure_cause,failure_year,was_preventable,prevention_method,warning_signs,warnings_heeded,intended_effect_lost,actual_consequences,affected_entities,severity,recovery_possible,recovery_attempted,recovery_outcome,failure_category,lesson_learned,documented_year,documenter,documentation_source,confidence,description,notes
BF-0001,Failed Promise 1,promise,physical_artifact,24743,2636,institution,,29710.0,successor_failure,successor died young,818,True,endowment fund,False,,Future generations would have benefited,Resources wasted; knowledge lost,48430,catastrophic,True,False,not_attempted,internal_decay,Renew purpose to maintain bridges,927,M. Strand,archaeological_evidence,0.53,Promise bridge failed via successor failure,
BF-0002,Failed Preservation 2,preservation,institutional_structure,16764,1211,institution,AGT-108,33812.4,context_change,need no longer existed,836,False,,False,,Future generations would have benefited,Resources wasted; connection lost,57475,catastrophic,False,False,not_attempted,context_unpredicted,The future may not need what we prepare,917,M. Strand,archaeological_evidence,0.74,Preservation bridge failed via context change,
BF-0003,Failed Promise 3,promise,spatial_configuration,8470,472,institution,AGT-487,10981.7,resource_exhaustion,funding exhausted,897,True,multiple successors,True,False,Future scholars would have benefited,Resources wasted; connection lost,28369,severe,True,False,not_attempted,maintenance_failed,Bridges require ongoing maintenance,920,C. Vells,archaeological_evidence,0.71,Promise bridge failed via resource exhaustion,
BF-0004,Failed Communication 4,communication,spatial_configuration,36081,4436,collective,,10979.7,physical_destruction,fire at archive,902,False,,True,False,Future scholars would have benefited,Resources wasted; connection lost,50296,severe,True,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,925,Klutch CC Counseling,archaeological_evidence,0.58,Communication bridge failed via physical destruction,
BF-0005,Failed Communication 5,communication,ritual_practice,22026,8939,collective,AGT-344,17003.2,active_sabotage,rival faction,820,False,,True,False,Future community would have benefited,Resources wasted; knowledge lost,25325,severe,False,False,not_attempted,external_destruction,Build redundancy against destruction,939,Klutch CC Counseling,archival_record,0.86,Communication bridge failed via active sabotage,
BF-0006,Failed Promise 6,promise,written_record,2960,687,person,,5796.0,resource_exhaustion,materials depleted,854,True,endowment fund,False,,Future generations would have benefited,Resources wasted; knowledge lost,928,catastrophic,True,True,successful,maintenance_failed,Bridges require ongoing maintenance,931,Archive Survey Team,archival_record,0.58,Promise bridge failed via resource exhaustion,
BF-0007,Failed Legacy 7,legacy,spatial_configuration,25384,18192,collective,AGT-637,22156.3,physical_destruction,fire at archive,915,False,,False,,Future community would have benefited,Resources wasted; knowledge lost,97977,catastrophic,True,False,not_attempted,external_destruction,Build redundancy against destruction,923,C. Vells,archaeological_evidence,0.74,Legacy bridge failed via physical destruction,
BF-0008,Failed Cultivation 8,cultivation,trained_successor,21744,9519,collective,,28207.9,dens_interference,dens boundary shifted,864,False,,False,,Future scholars would have benefited,Resources wasted; opportunity lost,40212,severe,True,False,not_attempted,mechanism_inadequate,Match mechanism to the gap,914,C. Vells,testimony,0.72,Cultivation bridge failed via dens interference,
BF-0009,Failed Cultivation 9,cultivation,institutional_structure,31496,14867,institution,AGT-373,6251.3,context_change,population moved,891,False,,True,False,Future scholars would have benefited,Resources wasted; opportunity lost,66242,significant,False,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,938,M. Strand,archaeological_evidence,0.87,Cultivation bridge failed via context change,
BF-0010,Failed Preservation 10,preservation,physical_artifact,19383,9573,institution,AGT-765,22344.8,dens_interference,dens boundary shifted,830,False,,False,,Future community would have benefited,Resources wasted; opportunity lost,97911,catastrophic,True,False,not_attempted,mechanism_inadequate,Match mechanism to the gap,921,M. Strand,archival_record,0.79,Preservation bridge failed via dens interference,
BF-0011,Failed Cultivation 11,cultivation,trained_successor,13950,653,institution,AGT-868,3202.2,memory_fade,meaning lost,824,False,,False,,Future scholars would have benefited,Resources wasted; connection lost,79174,significant,True,True,failed,horizon_exceeded,Cannot bridge further than one can care,940,Independent Observer,institutional_record,0.84,Cultivation bridge failed via memory fade,
BF-0012,Failed Promise 12,promise,collective_memory,25632,4396,collective,,22949.3,institutional_collapse,funding ended,841,False,,False,,Future scholars would have benefited,Resources wasted; connection lost,79155,severe,True,True,failed,internal_decay,Renew purpose to maintain bridges,934,Klutch CC Counseling,archival_record,0.65,Promise bridge failed via institutional collapse,
BF-0013,Failed Preservation 13,preservation,physical_artifact,17772,14640,institution,,23779.4,horizon_collapse,builder lost purpose,819,False,,False,,Future scholars would have benefited,Resources wasted; knowledge lost,47968,significant,False,False,not_attempted,mechanism_inadequate,Match mechanism to the gap,936,K. Strand,archaeological_evidence,0.54,Preservation bridge failed via horizon collapse,
BF-0014,Failed Cultivation 14,cultivation,biological_growth,21739,9477,institution,,1895.1,information_loss,records corrupted,888,False,,False,,Future community would have benefited,Resources wasted; connection lost,52525,severe,True,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,914,R. Voss,testimony,0.79,Cultivation bridge failed via information loss,
BF-0015,Failed Preservation 15,preservation,trained_successor,5376,3744,collective,,4071.3,context_change,technology changed,837,False,,True,False,Future scholars would have benefited,Resources wasted; knowledge lost,159,moderate,False,False,not_attempted,context_unpredicted,The future may not need what we prepare,916,K. Strand,archaeological_evidence,0.86,Preservation bridge failed via context change,
BF-0016,Failed Legacy 16,legacy,physical_artifact,30024,4672,collective,,14660.0,physical_destruction,fire at archive,900,False,,False,,Future community would have benefited,Resources wasted; knowledge lost,95024,severe,True,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,934,M. Strand,institutional_record,0.54,Legacy bridge failed via physical destruction,
BF-0017,Failed Promise 17,promise,institutional_structure,12250,246,collective,AGT-736,20942.3,physical_destruction,fire at archive,896,False,,True,True,Future community would have benefited,Resources wasted; opportunity lost,40597,significant,True,False,not_attempted,external_destruction,Build redundancy against destruction,937,T. Vells,archival_record,0.65,Promise bridge failed via physical destruction,
BF-0018,Failed Planning 18,planning,biological_growth,5577,5229,person,AGT-295,2304.9,active_sabotage,rival faction,868,False,,False,,Future community would have benefited,Resources wasted; opportunity lost,638,minor,False,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,935,Klutch CC Counseling,institutional_record,0.77,Planning bridge failed via active sabotage,
BF-0019,Failed Construction 19,construction,written_record,11017,9365,institution,AGT-141,23220.9,institutional_collapse,purpose forgotten,902,False,,False,,Future community would have benefited,Resources wasted; opportunity lost,61037,catastrophic,True,False,not_attempted,internal_decay,Renew purpose to maintain bridges,930,Boundary Commission,archival_record,0.61,Construction bridge failed via institutional collapse,
BF-0020,Failed Cultivation 20,cultivation,written_record,28411,5324,collective,,15647.7,active_sabotage,political enemies,858,False,,True,False,Future scholars would have benefited,Resources wasted; connection lost,43426,significant,False,False,not_attempted,horizon_exceeded,Cannot bridge further than one can care,925,C. Vells,archaeological_evidence,0.81,Cultivation bridge failed via active sabotage,
BF-0021,Failed Legacy 21,legacy,biological_growth,16323,12112,collective,,19039.6,dens_interference,dens boundary shifted,814,False,,False,,Future scholars would have benefited,Resources wasted; connection lost,18881,severe,True,False,not_attempted,mechanism_inadequate,Match mechanism to the gap,934,C. Vells,archaeological_evidence,0.84,Legacy bridge failed via dens interference,
